time,open,high,low,close
1736766000,20587.9,20682.5,20540,20639
1736780400,20638.7,20749.3,20551.2,20728.3
1736794800,20728.4,20831.6,20671.8,20826
1736805600,20858.5,20924.5,20848.8,20862.4
1736820000,20862.1,20893.2,20833.3,20892.1
1736834400,20893.2,20977.5,20855.6,20934.9
1736848800,20934.6,20972.1,20778.4,20890.1
1736863200,20891.4,20963,20626.2,20697.4
1736877600,20697.2,20845.6,20608.2,20808.2
1736892000,20804.4,20809.4,20772.1,20792.5
1736906400,20792.6,20795.6,20766,20781.7
1736920800,20781.6,20810.5,20748.1,20799.1
1736935200,20799,21167.6,20771.5,21120.1
1736949600,21117.7,21246.2,21026.1,21161.2
1736964000,21162.4,21291.7,21160.4,21213
1736978400,21228.6,21286,21217.7,21240.2
1736992800,21240.1,21251.4,21194.9,21205.6
1737007200,21205.7,21404.7,21192.5,21314
1737021600,21313.2,21357.4,21259.4,21313.6
1737036000,21310.7,21338.2,21156.9,21224.6
1737050400,21225.4,21252.4,21011.9,21050.6
1737064800,21057.7,21123.1,21048.4,21114.6
1737079200,21115,21158.2,21095.4,21147.5
1737093600,21147.6,21205.6,21101.7,21192.2
1737108000,21192,21394.5,21156.2,21390.5
1737122400,21390.7,21528.5,21330.7,21475.2
1737136800,21475,21521.1,21421.2,21434.7
1737327600,21434.1,21441.9,21378,21410.4
1737342000,21410.5,21454.4,21395.7,21444.4
1737356400,21444.5,21487.1,21436.1,21474.9
1737370800,21474.7,21626.5,21388.6,21592.5
1737385200,21591.7,21591.7,21474.5,21534.3
1737399600,21533.9,21579.4,21533.7,21569
1737410400,21583.9,21596.8,21219.1,21434.7
1737424800,21435.7,21496.4,21412,21440.1
1737439200,21440.2,21557.6,21432.7,21557.4
1737453600,21557.5,21580,21492.7,21574.9
1737468000,21577,21592.2,21376,21590.2
1737482400,21590.4,21631.6,21546.2,21622.5
1737496800,21659.2,21695.5,21618.4,21687.1
1737511200,21687,21729.5,21682.8,21710.8
1737525600,21711.8,21759.7,21692.5,21735.8
1737540000,21735.7,21787.1,21721.8,21782.7
1737554400,21782.8,21945.8,21751.8,21909.7
1737568800,21909.8,21914.2,21821.1,21834.2
1737583200,21833.4,21839.6,21799.2,21803.6
1737597600,21803.5,21824.1,21781.7,21807.9
1737612000,21808,21819.1,21711,21749.2
1737626400,21749.1,21773.2,21727.9,21751.2
