time,open,high,low,close
1425621600,132.283,132.4545,131.6265,131.6605
1425636000,131.6605,131.885,131.177,131.581
1425650400,131.581,131.8345,131.165,131.274
1425664800,131.274,131.2855,130.8925,130.995
1425848400,130.995,131.014,130.7085,130.9995
1425862800,130.9995,131.2915,130.8665,131.121
1425877200,131.121,131.607,131.093,131.514
1425891600,131.514,131.7255,131.218,131.299
1425906000,131.299,131.674,131.2215,131.6675
1425920400,131.6675,131.8095,131.4335,131.467
1425934800,131.467,131.787,131.458,131.521
1425949200,131.521,131.875,131.367,131.3805
1425963600,131.3805,131.7285,130.8865,131.1175
1425978000,131.1175,131.186,129.9655,130.209
1425992400,130.209,130.6425,129.6745,129.901
1426006800,129.901,129.9665,129.477,129.5985
1426021200,129.5985,129.7665,129.229,129.7635
1426035600,129.7635,129.957,129.5465,129.6885
1426050000,129.6885,129.742,129.104,129.3075
1426064400,129.3075,129.3495,128.3425,128.746
1426078800,128.746,128.7505,128.192,128.419
1426093200,128.419,128.438,127.6225,128.104
1426107600,128.104,128.2665,128.0295,128.239
1426122000,128.239,128.274,127.658,127.7365
1426136400,127.7365,128.848,127.665,128.4035
1426150800,128.4035,128.997,128.2395,128.7665
1426165200,128.7665,128.958,128.2675,128.6105
1426179600,128.6105,129.026,128.572,128.984
1426194000,128.984,128.987,128.797,128.82
1426208400,128.82,128.9895,128.7465,128.819
1426222800,128.819,129.068,128.3565,128.9105
1426237200,128.9105,128.941,128.319,128.4765
1426251600,128.4765,128.485,127.158,127.486
1426266000,127.486,127.493,126.9085,127.416
1426453200,127.416,127.541,127.092,127.435
1426467600,127.435,127.7675,127.402,127.469
1426482000,127.469,127.9315,127.322,127.8455
1426496400,127.8455,128.0255,127.6725,127.89
1426510800,127.89,128.751,127.863,128.724
1426525200,128.724,128.794,128.174,128.239
1426539600,128.239,128.392,128.211,128.239
1426554000,128.239,128.4105,128.157,128.2385
1426568400,128.2385,128.865,128.085,128.4995
1426582800,128.4995,128.916,128.29,128.6945
1426597200,128.6945,129.1575,128.4045,128.588
1426611600,128.588,128.716,128.501,128.625
1426626000,128.625,128.7055,128.4895,128.679
1426640400,128.679,128.7465,128.622,128.6315
1426654800,128.6315,128.8385,128.413,128.6655
1426669200,128.6655,128.8605,128.267,128.3155
1426683600,128.3155,128.861,128.3085,128.784
1426698000,128.784,131.798,128.326,130.507
1426712400,130.507,130.8495,130.115,130.363
1426726800,130.363,130.366,129.585,129.7305
1426741200,129.7305,130.038,128.409,128.639
1426755600,128.639,129.533,128.546,128.92
1426770000,128.92,129.1945,128.367,128.569
1426784400,128.569,128.8135,128.428,128.7345
1426798800,128.7345,128.909,128.6445,128.811
1426813200,128.811,129.111,128.7145,128.911
1426827600,128.911,129.2825,128.759,129.241
1426842000,129.241,130.2005,129.147,130.0105
1426856400,130.0105,130.504,129.6605,130.2835
1426870800,130.2835,130.704,129.6585,129.94
1427058000,129.94,130.4325,129.636,129.659
1427072400,129.659,129.8075,129.506,129.685
1427086800,129.685,129.7865,129.2925,129.5635
1427101200,129.5635,130.657,129.4995,130.613
1427115600,130.613,131.028,130.421,130.758
1427130000,130.758,131.3595,130.745,131.049
1427144400,131.049,131.2075,131.001,131.0275
1427158800,131.0275,131.03,130.617,130.7195
1427173200,130.7195,131.4125,130.493,131.2615
1427187600,131.2615,131.5165,130.8915,131.046
1427202000,131.046,131.1015,130.352,130.777
1427216400,130.777,130.865,130.5595,130.817
1427230800,130.817,130.864,130.587,130.8025
1427245200,130.8025,130.879,130.678,130.694
1427259600,130.694,131.246,130.606,131.135
1427274000,131.135,131.416,130.917,131.177
1427288400,131.177,131.2435,130.8955,131.032
1427302800,131.032,131.213,130.9715,131.078
1427317200,131.078,131.112,130.9445,131.006
1427331600,131.006,131.0405,130.5935,130.793
1427346000,130.793,130.8735,130.1785,130.7535
1427360400,130.7535,130.852,130.422,130.6645
1427374800,130.6645,130.7855,129.768,129.9645
1427389200,129.9645,129.9645,129.5325,129.728
1427403600,129.728,129.824,129.5095,129.758
1427418000,129.758,129.864,129.682,129.7365
1427432400,129.7365,129.7725,129.0335,129.2355
1427446800,129.2355,129.745,129.035,129.5855
1427461200,129.5855,130.418,129.3195,130.1095
1427475600,130.1095,130.279,129.6425,129.7305
1427662800,129.7305,129.8975,129.454,129.6025
