variant,setups,trades,fill_rate,win_rate,total_r,avg_r,pf,max_dd_r,avg_mae_r,avg_mfe_r,avg_risk_atr,avg_fill_delay_m15,tp,sl,time,worst_year_r,retest_r,wait_hours
retest_0.10r_4h,27,25,92.5925925925926,76.0,11.303097088616038,0.4521238835446415,2.5780631366451456,1.6369794024685058,0.718651208385911,1.4307057226334874,1.6044418166185863,1.36,19,5,1,-0.4793558745218519,0.1,4.0
retest_0.10r_6h,27,25,92.5925925925926,76.0,11.303097088616038,0.4521238835446415,2.5780631366451456,1.6369794024685058,0.718651208385911,1.4307057226334874,1.6044418166185863,1.36,19,5,1,-0.4793558745218519,0.1,6.0
retest_0.15r_4h,27,25,92.5925925925926,76.0,10.97974985853469,0.4391899943413876,2.5184213095032275,1.674448779084309,0.7021012794674342,1.3931003663214434,1.5153061601397786,2.2,19,5,1,-0.5193179847878822,0.15,4.0
retest_0.15r_6h,27,25,92.5925925925926,76.0,10.97974985853469,0.4391899943413876,2.5184213095032275,1.674448779084309,0.7021012794674342,1.3931003663214434,1.5153061601397786,2.2,19,5,1,-0.5193179847878822,0.15,6.0
retest_0.10r_1h,27,22,81.48148148148148,77.27272727272727,10.379379938184268,0.471789997190194,2.609311704235559,1.6369794024685058,0.7141947676635195,1.3768015767561084,1.6061491634728915,0.4090909090909091,17,5,0,-0.4793558745218519,0.1,1.0
retest_0.25r_6h,27,21,77.77777777777779,80.95238095238095,10.37355969272429,0.49397903298687096,2.8645481997241347,1.7643752829621997,0.6821622612095823,1.2711012489162634,1.3142821841743273,4.9523809523809526,17,4,0,-1.7643752829622,0.25,6.0
retest_0.20r_6h,27,23,85.18518518518519,78.26086956521739,10.274065096048632,0.4466984824368971,2.5494517988837138,2.5982852314059013,0.6975046967330119,1.2930806279785199,1.4136224773108186,3.347826086956522,18,5,0,-1.2554783732128079,0.2,6.0
retest_0.20r_2h,27,20,74.07407407407408,80.0,10.011306802191626,0.5005653401095813,2.891133634746885,2.5982852314059013,0.7010539109419669,1.2989206366705839,1.4032459642162227,2.1,16,4,0,-1.2554783732128079,0.2,2.0
retest_0.30r_3h,27,15,55.55555555555556,86.66666666666667,8.653110226361639,0.576874015090776,3.781501972393429,1.8189735174595123,0.5235536728849614,1.4693650329357812,1.161451525281788,3.1333333333333333,13,2,0,-1.8189735174595125,0.3,3.0
retest_0.30r_4h,27,15,55.55555555555556,86.66666666666667,8.653110226361639,0.576874015090776,3.781501972393429,1.8189735174595123,0.5235536728849614,1.4693650329357812,1.161451525281788,3.1333333333333333,13,2,0,-1.8189735174595125,0.3,4.0
retest_0.25r_1h,27,14,51.85185185185185,85.71428571428571,8.55895587337289,0.6113539909552064,3.8183333678121634,1.7643752829621997,0.5053709057561331,1.3433739424987863,1.2812259058428916,1.5714285714285714,12,2,0,-1.7643752829622,0.25,1.0
retest_0.30r_2h,27,14,51.85185185185185,85.71428571428571,8.069758992836803,0.5764113566312002,3.5939864358752125,1.8189735174595123,0.5122791958707557,1.4767569957445077,1.1709976623222187,2.5714285714285716,12,2,0,-1.8189735174595125,0.3,2.0
retest_0.20r_1h,27,17,62.96296296296296,76.47058823529412,7.366871815049204,0.4333454008852473,2.391600452126641,3.577210633832251,0.7386243863312176,1.2987329429183312,1.3912840054533369,1.4705882352941178,13,4,0,-1.7166018277770891,0.2,1.0
retest_0.30r_6h,27,16,59.25925925925925,81.25,7.268011034913076,0.4542506896820673,2.6165332413951106,1.8189735174595123,0.5747618715853859,1.418756652342331,1.1791524455159885,3.9375,13,3,0,-1.8189735174595125,0.3,6.0
retest_0.40r_4h,27,14,51.85185185185185,85.71428571428571,6.959277237460671,0.4970912312471908,3.1113627001281996,1.9554691037028018,0.5128264433992786,1.6750298554059182,1.0043955836119538,5.142857142857143,12,2,0,-1.9554691037028018,0.4,4.0
retest_0.40r_3h,27,13,48.148148148148145,84.61538461538461,6.4387006957211605,0.49528466890162776,2.95342591225688,1.9554691037028018,0.534569069950207,1.6292547651939584,1.0145473653449455,4.461538461538462,11,2,0,-1.9554691037028018,0.4,3.0
retest_0.40r_6h,27,16,59.25925925925925,81.25,6.379346207398468,0.39870913796240426,2.344325148249731,1.9554691037028018,0.5532486253796179,1.5825602847935611,1.0107020961565576,6.8125,13,3,0,-1.9554691037028018,0.4,6.0
retest_0.50r_4h,27,12,44.44444444444444,83.33333333333334,4.651501680053687,0.3876251400044739,2.3083184615651895,2.146562924443331,0.5015830730716706,1.7852417284588402,0.8199264527580912,6.25,10,2,0,-2.146562924443331,0.5,4.0
retest_0.30r_1h,27,10,37.03703703703704,80.0,4.585206291094176,0.4585206291094176,2.4738932024296845,1.8189735174595125,0.5845412855688973,1.471826280308692,1.1600636697251088,1.4,8,2,0,-1.8189735174595125,0.3,1.0
retest_0.50r_3h,27,11,40.74074074074074,81.81818181818183,4.266809829966301,0.3878918027242092,2.2001169636185764,2.146562924443331,0.5402536471795805,1.6817066825193137,0.8283726135328365,5.545454545454546,9,2,0,-2.146562924443331,0.5,3.0
