signal_i,signal_time,entry_hour,atr,range_atr,body_ratio,upper_wick_ratio,lower_wick_ratio,close_location,bb_z,rsi14,ema20_dist_atr,ema100_dist_atr,h4_down,h4_up,h4_neutral,d1_down,d1_up,d1_neutral,h4_slope_atr,d1_slope_atr,family,lookback,box_bars,trigger_atr,move_6_atr,move_12_atr,move_24_atr,pullback_atr,box_width_atr,stop_anchor,entry_i,entry_time,entry,stop,target,risk,risk_atr,exit_i,exit_time,exit,exit_reason,bars_held,mae_r,mfe_r,r_after_cost,sample,year
7010,2015-03-06 08:00:00,9,0.06780347567446873,1.519096166906175,0.7864077669902748,0.09708737864079042,0.11650485436893472,0.8834951456310652,-2.916144672937979,34.49893763913609,-1.7784172849775544,-3.5524264174023785,True,False,False,True,False,False,-0.6405542808847108,-0.5856704067298443,breakdown,72,0,0.10323954532374048,1.6370842187046981,2.300767010071489,2.109036425898843,0.0,999.0,16.151,7011,2015-03-06 09:00:00,16.059,16.16117052135117,15.936395374378598,0.10217052135116944,1.5068625956831525,7011,2015-03-06 09:00:00,15.936395374378598,TP,0,0.0,0.0,0.9553110264155962,IS_2014_2024,2015
7084,2015-03-11 13:00:00,14,0.07196969116921763,2.2509475498387097,0.6049382716049465,0.22839506172839047,0.16666666666666302,0.833333333333337,-3.076960040295351,28.776446956694528,-2.2021426996002917,-5.057049941172915,True,False,False,True,False,False,-1.0839678267772812,-0.9112158938309505,breakdown,72,0,0.47242109070690214,3.001263399784979,3.15410551736661,3.7654739876931833,0.0,999.0,15.636,7085,2015-03-11 14:00:00,15.502,15.646795453675383,15.328245455589542,0.14479545367538194,2.011894886903625,7085,2015-03-11 14:00:00,15.328245455589542,TP,0,0.05525035349476084,0.0,1.0273426453288534,IS_2014_2024,2015
8350,2015-05-28 13:00:00,14,0.07222049289311204,2.672371681063514,0.8290155440414455,0.0,0.17098445595855447,0.8290155440414455,-3.032084804399015,37.42286444640026,-1.481148411598744,-3.8281576122016068,True,False,False,False,True,False,-0.35276392607849755,0.15227164531367643,breakdown,72,0,0.24923673709396496,2.0908192945108146,1.9385079551755509,0.7615566966761215,0.0,999.0,16.731,8351,2015-05-28 14:00:00,16.572,16.741833073933968,16.368200311279235,0.16983307393396885,2.3515911776637366,8361,2015-05-29 01:00:00,16.741833073933968,SL,10,1.0657523638203346,-0.7654574988764945,-1.1472033651685662,IS_2014_2024,2015
8827,2015-06-26 06:00:00,7,0.04705438115799183,2.5502407437276413,0.7499999999999926,0.1083333333333316,0.1416666666666758,0.8583333333333242,-3.417909578907871,28.884947538972384,-2.421762479962045,-4.242353425890774,True,False,False,True,False,False,-0.7157055183852775,-0.775071123827895,breakdown,72,0,0.42504012395459434,3.0815408986708657,3.060288892473109,4.207897227150545,0.0,999.0,15.829,8828,2015-06-26 07:00:00,15.729,15.8360581571737,15.60053021139156,0.10705815717370015,2.275200619773046,8828,2015-06-26 07:00:00,15.8360581571737,SL_first_same_bar,0,1.2516561422086454,0.0,-1.2335179369792275,IS_2014_2024,2015
9150,2015-07-16 12:00:00,13,0.05637899610627033,1.4544423573175176,0.6707317073170782,0.3170731707317089,0.012195121951212907,0.9878048780487871,-2.6151439427310867,23.02621783980929,-2.5745425046741954,-6.228110163313656,True,False,False,True,False,False,-1.1015990751927265,-0.9893928320476766,breakdown,72,0,0.762695382495768,2.8024621031240238,2.6428281858574585,6.207985671477282,0.0,999.0,14.991,9151,2015-07-16 13:00:00,14.912,14.99945684941594,14.807051780700872,0.08745684941593979,1.551231051562003,9151,2015-07-16 13:00:00,14.99945684941594,SL,0,1.6808288999855787,0.0,-1.2858552550995952,IS_2014_2024,2015
9174,2015-07-17 13:00:00,14,0.051172286122773386,1.7196808403062143,0.4886363636363701,0.36363636363636,0.14772727272727,0.8522727272727301,-3.372227463939669,25.49137618761185,-2.3585408668001127,-5.778409995349187,True,False,False,True,False,False,-1.1605288066873112,-1.2484164086285472,breakdown,72,0,0.21496010503829416,2.481812121805545,2.872648676420581,0.918465903345366,0.0,999.0,14.938,9175,2015-07-17 14:00:00,14.861,14.945675842918417,14.7593889884979,0.08467584291841668,1.654720735267934,9185,2015-07-20 01:00:00,14.7593889884979,TP,10,0.8384918006474016,-0.22438512975071548,0.9047564082227489,IS_2014_2024,2015
9289,2015-07-24 13:00:00,14,0.07939713150456226,1.9648064992251622,0.474358974358977,0.36538461538460926,0.16025641025641377,0.8397435897435862,-2.380449337983177,26.189169349825264,-2.3974707965349524,-4.603274691316995,True,False,False,True,False,False,-0.8430488338768941,-0.9829034060934557,breakdown,72,0,0.17632878839199484,2.7834758739023355,1.9270217588554457,4.861636594236646,0.0,999.0,14.527,9290,2015-07-24 14:00:00,14.394,14.538909569725684,14.22010851632918,0.1449095697256837,1.8251234897240212,9291,2015-07-24 15:00:00,14.538909569725684,SL,1,1.2973608323859345,-0.2967367861308194,-1.1725213872853655,IS_2014_2024,2015
9814,2015-08-26 06:00:00,7,0.09239030279425131,1.2447193755398722,0.8173913043478349,0.14782608695651678,0.03478260869564828,0.9652173913043517,-2.1900943391344785,31.815129455839,-1.897324796742552,-5.194216878570021,True,False,False,True,False,False,-0.497745744988654,-0.4079435710046719,breakdown,72,0,0.6710660981171599,2.4786151043359257,1.7967253594749468,3.2146230829160185,0.0,999.0,14.596,9815,2015-08-26 07:00:00,14.488,14.609858545419138,14.341769745497032,0.12185854541913876,1.318953848333107,9819,2015-08-26 11:00:00,14.341769745497032,TP,4,0.7631799614883115,-0.22977461206100092,0.9948440963741126,IS_2014_2024,2015
10096,2015-09-11 14:00:00,15,0.07206148737874774,1.7762608663244117,0.31250000000000694,0.49218749999999045,0.1953125000000026,0.8046874999999974,-2.784376331972522,20.23402951822277,-3.933294301599133,-4.707909508665981,True,False,False,True,False,False,-0.09504797191407055,-0.528695067252966,breakdown,72,0,0.29141779838135956,4.357389937702069,5.731216701499858,5.717339663481707,0.0,999.0,14.414,10097,2015-09-11 15:00:00,14.313,14.424809223106811,14.178828932271829,0.11180922310681041,1.5515808398340805,10098,2015-09-11 16:00:00,14.424809223106811,SL,1,1.6277726912218642,-0.590291195717814,-1.2235951498931181,IS_2014_2024,2015
10434,2015-10-02 07:00:00,8,0.046271960823953434,1.12379071632255,0.6923076923076896,0.25,0.05769230769231032,0.9423076923076896,-1.9218447457921737,36.252533818393054,-1.5142125489219753,-3.78760343236261,True,False,False,True,False,False,-0.6088994428095197,-0.8304437119974918,breakdown,72,0,0.06483407978784238,1.7505201542716675,1.2750702358275028,2.204358712786564,0.0,999.0,14.507,10435,2015-10-02 08:00:00,14.462,14.513940794123593,14.399671047051687,0.05194079412359365,1.1225111968176125,10437,2015-10-02 10:00:00,14.399671047051687,TP,2,0.5005699361879709,0.0,0.7186827536654159,IS_2014_2024,2015
