name,trades,win_rate,total_r,avg_r,pf,max_dd_r,is_trades,is_r,oos_trades,oos_r,oos_2025_trades,oos_2025_r,ex_2026_trades,ex_2026_r,worst_year_r,worst_2y_r,same_bar_ambiguous,avg_mae_r,spread,slip
strict_pullback_1_0,21,61.904761904761905,-1.939141030832766,-0.09234004908727457,0.8232310656350924,5.331272525337861,18,-5.308816708784861,3,3.3696756779520953,1,1.0533984189655703,19,-4.255418289819291,-1.7547944152391068,-2.9955103157750997,0,0.8100598093677185,0.08,0.03
strict_pullback_1_0,21,52.38095238095239,-9.108170302745167,-0.43372239536881746,0.4023948320619329,10.608688469830991,18,-12.346232082384184,3,3.2380617796390156,1,0.9696260869458927,19,-11.376605995438291,-3.5024762816739314,-6.252172696801904,0,0.8100598093677185,0.12,0.05
tp1_guard_ex_11_12,27,77.77777777777779,8.41020345437578,0.3114890168287326,2.123919079950997,1.5732814622216655,24,5.492462140821469,3,2.9177413135543113,1,0.9476422924877005,25,6.44010443330917,-0.6114202870696795,0.24189955247089978,0,0.7755763800211068,0.03,0.01
tp1_guard_ex_11_12,27,74.07407407407408,3.803464899962318,0.14086907036897475,1.4325808822414527,2.031906631998982,24,0.9515305355645353,3,2.851934364397782,1,0.9057561264778728,25,1.8572866620424082,-1.1005565167252842,-0.7132709071074086,0,0.7755763800211068,0.05,0.02
tp1_guard_ex_11_12,27,66.66666666666666,-1.9549582930553928,-0.07240586270575529,0.8187776815233452,5.860092010001539,24,-4.724633971007487,3,2.769675677952094,1,0.8533984189655733,25,-3.8712355520419135,-2.1197576337924207,-2.2206436332782165,0,0.7755763800211068,0.08,0.03
tp1_guard_ex_11_12,27,44.44444444444444,-11.168435401883618,-0.4136457556253192,0.32384717126151424,14.447931242799008,24,-13.806497181522634,3,2.638061779639014,1,0.7696260869458956,25,-13.036871094576737,-3.9024762816739242,-5.497606916389505,0,0.7755763800211068,0.12,0.05
maxhold12_guard_ex_11_12,27,62.96296296296296,9.174656544617438,0.3398020942450903,2.1952397528603065,1.5732814622216655,24,5.656915231063125,3,3.517741313554313,1,1.1476422924876974,25,6.804557523550822,-0.6318031916995386,0.6832792312678571,0,0.7417641409697987,0.03,0.01
maxhold12_guard_ex_11_12,27,62.96296296296296,4.567917990203975,0.16918214778533242,1.4837226682133797,2.031906631998982,24,1.115983625806191,3,3.4519343643977844,1,1.10575612647787,25,2.221739752284061,-0.9510879950398317,0.08672909289259179,0,0.7417641409697987,0.05,0.02
maxhold12_guard_ex_11_12,27,59.25925925925925,-1.1905052028137373,-0.044092785289397675,0.8979068131083362,3.9028520734733068,24,-4.560180880765833,3,3.3696756779520953,1,1.0533984189655703,25,-3.5067824618002623,-1.719757633792428,-1.7415539745632926,0,0.7417641409697987,0.08,0.03
maxhold12_guard_ex_11_12,27,40.74074074074074,-10.40398231164196,-0.38533267820896144,0.39578702438880115,12.387904210398165,24,-13.642044091280976,3,3.2380617796390156,1,0.9696260869458927,25,-12.672418004335084,-3.5024762816739314,-5.558865580523224,0,0.7417641409697987,0.12,0.05
loose_close65_guard_ex_11_12,30,76.66666666666667,12.417652866134697,0.4139217622044899,2.4132513981789256,2.481965122378636,27,8.899911552580384,3,3.517741313554313,1,1.1476422924876974,28,10.047553845068082,-1.502764397181974,0.8418995524709187,0,0.7648135115395661,0.03,0.01
loose_close65_guard_ex_11_12,30,73.33333333333333,7.324538420415964,0.24415128068053213,1.7084323661371938,2.990764385684485,27,3.8726040560181785,3,3.4519343643977844,1,1.10575612647787,28,4.978360182496049,-2.0649759149273885,-0.10668618797675844,0,0.7648135115395661,0.05,0.02
loose_close65_guard_ex_11_12,30,66.66666666666666,0.958145363266488,0.0319381787755496,1.0770852544678786,5.236020525889651,27,-2.4115303146856073,3,3.3696756779520953,1,1.0533984189655703,28,-1.358131895720037,-2.767740312109356,-2.0459818053440917,0,0.7648135115395661,0.08,0.03
loose_close65_guard_ex_11_12,30,50.0,-9.228083528172453,-0.3076027842724151,0.48402487354385276,13.507579369087846,27,-12.466145307811468,3,3.2380617796390156,1,0.9696260869458927,28,-11.496519220865576,-3.892163347600385,-5.14885479313182,0,0.7648135115395661,0.12,0.05
