rule_name,year,trades,win_rate,total_r,avg_r,pf,max_dd_r,max_losing_streak
T5_SAFE_LIVE_GUARD,2024,3,66.66666666666666,2.97364603076447,0.9912153435881567,3.9617456046400963,1.0040180446645146,1
T5_SAFE_LIVE_GUARD,2025,2,100.0,3.948299551308263,1.9741497756541315,inf,0.0,0
T5_SAFE_LIVE_GUARD,2026,2,100.0,0.7699405397873264,0.3849702698936632,inf,0.0,0
T5_WIDTH5_GUARD,2015,4,25.0,-1.0806398949120364,-0.2701599737280091,0.6479073172315514,2.0621908546804613,2
T5_WIDTH5_GUARD,2016,6,66.66666666666666,6.660792742413295,1.1101321237355493,6.18021463124513,1.0058439785960611,2
T5_WIDTH5_GUARD,2017,2,50.0,0.9621746282975827,0.48108731414879136,1.951024015420855,1.011724848895423,1
T5_WIDTH5_GUARD,2018,1,0.0,-0.022104668109996,-0.022104668109996,0.0,0.0,1
T5_WIDTH5_GUARD,2019,2,100.0,3.959214556273521,1.9796072781367604,inf,0.0,0
T5_WIDTH5_GUARD,2020,1,100.0,2.0083771993652144,2.0083771993652144,inf,0.0,0
T5_WIDTH5_GUARD,2021,3,66.66666666666666,2.9632734548464676,0.9877578182821559,3.9419342099261807,0.0,1
T5_WIDTH5_GUARD,2022,3,66.66666666666666,2.973500907625328,0.9911669692084426,3.95915017222229,1.0048496137633531,1
T5_WIDTH5_GUARD,2023,2,100.0,3.982487104167128,1.991243552083564,inf,0.0,0
T5_WIDTH5_GUARD,2024,3,66.66666666666666,2.97364603076447,0.9912153435881567,3.9617456046400963,1.0040180446645146,1
T5_WIDTH5_GUARD,2025,3,100.0,5.9375563837956316,1.9791854612652104,inf,0.0,0
T5_WIDTH5_GUARD,2026,2,100.0,0.7699405397873264,0.3849702698936632,inf,0.0,0
