trades,win_rate,total_r,pf,max_dd_r,shelf_bars,drop_win,shelf_atr,move_atr,rr
21,38.095238095238095,1.8465739652916922,1.1355628672509592,5.2173985338898685,6,9,3.5,3.5,2.0
16,50.0,3.046281896672406,1.366066744373316,3.096154863708649,6,9,3.5,4.0,1.5
16,43.75,4.046281896672425,1.4284308584004126,3.096154863708649,6,9,3.5,4.0,2.0
123,44.71544715447154,6.476053536762358,1.0904803337806788,18.30423328124036,6,12,2.0,2.0,1.5
117,37.60683760683761,4.1138142488628695,1.0535370142971892,20.41884967146569,6,12,2.0,2.0,2.0
82,39.02439024390244,-7.7996936173434195,0.8518439704853628,12.358426611833659,6,12,2.0,2.5,1.5
78,32.05128205128205,-9.948111145699386,0.8219518631275786,16.7021705309914,6,12,2.0,2.5,2.0
53,35.84905660377358,-9.54460610404319,0.7324441937107425,11.122823181528421,6,12,2.0,3.0,1.5
53,32.075471698113205,-7.5029181438556884,0.8016108798450804,11.364690505069154,6,12,2.0,3.0,2.0
35,37.142857142857146,-4.4336488323366465,0.8079351588916185,6.033755019470224,6,12,2.0,3.5,1.5
35,31.428571428571427,-4.891960872149148,0.8061053845695154,7.399387810563423,6,12,2.0,3.5,2.0
20,40.0,-1.1538335121769099,0.9080303899287341,4.143122536869741,6,12,2.0,4.0,1.5
20,35.0,-0.15383351217689079,0.9887454632988218,4.143122536869741,6,12,2.0,4.0,2.0
156,45.51282051282051,9.14766602315348,1.1025291124100722,15.68891536906842,6,12,2.5,2.0,1.5
148,38.513513513513516,5.201297705300744,1.0544078423450902,19.771256967957946,6,12,2.5,2.0,2.0
103,42.71844660194174,-1.1108232082824365,0.9820435414070877,10.538412525243745,6,12,2.5,2.5,1.5
97,35.051546391752574,-6.372396550660877,0.9037563207662483,13.628991706322164,6,12,2.5,2.5,2.0
66,40.909090909090914,-3.600890759256362,0.9117466056559529,8.423974001272956,6,12,2.5,3.0,1.5
66,34.84848484848485,-4.059202799068858,0.9100070070233237,10.423974001272963,6,12,2.5,3.0,2.0
44,40.909090909090914,-1.3392494564631259,0.9507696276192311,4.958671306767225,6,12,2.5,3.5,1.5
44,31.818181818181817,-5.297561496275627,0.8318648835714266,6.866174365327491,6,12,2.5,3.5,2.0
24,45.83333333333333,2.152805922175679,1.1586482815757273,5.16719854906398,6,12,2.5,4.0,1.5
24,37.5,1.6528059221756979,1.1048115538390408,5.167198549063981,6,12,2.5,4.0,2.0
161,45.3416149068323,7.839897870934357,1.0848639331159973,13.777168816793974,6,12,3.0,2.0,1.5
154,38.311688311688314,3.3000290865855137,1.033074017748729,17.823857629624285,6,12,3.0,2.0,2.0
110,44.54545454545455,2.7919561506564334,1.0436467530627809,9.07128259000008,6,12,3.0,2.5,1.5
104,36.53846153846153,-3.4696171917220076,0.9499572780351039,11.711180732494817,6,12,3.0,2.5,2.0
69,40.57971014492754,-4.238816580978693,0.9012087024625723,6.956844066029292,6,12,3.0,3.0,1.5
69,34.78260869565217,-4.197128620791192,0.9110981646293236,8.608140781805462,6,12,3.0,3.0,2.0
45,40.0,-2.3649595497852376,0.9162236284114436,5.136094662487187,6,12,3.0,3.5,1.5
45,31.11111111111111,-6.32327158959774,0.8056379821287828,7.201928095964681,6,12,3.0,3.5,2.0
24,45.83333333333333,2.152805922175679,1.1586482815757273,5.16719854906398,6,12,3.0,4.0,1.5
24,37.5,1.6528059221756979,1.1048115538390408,5.167198549063981,6,12,3.0,4.0,2.0
162,45.67901234567901,9.309931000560368,1.1007764864737892,12.307135687167964,6,12,3.5,2.0,1.5
155,38.70967741935484,5.270062216211523,1.052818362112145,15.853824499998275,6,12,3.5,2.0,2.0
111,45.04504504504504,4.261989280282444,1.066627834978343,8.663979075484878,6,12,3.5,2.5,1.5
105,37.142857142857146,-1.499584062095999,0.9783713118376569,11.711180732494817,6,12,3.5,2.5,2.0
70,41.42857142857143,-2.7687834513526814,0.9354697933883864,6.2743303041623,6,12,3.5,3.0,1.5
70,35.714285714285715,-2.22709549116518,0.9528265882228265,8.608140781805462,6,12,3.5,3.0,2.0
45,40.0,-2.3649595497852376,0.9162236284114436,5.136094662487187,6,12,3.5,3.5,1.5
45,31.11111111111111,-6.32327158959774,0.8056379821287828,7.201928095964681,6,12,3.5,3.5,2.0
24,45.83333333333333,2.152805922175679,1.1586482815757273,5.16719854906398,6,12,3.5,4.0,1.5
24,37.5,1.6528059221756979,1.1048115538390408,5.167198549063981,6,12,3.5,4.0,2.0
