rule,exit,notes,all_trades,all_win_rate,all_total_r,all_avg_r,all_pf,all_max_dd_r,all_max_losing_streak,train_trades,train_win_rate,train_total_r,train_avg_r,train_pf,train_max_dd_r,train_max_losing_streak,test_trades,test_win_rate,test_total_r,test_avg_r,test_pf,test_max_dd_r,test_max_losing_streak,oos_trades,oos_win_rate,oos_total_r,oos_avg_r,oos_pf,oos_max_dd_r,oos_max_losing_streak,test_positive,oos_nonnegative,score
R1_hv_core,fixed_2R,rebreak + ADX>=25 + BB幅7-10ATR + BB位置0-0.25。,11,54.54545454545454,7.68756188913682,0.6988692626488018,4.57721597939473,1.7982987088920037,2,9,66.66666666666666,9.485860598028824,1.0539845108920916,28.04557316850369,0.1005891638318257,1,2,0.0,-1.7982987088920037,-0.8991493544460019,0.0,1.003483440126029,2,0,0.0,0.0,0.0,,0.0,0,False,True,9.432271570325351
R4_gbp_aud_adx_rebreak,fixed_2R_max48,GBPJPY/AUDJPY + ADX>=25 + rebreak。,20,65.0,7.246740064260011,0.36233700321300055,3.459241555015768,2.1149914817534388,4,12,83.33333333333334,9.317171772211827,0.7764309810176523,21.885954945853552,0.22825985012742198,1,7,28.57142857142857,-2.1149914817534397,-0.3021416402504914,0.15422003882315566,1.94528100005396,4,1,100.0,0.04455977380162241,0.04455977380162241,inf,0.0,0,False,True,9.104932394096917
R4_gbp_aud_adx_rebreak,fixed_2R_no_progress12,GBPJPY/AUDJPY + ADX>=25 + rebreak。,20,65.0,4.731280569096525,0.23656402845482627,3.0887643385526036,1.5246933557123157,3,12,83.33333333333334,4.580447411396342,0.38170395094969517,43.48318952492927,0.06808702422530177,1,7,28.57142857142857,0.049186129206091334,0.007026589886584477,1.02279994134507,1.524693355712316,3,1,100.0,0.10164702849409336,0.10164702849409336,inf,0.0,0,True,True,9.043001569233088
R2_hv_adx_width,fixed_2R,ADX>=25 + BB幅7-10ATR。rebreak限定なし。,16,56.25,8.097314999316147,0.5060821874572592,2.947770251006745,2.650188280372447,2,12,66.66666666666666,10.747503279688594,0.8956252733073828,8.928775599889176,1.1053590474996433,2,2,0.0,-1.7982987088920037,-0.8991493544460019,0.0,1.003483440126029,2,2,50.0,-0.8518895714804433,-0.42594478574022165,0.1510123495718915,1.003418095717731,1,False,False,8.950482226140824
R7_gbp_only_adx,BE_after_1R_to_2R,GBPJPY専用 + ADX>=25。,13,53.84615384615385,6.429248084452251,0.49455754495786547,3.2184483604005827,1.7374487330652038,2,9,66.66666666666666,8.166696817517455,0.9074107575019394,9.093001818974454,1.0054709658059806,2,2,0.0,-1.261629754510381,-0.6308148772551905,0.0,0.25695989986948575,2,2,50.0,-0.4758189785548235,-0.23790948927741176,0.24153841939736048,0.6273475027921113,1,False,False,8.619932481303769
R3_gbp_aud_adx,fixed_2R_no_progress12,GBPJPY/AUDJPY + ADX>=25。,25,64.0,5.019079524717664,0.20076318098870655,2.7683138077330254,1.5905651822002023,2,14,85.71428571428571,5.035765221999459,0.35969751585710424,47.706216470681554,0.06808702422530177,1,8,37.5,0.45489957515490975,0.05686244689436372,1.2108660266387612,1.1189799097634974,2,3,33.33333333333333,-0.4715852724367057,-0.15719509081223523,0.1773225764302564,0.36098296012189246,1,True,False,7.916860786356516
R8_gbp_only_slow,half_1R_trail1ATR_rest_2R,GBPJPY専用 + signal_recovery_bars>16。,14,57.14285714285714,3.9819335675462426,0.28442382625330304,1.967470317453668,2.0175331103144574,2,7,71.42857142857143,3.152118000790896,0.45030257154155656,2.5623624636819957,2.0175331103144574,2,5,40.0,1.3056345453101719,0.2611269090620344,1.8876196136528136,1.0075554564855833,2,2,50.0,-0.4758189785548235,-0.23790948927741176,0.24153841939736048,0.6273475027921113,1,True,False,7.623838245621625
R7_gbp_only_adx,half_1R_BE_rest_2R,GBPJPY専用 + ADX>=25。,13,69.23076923076923,5.8236823643739495,0.4479755664903038,3.0140097796117344,1.7374487330652038,2,9,88.88888888888889,7.561131097439153,0.8401256774932393,8.541457817084089,1.0026086840014539,1,2,0.0,-1.261629754510381,-0.6308148772551905,0.0,0.25695989986948575,2,2,50.0,-0.4758189785548235,-0.23790948927741176,0.24153841939736048,0.6273475027921113,1,False,False,7.5770182880988095
R5_gbp_aud_atr80_rebreak,fixed_1_5R,GBPJPY/AUDJPY + ATR percentile>=80 + rebreak。,17,52.94117647058824,6.843717701607188,0.4025716295063052,2.254207131748846,3.060079409168643,4,10,70.0,7.924324467830133,0.7924324467830133,6.692088125906737,1.0026086840014539,2,7,28.57142857142857,-1.080606766222945,-0.15437239517470644,0.7341317169458957,3.0600794091686443,4,0,0.0,0.0,0.0,,0.0,0,False,True,7.418845038344118
R2_hv_adx_width,fixed_1_5R,ADX>=25 + BB幅7-10ATR。rebreak限定なし。,16,56.25,7.001718423865082,0.4376074014915676,2.684229754317575,2.6501882803724452,2,12,66.66666666666666,9.651906704237529,0.8043255586864607,8.120519098942077,1.1053590474996433,2,2,0.0,-1.7982987088920015,-0.8991493544460007,0.0,1.0034834401260293,2,2,50.0,-0.8518895714804433,-0.42594478574022165,0.15101234957189155,1.003418095717731,1,False,False,7.248971224172138
R6_macd_turn_rebreak,BE_after_1R_to_2R,rebreak + MACD slope3>0。売り遅れを避ける仮説。,29,37.93103448275862,6.858019223777916,0.2364834215095833,1.6625225605797591,5.701684212995481,5,15,46.666666666666664,7.6129191027773135,0.5075279401851542,3.3546667932234255,1.1734527307274876,3,13,30.76923076923077,0.2485182167183324,0.019116785901410187,1.0406418380469096,4.6982661172777505,5,1,0.0,-1.003418095717731,-1.003418095717731,0.0,0.0,1,True,False,7.080146742434671
