structure,filter,target_model,trades,win_rate,total_r,avg_r,pf,max_dd_r,max_losing_streak,avg_planned_rr,median_planned_rr,avg_hold_bars,tp_rate
ihs_5pivot,strict_synapse,fixed_1_5R,5,40.0,0.03153411915958748,0.006306823831917496,1.0182226107694325,0.6794859626687948,2,1.5000000000000002,1.5,49.0,20.0
role_ab_5pivot,diag_break,fixed_2R,21,47.61904761904761,-0.24555511958568021,-0.011693100932651438,0.9749674241419201,4.230984101855685,3,2.0,2.0,39.04761904761905,14.285714285714285
role_ab_5pivot,observe_loose,half_wave,2,50.0,-0.37631891380167304,-0.18815945690083652,0.6249238392630834,0.0,1,0.8307099417975387,0.8307099417975387,2.5,50.0
classic_6pivot,strict_synapse,fixed_1_5R,1,0.0,-1.0035367627326173,-1.0035367627326173,0.0,0.0,1,1.5000000000000016,1.5000000000000016,34.0,0.0
classic_6pivot,strict_synapse,fixed_2R,1,0.0,-1.0035367627326173,-1.0035367627326173,0.0,0.0,1,2.0,2.0,34.0,0.0
classic_6pivot,context,fixed_2R,5,20.0,-2.0664844642313405,-0.4132968928462681,0.48716996773328136,4.02956990466693,4,2.0,2.0,16.8,20.0
classic_6pivot,context,fixed_1_5R,5,20.0,-2.5664844642313493,-0.5132968928462699,0.3630872462942208,4.029569904666931,4,1.499999999999999,1.5,16.4,20.0
classic_6pivot,diag_break,fixed_1_5R,8,25.0,-3.0837450811996447,-0.3854681351499556,0.48943466968642163,4.5468305216352265,4,1.4999999999999996,1.5,21.125,25.0
classic_6pivot,diag_break,fixed_2R,8,25.0,-3.362346147247458,-0.42029326840593223,0.4433076255997941,5.325431587683047,4,2.0,2.0,25.25,12.5
role_ab_5pivot,basic_role,fixed_2R,38,42.10526315789473,-5.662802244238539,-0.14902111169048787,0.7254354392346274,7.755012971456532,4,2.0,2.0,34.8421052631579,10.526315789473683
