symbol,timeframe,filter,filter_description,box_bars,box_atr,signal_i,signal_time,direction,close,p0,p1,p2,wave1_atr,retrace,recovery,wave1_bars,adjust_bars,adjust_ratio,setup_age,box_high,box_low,box_width_atr,chase_atr,signal_body_ratio,ema_ok,upper_align,upper_oppose,upper_context,stop,pivots,entry_hour
GBPJPY,H1,gbpjpy_lenient_source,GBPJPY source candidates before personality filters,6,2.0,57097,2023-04-19 00:00:00,long,166.77,166.15,166.98,166.39,4.542063212808995,0.7108433734939936,0.6440677966102062,8,7,0.875,8,166.67,166.46,1.1491967164937522,0.5472365316638693,0.3333333333333333,True,1,0,H4順,166.35345273233276,57071-57079-57086,1
GBPJPY,H1,gbpjpy_lenient_source,GBPJPY source candidates before personality filters,6,2.0,57241,2023-04-27 01:00:00,long,166.68,166.0,166.98,166.24,3.5259451786968166,0.7551020408163147,0.5945945945946071,2,3,1.5,5,166.65,166.36,1.0433919406347545,0.10793709730705062,0.4705882352941472,True,1,0,H4順,166.18441206823516,57228-57230-57233,2
GBPJPY,H1,gbpjpy_lenient_source,GBPJPY source candidates before personality filters,6,2.0,57573,2023-05-17 00:00:00,long,170.47,169.93,170.8,170.05,3.9929224851607947,0.8620689655172369,0.5599999999999833,1,6,6.0,4,170.35,170.07,1.2850785009712888,0.5507479289877139,0.9444444444444883,True,1,0,H4順,170.00642289559926,57559-57560-57566,1
GBPJPY,H1,gbpjpy_lenient_source,GBPJPY source candidates before personality filters,6,2.0,57733,2023-05-25 17:00:00,long,172.6,171.82,172.73,172.05,3.020554250706836,0.7472527472527263,0.8088235294117653,11,4,0.36363636363636365,3,172.57,172.05,1.7260310004038524,0.09957871156176797,0.7241379310345301,True,1,0,H4順,171.9897461575281,57712-57723-57727,18
GBPJPY,H1,gbpjpy_lenient_source,GBPJPY source candidates before personality filters,6,2.0,57786,2023-05-29 23:00:00,short,173.24,173.91,172.92,173.58,5.948047559075128,0.6666666666666858,0.5151515151515008,13,10,0.7692307692307693,0,173.58,173.26,1.9226012312163152,0.12016257695090231,0.3571428571426976,True,0,1,H4逆,173.6132882341699,57760-57773-57783,0
GBPJPY,H1,gbpjpy_lenient_source,GBPJPY source candidates before personality filters,6,2.0,58292,2023-06-28 05:00:00,long,183.42,182.55,183.73,183.08,5.361776701315373,0.5508474576271094,0.5230769230769029,7,6,0.8571428571428571,3,183.35,183.08,1.2268472113178641,0.3180714992305478,0.5238095238095013,True,1,0,H4順,183.03598473917387,58273-58280-58286,6
GBPJPY,H1,gbpjpy_lenient_source,GBPJPY source candidates before personality filters,6,2.0,58365,2023-07-03 07:00:00,short,183.15,183.84,183.09,183.72,2.7919414866090304,0.839999999999994,0.9047619047619004,4,7,1.75,3,183.72,183.2,1.9357460973822993,0.18612943244053856,0.5405405405405447,True,0,1,H4逆,183.77372605433152,58348-58352-58359,8
GBPJPY,H1,gbpjpy_lenient_source,GBPJPY source candidates before personality filters,6,2.0,58522,2023-07-11 21:00:00,short,181.2,181.74,180.77,181.58,3.5409988511773647,0.8350515463917559,0.469135802469164,1,12,12.0,1,181.58,181.26,1.1681645694606542,0.21903085677386616,0.5357142857143038,True,1,0,H4順,181.63478680116927,58505-58506-58518,22
GBPJPY,H1,gbpjpy_lenient_source,GBPJPY source candidates before personality filters,6,2.0,58647,2023-07-19 03:00:00,long,181.54,180.34,181.8,180.92,5.350563390267777,0.6027397260274103,0.7045454545454406,1,6,6.0,6,181.45,180.99,1.6857939448788044,0.32982925008501063,0.5925925925925575,True,0,0,H4中立,180.8654263077172,58631-58632-58638,4
GBPJPY,H1,gbpjpy_lenient_source,GBPJPY source candidates before personality filters,6,2.0,58669,2023-07-20 01:00:00,short,180.24,181.59,179.79,180.79,6.999197185198254,0.555555555555552,0.549999999999983,10,5,0.5,4,180.72,180.28,1.710914867492887,0.15553771522659593,0.8124999999999889,True,1,0,H4順,180.84143447033628,58647-58657-58662,2
GBPJPY,H1,gbpjpy_lenient_source,GBPJPY source candidates before personality filters,6,2.0,59321,2023-08-28 11:00:00,long,184.49,183.77,184.61,184.15,4.6158046225015426,0.5476190476190549,0.7391304347826033,10,7,0.7,1,184.48,184.15,1.8133518159826543,0.05495005502988625,0.6315789473684525,True,1,0,H4順,184.11360331215474,59300-59310-59317,12
GBPJPY,H1,gbpjpy_lenient_source,GBPJPY source candidates before personality filters,6,2.0,59429,2023-09-04 01:00:00,long,184.17,183.51,184.28,183.81,3.721167029680752,0.6103896103896008,0.765957446808481,3,7,2.3333333333333335,0,184.14,183.81,1.5947858698630812,0.14498053362392896,0.5555555555555205,True,0,1,H4逆,183.76861513370088,59416-59419-59426,2
GBPJPY,H1,gbpjpy_lenient_source,GBPJPY source candidates before personality filters,6,2.0,59571,2023-09-12 00:00:00,long,183.58,182.67,183.87,183.21,5.03440481757792,0.5499999999999894,0.5606060606060704,3,8,2.6666666666666665,5,183.53,183.25,1.1746944574348361,0.20976686739912473,0.9166666666666666,True,0,1,H4逆,183.16232802909255,59552-59555-59563,1
GBPJPY,H1,gbpjpy_lenient_source,GBPJPY source candidates before personality filters,6,2.0,59788,2023-09-25 03:00:00,short,181.5,182.01,181.45,181.76,3.0964747900497263,0.5535714285714304,0.8387096774193193,4,5,1.25,2,181.76,181.52,1.3270606243069132,0.11058838535897492,0.6666666666667456,True,1,0,H4順,181.79617016368417,59774-59778-59783,4
