symbol,timeframe,filter,filter_description,box_bars,box_atr,signal_i,signal_time,direction,close,p0,p1,p2,wave1_atr,retrace,recovery,wave1_bars,adjust_bars,adjust_ratio,setup_age,box_high,box_low,box_width_atr,chase_atr,signal_body_ratio,ema_ok,upper_align,upper_oppose,upper_context,stop,pivots,entry_hour,entry_i,entry_time,entry,rr,target,planned_rr,exit_i,exit_time,exit,exit_reason,bars_held,risk,r_clean,r_after_cost,sample,year
GBPJPY,H1,gbpjpy_lenient_source,GBPJPY source candidates before personality filters,6,2.0,35677,2019-10-30 06:00:00,long,140.13,139.45,140.48,139.85,6.900187834477452,0.6116504854368882,0.4444444444444494,5,3,0.6,9,140.06,139.93,0.87089749367188,0.4689448042848291,0.47058823529398,True,1,0,H4順,139.82014574024046,35657-35662-35665,7,35678,2019-10-30 07:00:00,140.12,1.5,140.56978138963933,1.5000000000000473,35702,2019-10-31 07:00:00,140.56978138963933,TP,24,0.2998542597595417,1.5000000000000473,1.433300930872198,IS_2014_2024,2019
GBPJPY,H1,gbpjpy_lenient_source,GBPJPY source candidates before personality filters,6,2.0,37505,2020-02-19 01:00:00,long,142.96,142.29,143.2,142.72,6.3093014941888645,0.5274725274725182,0.5000000000000296,7,3,0.4285714285714285,4,142.9,142.73,1.1786607186947378,0.4159979007157666,0.6111111111111638,True,1,0,H4順,142.69115370058515,37488-37495-37498,2,37506,2020-02-19 02:00:00,142.97,1.5,143.38826944912228,1.5,37513,2020-02-19 09:00:00,143.38826944912228,TP,7,0.27884629941485173,1.5,1.428275899511842,IS_2014_2024,2020
GBPJPY,H1,gbpjpy_lenient_source,GBPJPY source candidates before personality filters,6,2.0,40433,2020-08-10 23:00:00,long,138.56,138.19,138.6,138.35,3.056169563120271,0.6097560975609807,0.8400000000000318,3,4,1.3333333333333333,2,138.52,138.35,1.267192257879266,0.2981628842067989,0.8888888888889942,True,1,0,H4順,138.32316902799192,40421-40424-40428,0,40434,2020-08-11 00:00:00,138.56,1.5,138.91524645801212,1.5,40443,2020-08-11 09:00:00,138.91524645801212,TP,9,0.2368309720080788,1.5,1.4155515858825274,IS_2014_2024,2020
GBPJPY,H1,gbpjpy_lenient_source,GBPJPY source candidates before personality filters,6,2.0,42343,2020-12-01 01:00:00,long,139.35,138.46,139.43,138.94,4.780408829273968,0.5051546391752677,0.8367346938775285,5,7,1.4,1,139.23,138.94,1.4291943922571282,0.5913907830029882,0.9230769230767886,True,1,0,H4順,138.89941769691077,42327-42332-42339,2,42344,2020-12-01 02:00:00,139.34,1.5,140.00087345463385,1.5,42357,2020-12-01 15:00:00,140.00087345463385,TP,13,0.4405823030892293,1.5,1.4546055303180634,IS_2014_2024,2020
GBPJPY,H1,gbpjpy_lenient_source,GBPJPY source candidates before personality filters,6,2.0,43368,2021-02-01 01:00:00,long,143.71,142.97,143.91,143.36,5.2351209508537275,0.5851063829787067,0.6363636363636458,6,7,1.1666666666666667,2,143.63,143.36,1.503704953968526,0.4455422085833667,0.7692307692307524,True,1,0,H4順,143.3240886998095,43350-43356-43363,2,43369,2021-02-01 02:00:00,143.71,1.5,144.28886695028578,1.5,43386,2021-02-01 19:00:00,143.3240886998095,SL,17,0.38591130019051434,-1.0,-1.051825380573485,IS_2014_2024,2021
GBPJPY,H1,gbpjpy_lenient_source,GBPJPY source candidates before personality filters,6,2.0,44352,2021-03-30 00:00:00,long,151.39,150.57,151.77,151.03,6.65470206783572,0.6166666666666655,0.4864864864864605,7,9,1.2857142857142858,2,151.3,151.03,1.4973079652630723,0.4991026550875332,0.6666666666665088,True,1,0,H4順,150.993935275005,44331-44338-44347,1,44353,2021-03-30 01:00:00,151.38,1.5,151.95909708749252,1.5000000000000369,44374,2021-03-30 22:00:00,151.95909708749252,TP,21,0.3860647249950091,1.5000000000000369,1.4481952151929287,IS_2014_2024,2021
GBPJPY,H1,gbpjpy_lenient_source,GBPJPY source candidates before personality filters,6,2.0,47161,2021-09-10 00:00:00,long,152.01,151.39,152.12,151.72,5.674562055434157,0.5479452054794461,0.7249999999999698,7,5,0.7142857142857143,4,151.92,151.74,1.3992070821616442,0.6996035410809326,1.0,True,1,0,H4順,151.69427114223552,47142-47149-47154,1,47162,2021-09-10 01:00:00,152.01,1.5,152.48359328664668,1.499999999999955,47166,2021-09-10 05:00:00,152.48359328664668,TP,4,0.31572885776446924,1.499999999999955,1.436654507473258,IS_2014_2024,2021
GBPJPY,H1,gbpjpy_lenient_source,GBPJPY source candidates before personality filters,6,2.0,51617,2022-05-31 10:00:00,long,161.62,160.33,161.92,160.94,5.9487494644428995,0.6163522012578649,0.6938775510204224,23,7,0.3043478260869565,2,161.44,160.94,1.8706759322147777,0.6734433355973455,0.6428571428571863,True,1,0,H4順,160.88654338665617,51582-51605-51612,11,51618,2022-05-31 11:00:00,161.63,1.5,162.74518492001573,1.5,51635,2022-06-01 04:00:00,162.74518492001573,TP,17,0.7434566133438238,1.5,1.4730986319295374,IS_2014_2024,2022
GBPJPY,H1,gbpjpy_lenient_source,GBPJPY source candidates before personality filters,6,2.0,54571,2022-11-22 23:00:00,long,167.94,167.32,168.16,167.65,3.933310316339787,0.6071428571428439,0.5686274509803867,3,3,1.0,6,167.9,167.69,0.98332757908498,0.1873004912542375,0.8000000000000285,True,1,0,H4順,167.6072878856514,54556-54559-54562,0,54572,2022-11-23 00:00:00,167.95,1.5,168.46406817152285,1.4999999999999585,54579,2022-11-23 07:00:00,168.46406817152285,TP,7,0.3427121143485863,1.4999999999999585,1.4416419812354424,IS_2014_2024,2022
GBPJPY,H1,gbpjpy_lenient_source,GBPJPY source candidates before personality filters,6,2.0,54890,2022-12-12 07:00:00,long,167.78,166.49,167.99,167.11,5.850321813823696,0.5866666666666637,0.7613636363636261,5,10,2.0,5,167.6,167.21,1.5210836715941078,0.7020386176588701,0.6428571428571429,True,1,0,H4順,167.0587207696351,54867-54872-54882,8,54891,2022-12-12 08:00:00,167.7,1.5,168.66191884554732,1.5,54898,2022-12-12 15:00:00,168.66191884554732,TP,7,0.6412792303648871,1.5,1.4688123378195146,IS_2014_2024,2022
