trades,win_rate,total_r,avg_r,pf,max_dd_r,max_losing_streak,tp_rate,avg_hold_bars,median_hold_bars,candidate,cost_mult
79.0,60.75949367088608,27.831622694104095,0.35229902144435565,1.7628361654899525,4.851549725252328,4.0,60.75949367088608,15.367088607594937,10.0,simple_v04_less_fit,5
79.0,60.75949367088608,14.33216256882275,0.1814197793521867,1.338822687895941,7.831954044502476,4.0,60.75949367088608,15.367088607594937,10.0,simple_v04_less_fit,10
44.0,61.36363636363637,22.192564799537752,0.5043764727167671,2.2786632200773087,4.182526010812811,4.0,61.36363636363637,17.636363636363637,12.0,standard_a_h4_not_oppose,1
44.0,61.36363636363637,20.55404677968999,0.4671374268111361,2.139156420053581,4.365052021625623,4.0,61.36363636363637,17.636363636363637,12.0,standard_a_h4_not_oppose,2
44.0,61.36363636363637,18.915528759842225,0.4298983809055051,2.009885628925437,4.547578032438436,4.0,61.36363636363637,17.636363636363637,12.0,standard_a_h4_not_oppose,3
44.0,61.36363636363637,15.638492720146694,0.35542028909424306,1.777853839910175,5.19051104102993,4.0,61.36363636363637,17.636363636363637,12.0,standard_a_h4_not_oppose,5
44.0,61.36363636363637,7.445902620907875,0.16922505956608805,1.3163029116633316,6.881022082059859,4.0,61.36363636363637,17.636363636363637,12.0,standard_a_h4_not_oppose,10
16.0,62.5,8.784834532257907,0.5490521582661192,2.493661465955875,2.082231339723051,2.0,62.5,19.6875,13.5,standard_h4_and_shallow_compare,1
16.0,62.5,8.23858624513032,0.514911640320645,2.3519395056746895,2.1644626794461024,2.0,62.5,19.6875,13.5,standard_h4_and_shallow_compare,2
16.0,62.5,7.69233795800273,0.4807711223751706,2.219768109483607,2.2466940191691536,2.0,62.5,19.6875,13.5,standard_h4_and_shallow_compare,3
16.0,62.5,6.599841383747551,0.4124900864842219,1.9804591703166443,2.411156698615256,2.0,62.5,19.6875,13.5,standard_h4_and_shallow_compare,5
16.0,62.5,3.868599948109606,0.24178749675685038,1.496366417345062,2.822313397230512,2.0,62.5,19.6875,13.5,standard_h4_and_shallow_compare,10
25.0,68.0,17.04573562783832,0.6818294251135327,3.1473503517950125,3.1109783042280323,3.0,68.0,16.2,9.0,standard_shallow_no_h4,1
25.0,68.0,16.26038843629121,0.6504155374516484,2.9812474573858334,3.2219566084560647,3.0,68.0,16.2,9.0,standard_shallow_no_h4,2
25.0,68.0,15.475041244744094,0.6190016497897638,2.825691839533596,3.3329349126840953,3.0,68.0,16.2,9.0,standard_shallow_no_h4,3
25.0,68.0,13.904346861649872,0.5561738744659949,2.5424439471675413,3.554891521140158,3.0,68.0,16.2,9.0,standard_shallow_no_h4,5
25.0,68.0,9.977610903914313,0.3991044361565725,1.9630838561548412,4.109783042280316,3.0,68.0,16.2,9.0,standard_shallow_no_h4,10
23.0,69.56521739130434,16.60756904043256,0.7220682191492417,3.4057228391966707,2.0822313397230516,2.0,69.56521739130434,16.043478260869566,9.0,standard_wave1_quality_shallow,1
23.0,69.56521739130434,15.884055261479684,0.6906110983252036,3.225342861689406,2.1644626794461024,2.0,69.56521739130434,16.043478260869566,9.0,standard_wave1_quality_shallow,2
23.0,69.56521739130434,15.160541482526812,0.6591539775011658,3.0564352826649173,2.246694019169154,2.0,69.56521739130434,16.043478260869566,9.0,standard_wave1_quality_shallow,3
23.0,69.56521739130434,13.713513924621065,0.5962397358530898,2.7489211575324712,2.4111566986152555,2.0,69.56521739130434,16.043478260869566,9.0,standard_wave1_quality_shallow,5
23.0,69.56521739130434,10.0959450298567,0.43895413173290004,2.120111666910213,2.822313397230512,2.0,69.56521739130434,16.043478260869566,9.0,standard_wave1_quality_shallow,10
