symbol,timeframe,filter,filter_description,box_bars,box_atr,signal_i,signal_time,direction,close,p0,p1,p2,wave1_atr,retrace,recovery,wave1_bars,adjust_bars,adjust_ratio,setup_age,box_high,box_low,box_width_atr,chase_atr,signal_body_ratio,ema_ok,upper_align,upper_oppose,upper_context,stop,pivots,entry_i,entry_time,entry,target_model,target,planned_rr,exit_i,exit_time,exit,exit_reason,bars_held,risk,r_clean,r_after_cost,sample,year,month,hour
USDJPY,H1,base,50%-88.6%戻し + 圧縮ボックス再ブレイク。上位足は問わない。,8,2.0,21818,2017-07-04 20:00:00,long,113.277,112.058,113.471,112.74,13.325682034185055,0.5173389950460088,0.7346101231190146,23,10,0.4347826086956521,11,113.264,113.116,1.3957543814998878,0.1226000470236913,0.3499999999999644,True,1,0,H4順,112.71879283032004,21771-21794-21804,21819,2017-07-04 21:00:00,113.274,fixed_1_5R,114.10681075451994,1.5,21885,2017-07-07 15:00:00,114.10681075451994,TP,66,0.5552071696799601,1.5,1.4819887052147485,IS_2014_2024,2017,7,21
USDJPY,H1,base,50%-88.6%戻し + 圧縮ボックス再ブレイク。上位足は問わない。,8,2.0,23580,2017-10-16 06:00:00,short,111.81,112.262,111.686,112.078,4.698563503755177,0.6805555555555562,0.683673469387764,1,12,12.0,2,112.078,111.838,1.95773479323142,0.2284023925435884,0.4676616915422745,True,1,0,H4順,112.1025181319584,23562-23563-23575,23581,2017-10-16 07:00:00,111.81,fixed_1_5R,111.3712228020624,1.5000000000000242,23592,2017-10-16 18:00:00,112.1025181319584,SL,11,0.2925181319584027,-1.0,-1.0341859150167585,IS_2014_2024,2017,10,7
USDJPY,H1,base,50%-88.6%戻し + 圧縮ボックス再ブレイク。上位足は問わない。,8,2.0,25193,2018-01-19 03:00:00,short,110.834,111.355,110.691,111.203,3.6810486722889553,0.7710843373493965,0.7207031249999989,6,4,0.6666666666666666,4,111.203,110.847,1.9735742881549656,0.0720687240056073,0.6532258064516056,True,1,0,H4順,111.23907667592113,25176-25182-25186,25194,2018-01-19 04:00:00,110.834,fixed_1_5R,110.22638498611836,1.4999999999999825,25261,2018-01-23 23:00:00,110.22638498611836,TP,67,0.4050766759211086,1.4999999999999825,1.4753133157389058,IS_2014_2024,2018,1,4
USDJPY,H1,base,50%-88.6%戻し + 圧縮ボックス再ブレイク。上位足は問わない。,8,2.0,25562,2018-02-09 12:00:00,short,108.8,109.765,108.492,109.309,5.433762795736393,0.6417910447761159,0.6230110159118785,11,9,0.8181818181818182,1,109.309,108.851,1.9549594347582615,0.21769198945999,0.7209302325581357,True,1,0,H4順,109.35585519216993,25538-25549-25558,25563,2018-02-09 13:00:00,108.8,fixed_1_5R,107.96621721174512,1.5000000000000129,25605,2018-02-13 07:00:00,107.96621721174512,TP,42,0.5558551921699149,1.5000000000000129,1.4820097029930648,IS_2014_2024,2018,2,13
USDJPY,H1,base,50%-88.6%戻し + 圧縮ボックス再ブレイク。上位足は問わない。,8,2.0,26069,2018-03-12 14:00:00,short,106.426,106.972,106.354,106.731,4.26437727190665,0.6100323624595443,0.8090185676392477,3,2,0.6666666666666666,5,106.731,106.459,1.8768780225867012,0.2277094659756083,0.6125000000000067,True,1,0,H4順,106.759984302307,26056-26059-26061,26070,2018-03-12 15:00:00,106.423,fixed_1_5R,105.91752354653951,1.500000000000021,26083,2018-03-13 04:00:00,106.759984302307,SL,13,0.3369843023069876,-1.0,-1.0296749727851746,IS_2014_2024,2018,3,15
USDJPY,H1,base,50%-88.6%戻し + 圧縮ボックス再ブレイク。上位足は問わない。,8,2.0,26878,2018-04-27 07:00:00,long,109.393,109.066,109.419,109.144,2.9880763982029364,0.7790368271954555,0.9054545454545562,6,7,1.1666666666666667,2,109.347,109.144,1.718355549108136,0.3893810603891122,0.3930131004366974,True,1,0,H4順,109.12037275939716,26860-26866-26873,26879,2018-04-27 08:00:00,109.392,fixed_1_5R,109.79944086090424,1.5000000000000262,26885,2018-04-27 14:00:00,109.12037275939716,SL,6,0.2716272406028253,-1.0,-1.0368151588102792,IS_2014_2024,2018,4,8
USDJPY,H1,base,50%-88.6%戻し + 圧縮ボックス再ブレイク。上位足は問わない。,8,2.0,27754,2018-06-18 19:00:00,long,110.571,110.3,110.615,110.377,3.1688372611526576,0.7555555555555595,0.8151260504201806,6,7,1.1666666666666667,2,110.524,110.377,1.478790721871307,0.4728106389656083,0.6451612903225806,True,1,0,H4順,110.35711889068196,27736-27742-27749,27755,2018-06-18 20:00:00,110.571,fixed_1_5R,110.89182166397704,1.4999999999999667,27758,2018-06-18 23:00:00,110.35711889068196,SL,3,0.2138811093180237,-1.0,-1.046754947325066,IS_2014_2024,2018,6,20
USDJPY,H1,base,50%-88.6%戻し + 圧縮ボックス再ブレイク。上位足は問わない。,8,2.0,30474,2018-11-23 04:00:00,short,112.902,113.077,112.884,113.009,3.023076862293923,0.6476683937823907,0.8559999999999945,3,15,5.0,0,113.009,112.919,1.4097249616915355,0.2662813816527714,0.3770491803277619,True,1,0,H4順,113.02176844809388,30453-30456-30471,30475,2018-11-23 05:00:00,112.903,fixed_1_5R,112.7248473278592,1.5,30483,2018-11-23 13:00:00,112.7248473278592,TP,8,0.1187684480938742,1.5,1.415802553957033,IS_2014_2024,2018,11,5
USDJPY,H1,base,50%-88.6%戻し + 圧縮ボックス再ブレイク。上位足は問わない。,8,2.0,30599,2018-11-30 09:00:00,long,113.492,113.191,113.555,113.317,3.894356206655987,0.6538461538461838,0.7352941176470641,6,3,0.5,8,113.485,113.342,1.5299256526148413,0.0748914655126677,0.872093023255862,True,1,0,H4順,113.29830628115744,30579-30585-30588,30600,2018-11-30 10:00:00,113.492,fixed_1_5R,113.78254057826383,1.4999999999999634,30613,2018-12-02 23:00:00,113.78254057826383,TP,13,0.1936937188425673,1.4999999999999634,1.4483720997265486,IS_2014_2024,2018,11,10
USDJPY,H1,base,50%-88.6%戻し + 圧縮ボックス再ブレイク。上位足は問わない。,8,2.0,34171,2019-07-01 16:00:00,long,108.476,108.102,108.533,108.219,3.4935097081424864,0.7285382830626661,0.8184713375796151,6,2,0.3333333333333333,4,108.455,108.219,1.9129194689597369,0.1702174103735393,0.5841584158415647,True,1,0,H4順,108.1943256732623,34156-34162-34164,34172,2019-07-01 17:00:00,108.477,fixed_1_5R,108.90101149010655,1.499999999999975,34191,2019-07-02 12:00:00,108.1943256732623,SL,19,0.2826743267377054,-1.0,-1.0353763998145822,IS_2014_2024,2019,7,17
