timeframe,family,strategy,year,trades,win_rate,total_r_after_cost,avg_r_after_cost,pf_after_cost,max_dd_r,max_losing_streak,avg_hold_bars
H4,V字フィボ,VFIB_100_RR2,2022,52,36.53846153846153,-0.4542263494478034,-0.00873512210476545,0.9843557665014154,7.283341728953923,4,89.92307692307692
H4,V字フィボ,VFIB_786_RR3,2015,62,33.87096774193548,-0.6040522217680162,-0.009742777770451874,0.9838064871738099,13.306420063003397,6,107.74193548387096
D1,エリオット風5波目,ELLIOTT_W5_RR3_LOOSE,2015,5,20.0,-0.6115454703025878,-0.12230909406051756,0.8295559594492385,1.5499488841824152,3,24.6
D1,エリオット風5波目,ELLIOTT_W5_RR3_LOOSE,2023,6,33.33333333333333,-0.6382298518740595,-0.1063716419790099,0.8416092626502185,2.013234148412552,2,22.5
H4,V字フィボ,VFIB_786_RR3,2018,62,33.87096774193548,-0.6939528234904846,-0.011192787475652978,0.9828397422336279,14.097954010160967,7,93.37096774193549
H4,V字フィボ,VFIB_786_BODY60_RR2,2020,56,37.5,-0.7363766066128283,-0.013149582260943362,0.9766077594917818,6.398512539132392,6,86.83928571428571
H4,V字フィボ,VFIB_100_EXT161,2021,75,69.33333333333334,-0.7475305800549007,-0.00996707440073201,0.9679105094526212,8.633049197959469,6,28.2
H1,V字フィボ,VFIB_618_BODY60_LONG_SPEED030_RR2,2017,105,34.285714285714285,-0.8063480021972251,-0.007679504782830715,0.9887405049712601,13.608649390868901,12,125.54285714285714
H1,エリオット風5波目,ELLIOTT_W5_RR3_LOOSE,2021,47,25.53191489361702,-0.8558728190920766,-0.01821005998068248,0.9762408652810672,13.77024607220276,9,160.10638297872342
D1,エリオット風5波目,ELLIOTT_W5_RR3_LOOSE,2021,8,37.5,-0.917215688525884,-0.1146519610657355,0.8183352916171968,4.045056713761322,4,40.5
H1,エリオット風5波目,ELLIOTT_W5_RR2_LOOSE,2017,53,33.9622641509434,-0.9705449618497841,-0.018312169091505362,0.9729327744990816,15.782356343020428,15,109.22641509433963
D1,V字フィボ,VFIB_618_BODY60_LONG_ATR4_SPEED060_RR2,2019,2,50.0,-0.9962578507728929,-0.49812892538644643,0.016046867279589847,1.0125053903923888,1,46.5
D1,V字フィボ,VFIB_618_BODY60_LONG_ATR4_SPEED060_RR2,2015,2,0.0,-1.0042949881329042,-0.5021474940664521,0.0,1.0023358867410985,2,41.5
D1,エリオット風5波目,ELLIOTT_W5_RR2_STRICT,2015,1,0.0,-1.0054452689602758,-1.0054452689602758,0.0,0.0,1,9.0
D1,エリオット風5波目,ELLIOTT_W5_RR3_STRICT,2015,1,0.0,-1.0054452689602758,-1.0054452689602758,0.0,0.0,1,9.0
H1,V字フィボ,VFIB_100_EXT161,2015,238,70.58823529411765,-1.0207498508920738,-0.004288864919714596,0.9854916607963996,9.567410937475888,4,44.52100840336134
D1,V字フィボ,VFIB_618_BODY60_LONG_RR2,2019,14,42.857142857142854,-1.0405354784273166,-0.07432396274480833,0.8717130467544503,7.101791117166054,7,38.214285714285715
H4,エリオット風5波目,ELLIOTT_W5_RR2_STRICT,2015,7,28.57142857142857,-1.0567534500057194,-0.15096477857224563,0.7914937299450837,2.031533969736551,3,67.85714285714286
D1,V字フィボ,VFIB_100_RR2,2023,15,40.0,-1.0740223662987314,-0.07160149108658209,0.8353721181522982,4.124617963085553,5,48.2
H1,V字フィボ,VFIB_100_BODY60_LONG_STRICTV_RR2,2022,7,28.57142857142857,-1.0762002518454756,-0.15374289312078224,0.7869729360656295,4.038226032379976,4,185.57142857142858
D1,エリオット風5波目,ELLIOTT_W5_RR3_LOOSE,2016,10,20.0,-1.0872902562049904,-0.10872902562049905,0.8460822000546574,4.668046863109201,5,27.6
H4,エリオット風5波目,ELLIOTT_W5_RR2_LOOSE,2020,16,31.25,-1.2026540347832573,-0.07516587717395358,0.8925821635885893,6.1175977710347365,6,25.6875
H4,V字フィボ,VFIB_618_BODY60_LONG_REC1_RR2,2019,40,35.0,-1.2157245472037574,-0.030393113680093935,0.9535576007550747,9.947257069160443,8,62.775
D1,V字フィボ,VFIB_618_BODY50_RR2,2024,23,43.47826086956522,-1.2323795844283565,-0.053581721062102454,0.8976316926494196,8.890595677451518,6,36.21739130434783
H4,エリオット風5波目,ELLIOTT_W5_RR2_LOOSE,2023,13,30.76923076923077,-1.2335474828134312,-0.09488826790872548,0.8652400061958898,8.144642457559549,8,41.15384615384615
H1,V字フィボ,VFIB_100_RR2,2017,122,34.42622950819672,-1.2465105554117644,-0.01021729963452266,0.984840077224338,17.265265149713564,7,204.9016393442623
D1,V字フィボ,VFIB_786_RR2,2024,23,43.47826086956522,-1.2941539018323276,-0.05626756094923163,0.8838851973657466,9.320155124488961,10,41.47826086956522
H4,エリオット風5波目,ELLIOTT_W5_RR3_LOOSE,2015,12,25.0,-1.4065696014227913,-0.11721413345189928,0.8454841718719499,6.06126669900755,6,57.5
D1,V字フィボ,VFIB_786_RR3,2024,23,43.47826086956522,-1.4220313604623305,-0.061827450454883935,0.8724117042601974,9.320155124488961,10,41.78260869565217
H4,エリオット風5波目,ELLIOTT_W5_RR3_STRICT,2021,10,20.0,-1.459129285760485,-0.14591292857604848,0.8035268395967656,7.133401586433903,7,72.8
D1,V字フィボ,VFIB_618_BODY60_LONG_REC1_SPEED030_RR2,2018,8,50.0,-1.5109286423454222,-0.18886608029317778,0.6242081038821634,2.1317882966785158,2,41.375
D1,エリオット風5波目,ELLIOTT_W5_RR2_LOOSE,2015,5,20.0,-1.6094008409111416,-0.3218801681822283,0.5514433586517117,1.5499488841824152,3,24.6
H1,エリオット風5波目,ELLIOTT_W5_RR3_LOOSE,2015,48,25.0,-1.6165728565288022,-0.03367860117768338,0.95653583048049,18.590850010333284,15,138.0
D1,エリオット風5波目,ELLIOTT_W5_RR2_STRICT,2023,3,33.33333333333333,-1.620538147556363,-0.5401793825187876,0.1959310290725028,1.0066145944201639,1,23.666666666666668
D1,エリオット風5波目,ELLIOTT_W5_RR3_STRICT,2023,3,33.33333333333333,-1.620538147556363,-0.5401793825187876,0.1959310290725028,1.0066145944201639,1,23.666666666666668
D1,エリオット風5波目,ELLIOTT_W5_RR2_LOOSE,2023,6,33.33333333333333,-1.6382298518740595,-0.2730383086456766,0.5934373275947011,2.013234148412552,2,18.5
H4,V字フィボ,VFIB_786_EXT127,2016,112,71.42857142857143,-1.6515970111626386,-0.014746401885380702,0.9491372217486665,10.46567121513852,4,22.205357142857142
H4,V字フィボ,VFIB_618_BODY60_LONG_ATR4_SPEED060_RR2,2017,19,31.57894736842105,-1.7064061294949981,-0.08981084892078937,0.8724859660499079,5.138756387280697,5,48.473684210526315
H1,エリオット風5波目,ELLIOTT_W5_RR3_STRICT,2020,29,24.137931034482758,-1.7153142140173254,-0.05914876600059743,0.9242506919454384,8.209552885683463,8,85.89655172413794
D1,V字フィボ,VFIB_786_EARLY1_RR2,2020,32,28.125,-1.720152874870987,-0.05375477733971834,0.8569500269424637,5.39429383998011,11,21.3125
H4,エリオット風5波目,ELLIOTT_W5_RR3_LOOSE,2022,22,27.27272727272727,-1.766396403368047,-0.0802907456076385,0.885579582485319,5.073344125268301,5,71.22727272727273
H1,V字フィボ,VFIB_618_BODY60_LONG_REC1_RR2,2019,119,34.45378151260504,-1.8113104494579073,-0.015221096213931994,0.9777743922052299,20.935199325670972,7,129.05882352941177
D1,エリオット風5波目,ELLIOTT_W5_RR2_LOOSE,2016,10,30.0,-1.9029717562454662,-0.19029717562454662,0.6856789904637616,4.668046863109201,5,27.0
