direction,lookback,pre_bars,sweep_atr,wick_ratio,close_location,range_atr,premove_atr,body_max,h4,rr,max_hold,trades,win_rate,total_r,avg_r,pf,max_dd_r,max_losing_streak,worst_year_r,worst_2y_r,is_trades,is_r,oos_trades,oos_r,score
long,24,6,0.05,0.55,0.75,1.2,1.2,0.5,align,1.2,12,73,58.9041095890411,14.232152304014933,0.194960990465958,1.5412852036217186,3.133440103142295,3,-2.0916079265890635,-2.901917950627783,61,9.79048942905403,12,4.441662874960902,22.236924492994866
long,24,6,0.05,0.55,0.75,1.2,1.2,0.65,align,1.2,12,73,58.9041095890411,14.232152304014933,0.194960990465958,1.5412852036217186,3.133440103142295,3,-2.0916079265890635,-2.901917950627783,61,9.79048942905403,12,4.441662874960902,22.236924492994866
long,48,6,0.05,0.55,0.75,1.2,0.8,0.5,align,1.2,24,37,59.45945945945946,8.881003713124931,0.2400271273817549,1.5697888911871305,4.150357190541927,3,-3.089843659387965,-4.147442786663879,33,5.048729135520625,4,3.8322745776043066,21.35960161318021
long,48,6,0.05,0.55,0.75,1.2,1.2,0.65,align,1.2,24,37,59.45945945945946,8.881003713124931,0.2400271273817549,1.5697888911871305,4.150357190541927,3,-3.089843659387965,-4.147442786663879,33,5.048729135520625,4,3.8322745776043066,21.35960161318021
long,48,6,0.05,0.55,0.75,1.2,1.2,0.5,align,1.2,24,37,59.45945945945946,8.881003713124931,0.2400271273817549,1.5697888911871305,4.150357190541927,3,-3.089843659387965,-4.147442786663879,33,5.048729135520625,4,3.8322745776043066,21.35960161318021
long,48,6,0.05,0.55,0.75,1.2,0.8,0.65,align,1.2,24,37,59.45945945945946,8.881003713124931,0.2400271273817549,1.5697888911871305,4.150357190541927,3,-3.089843659387965,-4.147442786663879,33,5.048729135520625,4,3.8322745776043066,21.35960161318021
long,24,12,0.05,0.55,0.75,1.2,0.8,0.65,align,1.2,24,78,57.692307692307686,16.36501225225009,0.20980784938782165,1.4754698100491663,5.068313716277789,3,-2.0916079265890635,-3.881356668732666,63,13.061956124413273,15,3.3030561278368173,20.67727684457753
long,24,12,0.05,0.55,0.75,1.2,0.8,0.5,align,1.2,24,78,57.692307692307686,16.36501225225009,0.20980784938782165,1.4754698100491663,5.068313716277789,3,-2.0916079265890635,-3.881356668732666,63,13.061956124413273,15,3.3030561278368173,20.67727684457753
long,24,6,0.05,0.55,0.75,1.2,0.8,0.5,align,1.2,24,78,57.692307692307686,16.362839097481086,0.2097799884292447,1.4754066711117,5.068313716277789,3,-2.0916079265890635,-3.881356668732666,63,13.059782969644269,15,3.3030561278368173,20.673693059449118
long,24,6,0.05,0.55,0.75,1.2,0.8,0.65,align,1.2,24,78,57.692307692307686,16.362839097481086,0.2097799884292447,1.4754066711117,5.068313716277789,3,-2.0916079265890635,-3.881356668732666,63,13.059782969644269,15,3.3030561278368173,20.673693059449118
