symbol,preset,trades,win_rate,total_r,avg_r,pf,max_dd_r,max_losing_streak,worst_year_r,worst_2y_r,is_trades,is_r,oos_trades,oos_r,direction,h4,retrace,hours,recovery,body
SILVER,base,190,46.31578947368421,-11.103691383786202,-0.0584404809672958,0.9109706407607681,35.43647827133647,8,-10.000676740115642,-19.13161288547746,174,-24.04081741277119,16,12.937126028984991,both,any,r50_886,none,any,any
AUDJPY,base,130,37.69230769230769,-11.970858199463072,-0.0920835246112544,0.8513259645270397,17.68657476896009,7,-3.519162044943637,-6.166486313771214,126,-11.55958596214264,4,-0.4112722373204326,both,any,r50_886,none,any,any
GBPJPY,base,152,38.15789473684211,-12.74773459087084,-0.08386667493993974,0.8689852921316891,22.65376821366651,10,-8.485775776986399,-9.06204024011653,140,-3.6856943507543094,12,-9.06204024011653,both,any,r50_886,none,any,any
CHFJPY,base,155,37.41935483870968,-19.395205230963725,-0.12513035632879824,0.8051003029415857,32.81477202613869,7,-7.110024633415459,-12.807760250013606,146,-15.61323570789903,9,-3.781969523064692,both,any,r50_886,none,any,any
USDJPY,h4_not_oppose_v04,43,62.7906976744186,23.197504008505938,0.5394768374071148,2.4193924174019323,4.182526010812811,4,-1.2974872543640232,-1.2974872543640232,40,18.763012638769293,3,4.4344913697366435,both,not_oppose,r50_786,ex_1_6_14,any,any
EURJPY,h4_not_oppose_v04,53,43.39622641509434,2.6163262127169853,0.049364645522961985,1.0841944657862956,8.896154161756215,5,-3.2528158654946457,-4.875598186060757,50,0.690868535937704,3,1.9254576767792813,both,not_oppose,r50_786,ex_1_6_14,any,any
SILVER,h4_not_oppose_v04,71,49.29577464788733,0.6147813336492998,0.008658892023229574,1.0138899936475099,8.972172613270457,5,-3.7786054293310603,-4.065296347350548,63,-5.868949072118221,8,6.483730405767521,both,not_oppose,r50_786,ex_1_6_14,any,any
CHFJPY,h4_not_oppose_v04,54,42.592592592592595,-1.6554310217571404,-0.030656130032539638,0.9483784543537143,8.210474739829435,7,-2.7057848059547904,-3.186297898119296,50,-0.5479947882614227,4,-1.1074362334957175,both,not_oppose,r50_786,ex_1_6_14,any,any
XAUUSD,h4_not_oppose_v04,58,39.6551724137931,-2.9073962735928136,-0.05012752195849678,0.9195195038274553,13.931406060492264,6,-3.2021731448211814,-5.831056611098883,54,-1.3759462830432456,4,-1.5314499905495684,both,not_oppose,r50_786,ex_1_6_14,any,any
GBPJPY,h4_not_oppose_v04,65,38.46153846153847,-4.543126087113917,-0.06989424749406026,0.8890860742939922,6.416843913392742,6,-3.2571462060543332,-5.320041063989381,59,0.7769149768754646,6,-5.320041063989381,both,not_oppose,r50_786,ex_1_6_14,any,any
AUDJPY,h4_not_oppose_v04,44,29.545454545454547,-14.504332903464595,-0.32964392962419536,0.550158000712054,17.341321412152112,10,-4.189508671255047,-7.30024988340732,43,-14.702201960847507,1,0.1978690573829113,both,not_oppose,r50_786,ex_1_6_14,any,any
USDJPY,usdjpy_v03_strict,68,61.76470588235294,34.94735256796506,0.513931655411251,2.31028088308372,4.163107198443356,4,-0.6777290821714685,0.6520206410192717,62,26.064996568669038,6,8.88235599929602,both,any,r50_764,ex_1_6_11_14,any,any
EURJPY,usdjpy_v03_strict,82,45.1219512195122,7.482099990056569,0.09124512182995816,1.1604416897931,8.02174096121618,5,-4.781406013112735,-5.832952576279632,76,3.6487416292573807,6,3.8333583607991875,both,any,r50_764,ex_1_6_11_14,any,any
SILVER,usdjpy_v03_strict,103,50.48543689320388,4.645692994370542,0.04510381547932565,1.0742389453953254,18.039153084431867,5,-4.676784104617228,-7.374235808493363,92,-5.975620572172765,11,10.621313566543307,both,any,r50_764,ex_1_6_11_14,any,any
XAUUSD,usdjpy_v03_strict,102,42.15686274509804,1.7952974642388173,0.017600955531753112,1.0296402842626309,12.499809860424708,7,-4.389742280002702,-6.72529500462073,98,0.8380278996275963,4,0.957269564611221,both,any,r50_764,ex_1_6_11_14,any,any
GBPJPY,usdjpy_v03_strict,89,35.95505617977528,-12.086777020720504,-0.13580648337888207,0.7940844150089733,13.81789842432076,8,-4.607575969676883,-6.438838233735527,83,-6.782044425860358,6,-5.304732594860145,both,any,r50_764,ex_1_6_11_14,any,any
AUDJPY,usdjpy_v03_strict,66,33.33333333333333,-13.688380322273698,-0.2073997018526318,0.6935482230444068,18.67787791269822,11,-5.193363674064217,-7.494433723946538,65,-15.160696609718181,1,1.4723162874444828,both,any,r50_764,ex_1_6_11_14,any,any
CHFJPY,usdjpy_v03_strict,91,35.16483516483517,-16.814245672974888,-0.18477193047225152,0.720752173132231,22.904282217682727,9,-5.0479067088787914,-7.346429313368005,86,-12.188147213706076,5,-4.626098459268814,both,any,r50_764,ex_1_6_11_14,any,any
USDJPY,usdjpy_v04_filtered,74,62.16216216216216,38.711931264869044,0.5231342062820141,2.3449749674111575,4.163107198443356,4,-0.6777290821714685,1.479742613271487,68,29.82957526557302,6,8.88235599929602,both,any,r50_786,ex_1_6_14,any,any
EURJPY,usdjpy_v04_filtered,88,44.31818181818182,6.291636798684266,0.0714958727123212,1.1239839535535217,8.691266245127533,5,-6.330121797862738,-7.847501765878559,80,2.0276858234811836,8,4.263950975203084,both,any,r50_786,ex_1_6_14,any,any
SILVER,usdjpy_v04_filtered,119,48.739495798319325,-0.10650747276524175,-0.0008950207795398467,0.998577339267425,18.571401557490475,5,-4.676784104617228,-8.762095737332377,108,-10.727821039308546,11,10.621313566543307,both,any,r50_786,ex_1_6_14,any,any
XAUUSD,usdjpy_v04_filtered,117,41.02564102564102,-1.4268760869537678,-0.012195522110715964,0.9799067167154379,14.165738574193956,7,-3.7395636953184157,-6.681251510663676,111,-2.8732362411001557,6,1.4463601541463889,both,any,r50_786,ex_1_6_14,any,any
CHFJPY,usdjpy_v04_filtered,97,37.11340206185567,-13.188796572087242,-0.13596697496997157,0.7884985939074343,22.6968290093048,9,-5.0479067088787914,-7.171244881920845,91,-10.010946250737206,6,-3.1778503213500358,both,any,r50_786,ex_1_6_14,any,any
GBPJPY,usdjpy_v04_filtered,98,35.714285714285715,-13.967704297981415,-0.14252759487736139,0.7849467360125703,16.89214319077645,8,-5.687304046452871,-7.109846926029967,91,-7.6307612406786465,7,-6.336943057302772,both,any,r50_786,ex_1_6_14,any,any
AUDJPY,usdjpy_v04_filtered,79,32.91139240506329,-17.71324407113496,-0.22421827938145517,0.6677210273190916,22.142207885834413,12,-6.232863768434438,-9.579815067775591,77,-19.38342941596235,2,1.6701853448273942,both,any,r50_786,ex_1_6_14,any,any
