month,trades,monthly_R,cum_R,peak,dd_R
2021-03,7,-4.846335697399558,173.1164806380409,177.96281633544046,4.846335697399553
2021-04,7,-3.0000000000000155,170.11648063804088,177.96281633544046,7.8463356973995815
2021-05,10,6.673082390025348,176.78956302806623,177.96281633544046,1.1732533073742388
2021-06,10,1.9999999999999745,178.7895630280662,178.7895630280662,0.0
2021-07,6,3.356122217795128,182.14568524586133,182.14568524586133,0.0
2021-08,4,3.999999999999945,186.14568524586127,186.14568524586127,0.0
2021-09,4,0.0,186.14568524586127,186.14568524586127,0.0
2021-10,5,0.9519918159564735,187.09767706181773,187.09767706181773,0.0
2021-11,6,-1.9999999999999458,185.0976770618178,187.09767706181773,1.9999999999999432
2022-01,6,-2.0000000000000018,183.0976770618178,187.09767706181773,3.999999999999943
2022-02,5,0.38014852618838724,183.47782558800617,187.09767706181773,3.619851473811565
2022-03,6,10.209437337887898,193.68726292589406,193.68726292589406,0.0
2022-04,10,7.380677208608075,201.06794013450212,201.06794013450212,0.0
2022-05,7,6.518965517241368,207.58690565174348,207.58690565174348,0.0
2022-06,2,2.0000000000000164,209.5869056517435,209.5869056517435,0.0
2022-07,2,-2.000000000000009,207.5869056517435,209.5869056517435,2.0
2022-08,5,-5.000000000000032,202.58690565174348,209.5869056517435,7.000000000000028
2022-09,8,14.144113993859733,216.73101964560323,216.73101964560323,0.0
2022-10,3,-1.554207733131146,215.1768119124721,216.73101964560323,1.5542077331311361
2022-11,7,6.263043792455577,221.43985570492768,221.43985570492768,0.0
2022-12,8,3.676429155694122,225.1162848606218,225.1162848606218,0.0
2023-01,5,-4.999999999999988,220.1162848606218,225.1162848606218,5.0
2023-02,6,3.2870785403707345,223.40336340099253,225.1162848606218,1.712921459629257
2023-03,6,0.2147571073132869,223.61812050830582,225.1162848606218,1.4981643523159676
2023-04,4,3.9592000896929473,227.57732059799878,227.57732059799878,0.0
2023-05,16,2.2432027985010556,229.82052339649982,229.82052339649982,0.0
2023-06,5,3.5068493150684645,233.32737271156827,233.32737271156827,0.0
2023-07,5,-2.71833957714329,230.60903313442498,233.32737271156827,2.718339577143297
2023-08,8,-0.5255808988686438,230.08345223555634,233.32737271156827,3.2439204760119367
2023-09,5,0.797430119384379,230.88088235494072,233.32737271156827,2.4464903566275495
2023-10,7,-1.708157947484461,229.17272440745626,233.32737271156827,4.1546483041120155
2023-11,10,13.715862660955125,242.88858706841137,242.88858706841137,0.0
2023-12,3,5.000000000000013,247.88858706841137,247.88858706841137,0.0
2024-01,7,-2.780388024893068,245.1081990435183,247.88858706841137,2.780388024893057
2024-02,8,3.1431288605479386,248.25132790406624,248.25132790406624,0.0
2024-03,8,18.970862123191687,267.2221900272579,267.2221900272579,0.0
2024-04,10,7.560943426423897,274.7831334536818,274.7831334536818,0.0
2024-05,7,4.446587524684361,279.2297209783661,279.2297209783661,0.0
2024-06,9,1.8263137893290273,281.05603476769517,281.05603476769517,0.0
2024-07,9,6.197840553480894,287.25387532117605,287.25387532117605,0.0
2024-08,5,-2.8018827556696975,284.4519925655064,287.25387532117605,2.8018827556696806
2024-09,8,-4.000000000000012,280.4519925655064,287.25387532117605,6.801882755669681
2024-10,12,3.9063232109056742,284.35831577641204,287.25387532117605,2.895559544764012
2024-11,5,-1.000000000000004,283.35831577641204,287.25387532117605,3.895559544764012
2024-12,5,-5.000000000000012,278.35831577641204,287.25387532117605,8.895559544764012
