entry_time,strategy,symbol,side,r,cum_R
2017-06-06 06:00:00,SaiBest,XAGUSD,long,-1.0,44.57059267890086
2017-06-26 08:00:00,SaiBest,CHFJPY,long,-1.0,43.57059267890086
2017-06-26 19:00:00,SaiBest,AUDJPY,long,2.2344370860927256,45.805029764993584
2017-07-10 01:00:00,SaiBest,GBPJPY,long,-1.0,44.805029764993584
2017-07-25 01:00:00,SaiBest,EURJPY,long,2.5454545454545268,47.35048431044811
2017-07-27 03:00:00,TrendBreakV1,AUDJPY,long,-1.000000000000017,46.350484310448095
2017-07-27 09:00:00,TrendBreakV1,CHFJPY,short,2.999999999999997,49.350484310448095
2017-07-28 13:00:00,SaiBest,XAUUSD,long,0.575315129722902,49.925799440171
2017-07-31 10:00:00,SaiBest,XAGUSD,long,-1.0,48.925799440171
2017-08-07 08:00:00,SaiBest,EURJPY,long,-1.0,47.925799440171
2017-08-09 00:00:00,TrendBreakV1,AUDJPY,short,-0.9999999999999816,46.92579944017102
2017-08-09 12:00:00,TrendBreakV1,XAUUSD,long,3.0000000000000115,49.92579944017103
2017-08-18 08:00:00,SaiBest,XAUUSD,long,-1.0,48.92579944017103
2017-08-21 14:00:00,SaiBest,XAUUSD,long,-1.0,47.92579944017103
2017-08-28 07:00:00,SaiBest,XAUUSD,long,2.2696964568685147,50.19549589703955
2017-08-28 12:00:00,SaiBest,XAGUSD,long,1.1717572391907756,51.367253136230325
2017-08-31 14:00:00,SaiBest,XAGUSD,long,2.3400483481063903,53.70730148433672
2017-09-01 11:00:00,SaiBest,EURJPY,long,-1.0,52.70730148433672
2017-09-07 06:00:00,SaiBest,XAUUSD,long,2.380643417139753,55.08794490147647
2017-09-12 06:00:00,TrendBreakV1,AUDJPY,long,-0.9999999999999823,54.08794490147648
2017-09-12 07:00:00,SaiBest,GBPJPY,long,2.4220385674930904,56.50998346896957
2017-09-19 05:00:00,SaiBest,GBPJPY,long,0.5455315544261023,57.05551502339568
2017-09-19 06:00:00,SaiBest,AUDJPY,long,0.7482133609528595,57.80372838434854
2017-09-20 02:00:00,SaiBest,EURJPY,long,-1.0,56.80372838434854
2017-09-29 15:00:00,SaiBest,CHFJPY,long,-1.0,55.80372838434854
2017-11-01 02:00:00,SaiBest,GBPJPY,long,-1.0,54.80372838434854
2017-11-06 15:00:00,SaiBest,XAGUSD,long,0.801072865444798,55.60480124979334
2017-11-13 09:00:00,TrendBreakV1,AUDJPY,short,3.0000000000000155,58.604801249793354
2017-11-17 15:00:00,TrendBreakV1,CHFJPY,short,-0.9999999999999812,57.604801249793375
2017-11-17 17:00:00,TrendBreakV1,XAUUSD,long,-1.0000000000000135,56.60480124979336
2017-11-17 18:00:00,TrendBreakV1,SILVER,long,-1.0000000000000018,55.60480124979336
2017-11-27 13:00:00,TrendBreakV1,XAUUSD,long,-1.0000000000000084,54.604801249793354
2017-11-27 16:00:00,TrendBreakV1,AUDJPY,short,-1.0000000000000184,53.60480124979333
2017-11-28 16:00:00,TrendBreakV1,CHFJPY,short,-0.9999999999999896,52.60480124979334
2017-11-29 15:00:00,TrendBreakV1,GBPJPY,long,3.000000000000016,55.604801249793354
2017-11-30 18:00:00,TrendBreakV1,EURJPY,long,-1.0000000000000195,54.60480124979333
2017-12-01 17:00:00,TrendBreakV1,CHFJPY,long,-0.9999999999999984,53.60480124979333
2017-12-04 13:00:00,SaiBest,GBPJPY,long,-1.0,52.60480124979333
2017-12-05 14:00:00,TrendBreakV1,XAUUSD,short,2.99999999999998,55.60480124979331
2017-12-14 00:00:00,TrendBreakV1,AUDJPY,long,-1.0000000000000049,54.604801249793304
2017-12-20 16:00:00,TrendBreakV1,EURJPY,long,-0.9999999999999905,53.60480124979331
2018-01-16 02:00:00,SaiBest,GBPJPY,long,-1.0,52.60480124979331
2018-01-17 03:00:00,SaiBest,GBPJPY,long,2.6402901417738205,55.24509139156713
2018-01-17 18:00:00,SaiBest,AUDJPY,long,-1.0,54.24509139156713
2018-01-22 07:00:00,SaiBest,CHFJPY,long,-1.0,53.24509139156713
2018-01-22 08:00:00,SaiBest,GBPJPY,long,1.817820470354386,55.06291186192151
2018-01-24 08:00:00,TrendBreakV1,XAUUSD,long,2.9999999999999782,58.06291186192149
2018-01-24 09:00:00,SaiBest,XAGUSD,long,0.4783404514948143,58.54125231341631
2018-01-25 14:00:00,TrendBreakV1,CHFJPY,long,-1.000000000000006,57.5412523134163
2018-01-26 02:00:00,SaiBest,EURJPY,long,-1.0,56.5412523134163
2018-01-26 11:00:00,SaiBest,GBPJPY,long,-1.0,55.5412523134163
2018-02-01 10:00:00,TrendBreakV1,EURJPY,long,-1.000000000000006,54.541252313416294
2018-02-04 22:00:00,TrendBreakV1,AUDJPY,short,-0.9999999999999906,53.5412523134163
2018-02-22 01:00:00,TrendBreakV1,CHFJPY,short,3.0000000000000115,56.541252313416315
2018-03-01 12:00:00,TrendBreakV1,XAUUSD,short,-0.9999999999999748,55.541252313416344
2018-03-16 01:00:00,TrendBreakV1,CHFJPY,short,-0.9999999999999964,54.54125231341635
