symbol_mode,trigger_mode,bb_lo,bb_hi,recovery_max,macd_min,bb_width_max,close_location_min,body_ratio_min,adx_max,all_trades,all_win_rate,all_total_r,all_avg_r,all_pf,all_max_dd_r,all_max_loss_streak,research_trades,research_win_rate,research_total_r,research_avg_r,research_pf,research_max_dd_r,research_max_loss_streak,oos_trades,oos_win_rate,oos_total_r,oos_avg_r,oos_pf,oos_max_dd_r,oos_max_loss_streak,oos_positive,research_positive,oos_retention_avg_r,robust_score,thin_sample,candidate_pass
all7,weak_rebreak_guard,0.75,0.95,20,0.0,4.0,0.6,none,none,20,80.0,25.49073504589488,1.274536752294744,9.256481787199776,1.0539842287562833,1,16,75.0,20.772494954799292,1.2982809346749558,7.728237767965809,1.0539842287562833,1,4,100.0,4.7182400910955895,1.1795600227738974,inf,0.0,0,True,True,0.908555298987902,1.9049314500984451,False,True
all7,weak_rebreak_guard,0.75,0.95,16,0.0,4.0,0.6,none,none,20,80.0,25.49073504589488,1.274536752294744,9.256481787199776,1.0539842287562833,1,16,75.0,20.772494954799292,1.2982809346749558,7.728237767965809,1.0539842287562833,1,4,100.0,4.7182400910955895,1.1795600227738974,inf,0.0,0,True,True,0.908555298987902,1.9049314500984451,False,True
all7,weak_rebreak_guard,0.75,0.95,16,0.0,4.0,none,0.45,none,20,80.0,25.49073504589488,1.274536752294744,9.256481787199776,1.0539842287562833,1,16,75.0,20.772494954799292,1.2982809346749558,7.728237767965809,1.0539842287562833,1,4,100.0,4.7182400910955895,1.1795600227738974,inf,0.0,0,True,True,0.908555298987902,1.9049314500984451,False,True
all7,weak_rebreak_guard,0.75,0.95,20,0.0,4.0,none,0.45,none,20,80.0,25.49073504589488,1.274536752294744,9.256481787199776,1.0539842287562833,1,16,75.0,20.772494954799292,1.2982809346749558,7.728237767965809,1.0539842287562833,1,4,100.0,4.7182400910955895,1.1795600227738974,inf,0.0,0,True,True,0.908555298987902,1.9049314500984451,False,True
all7,weak_rebreak_guard,0.75,0.95,20,0.0,4.0,none,none,none,20,80.0,25.49073504589488,1.274536752294744,9.256481787199776,1.0539842287562833,1,16,75.0,20.772494954799292,1.2982809346749558,7.728237767965809,1.0539842287562833,1,4,100.0,4.7182400910955895,1.1795600227738974,inf,0.0,0,True,True,0.908555298987902,1.9049314500984451,False,True
all7,weak_rebreak_guard,0.75,0.95,20,0.0,4.0,0.6,0.45,none,20,80.0,25.49073504589488,1.274536752294744,9.256481787199776,1.0539842287562833,1,16,75.0,20.772494954799292,1.2982809346749558,7.728237767965809,1.0539842287562833,1,4,100.0,4.7182400910955895,1.1795600227738974,inf,0.0,0,True,True,0.908555298987902,1.9049314500984451,False,True
all7,all,0.75,1.0,16,0.0,4.0,0.65,none,30.0,26,76.92307692307693,33.347562068252884,1.2825985410866494,8.281373458143497,2.029065903389963,2,23,73.91304347826086,29.48279831890761,1.281860796474244,7.437510025821765,2.029065903389963,2,3,100.0,3.86476374934528,1.2882545831150936,inf,0.0,0,True,True,1.004987894675019,1.8704699486586729,False,True
all7,all,0.75,1.0,16,0.0,4.0,0.65,0.45,30.0,26,76.92307692307693,33.347562068252884,1.2825985410866494,8.281373458143497,2.029065903389963,2,23,73.91304347826086,29.48279831890761,1.281860796474244,7.437510025821765,2.029065903389963,2,3,100.0,3.86476374934528,1.2882545831150936,inf,0.0,0,True,True,1.004987894675019,1.8704699486586729,False,True
all7,all,0.75,1.0,20,0.0,4.0,0.65,none,30.0,26,76.92307692307693,33.347562068252884,1.2825985410866494,8.281373458143497,2.029065903389963,2,23,73.91304347826086,29.48279831890761,1.281860796474244,7.437510025821765,2.029065903389963,2,3,100.0,3.86476374934528,1.2882545831150936,inf,0.0,0,True,True,1.004987894675019,1.8704699486586729,False,True
all7,all,0.75,1.0,20,0.0,4.0,0.65,0.45,30.0,26,76.92307692307693,33.347562068252884,1.2825985410866494,8.281373458143497,2.029065903389963,2,23,73.91304347826086,29.48279831890761,1.281860796474244,7.437510025821765,2.029065903389963,2,3,100.0,3.86476374934528,1.2882545831150936,inf,0.0,0,True,True,1.004987894675019,1.8704699486586729,False,True
