variant,symbol,entry_time,r,reason,exit_time,period
h4_low_break_5,CHFJPY,2024-08-07 04:00:00,-0.1894508059320332,h4_low_break,2024-08-16 12:00:00,Research_2015_2024
h4_low_break_5,XAUUSD,2024-08-26 08:00:00,-0.3143493562673747,h4_low_break,2024-08-27 04:00:00,Research_2015_2024
h4_low_break_5,SILVER,2024-11-15 12:00:00,0.15688914022991696,h4_low_break,2024-11-20 04:00:00,Research_2015_2024
h4_low_break_5,SILVER,2025-06-25 20:00:00,-0.234073955374039,h4_low_break,2025-06-27 04:00:00,OOS_2025_2026
h4_low_break_5,CHFJPY,2025-08-18 16:00:00,-0.02022183534249307,h4_low_break,2025-08-28 20:00:00,OOS_2025_2026
h4_low_break_5,GBPJPY,2026-02-19 04:00:00,-0.35990616471633086,h4_low_break,2026-02-23 00:00:00,OOS_2025_2026
h4_low_break_5,SILVER,2026-03-25 00:00:00,-0.17743430898767795,h4_low_break,2026-03-25 20:00:00,OOS_2025_2026
time_exit_40,XAUUSD,2015-07-27 08:00:00,-0.6464790054301293,time_exit,2015-08-04 20:00:00,Research_2015_2024
time_exit_40,SILVER,2015-10-12 08:00:00,-0.17429193855599925,time_exit,2015-10-20 20:00:00,Research_2015_2024
time_exit_40,SILVER,2015-12-04 12:00:00,-1.0982486197391745,SL,2015-12-11 12:00:00,Research_2015_2024
time_exit_40,GBPJPY,2016-08-24 00:00:00,2.185026463805421,time_exit,2016-09-01 12:00:00,Research_2015_2024
time_exit_40,AUDJPY,2016-10-04 00:00:00,0.3491772326283654,time_exit,2016-10-12 12:00:00,Research_2015_2024
time_exit_40,CHFJPY,2016-11-30 12:00:00,0.5863530635745348,time_exit,2016-12-09 00:00:00,Research_2015_2024
time_exit_40,USDJPY,2016-12-07 08:00:00,2.4598128607622542,time_exit,2016-12-15 20:00:00,Research_2015_2024
