symbol,timeframe,strategy,family,signal_time,direction,trigger_type,v_start_i,v_extreme_i,candidate_i,v_start,v_extreme,v_move_atr,v_move_bars,v_drop_speed_atr_per_bar,candidate_recovery_bars,candidate_recovery_to_drop_bars,signal_recovery_bars,signal_fib_ratio,candidate_fib_min,candidate_fib_max,trigger_level,entry_time,entry,stop,target,exit_time,exit,exit_reason,bars_held,risk,r_clean,r_after_cost,year
USDJPY,D1,VCTX_618_786_STAG_OR_REBREAK_RR2,V候補後トリガー,2020-10-07 00:00:00,long,stagnation+rebreak,2088,2103,2108,106.552,103.999,5.650229865697834,15,0.3766819910465223,5,0.3333333333333333,14,0.7716412064238112,0.618,0.786,105.969,2020-10-08 00:00:00,105.969,103.88603999391692,110.13492001216613,2020-11-05 00:00:00,103.88603999391692,SL,24,2.08296000608307,-1.0,-1.0048008603001435,2020
CHFJPY,D1,VCTX_618_786_STAG_OR_REBREAK_RR2,V候補後トリガー,2020-10-20 00:00:00,long,rebreak,2093,2108,2118,117.301,113.269,6.587652574741733,15,0.43917683831611554,10,0.6666666666666666,19,0.7547123015873003,0.618,0.786,116.312,2020-10-21 00:00:00,116.314,113.11598646618603,122.70402706762793,2020-12-30 00:00:00,116.963,max_hold,60,3.1980135338139632,0.20293847825778305,0.1966845960310377,2020
SILVER,D1,VCTX_618_786_STAG_OR_REBREAK_RR2,V候補後トリガー,2021-04-21 00:00:00,long,rebreak,2240,2251,2263,26.625,23.766,5.1613188201343645,11,0.4692108018303968,12,1.0909090909090908,17,0.9569779643231896,0.618,0.786,26.502,2021-04-22 00:00:00,26.496,23.62751795211492,32.25096409577016,2021-07-01 00:00:00,25.989,max_hold,60,2.8684820478850774,-0.17674853512637717,-0.18895011052957883,2021
AUDJPY,D1,VCTX_618_786_STAG_OR_REBREAK_RR2,V候補後トリガー,2021-08-31 00:00:00,long,stagnation,2378,2386,2392,81.581,77.894,6.209252757019523,8,0.7761565946274404,6,0.75,9,0.7165717385408185,0.618,0.786,80.536,2021-09-01 00:00:00,80.537,77.74555218573477,86.11689562853047,2021-10-21 00:00:00,86.11689562853047,TP,43,2.79144781426524,1.9989252888824633,1.9944473258927526,2021
EURJPY,D1,VCTX_618_786_STAG_OR_REBREAK_RR2,V候補後トリガー,2021-08-31 00:00:00,long,stagnation,2361,2379,2386,130.52,127.93,5.441080666443186,18,0.3022822592468437,7,0.3888888888888889,10,0.8146718146718079,0.618,0.786,130.04,2021-09-01 00:00:00,130.06,127.81099790470057,134.49800419059883,2021-11-10 00:00:00,130.79,max_hold,60,2.2490020952994314,0.3245884036861236,0.31903038307506487,2021
EURJPY,D1,VCTX_618_786_STAG_OR_REBREAK_RR2,V候補後トリガー,2022-03-22 00:00:00,long,stagnation,2533,2549,2555,131.89,124.38,6.234267401320377,16,0.38964171258252356,6,0.375,13,1.214380825565914,0.618,0.786,133.5,2022-03-23 00:00:00,133.51,124.07884192012644,152.34231615974713,2022-06-01 00:00:00,138.59,max_hold,60,9.431158079873555,0.5386401072887245,0.5373147133239404,2022
USDJPY,D1,VCTX_618_786_STAG_OR_REBREAK_RR2,V候補後トリガー,2022-04-19 00:00:00,long,stagnation,2576,2579,2583,125.097,121.281,3.6601093060927097,3,1.2200364353642366,4,1.3333333333333333,16,2.1087526205450793,0.618,0.786,129.328,2022-04-20 00:00:00,129.328,121.02035204655994,145.94329590688014,2022-06-29 00:00:00,136.621,max_hold,60,8.307647953440068,0.8778657979819774,0.8766620878517413,2022
USDJPY,D1,VCTX_618_786_STAG_OR_REBREAK_RR2,V候補後トリガー,2022-08-18 00:00:00,long,rebreak,2680,2685,2688,137.462,130.392,4.978117934354277,5,0.9956235868708553,3,0.6,14,0.7653465346534662,0.618,0.786,135.803,2022-08-19 00:00:00,135.804,130.0369461376151,147.33510772476978,2022-10-13 00:00:00,147.33510772476978,TP,47,5.767053862384898,1.9994798037140624,1.9977458160942805,2022
GBPJPY,D1,VCTX_618_786_STAG_OR_REBREAK_RR2,V候補後トリガー,2022-10-03 00:00:00,long,stagnation,3021,3031,3035,167.4,149.28,6.514535924306337,10,0.6514535924306336,4,0.4,7,0.8024282560706395,0.618,0.786,163.82,2022-10-04 00:00:00,163.57,148.58463197184957,194.29073605630083,2022-12-13 00:00:00,167.22,max_hold,60,14.985368028150418,0.24357092819765136,0.24223629297465174,2022
EURJPY,D1,VCTX_618_786_STAG_OR_REBREAK_RR2,V候補後トリガー,2022-10-17 00:00:00,long,stagnation,2711,2722,2730,145.62,137.56,5.743108430934246,11,0.5221007664485678,8,0.7272727272727273,19,1.081885856079404,0.618,0.786,146.28,2022-10-18 00:00:00,146.32,137.20914470547925,164.4217105890415,2022-12-27 00:00:00,142.09,max_hold,60,9.110855294520746,-0.4642813285097289,-0.4656533182511867,2022
GBPJPY,D1,VCTX_618_786_STAG_OR_REBREAK_RR2,V候補後トリガー,2023-02-21 00:00:00,long,stagnation+rebreak,3134,3144,3152,161.79,156.72,3.674545675562917,10,0.3674545675562917,8,0.8,15,1.3313609467455638,0.618,0.786,163.47,2023-02-22 00:00:00,163.47,156.37505939729382,177.65988120541235,2023-05-03 00:00:00,169.37,max_hold,60,7.094940602706174,0.8315784909812507,0.8287595808423338,2023
CHFJPY,D1,VCTX_618_786_STAG_OR_REBREAK_RR2,V候補後トリガー,2023-04-10 00:00:00,long,stagnation,2872,2880,2889,147.606,140.222,5.500708546885631,8,0.6875885683607039,9,1.125,18,0.8970747562296868,0.618,0.786,146.846,2023-04-11 00:00:00,146.845,139.88640686972133,160.76518626055736,2023-06-20 00:00:00,157.433,max_hold,60,6.958593130278672,1.5215719329714532,1.51869778878375,2023
EURJPY,D1,VCTX_618_786_STAG_OR_REBREAK_RR2,V候補後トリガー,2023-04-11 00:00:00,long,rebreak,2858,2873,2881,145.55,138.81,4.626871295619666,15,0.3084580863746444,8,0.5333333333333333,19,1.0741839762611276,0.618,0.786,146.05,2023-04-12 00:00:00,145.95,138.44582302330406,161.25835395339192,2023-06-21 00:00:00,155.84,max_hold,60,7.5041769766959305,1.3179326701266787,1.3162669311603927,2023
EURJPY,D1,VCTX_618_786_STAG_OR_REBREAK_RR2,V候補後トリガー,2023-08-07 00:00:00,long,stagnation,2979,2985,2986,158.02,151.4,4.973998165319672,6,0.8289996942199453,1,0.16666666666666666,8,0.8655589123867048,0.618,0.786,157.13,2023-08-08 00:00:00,157.33,151.06726968024654,169.2554606395069,2023-10-17 00:00:00,158.22,max_hold,60,6.262730319753473,0.14211054197764345,0.14011460739930756,2023
USDJPY,D1,VCTX_618_786_STAG_OR_REBREAK_RR2,V候補後トリガー,2023-08-08 00:00:00,long,stagnation,2970,2982,2996,145.067,137.237,6.213889394714516,12,0.5178241162262097,14,1.1666666666666667,21,0.7690932311621943,0.618,0.786,143.259,2023-08-09 00:00:00,143.259,136.9219799094163,155.93304018116734,2023-10-18 00:00:00,149.77,max_hold,60,6.337020090583678,1.0274545301939104,1.0258765014269113,2023
SILVER,D1,VCTX_618_786_STAG_OR_REBREAK_RR2,V候補後トリガー,2023-08-29 00:00:00,long,stagnation+rebreak,2966,2988,2995,25.258,22.21,7.119449123090523,22,0.323611323776842,7,0.3181818181818182,12,0.8195538057742778,0.618,0.786,24.708,2023-08-30 00:00:00,24.707,22.10296924708281,29.918061505834373,2023-10-01 00:00:00,22.10296924708281,SL,27,2.6040307529171898,-1.0,-1.0134407014820355,2023
XAUUSD,D1,VCTX_618_786_STAG_OR_REBREAK_RR2,V候補後トリガー,2023-11-21 00:00:00,long,rebreak,3058,3066,3069,2003.968,1931.515,3.5657979142416814,8,0.44572473928021017,3,0.375,7,0.9349509337087496,0.618,0.786,1999.255,2023-11-22 00:00:00,1999.215,1926.4352813968633,2144.894437206274,2023-12-03 00:00:00,2144.894437206274,TP,9,72.77971860313664,2.0016488109916297,1.996839778932734,2023
AUDJPY,D1,VCTX_618_786_STAG_OR_REBREAK_RR2,V候補後トリガー,2024-02-14 00:00:00,long,stagnation+rebreak,3141,3150,3156,97.88,95.5,4.206464875557453,9,0.46738498617305024,6,0.6666666666666666,11,0.9844537815126084,0.618,0.786,97.843,2024-02-15 00:00:00,97.843,95.35855105947577,102.81189788104847,2024-04-25 00:00:00,101.496,max_hold,60,2.4844489405242314,1.47034617633526,1.4653148795369644,2024
EURJPY,D1,VCTX_618_786_STAG_OR_REBREAK_RR2,V候補後トリガー,2024-03-19 00:00:00,long,stagnation,3172,3178,3182,163.5,160.21,3.563193940422474,6,0.593865656737079,4,0.6666666666666666,7,1.206686930091188,0.618,0.786,164.18,2024-03-20 00:00:00,164.2,159.97916777089534,172.58166445820933,2024-05-29 00:00:00,170.05,max_hold,60,4.220832229104644,1.385982593589362,1.3830210923210113,2024
SILVER,D1,VCTX_618_786_STAG_OR_REBREAK_RR2,V候補後トリガー,2024-05-15 00:00:00,long,rebreak,3195,3209,3215,29.008,26.003,4.2430657439907895,14,0.30307612457077066,6,0.42857142857142855,11,1.237936772046589,0.618,0.786,29.723,2024-05-16 00:00:00,29.716,25.82594641532153,37.51710716935694,2024-07-26 00:00:00,27.897,max_hold,60,3.8900535846784727,-0.46760281327856046,-0.47660011864675705,2024
USDJPY,D1,VCTX_618_786_STAG_OR_REBREAK_RR2,V候補後トリガー,2024-05-28 00:00:00,long,stagnation,3242,3244,3245,156.783,153.598,3.5267783226501446,2,1.7633891613250723,1,0.5,10,1.1532182103610686,0.618,0.786,157.271,2024-05-29 00:00:00,157.272,153.37222737491433,165.0685452501713,2024-07-24 00:00:00,153.37222737491433,SL,47,3.89977262508566,-1.0,-1.0025642520632267,2024
AUDJPY,D1,VCTX_618_786_STAG_OR_REBREAK_RR2,V候補後トリガー,2024-08-15 00:00:00,long,stagnation,3303,3308,3311,101.775,90.124,7.346918047448769,5,1.4693836094897539,3,0.6,9,0.7334134409063594,0.618,0.786,98.669,2024-08-16 00:00:00,98.669,89.72754124257429,116.55191751485141,2024-10-25 00:00:00,100.526,max_hold,60,8.941458757425707,0.20768423255968127,0.20628625038036322,2024
USDJPY,D1,VCTX_618_786_STAG_OR_REBREAK_RR2,V候補後トリガー,2024-10-09 00:00:00,long,stagnation+rebreak,3337,3348,3356,147.207,139.576,4.530209415074618,11,0.411837219552238,8,0.7272727272727273,20,1.269951513563098,0.618,0.786,149.267,2024-10-10 00:00:00,149.064,139.15488260228062,169.49123479543874,2024-10-25 00:00:00,152.244,max_hold,13,9.90911739771937,0.32091657332992124,0.31990740171567716,2024
