timeframe,strategy,symbol,trades,win_rate,total_r_after_cost,avg_r_after_cost,pf_after_cost,max_dd_r,max_losing_streak,avg_hold_bars
D1,VCTX_618_786_STAG_OR_REBREAK_RR2,AUDJPY,6,83.33333333333334,4.058991265281368,0.6764985442135614,103.11711010603426,0.03974839535770919,1,57.166666666666664
D1,VCTX_618_800_REC1_STAG_OR_REBREAK_RR2,AUDJPY,6,83.33333333333334,4.058991265281368,0.6764985442135614,103.11711010603426,0.03974839535770919,1,57.166666666666664
D1,VCTX_618_800_STAG_ONLY_RR2,AUDJPY,6,83.33333333333334,4.058991265281368,0.6764985442135614,103.11711010603426,0.03974839535770919,1,57.166666666666664
D1,VCTX_618_800_STAG_OR_REBREAK_RR2,AUDJPY,6,83.33333333333334,4.058991265281368,0.6764985442135614,103.11711010603426,0.03974839535770919,1,57.166666666666664
H4,VCTX_618_800_STAG_ONLY_RR2,AUDJPY,27,51.85185185185185,3.9915677514959302,0.14783584264799743,1.317184528859414,7.552486849209411,8,101.74074074074075
D1,VCTX_618_786_STAG_OR_REBREAK_RR2,XAUUSD,6,83.33333333333334,3.8228000558007587,0.6371333426334598,4.79838282278713,0.0,1,38.833333333333336
D1,VCTX_618_800_STAG_OR_REBREAK_RR2,XAUUSD,6,83.33333333333334,3.8228000558007587,0.6371333426334598,4.79838282278713,0.0,1,38.833333333333336
H4,VCTX_618_800_BIGDROP_STAG_OR_REBREAK_RR2,CHFJPY,26,46.15384615384615,3.7496863398820564,0.14421870538007908,1.2835628872232012,5.044893101864846,5,103.8076923076923
H4,VCTX_618_800_STAG_OR_REBREAK_RR2,AUDJPY,42,45.23809523809524,3.7478003026235602,0.0892333405386562,1.1695248471930553,8.596810246622468,8,91.66666666666667
D1,VCTX_618_800_BIGDROP_STAG_OR_REBREAK_RR2,AUDJPY,5,80.0,3.714088039378536,0.7428176078757072,94.43994910874285,0.0,1,56.6
D1,VCTX_618_800_REC1_STAG_OR_REBREAK_RR2,XAUUSD,5,80.0,3.4327868340802334,0.6865573668160467,4.4108607184606985,0.0,1,34.6
D1,VCTX_618_786_STAG_OR_REBREAK_RR2,EURJPY,9,66.66666666666666,3.2151149550244353,0.35723499500271505,2.298368769414414,2.0106192406416965,2,48.44444444444444
D1,VCTX_618_800_STAG_OR_REBREAK_RR2,EURJPY,9,66.66666666666666,3.2151149550244353,0.35723499500271505,2.298368769414414,2.0106192406416965,2,48.44444444444444
H4,VCTX_618_800_STAG_ONLY_RR2,EURJPY,22,40.909090909090914,2.974943694868336,0.13522471340310618,1.2649833522949174,3.824197962757183,4,97.4090909090909
D1,VCTX_618_800_STAG_ONLY_RR2,XAUUSD,4,100.0,2.8989069302641646,0.7247267325660411,inf,0.0,0,47.0
D1,VCTX_618_800_STAG_OR_REBREAK_RR2,USDJPY,11,63.63636363636363,2.811215671336154,0.2555650610305595,1.7000845967476632,2.4065206456475314,2,42.45454545454545
H4,VCTX_618_800_REBREAK_ONLY_RR2,AUDJPY,35,42.857142857142854,2.764174075234647,0.07897640214956135,1.1410296785636298,8.099146174977857,7,91.97142857142858
D1,VCTX_618_800_FAST_STAG_OR_REBREAK_RR2,AUDJPY,4,75.0,2.505888406818239,0.6264721017045598,64.04376275487115,0.03974839535770919,1,55.75
H4,VCTX_618_800_FAST_STAG_OR_REBREAK_RR2,CHFJPY,13,46.15384615384615,2.4760577268584427,0.19046597898911097,1.3502237680459286,3.0197089532872003,3,96.07692307692308
H4,VCTX_618_800_STAG_ONLY_RR2,CHFJPY,16,43.75,2.3502704276751327,0.1468919017296958,1.3220175522567141,2.0221902443406656,3,113.25
D1,VCTX_618_800_BIGDROP_STAG_OR_REBREAK_RR2,USDJPY,7,57.14285714285714,2.325541024926733,0.3322201464181047,1.771842675769952,2.0081304830336277,3,34.285714285714285
D1,VCTX_618_800_FAST_STAG_OR_REBREAK_RR2,XAUUSD,2,100.0,2.296199984257552,1.148099992128776,inf,0.0,0,34.0
H4,VCTX_618_800_FAST_STAG_OR_REBREAK_RR2,XAUUSD,15,40.0,2.288679612339179,0.15257864082261194,1.2727509140354487,5.346351520544313,6,100.6
D1,VCTX_618_800_FAST_STAG_OR_REBREAK_RR2,GBPJPY,2,100.0,2.230005577065291,1.1150027885326455,inf,0.0,0,38.0
D1,VCTX_618_800_FAST_BIGDROP_STAG_OR_REBREAK_RR2,AUDJPY,3,66.66666666666666,2.160985180915407,0.7203283936384689,55.36660175757976,0.0,1,54.333333333333336
D1,VCTX_618_786_STAG_OR_REBREAK_RR2,GBPJPY,6,66.66666666666666,2.045612485213263,0.3409354142022105,2.6208445342610576,1.262065819375982,2,46.333333333333336
D1,VCTX_618_800_REC1_STAG_OR_REBREAK_RR2,GBPJPY,6,66.66666666666666,2.045612485213263,0.3409354142022105,2.6208445342610576,1.262065819375982,2,46.333333333333336
D1,VCTX_618_800_STAG_ONLY_RR2,GBPJPY,6,66.66666666666666,2.045612485213263,0.3409354142022105,2.6208445342610576,1.262065819375982,2,46.333333333333336
D1,VCTX_618_800_STAG_OR_REBREAK_RR2,GBPJPY,6,66.66666666666666,2.045612485213263,0.3409354142022105,2.6208445342610576,1.262065819375982,2,46.333333333333336
D1,VCTX_618_800_FAST_BIGDROP_STAG_OR_REBREAK_RR2,USDJPY,1,100.0,1.9977458160942805,1.9977458160942805,inf,0.0,0,47.0
D1,VCTX_618_800_STAG_ONLY_RR2,EURJPY,8,62.5,1.8988480238640426,0.23735600298300533,1.766817052123292,2.0106192406416965,2,47.0
D1,VCTX_618_800_FAST_STAG_OR_REBREAK_RR2,USDJPY,3,66.66666666666666,1.871843651882795,0.6239478839609317,2.867056049555562,1.0025642520632267,1,51.333333333333336
D1,VCTX_618_800_BIGDROP_STAG_OR_REBREAK_RR2,EURJPY,8,62.5,1.832093862703424,0.229011732837928,1.73985953449427,2.0106192406416965,2,47.0
D1,VCTX_618_786_STAG_OR_REBREAK_RR2,USDJPY,9,66.66666666666666,1.821073882612662,0.202341542512518,1.604868325368124,2.0081304830336277,2,42.0
H4,VCTX_618_786_STAG_OR_REBREAK_RR2,AUDJPY,41,43.90243902439025,1.7535589577454114,0.04276973067671735,1.0793239075128087,8.596810246622468,8,93.70731707317073
H4,VCTX_618_800_REBREAK_ONLY_RR2,EURJPY,40,40.0,1.651796885210004,0.0412949221302501,1.0731296644077397,10.029805944285274,5,103.275
H4,VCTX_618_800_FAST_BIGDROP_STAG_OR_REBREAK_RR2,CHFJPY,9,44.44444444444444,1.6132421559257475,0.17924912843619417,1.319910926534675,2.0165816127919944,2,96.66666666666667
D1,VCTX_618_800_REBREAK_ONLY_RR2,XAUUSD,4,75.0,1.4370916672981724,0.3592729168245431,2.4279125834878332,0.0,1,41.25
H4,VCTX_618_800_FAST_BIGDROP_STAG_OR_REBREAK_RR2,XAUUSD,13,38.46153846153847,1.3171510270122826,0.10131930977017559,1.1786191580344612,5.348043562490599,6,88.0
H4,VCTX_618_800_FAST_BIGDROP_STAG_OR_REBREAK_RR2,SILVER,12,50.0,1.116067086414623,0.09300559053455192,1.1773526446433153,2.902702777496012,3,114.16666666666667
D1,VCTX_618_800_BIGDROP_STAG_OR_REBREAK_RR2,XAUUSD,4,100.0,1.0493871577277547,0.2623467894319387,inf,0.0,0,60.0
H4,VCTX_618_800_REC1_STAG_OR_REBREAK_RR2,AUDJPY,35,42.857142857142854,1.027136188888052,0.02934674825394434,1.0524024505494989,8.555804869046389,6,89.91428571428571
D1,VCTX_618_800_REBREAK_ONLY_RR2,AUDJPY,3,33.33333333333333,0.9428675092218979,0.31428916974063265,2.804712900848354,0.48269897495735736,1,60.0
D1,VCTX_618_800_REC1_STAG_OR_REBREAK_RR2,USDJPY,9,55.55555555555556,0.9086770820575012,0.10096412022861125,1.226290296775313,2.4065206456475314,2,38.55555555555556
