timeframe,strategy,year,trades,win_rate,total_r_after_cost,avg_r_after_cost,pf_after_cost,max_dd_r,max_losing_streak,avg_hold_bars
H4,VCTX_618_800_STAG_ONLY_RR2,2020,17,70.58823529411765,8.693405874641453,0.5113768161553796,2.7240655503974818,3.0298018720938202,3,102.88235294117646
H4,VCTX_618_800_STAG_ONLY_RR2,2022,20,50.0,8.399312875223195,0.41996564376115975,1.8986608868605324,4.930879860946861,5,94.05
H4,VCTX_618_800_STAG_OR_REBREAK_RR2,2019,31,48.38709677419355,8.327864223804827,0.2686407814130589,1.5187505809436308,9.190173749563467,9,93.09677419354838
H4,VCTX_618_800_REBREAK_ONLY_RR2,2024,20,50.0,8.030471840842866,0.4015235920421433,1.8497810355337214,4.039011858446634,4,108.3
H4,VCTX_618_800_STAG_OR_REBREAK_RR2,2018,27,48.148148148148145,7.898876549557378,0.2925509833169399,1.7382894299532619,3.0785581946280836,3,118.5925925925926
H4,VCTX_618_786_STAG_OR_REBREAK_RR2,2018,27,48.148148148148145,7.88962284064667,0.29220825335728406,1.7374245075261578,3.0785581946280836,3,115.25925925925925
H4,VCTX_618_800_STAG_OR_REBREAK_RR2,2020,31,54.83870967741935,7.875405997700021,0.2540453547645168,1.5796559043175562,8.091043582969768,8,101.70967741935483
H4,VCTX_618_800_REC1_STAG_OR_REBREAK_RR2,2018,17,52.94117647058824,7.837521892749612,0.46103069957350656,2.1066909939968417,1.037083198992958,2,100.6470588235294
H4,VCTX_618_800_FAST_BIGDROP_STAG_OR_REBREAK_RR2,2024,11,72.72727272727273,7.821243562610513,0.7110221420555012,3.574979380354878,2.0318210658281304,2,109.45454545454545
H4,VCTX_618_800_FAST_STAG_OR_REBREAK_RR2,2024,11,72.72727272727273,7.811583378497461,0.7101439434997692,3.5636455202805504,2.0414812499411825,2,110.18181818181819
H4,VCTX_618_800_REBREAK_ONLY_RR2,2018,26,46.15384615384615,7.691552801865951,0.2958289539179212,1.7417828373920348,2.043568173250777,3,118.8076923076923
H4,VCTX_618_800_REBREAK_ONLY_RR2,2023,21,52.38095238095239,7.652081036648994,0.3643848112689997,1.7580649334739882,8.345266841238423,8,108.57142857142857
H4,VCTX_618_800_REBREAK_ONLY_RR2,2019,26,50.0,7.380045986578345,0.28384792256070557,1.5669194028199493,8.177128233581973,8,99.34615384615384
H4,VCTX_618_800_BIGDROP_STAG_OR_REBREAK_RR2,2024,24,54.166666666666664,7.23012074359246,0.30125503098301915,1.6929443659477683,4.848307110192281,4,103.66666666666667
H4,VCTX_618_786_STAG_OR_REBREAK_RR2,2020,30,53.333333333333336,7.100063638754646,0.2366687879584882,1.5225881447174232,8.091043582969768,8,99.1
H4,VCTX_618_800_FAST_STAG_OR_REBREAK_RR2,2018,10,60.0,6.368932190695543,0.6368932190695543,4.058229704390034,1.0147302851760278,2,129.2
H4,VCTX_618_786_STAG_OR_REBREAK_RR2,2019,30,46.666666666666664,6.350327089528546,0.21167756965095155,1.3955679125337543,9.190173749563467,9,93.93333333333334
