support_age_bucket,trigger_mode,filter,filter_notes,all_trades,all_win_rate,all_total_r,all_avg_r,all_pf,all_max_dd_r,all_max_losing_streak,train_trades,train_win_rate,train_total_r,train_avg_r,train_pf,train_max_dd_r,train_max_losing_streak,test_trades,test_win_rate,test_total_r,test_avg_r,test_pf,test_max_dd_r,test_max_losing_streak,oos_trades,oos_win_rate,oos_total_r,oos_avg_r,oos_pf,oos_max_dd_r,oos_max_losing_streak,avg_mfe_r,hit_1r_rate,hit_1_5r_rate,hit_2r_rate,giveback_1r_to_loss_rate,giveback_1_5r_to_loss_rate,score
01_25-59bars,either,NO_XAU_ADX30_RISK_LE1_5_BBW3_8,XAUUSD除外 + ADX>=30 + risk<=1.5ATR + BB幅3-8ATR,28,35.714285714285715,0.5653672848270435,0.02019168874382298,1.0296374531189503,9.962090098594595,9,20,50.0,9.510011683420197,0.4755005841710099,1.9386611018641364,7.0530150093188215,8,7,0.0,-7.925816091879338,-1.1322594416970484,0.0,6.79355665018229,7,1,0.0,-1.0188283067138164,-1.0188283067138164,0.0,0.0,1,1.240360758539486,64.28571428571429,35.714285714285715,35.714285714285715,28.57142857142857,0.0,-13.325730341982569
01_25-59bars,rebreak,GBP_ADX25_RISK_LE2_5_BBW3_8,GBPJPY + ADX>=25 + risk<=2.5ATR + BB幅3-8ATR,7,14.285714285714285,-4.170101273868094,-0.5957287534097278,0.3228839538325357,4.121407676222271,5,4,0.0,-4.126821589167389,-1.0317053972918473,0.0,3.098491493083465,4,1,0.0,-1.0229161831388056,-1.0229161831388056,0.0,0.0,1,2,50.0,0.9796364984381005,0.48981824921905026,1.9710105433111311,1.0088834824569,1,0.8373518333348607,28.57142857142857,28.57142857142857,14.285714285714285,14.285714285714285,14.285714285714285,-13.487983672496604
04_>=240bars,either,ADX30_RISK_LE2_BBW3_8,ADX>=30 + risk<=2ATR + BB幅3-8ATR,14,21.428571428571427,-5.730047385860619,-0.40928909899004423,0.5075398304324968,9.571605334453611,9,11,18.181818181818183,-5.518050230887122,-0.5016409300806475,0.41836704312776285,8.439345892756563,8,3,33.33333333333333,-0.21199715497349736,-0.07066571832449912,0.9013225892081158,1.0161264276951951,1,0,0.0,0.0,0.0,,0.0,0,1.2064910928297414,57.14285714285714,42.857142857142854,21.428571428571427,35.714285714285715,21.428571428571427,-14.5069618709699
04_>=240bars,either,ALL,全候補,68,32.35294117647059,-8.70021357871069,-0.12794431733398073,0.8160888682410657,12.807448305143641,11,47,34.04255319148936,-5.1951245671318595,-0.11053456525812468,0.8372123002785934,11.707315156506276,9,18,33.33333333333333,-0.46943607343269145,-0.026079781857371746,0.9620119558075023,4.386055014453837,4,3,0.0,-3.0356529381461383,-1.0118843127153794,0.0,2.022606734686269,3,1.202865154695748,51.470588235294116,38.23529411764706,27.941176470588236,20.588235294117645,10.294117647058822,-15.161087344210689
03_120-239bars,rebreak,ADX30_RISK_LE1_5_BBW3_8,ADX>=30 + risk<=1.5ATR + BB幅3-8ATR,7,0.0,-7.246218990046231,-1.0351741414351758,0.0,6.22436978772132,7,7,0.0,-7.246218990046231,-1.0351741414351758,0.0,6.22436978772132,7,0,0.0,0.0,0.0,,0.0,0,0,0.0,0.0,0.0,,0.0,0,0.6043622908942711,42.857142857142854,0.0,0.0,42.857142857142854,0.0,-15.943008002717265
03_120-239bars,rebreak,NO_XAU_ADX30_RISK_LE1_5_BBW3_8,XAUUSD除外 + ADX>=30 + risk<=1.5ATR + BB幅3-8ATR,7,0.0,-7.246218990046231,-1.0351741414351758,0.0,6.22436978772132,7,7,0.0,-7.246218990046231,-1.0351741414351758,0.0,6.22436978772132,7,0,0.0,0.0,0.0,,0.0,0,0,0.0,0.0,0.0,,0.0,0,0.6043622908942711,42.857142857142854,0.0,0.0,42.857142857142854,0.0,-15.943008002717265
04_>=240bars,rebreak,ADX30_RISK_LE1_5_BBW3_8,ADX>=30 + risk<=1.5ATR + BB幅3-8ATR,5,0.0,-5.164768497150426,-1.0329536994300852,0.0,4.116438561514641,5,4,0.0,-4.148642069455231,-1.0371605173638077,0.0,3.100312133819445,4,1,0.0,-1.0161264276951951,-1.0161264276951951,0.0,0.0,1,0,0.0,0.0,0.0,,0.0,0,1.1594599411785724,60.0,40.0,0.0,60.0,40.0,-16.54504464848366
01_25-59bars,stagnation,ADX30_RISK_LE1_5_BBW3_8,ADX>=30 + risk<=1.5ATR + BB幅3-8ATR,22,31.818181818181817,-2.2973784934571464,-0.10442629515714302,0.8564814013696019,9.962090098594597,9,14,50.0,6.647265905136007,0.47480470750971476,1.941154201760779,5.037867863799159,6,7,0.0,-7.925816091879338,-1.1322594416970484,0.0,6.79355665018229,7,1,0.0,-1.0188283067138164,-1.0188283067138164,0.0,0.0,1,1.2697884948085703,68.18181818181817,31.818181818181817,31.818181818181817,36.36363636363637,0.0,-16.86010410761997
01_25-59bars,stagnation,NO_XAU_ADX30_RISK_LE1_5_BBW3_8,XAUUSD除外 + ADX>=30 + risk<=1.5ATR + BB幅3-8ATR,22,31.818181818181817,-2.2973784934571464,-0.10442629515714302,0.8564814013696019,9.962090098594597,9,14,50.0,6.647265905136007,0.47480470750971476,1.941154201760779,5.037867863799159,6,7,0.0,-7.925816091879338,-1.1322594416970484,0.0,6.79355665018229,7,1,0.0,-1.0188283067138164,-1.0188283067138164,0.0,0.0,1,1.2697884948085703,68.18181818181817,31.818181818181817,31.818181818181817,36.36363636363637,0.0,-16.86010410761997
00_<=24bars,rebreak,NO_XAU_ADX30_RISK_LE1_5_BBW3_8,XAUUSD除外 + ADX>=30 + risk<=1.5ATR + BB幅3-8ATR,11,9.090909090909092,-9.283794719345307,-0.8439813381223007,0.15694331417106,8.2543933779937,6,11,9.090909090909092,-9.283794719345307,-0.8439813381223007,0.15694331417106,8.2543933779937,6,0,0.0,0.0,0.0,,0.0,0,0,0.0,0.0,0.0,,0.0,0,0.7466644981006045,27.27272727272727,27.27272727272727,9.090909090909092,18.181818181818183,18.181818181818183,-17.566375102161874
