lookback_bars,lookback_label,trigger_mode,exit_variant,filter,filter_notes,all_trades,all_win_rate,all_total_r,all_avg_r,all_pf,all_max_dd_r,all_max_losing_streak,train_trades,train_win_rate,train_total_r,train_avg_r,train_pf,train_max_dd_r,train_max_losing_streak,test_trades,test_win_rate,test_total_r,test_avg_r,test_pf,test_max_dd_r,test_max_losing_streak,oos_trades,oos_win_rate,oos_total_r,oos_avg_r,oos_pf,oos_max_dd_r,oos_max_losing_streak,avg_mfe_r,hit_1r_rate,hit_1_5r_rate,hit_2r_rate,giveback_1r_to_loss_rate,giveback_1_5r_to_loss_rate,score
120,1m,either,half_1R_BE_rest_2R,NO_XAU_ADX30_RISK_LE1_5_BBW3_8,XAUUSD除外 + ADX>=30 + risk<=1.5ATR + BB幅3-8ATR,17,58.82352941176471,0.9945987690284992,0.05850580994285289,1.1378993032151956,3.011606315254657,2,12,50.0,-0.7613684853217757,-0.06344737377681464,0.8766584925969916,2.5729656908764738,2,4,75.0,0.2715937800667425,0.06789844501668563,1.2612354176284488,1.0396514474657725,1,1,100.0,1.4843734742835317,1.4843734742835317,inf,0.0,0,1.1347329328110243,58.82352941176471,47.05882352941176,23.52941176470588,0.0,0.0,1.9395322692815329
180,1.5m,either,fixed_1R,ADX30_RISK_LE1_5_BBW3_8,ADX>=30 + risk<=1.5ATR + BB幅3-8ATR,15,53.333333333333336,0.14394780132430984,0.009596520088287323,1.0200141197426489,2.0339930874985264,3,10,50.0,-0.5893110264711718,-0.058931102647117185,0.8850443952832092,2.0339930874985264,3,4,75.0,1.77548130839843,0.4438703270996075,2.734432219256791,1.0236671624788134,1,1,0.0,-1.0422224806029483,-1.0422224806029483,0.0,0.0,1,0.8242704696957491,53.333333333333336,6.666666666666667,0.0,0.0,0.0,1.8244272996235926
60,0.5m,stagnation,half_1R_BE_rest_2R,GBP_ADX25_RISK_LE2_5_BBW3_8,GBPJPY + ADX>=25 + risk<=2.5ATR + BB幅3-8ATR,12,58.333333333333336,1.272826330543394,0.10606886087861617,1.2500189088744065,2.034817091764409,2,8,50.0,-1.1501517115942645,-0.14376896394928307,0.7178299129521993,2.034817091764409,2,2,100.0,1.9534311447760095,0.9767155723880048,inf,0.0,0,2,50.0,0.469546897361649,0.2347734486808245,1.462686835405763,1.0148265769218827,1,1.1495052080372046,58.333333333333336,41.66666666666667,25.0,0.0,0.0,1.782533783722375
360,3m,rebreak,BE_after_1R_to_2R,GBP_ADX25_RISK_LE2_5_BBW3_8,GBPJPY + ADX>=25 + risk<=2.5ATR + BB幅3-8ATR,5,40.0,0.8831376212900268,0.17662752425800538,1.286352516789771,2.069816941873781,2,4,25.0,-1.1092383808069,-0.277309595201725,0.6403355554031441,2.069816941873781,2,1,100.0,1.9923760020969268,1.9923760020969268,inf,0.0,0,0,0.0,0.0,0.0,,0.0,0,1.1125886118105341,40.0,40.0,40.0,0.0,0.0,1.7493972021596855
360,3m,rebreak,fixed_2R,GBP_ADX25_RISK_LE2_5_BBW3_8,GBPJPY + ADX>=25 + risk<=2.5ATR + BB幅3-8ATR,5,40.0,0.8831376212900268,0.17662752425800538,1.286352516789771,2.069816941873781,2,4,25.0,-1.1092383808069,-0.277309595201725,0.6403355554031441,2.069816941873781,2,1,100.0,1.9923760020969268,1.9923760020969268,inf,0.0,0,0,0.0,0.0,0.0,,0.0,0,1.1125886118105341,40.0,40.0,40.0,0.0,0.0,1.7493972021596855
360,3m,rebreak,fixed_2R_max48,GBP_ADX25_RISK_LE2_5_BBW3_8,GBPJPY + ADX>=25 + risk<=2.5ATR + BB幅3-8ATR,5,40.0,0.8831376212900268,0.17662752425800538,1.286352516789771,2.069816941873781,2,4,25.0,-1.1092383808069,-0.277309595201725,0.6403355554031441,2.069816941873781,2,1,100.0,1.9923760020969268,1.9923760020969268,inf,0.0,0,0,0.0,0.0,0.0,,0.0,0,1.1125886118105341,40.0,40.0,40.0,0.0,0.0,1.7493972021596855
360,3m,rebreak,fixed_2R_no_progress12,GBP_ADX25_RISK_LE2_5_BBW3_8,GBPJPY + ADX>=25 + risk<=2.5ATR + BB幅3-8ATR,5,40.0,0.8831376212900268,0.17662752425800538,1.286352516789771,2.069816941873781,2,4,25.0,-1.1092383808069,-0.277309595201725,0.6403355554031441,2.069816941873781,2,1,100.0,1.9923760020969268,1.9923760020969268,inf,0.0,0,0,0.0,0.0,0.0,,0.0,0,1.1125886118105341,40.0,40.0,40.0,0.0,0.0,1.7493972021596855
480,4m,stagnation,fixed_2R,ADX30_RISK_LE2_BBW3_8,ADX>=30 + risk<=2ATR + BB幅3-8ATR,7,42.857142857142854,1.6568920550871884,0.2366988650124555,1.3933130756440806,1.1322594416970484,2,5,40.0,0.8070811335887356,0.1614162267177471,1.2620057320289537,1.0464018616453588,2,2,50.0,0.8498109214984528,0.4249054607492264,1.7505443454061578,1.1322594416970484,1,0,0.0,0.0,0.0,,0.0,0,1.1498010338575042,57.14285714285714,42.857142857142854,42.857142857142854,14.285714285714285,0.0,1.733708836154972
480,4m,stagnation,fixed_2R_max48,ADX30_RISK_LE2_BBW3_8,ADX>=30 + risk<=2ATR + BB幅3-8ATR,7,42.857142857142854,1.6568920550871884,0.2366988650124555,1.3933130756440806,1.1322594416970484,2,5,40.0,0.8070811335887356,0.1614162267177471,1.2620057320289537,1.0464018616453588,2,2,50.0,0.8498109214984528,0.4249054607492264,1.7505443454061578,1.1322594416970484,1,0,0.0,0.0,0.0,,0.0,0,1.1498010338575042,57.14285714285714,42.857142857142854,42.857142857142854,14.285714285714285,0.0,1.733708836154972
480,4m,stagnation,fixed_2R_no_progress12,ADX30_RISK_LE2_BBW3_8,ADX>=30 + risk<=2ATR + BB幅3-8ATR,7,42.857142857142854,1.6568920550871884,0.2366988650124555,1.3933130756440806,1.1322594416970484,2,5,40.0,0.8070811335887356,0.1614162267177471,1.2620057320289537,1.0464018616453588,2,2,50.0,0.8498109214984528,0.4249054607492264,1.7505443454061578,1.1322594416970484,1,0,0.0,0.0,0.0,,0.0,0,1.1498010338575042,57.14285714285714,42.857142857142854,42.857142857142854,14.285714285714285,0.0,1.733708836154972
