pre_break_regime,trigger_mode,filter,filter_notes,all_trades,all_win_rate,all_total_r,all_avg_r,all_pf,all_max_dd_r,all_max_losing_streak,train_trades,train_win_rate,train_total_r,train_avg_r,train_pf,train_max_dd_r,train_max_losing_streak,test_trades,test_win_rate,test_total_r,test_avg_r,test_pf,test_max_dd_r,test_max_losing_streak,oos_trades,oos_win_rate,oos_total_r,oos_avg_r,oos_pf,oos_max_dd_r,oos_max_losing_streak,avg_mfe_r,hit_1r_rate,hit_1_5r_rate,hit_2r_rate,giveback_1r_to_loss_rate,giveback_1_5r_to_loss_rate,score
mixed_or_wide_range,either,NO_XAU_ADX30_RISK_LE1_5_BBW3_8,XAUUSD除外 + ADX>=30 + risk<=1.5ATR + BB幅3-8ATR,41,43.90243902439025,10.938591592934285,0.26679491690083623,1.4492012175318694,10.075521233577827,9,29,55.172413793103445,18.210782170154744,0.6279580058674049,2.3762599659566903,7.0530150093188215,8,10,20.0,-5.211139789903694,-0.5211139789903694,0.4246968055645936,7.925816091879339,8,2,0.0,-2.0610507873167645,-1.0305253936583822,0.0,1.0188283067138162,2,1.3954876643104182,68.29268292682927,43.90243902439025,43.90243902439025,24.390243902439025,0.0,1.6827244217906099
trend_continuation_break,stagnation,ADX30_RISK_LE2_BBW3_8,ADX>=30 + risk<=2ATR + BB幅3-8ATR,67,34.32835820895522,-2.692672274141701,-0.04018913842002539,0.9426929023289741,31.22169402472371,29,49,24.489795918367346,-17.24233913638064,-0.35188447217103347,0.567683445248698,27.135979525035378,25,15,53.333333333333336,8.596546439388344,0.5731030959592229,2.2102496333073747,3.0621196332170637,4,3,100.0,5.953120422850596,1.984373474283532,inf,0.0,0,1.2741996597750065,56.71641791044776,43.28358208955223,34.32835820895522,22.388059701492537,8.955223880597014,0.5996962955922562
mixed_or_wide_range,either,ADX30_RISK_LE1_5_BBW3_8,ADX>=30 + risk<=1.5ATR + BB幅3-8ATR,45,42.22222222222222,9.804895625478826,0.21788656945508503,1.3575432565276273,10.312631537502902,9,31,54.83870967741935,19.10008146298029,0.6161316600961384,2.337461877311721,8.060588582078653,8,11,18.181818181818183,-6.227266217598888,-0.566115110690808,0.3818600975503103,7.925816091879339,8,3,0.0,-3.0679196199025736,-1.022639873300858,0.0,2.0256971392996252,3,1.3834481289263576,66.66666666666666,42.22222222222222,42.22222222222222,24.444444444444443,0.0,-1.0168921856675972
mixed_or_wide_range,rebreak,NO_XAU_ADX30_RISK_LE1_5_BBW3_8,XAUUSD除外 + ADX>=30 + risk<=1.5ATR + BB幅3-8ATR,5,40.0,0.8254113089370743,0.16508226178741486,1.2635502267474,3.1318937537025553,3,5,40.0,0.8254113089370743,0.16508226178741486,1.2635502267474,3.1318937537025553,3,0,0.0,0.0,0.0,,0.0,0,0,0.0,0.0,0.0,,0.0,0,1.2568962665025976,60.0,40.0,40.0,20.0,0.0,-1.0336828555915052
trend_continuation_break,either,ADX30_RISK_LE2_BBW3_8,ADX>=30 + risk<=2ATR + BB幅3-8ATR,199,30.65326633165829,-24.502318958414552,-0.12312723094680679,0.8288142595603055,60.72098568229774,44,132,21.21212121212121,-54.26753373140327,-0.4111176797833581,0.49800953585786795,60.72098568229774,44,59,50.847457627118644,28.882672442844264,0.489536821065157,1.9641165889874084,10.503567926727115,10,8,37.5,0.882542330144438,0.11031779126805474,1.1740516197579016,5.070578092706157,5,1.196603004056123,53.266331658291456,39.698492462311556,30.65326633165829,22.613065326633166,9.045226130653267,-4.687053111802792
mixed_or_wide_range,rebreak,ADX30_RISK_LE2_BBW3_8,ADX>=30 + risk<=2ATR + BB幅3-8ATR,28,25.0,-7.992659821154243,-0.2854521364697944,0.6322249822890138,12.618686504493574,12,16,12.5,-10.708632648637971,-0.6692895405398732,0.26982966521101465,12.618686504493574,12,5,60.0,3.8477403032579,0.76954806065158,2.893190002182486,1.0162846344920085,1,7,28.57142857142857,-1.1317674757741727,-0.16168106796773896,0.7751807609592849,5.034121993310402,5,1.0247146467800896,35.714285714285715,28.57142857142857,25.0,10.714285714285714,3.571428571428571,-8.039626646958322
mixed_or_wide_range,rebreak,ADX30_RISK_LE1_5_BBW3_8,ADX>=30 + risk<=1.5ATR + BB幅3-8ATR,7,28.57142857142857,-1.2394767582863588,-0.1770681083266227,0.7614914766490037,4.1806553932307935,4,6,33.33333333333333,-0.22335033059116371,-0.037225055098527284,0.9465752831594761,4.1806553932307935,4,1,0.0,-1.0161264276951951,-1.0161264276951951,0.0,0.0,1,0,0.0,0.0,0.0,,0.0,0,1.166881456050789,42.857142857142854,28.57142857142857,28.57142857142857,14.285714285714285,0.0,-8.450773276485778
range_support_break,rebreak,ADX30_RISK_LE2_BBW3_8,ADX>=30 + risk<=2ATR + BB幅3-8ATR,27,22.22222222222222,-10.332717309242776,-0.3826932336756584,0.5321808402668751,21.079676224500012,20,23,13.043478260869565,-15.159303516273674,-0.6591001528814641,0.28085690905182586,21.079676224500012,20,3,100.0,5.833900423745912,1.9446334745819707,inf,0.0,0,1,0.0,-1.0073142167150142,-1.0073142167150142,0.0,0.0,1,0.9521784361081067,40.74074074074074,29.629629629629626,22.22222222222222,18.51851851851852,7.4074074074074066,-10.600547951308442
mixed_or_wide_range,rebreak,GBP_ADX25_RISK_LE2_5_BBW3_8,GBPJPY + ADX>=25 + risk<=2.5ATR + BB幅3-8ATR,12,25.0,-3.317626017636629,-0.2764688348030524,0.6417138338601023,4.120820986261852,4,7,28.57142857142857,-1.2337278247086365,-0.1762468321012338,0.7619864783900387,3.101675497073445,4,4,25.0,-1.075014710471092,-0.268753677617773,0.6495344704323337,2.0444745294292135,3,1,0.0,-1.0088834824569,-1.0088834824569,0.0,0.0,1,1.1486290086892177,50.0,41.66666666666667,25.0,25.0,16.666666666666664,-12.102010422119509
range_support_break,rebreak,ADX30_RISK_LE1_5_BBW3_8,ADX>=30 + risk<=1.5ATR + BB幅3-8ATR,14,21.428571428571427,-5.52315671082459,-0.3945111936303278,0.5173554846086414,11.443529419050929,11,14,21.428571428571427,-5.52315671082459,-0.3945111936303278,0.5173554846086414,11.443529419050929,11,0,0.0,0.0,0.0,,0.0,0,0,0.0,0.0,0.0,,0.0,0,0.9722711875376037,57.14285714285714,35.714285714285715,21.428571428571427,35.714285714285715,14.285714285714285,-12.444728355499992
