symbol,max_entries,basket_id,leg_no,signal_time,entry_time,exit_time,direction,entry,exit_price,basket_sl,basket_tp,sl_dist,pnl_r_clean,pnl_r_after_cost,bars_held,exit_reason,basket_key
XAUUSD,1,3,1,2015-04-06 07:00:00,2015-04-06 08:00:00,2015-04-06 12:00:00,long,1222.186,1216.2924846259255,1216.2924846259255,1239.866546122223,5.893515374074419,-1.0000000000000082,-1.0593873058412362,4,SL,XAUUSD#1#3
XAUUSD,1,4,1,2015-04-24 14:00:00,2015-04-24 15:00:00,2015-04-27 10:00:00,short,1178.274,1184.2906324281757,1184.2906324281757,1160.224102715472,6.016632428175923,-0.9999999999999885,-1.058172076186841,18,SL,XAUUSD#1#4
XAUUSD,1,5,1,2015-09-24 13:00:00,2015-09-24 14:00:00,2015-09-25 03:00:00,long,1152.832,1146.690616441401,1146.690616441401,1171.2561506757972,6.141383558599073,-0.9999999999999956,-1.0569904153779883,12,SL,XAUUSD#1#5
XAUUSD,1,6,1,2015-11-03 10:00:00,2015-11-03 11:00:00,2015-11-03 17:00:00,short,1131.718,1119.2075782720772,1135.8881405759744,1119.2075782720772,4.170140575974279,3.000000000000016,2.916069975670233,6,TP,XAUUSD#1#6
XAUUSD,1,7,1,2016-01-26 03:00:00,2016-01-26 04:00:00,2016-01-27 19:00:00,long,1112.981,1127.48671862331,1108.1457604588966,1127.48671862331,4.835239541103361,2.9999999999999893,2.927614754755186,38,TP,XAUUSD#1#7
XAUUSD,1,8,1,2016-03-28 00:00:00,2016-03-28 01:00:00,2016-03-28 07:00:00,short,1210.889,1217.6952772460231,1217.6952772460231,1190.47016826193,6.806277246023308,-0.9999999999999882,-1.051423118299295,6,SL,XAUUSD#1#8
XAUUSD,1,9,1,2016-04-21 12:00:00,2016-04-21 13:00:00,2016-04-21 13:00:00,long,1268.85,1260.3619075912632,1260.3619075912632,1294.3142772262102,8.488092408736774,-0.9999999999999969,-1.041234235343604,0,SL,XAUUSD#1#9
XAUUSD,1,10,1,2016-04-29 01:00:00,2016-04-29 02:00:00,2016-05-02 09:00:00,long,1273.921,1298.1827138279004,1265.8337620573666,1298.1827138279004,8.087237942633456,3.000000000000003,2.956721936156346,30,TP,XAUUSD#1#10
XAUUSD,1,11,1,2016-05-24 15:00:00,2016-05-24 16:00:00,2016-05-27 02:00:00,short,1230.86,1212.1766980220575,1237.0877673259806,1212.1766980220575,6.227767325980789,3.000000000000004,2.9438000840943443,55,TP,XAUUSD#1#11
XAUUSD,1,12,1,2016-07-05 22:00:00,2016-07-05 23:00:00,2016-07-08 12:00:00,long,1359.449,1350.7298508548581,1350.7298508548581,1385.6064474354257,8.719149145141882,-1.0000000000000084,-1.0401415314928086,59,SL,XAUUSD#1#12
XAUUSD,1,13,1,2016-08-25 12:00:00,2016-08-25 13:00:00,2016-08-26 02:00:00,short,1319.409,1324.1072989914935,1324.1072989914935,1305.3141030255201,4.698298991493334,-1.0000000000000147,-1.0744950461079446,12,SL,XAUUSD#1#13
XAUUSD,1,14,1,2016-10-04 12:00:00,2016-10-04 13:00:00,2016-10-04 16:00:00,short,1291.86,1271.86079005015,1298.5264033166166,1271.86079005015,6.666403316616684,2.999999999999986,2.947497926036395,3,TP,XAUUSD#1#14
XAUUSD,1,15,1,2016-11-11 14:00:00,2016-11-11 15:00:00,2016-11-23 13:00:00,short,1235.911,1193.7408942561015,1249.967701914633,1193.7408942561015,14.056701914632859,3.0000000000000018,2.9751008449830065,183,TP,XAUUSD#1#15
XAUUSD,1,16,1,2017-01-05 15:00:00,2017-01-05 16:00:00,2017-01-06 06:00:00,long,1181.329,1174.0427774095067,1174.0427774095067,1203.18766777148,7.286222590493318,-0.9999999999999911,-1.048035864352639,14,SL,XAUUSD#1#16
XAUUSD,1,17,1,2017-02-02 10:00:00,2017-02-02 11:00:00,2017-02-02 16:00:00,long,1222.259,1215.839453962366,1215.839453962366,1241.5176381129022,6.419546037634083,-0.999999999999997,-1.0545209891709273,5,SL,XAUUSD#1#17
XAUUSD,1,18,1,2017-02-23 13:00:00,2017-02-23 14:00:00,2017-02-27 16:00:00,long,1248.468,1262.890802267726,1243.6603992440914,1262.890802267726,4.807600755908672,2.999999999999987,2.9271986136598307,49,TP,XAUUSD#1#18
XAUUSD,1,19,1,2017-05-03 19:00:00,2017-05-03 20:00:00,2017-05-07 22:00:00,short,1239.568,1222.821356619889,1245.150214460037,1222.821356619889,5.58221446003701,2.9999999999999916,2.9373008682296553,47,TP,XAUUSD#1#19
XAUUSD,1,20,1,2017-08-09 12:00:00,2017-08-09 13:00:00,2017-08-11 12:00:00,long,1274.839,1290.4609939623067,1269.631668679231,1290.4609939623067,5.2073313207689,3.0000000000000115,2.9327870691453533,45,TP,XAUUSD#1#20
XAUUSD,1,21,1,2017-08-28 14:00:00,2017-08-28 15:00:00,2017-08-28 22:00:00,long,1303.672,1319.1101024481732,1298.525965850609,1319.1101024481732,5.146034149391033,3.000000000000008,2.9319864598952354,6,TP,XAUUSD#1#21
XAUUSD,1,22,1,2017-11-17 17:00:00,2017-11-17 18:00:00,2017-11-20 13:00:00,long,1293.399,1288.8026539139905,1288.8026539139905,1307.1880382580277,4.5963460860093,-1.0000000000000135,-1.0761474426535362,18,SL,XAUUSD#1#22
XAUUSD,1,23,1,2017-11-27 13:00:00,2017-11-27 14:00:00,2017-11-27 14:00:00,long,1298.318,1294.2874715806788,1294.2874715806788,1310.4095852579635,4.030528419321138,-1.0000000000000084,-1.0868372490124063,0,SL,XAUUSD#1#23
XAUUSD,1,24,1,2017-12-05 14:00:00,2017-12-05 15:00:00,2017-12-07 12:00:00,short,1267.628,1254.6026009139423,1271.9697996953525,1254.6026009139423,4.341799695352573,2.99999999999998,2.919388266488926,43,TP,XAUUSD#1#24
XAUUSD,1,25,1,2018-01-24 08:00:00,2018-01-24 09:00:00,2018-01-24 18:00:00,long,1347.019,1359.9396359513382,1342.7121213495539,1359.9396359513382,4.306878650446107,2.9999999999999782,2.91873465021728,9,TP,XAUUSD#1#25
XAUUSD,1,26,1,2018-03-01 12:00:00,2018-03-01 13:00:00,2018-03-01 14:00:00,short,1306.491,1310.8493646609056,1310.8493646609056,1293.4159060172829,4.358364660905746,-0.9999999999999747,-1.0803053501097566,1,SL,XAUUSD#1#26
XAUUSD,1,27,1,2018-03-23 06:00:00,2018-03-23 07:00:00,2018-03-28 10:00:00,long,1342.851,1336.9802927499838,1336.9802927499838,1360.4631217500487,5.870707250016215,-1.0000000000000089,-1.0596180298377544,72,SL,XAUUSD#1#27
XAUUSD,1,28,1,2018-04-11 14:00:00,2018-04-11 15:00:00,2018-04-11 18:00:00,long,1359.002,1352.5745706681812,1352.5745706681812,1378.284287995456,6.42742933181868,-1.000000000000012,-1.054454118735706,3,SL,XAUUSD#1#28
XAUUSD,1,29,1,2018-05-15 12:00:00,2018-05-15 13:00:00,2018-05-21 06:00:00,short,1297.528,1283.4133351694893,1302.232888276837,1283.4133351694893,4.704888276836927,2.9999999999999867,2.9256092856182545,85,TP,XAUUSD#1#29
