symbol,timeframe,strategy,family,signal_time,direction,v_start_i,v_extreme_i,v_start,v_extreme,v_move_atr,v_move_bars,v_recovery_bars,v_recovery_to_drop_bars,v_drop_speed_atr_per_bar,v_recovery_speed_atr_per_bar,fib_ratio,trigger_level,entry_time,entry,stop,target,exit_time,exit,exit_reason,bars_held,risk,r_clean,r_after_cost,ladder,stage,note,trigger_type,candidate_i,candidate_recovery_bars,candidate_recovery_to_drop_bars,signal_recovery_bars,signal_fib_ratio,candidate_fib_min,candidate_fib_max
USDJPY,H4,I0_STRICT_100_BODY60_REC1_SPEED1,V字フィボ,2019-04-11 16:00:00,long,8468,8478,111.579,110.843,4.184419467046367,10,6.0,0.6,0.41844194670463664,0.7533092111190928,1.0801630434782779,111.579,2019-04-11 20:00:00,111.638,110.79902735302973,113.31594529394056,2019-05-05 20:00:00,110.79902735302973,SL,100,0.8389726469702765,-1.0,-1.0119193397259174,Immediate V,I0 厳格,完全回復100%、実体60%、回復本数<=下落本数、回復速度>=下落速度,,,,,,,,
USDJPY,H4,I0_STRICT_100_BODY60_REC1_SPEED1,V字フィボ,2019-06-26 16:00:00,long,8799,8810,107.734,106.778,3.8698911421054443,11,9.0,0.8181818181818182,0.35180828564594946,0.4623719309721537,1.0753138075313844,107.734,2019-06-26 20:00:00,107.804,106.71624115686366,109.98551768627267,2019-08-02 12:00:00,106.71624115686366,SL,165,1.087758843136342,-1.0,-1.009193214160556,Immediate V,I0 厳格,完全回復100%、実体60%、回復本数<=下落本数、回復速度>=下落速度,,,,,,,,
XAUUSD,H4,I0_STRICT_100_BODY60_REC1_SPEED1,V字フィボ,2019-08-02 04:00:00,long,8902,8907,1434.258,1400.418,3.6311450252407775,5,4.0,0.8,0.7262290050481555,1.037623297697347,1.1430260047281293,1434.258,2019-08-02 08:00:00,1439.098,1398.0881563993744,1521.117687201251,2019-08-13 04:00:00,1521.117687201251,TP,43,41.00984360062557,2.0,1.9914654636723659,Immediate V,I0 厳格,完全回復100%、実体60%、回復本数<=下落本数、回復速度>=下落速度,,,,,,,,
EURJPY,H4,I0_STRICT_100_BODY60_REC1_SPEED1,V字フィボ,2019-09-05 08:00:00,long,9001,9018,117.9,115.85,6.377062142565771,17,13.0,0.7647058823529411,0.3751213025038689,0.5120792864949598,1.0439024390243847,117.9,2019-09-05 12:00:00,117.98,115.76963383944792,122.43073232110414,2019-10-16 16:00:00,120.44,max_hold,180,2.210366160552084,1.1129377765110005,1.107282604882393,Immediate V,I0 厳格,完全回復100%、実体60%、回復本数<=下落本数、回復速度>=下落速度,,,,,,,,
GBPJPY,H4,I0_STRICT_100_BODY60_REC1_SPEED1,V字フィボ,2019-11-18 00:00:00,long,10906,10918,140.55,139.37,4.252945124552429,12,12.0,1.0,0.3544120937127024,0.39646098618708653,1.1186440677965979,140.55,2019-11-18 04:00:00,140.68,139.30063630228923,143.46872739542152,2019-11-22 16:00:00,139.30063630228923,SL,27,1.3793636977107724,-1.0,-1.0144994391494966,Immediate V,I0 厳格,完全回復100%、実体60%、回復本数<=下落本数、回復速度>=下落速度,,,,,,,,
AUDJPY,H4,I0_STRICT_100_BODY60_REC1_SPEED1,V字フィボ,2020-05-07 20:00:00,long,10188,10196,68.986,67.63,3.901129728838693,8,6.0,0.75,0.48764121610483663,0.7273861601091812,1.1187315634218291,68.986,2020-05-08 00:00:00,69.147,67.54310209514593,72.35479580970816,2020-06-01 00:00:00,72.35479580970816,TP,100,1.6038979048540796,2.0,1.9922064864838602,Immediate V,I0 厳格,完全回復100%、実体60%、回復本数<=下落本数、回復速度>=下落速度,,,,,,,,
USDJPY,H4,I0_STRICT_100_BODY60_REC1_SPEED1,V字フィボ,2020-11-09 12:00:00,long,11004,11018,105.344,103.176,5.52725318276972,14,8.0,0.5714285714285714,0.39480379876926575,0.703654002972531,1.0184501845018479,105.344,2020-11-09 16:00:00,105.384,103.0779404427339,109.99611911453219,2020-12-17 08:00:00,103.0779404427339,SL,171,2.306059557266096,-1.0,-1.0043364014465637,Immediate V,I0 厳格,完全回復100%、実体60%、回復本数<=下落本数、回復速度>=下落速度,,,,,,,,
EURJPY,H4,I0_STRICT_100_BODY60_REC1_SPEED1,V字フィボ,2021-03-17 20:00:00,long,11466,11475,130.46,129.49,4.163814381823681,9,8.0,0.8888888888888888,0.46264604242485335,0.5794999397383394,1.113402061855655,130.46,2021-03-18 00:00:00,130.57,129.43176013199374,132.8464797360125,2021-03-19 08:00:00,129.43176013199374,SL,8,1.1382398680062522,-1.0,-1.0109818680151168,Immediate V,I0 厳格,完全回復100%、実体60%、回復本数<=下落本数、回復速度>=下落速度,,,,,,,,
USDJPY,H4,I0_STRICT_100_BODY60_REC1_SPEED1,V字フィボ,2021-11-01 04:00:00,long,12568,12580,114.312,113.255,4.244545419864239,12,11.0,0.9166666666666666,0.35371211832201993,0.42419900041990727,1.0993377483443745,114.312,2021-11-01 08:00:00,114.42,113.19274362767722,116.86551274464557,2021-11-08 12:00:00,113.19274362767722,SL,32,1.2272563723227847,-1.0,-1.008148256733892,Immediate V,I0 厳格,完全回復100%、実体60%、回復本数<=下落本数、回復速度>=下落速度,,,,,,,,
GBPJPY,H4,I0_STRICT_100_BODY60_REC1_SPEED1,V字フィボ,2022-08-17 04:00:00,long,15277,15287,162.76,160.08,4.438378674690929,10,8.0,0.8,0.44383786746909293,0.6541640210831825,1.1791044776119486,162.76,2022-08-17 08:00:00,163.23,159.92904397549032,169.8619120490194,2022-09-22 04:00:00,159.92904397549032,SL,155,3.3009560245096736,-1.0,-1.0060588507848882,Immediate V,I0 厳格,完全回復100%、実体60%、回復本数<=下落本数、回復速度>=下落速度,,,,,,,,
