ladder,stage,note,trigger_type,trades,win_rate,total_r_after_cost,avg_r_after_cost,pf_after_cost,max_dd_r,max_losing_streak,avg_hold_bars
V Context + Trigger,T0 厳格重なり,61.8-80%候補、下落4ATR、速度0.60、回復<=下落、停滞+再ブレイク重なりのみ,AUDJPY,5,60.0,2.860120175072425,0.5720240350144851,2.420901404731929,1.005890651461214,2,77.0
V Context + Trigger,T0 厳格重なり,61.8-80%候補、下落4ATR、速度0.60、回復<=下落、停滞+再ブレイク重なりのみ,EURJPY,3,33.33333333333333,0.9715137804238283,0.32383792680794277,1.9370879914028927,0.0324501736927989,1,131.0
V Context + Trigger,T0 厳格重なり,61.8-80%候補、下落4ATR、速度0.60、回復<=下落、停滞+再ブレイク重なりのみ,USDJPY,2,50.0,-0.1279065386410606,-0.0639532693205303,0.8583928095757012,0.9032488975864376,1,180.0
V Context + Trigger,T0 厳格重なり,61.8-80%候補、下落4ATR、速度0.60、回復<=下落、停滞+再ブレイク重なりのみ,CHFJPY,1,100.0,1.995794151543929,1.995794151543929,inf,0.0,0,167.0
V Context + Trigger,T1 下落幅だけ緩和,下落幅3.5ATR、速度0.60、回復<=下落、停滞+再ブレイク重なりのみ,AUDJPY,6,50.0,1.8443103310888778,0.3073850551814796,1.6089442968592695,2.0217004954447617,3,72.33333333333333
V Context + Trigger,T1 下落幅だけ緩和,下落幅3.5ATR、速度0.60、回復<=下落、停滞+再ブレイク重なりのみ,XAUUSD,1,100.0,1.9885516782133612,1.9885516782133612,inf,0.0,0,115.0
V Context + Trigger,T1 下落幅だけ緩和,下落幅3.5ATR、速度0.60、回復<=下落、停滞+再ブレイク重なりのみ,EURJPY,4,50.0,2.1467818185368044,0.5366954546342011,3.0707101668030665,1.0042868129474818,1,143.25
V Context + Trigger,T1 下落幅だけ緩和,下落幅3.5ATR、速度0.60、回復<=下落、停滞+再ブレイク重なりのみ,GBPJPY,1,100.0,1.9672479588922802,1.9672479588922802,inf,0.0,0,141.0
V Context + Trigger,T1 下落幅だけ緩和,下落幅3.5ATR、速度0.60、回復<=下落、停滞+再ブレイク重なりのみ,USDJPY,2,50.0,-0.1279065386410606,-0.0639532693205303,0.8583928095757012,0.9032488975864376,1,180.0
V Context + Trigger,T1 下落幅だけ緩和,下落幅3.5ATR、速度0.60、回復<=下落、停滞+再ブレイク重なりのみ,CHFJPY,1,100.0,1.995794151543929,1.995794151543929,inf,0.0,0,167.0
V Context + Trigger,T1 下落幅だけ緩和,下落幅3.5ATR、速度0.60、回復<=下落、停滞+再ブレイク重なりのみ,SILVER,1,0.0,-1.0220919574211422,-1.0220919574211422,0.0,0.0,1,142.0
V Context + Trigger,T2 速度を緩和,下落幅3.5ATR、速度0.30、回復<=下落、停滞+再ブレイク重なりのみ,AUDJPY,9,33.33333333333333,-1.1754877806075452,-0.13060975340083836,0.8056929822013689,4.0382899928936435,4,80.66666666666667
V Context + Trigger,T2 速度を緩和,下落幅3.5ATR、速度0.30、回復<=下落、停滞+再ブレイク重なりのみ,GBPJPY,8,62.5,6.057768572513406,0.7572210715641757,3.4766931242820904,1.440824214230544,2,105.25
V Context + Trigger,T2 速度を緩和,下落幅3.5ATR、速度0.30、回復<=下落、停滞+再ブレイク重なりのみ,XAUUSD,2,100.0,3.982001563627807,1.9910007818139035,inf,0.0,0,118.5
V Context + Trigger,T2 速度を緩和,下落幅3.5ATR、速度0.30、回復<=下落、停滞+再ブレイク重なりのみ,EURJPY,7,42.857142857142854,1.5907650969298353,0.2272521567042622,1.5216343862233812,2.0431816763308417,3,115.0
V Context + Trigger,T2 速度を緩和,下落幅3.5ATR、速度0.30、回復<=下落、停滞+再ブレイク重なりのみ,USDJPY,4,50.0,0.8519713944744405,0.21299284861861012,1.446622994769656,0.9032488975864374,1,98.5
V Context + Trigger,T2 速度を緩和,下落幅3.5ATR、速度0.30、回復<=下落、停滞+再ブレイク重なりのみ,SILVER,3,33.33333333333333,-0.14194036516042274,-0.04731345505347425,0.9315549371000271,1.0250478587254472,1,23.333333333333332
V Context + Trigger,T2 速度を緩和,下落幅3.5ATR、速度0.30、回復<=下落、停滞+再ブレイク重なりのみ,CHFJPY,3,66.66666666666666,3.8441058067079714,1.2813686022359905,29.731645519600235,0.0,1,149.0
V Context + Trigger,T3 回復時間を緩和,回復<=下落x1.5、停滞+再ブレイク重なりのみ,AUDJPY,10,30.0,-2.181972754865364,-0.2181972754865364,0.6907690371643651,5.044774967151462,5,76.0
V Context + Trigger,T3 回復時間を緩和,回復<=下落x1.5、停滞+再ブレイク重なりのみ,GBPJPY,7,71.42857142857143,7.0628543957927965,1.008979199398971,5.901954260648399,1.440824214230544,2,118.57142857142857
V Context + Trigger,T3 回復時間を緩和,回復<=下落x1.5、停滞+再ブレイク重なりのみ,EURJPY,8,50.0,3.580673217768181,0.4475841522210226,2.174153418265116,2.0431816763308417,3,119.375
V Context + Trigger,T3 回復時間を緩和,回復<=下落x1.5、停滞+再ブレイク重なりのみ,XAUUSD,4,50.0,1.9633518262416574,0.49083795656041435,1.972606485354862,2.0186497373861494,2,111.0
V Context + Trigger,T3 回復時間を緩和,回復<=下落x1.5、停滞+再ブレイク重なりのみ,CHFJPY,5,60.0,4.808796431809103,0.9617592863618206,5.203858963593429,0.1337934440297055,2,120.6
V Context + Trigger,T3 回復時間を緩和,回復<=下落x1.5、停滞+再ブレイク重なりのみ,USDJPY,4,50.0,0.8519713944744405,0.21299284861861012,1.446622994769656,0.9032488975864374,1,98.5
V Context + Trigger,T3 回復時間を緩和,回復<=下落x1.5、停滞+再ブレイク重なりのみ,SILVER,4,50.0,0.5168165854980904,0.1292041463745226,1.2492141235665162,1.0250478587254472,1,62.5
V Context + Trigger,T4 再ブレイクのみ,重なり条件を外し、再ブレイク単独も許可,AUDJPY,35,42.857142857142854,2.764174075234647,0.07897640214956135,1.1410296785636298,8.099146174977857,7,91.97142857142858
V Context + Trigger,T4 再ブレイクのみ,重なり条件を外し、再ブレイク単独も許可,GBPJPY,44,52.27272727272727,14.908328488260064,0.338825647460456,1.757581237428699,3.0290153854161526,3,104.79545454545455
V Context + Trigger,T4 再ブレイクのみ,重なり条件を外し、再ブレイク単独も許可,XAUUSD,34,47.05882352941176,10.970466265861988,0.3226607725253526,1.7968965373452899,3.6169963764839848,4,112.6470588235294
V Context + Trigger,T4 再ブレイクのみ,重なり条件を外し、再ブレイク単独も許可,USDJPY,41,46.34146341463415,8.24025260359731,0.2009817708194466,1.4326898424001848,9.364716046580202,8,113.95121951219512
V Context + Trigger,T4 再ブレイクのみ,重なり条件を外し、再ブレイク単独も許可,EURJPY,40,40.0,1.651796885210004,0.0412949221302501,1.0731296644077397,10.029805944285274,5,103.275
V Context + Trigger,T4 再ブレイクのみ,重なり条件を外し、再ブレイク単独も許可,SILVER,33,39.39393939393939,-0.2228829907304406,-0.0067540300221345636,0.9889016311103711,6.293460588932955,4,84.87878787878788
V Context + Trigger,T4 再ブレイクのみ,重なり条件を外し、再ブレイク単独も許可,CHFJPY,26,46.15384615384615,7.346538938085945,0.2825591899263825,1.5901562102846198,4.032756686843984,4,99.96153846153847
V Context + Trigger,T5 停滞または再ブレイク,高値停滞か再ブレイクのどちらかで許可,AUDJPY,42,45.23809523809524,3.7478003026235602,0.0892333405386562,1.1695248471930553,8.596810246622468,8,91.66666666666667
V Context + Trigger,T5 停滞または再ブレイク,高値停滞か再ブレイクのどちらかで許可,EURJPY,49,36.734693877551024,-1.7313458551524548,-0.03533358888066234,0.9397848356633074,10.421850847703558,5,96.6938775510204
V Context + Trigger,T5 停滞または再ブレイク,高値停滞か再ブレイクのどちらかで許可,GBPJPY,49,57.14285714285714,18.630286033579527,0.3802099190526434,1.9045808986953223,3.020438259816119,3,108.0204081632653
V Context + Trigger,T5 停滞または再ブレイク,高値停滞か再ブレイクのどちらかで許可,SILVER,39,35.8974358974359,-4.019772474060866,-0.10307108907848374,0.8374047991017648,8.891854791566466,6,85.41025641025641
V Context + Trigger,T5 停滞または再ブレイク,高値停滞か再ブレイクのどちらかで許可,XAUUSD,39,46.15384615384615,11.518458330696356,0.2953450854024707,1.6887150162557498,3.90879439134207,4,109.74358974358974
V Context + Trigger,T5 停滞または再ブレイク,高値停滞か再ブレイクのどちらかで許可,USDJPY,44,50.0,14.217376817482668,0.32312220039733336,1.7466631011707232,6.364211654978287,5,108.4090909090909
V Context + Trigger,T5 停滞または再ブレイク,高値停滞か再ブレイクのどちらかで許可,CHFJPY,32,46.875,6.684955005939794,0.20890484393561856,1.4101664093777537,5.0459144527921245,5,100.03125
