pre_break_regime,trigger_mode,filter,filter_notes,all_trades,all_win_rate,all_total_r,all_avg_r,all_pf,all_max_dd_r,all_max_losing_streak,train_trades,train_win_rate,train_total_r,train_avg_r,train_pf,train_max_dd_r,train_max_losing_streak,test_trades,test_win_rate,test_total_r,test_avg_r,test_pf,test_max_dd_r,test_max_losing_streak,oos_trades,oos_win_rate,oos_total_r,oos_avg_r,oos_pf,oos_max_dd_r,oos_max_losing_streak,avg_mfe_r,hit_1r_rate,hit_1_5r_rate,hit_2r_rate,giveback_1r_to_loss_rate,giveback_1_5r_to_loss_rate,score
range_support_break,either,GBP_ADX25_RISK_LE4_BBW3_14,GBPJPY + ADX>=25 + risk<=4H1ATR + BB幅3-14H1ATR,7,71.42857142857143,7.829944829155911,1.118563547022273,4.766706206556553,1.0620913839868384,1,4,75.0,4.877438254945993,1.2193595637364982,5.592296226561266,1.0620913839868384,1,1,100.0,1.980903542664965,1.980903542664965,inf,0.0,0,2,50.0,0.9716030315449542,0.4858015157724771,1.9557065637583413,1.0166332098045865,1,2.5565414920268097,85.71428571428571,71.42857142857143,71.42857142857143,14.285714285714285,0.0,16.182466629002803
range_support_break,either,ADX25_RISK_LE4_BBW3_14,ADX>=25 + risk<=4H1ATR + BB幅3-14H1ATR,55,41.81818181818181,8.023323677702349,0.1458786123218609,1.2420017178958094,8.967979965126206,8,31,45.16129032258064,5.648630403824562,0.18221388399434071,1.313861180204475,8.967979965126206,8,18,38.88888888888889,2.4253276459701203,0.1347404247761178,1.2180950982685235,4.203814255740216,4,6,33.33333333333333,-0.050634372092331015,-0.008439062015388502,0.9874551394782601,3.0296557238473274,3,1.4506776497029215,56.36363636363636,47.27272727272727,38.18181818181819,14.545454545454545,9.090909090909092,9.517238028768194
trend_continuation_break,rebreak,GBP_ADX25_RISK_LE4_BBW3_14,GBPJPY + ADX>=25 + risk<=4H1ATR + BB幅3-14H1ATR,90,35.55555555555556,3.931295766574733,0.04368106407305259,1.0662625492467013,22.418714228621155,20,56,32.142857142857146,-3.424249650185036,-0.06114731518187565,0.9121546961226931,20.922170002967057,20,31,41.935483870967744,7.4034910104946,0.23882229066111613,1.4041597383991864,8.097455791247413,8,3,33.33333333333333,-0.04794559373483431,-0.015981864578278104,0.976386055823737,1.0211598824175854,2,1.2459753463546595,54.44444444444444,47.77777777777778,35.55555555555556,18.88888888888889,12.222222222222221,7.451793227551875
mixed_or_wide_range,rebreak,GBP_ADX25_RISK_LE4_BBW3_14,GBPJPY + ADX>=25 + risk<=4H1ATR + BB幅3-14H1ATR,41,39.02439024390244,5.708619380530431,0.1392346190373276,1.223053698927903,11.522454020534184,8,28,46.42857142857143,9.97390121205319,0.35621075757332826,1.6467605428440453,7.257172189011422,7,10,30.0,-1.2175109219118048,-0.12175109219118048,0.8290957621006753,5.139044247547934,5,3,0.0,-3.0477709096109553,-1.015923636536985,0.0,2.0423197648351703,3,1.3297821114542994,51.21951219512195,43.90243902439025,39.02439024390244,12.195121951219512,4.878048780487805,0.14698494417993313
range_support_break,stagnation,ADX25_RISK_LE4_BBW3_14,ADX>=25 + risk<=4H1ATR + BB幅3-14H1ATR,30,40.0,1.462440618007952,0.04874802060026507,1.080780855001218,5.232448046427675,4,12,50.0,1.632916934739636,0.136076411228303,1.2649885230952014,3.2483950351366593,3,12,33.33333333333333,-0.11862944130976905,-0.009885786775814087,0.9849914191728746,4.189816060600304,4,6,33.33333333333333,-0.051846875421915684,-0.008641145903652614,0.9871585947012954,3.030868227176912,3,1.2541666910545397,43.333333333333336,36.666666666666664,33.33333333333333,3.3333333333333335,3.3333333333333335,-1.712253785768411
range_support_break,stagnation,GBP_ADX25_RISK_LE4_BBW3_14,GBPJPY + ADX>=25 + risk<=4H1ATR + BB幅3-14H1ATR,3,33.33333333333333,-0.06895389345364644,-0.02298463115121548,0.9664815165661664,1.0166332098045865,1,1,0.0,-1.0405569249986006,-1.0405569249986006,0.0,0.0,1,0,0.0,0.0,0.0,,0.0,0,2,50.0,0.9716030315449542,0.4858015157724771,1.9557065637583413,1.0166332098045865,1,1.0942419881978187,33.33333333333333,33.33333333333333,33.33333333333333,0.0,0.0,-2.4485692039434888
range_support_break,stagnation,ADX30_RISK_LE3_BBW3_12,ADX>=30 + risk<=3H1ATR + BB幅3-12H1ATR,8,37.5,0.4871254909183005,0.06089068636478756,1.0946506334059152,5.146563455410078,5,1,100.0,1.697040087251804,1.697040087251804,inf,0.0,0,7,28.57142857142857,-1.2099145963335047,-0.17284494233335781,0.7649082525035925,5.146563455410078,5,0,0.0,0.0,0.0,,0.0,0,1.1732709051018275,37.5,37.5,37.5,0.0,0.0,-5.91319950966936
mixed_or_wide_range,rebreak,ADX30_RISK_LE2_BBW3_10,ADX>=30 + risk<=2H1ATR + BB幅3-10H1ATR,1,0.0,-1.0345690262097713,-1.0345690262097713,0.0,0.0,1,0,0.0,0.0,0.0,,0.0,0,1,0.0,-1.0345690262097713,-1.0345690262097713,0.0,0.0,1,0,0.0,0.0,0.0,,0.0,0,0.3069729527430601,0.0,0.0,0.0,0.0,0.0,-11.414327962500582
range_support_break,rebreak,ADX30_RISK_LE2_BBW3_10,ADX>=30 + risk<=2H1ATR + BB幅3-10H1ATR,1,0.0,-1.0345690262097713,-1.0345690262097713,0.0,0.0,1,0,0.0,0.0,0.0,,0.0,0,1,0.0,-1.0345690262097713,-1.0345690262097713,0.0,0.0,1,0,0.0,0.0,0.0,,0.0,0,0.3069729527430601,0.0,0.0,0.0,0.0,0.0,-11.414327962500582
range_support_break,stagnation,ADX30_RISK_LE2_BBW3_10,ADX>=30 + risk<=2H1ATR + BB幅3-10H1ATR,2,0.0,-2.106938689525362,-1.053469344762681,0.0,1.053469344762681,2,0,0.0,0.0,0.0,,0.0,0,2,0.0,-2.106938689525362,-1.053469344762681,0.0,1.053469344762681,2,0,0.0,0.0,0.0,,0.0,0,0.6549230885643599,0.0,0.0,0.0,0.0,0.0,-14.112509832197192
