symbol,timeframe,strategy,family,signal_time,direction,trigger_type,break_i,trigger_i,lookback_bars,prior_low,break_low,low_extreme,pullback_high,bars_after_break,pullback_atr,break_depth_atr,trigger_level,risk_atr_at_signal,open,high,low,close,atr,body_ratio,ema20,ema50,ema200,ema20_slope_10_atr,rsi14,adx14,bb_width_atr,bb_pos,atr_ratio_50,atr_pctile_252,close_location,range5_atr,macd,macd_signal,macd_hist,macd_hist_slope3,entry_time,entry,stop,target,exit_time,exit,exit_reason,bars_held,risk,r_clean,r_after_cost,period,year,month
SILVER,H4,L120_STAG_ONLY,monthly_low_rebreak_short,2017-12-11 12:00:00,short,stagnation,6282,6297,120,15.904,15.857,15.736,15.885,15,1.8013562821311329,0.06495670430178062,15.774,1.4589639477390295,15.845,15.874,15.734,15.774,0.08271545250544302,0.5071428571428659,15.879677906460804,16.130558506560277,16.65255177054535,-1.3192594930392145,30.91442363534486,53.65807190722742,3.8333768635064778,0.30872305009087525,0.8693737795826474,9.126984126984127,0.2857142857142785,1.6925495268346382,-0.099532690909653,-0.12474594813737326,0.025213257227720262,0.0006963176170406843,2017-12-11 16:00:00,15.775,15.89467886312636,15.532642273747276,2017-12-13 16:00:00,15.89467886312636,SL,12,0.11967886312636011,-1.0,-1.2924493021215133,train_2015_2020,2017,2017-12
GBPJPY,H4,L120_STAG_ONLY,monthly_low_rebreak_short,2018-05-25 04:00:00,short,stagnation,8551,8562,120,147.01,145.94,145.94,147.24,11,2.0491951544176685,1.819548147537779,145.96,1.4007018944037537,146.49,146.49,145.8,145.96,0.6343954099234828,0.7681159420289897,147.12566457265578,147.97097999787755,149.17898805873168,-2.040328838966986,33.10386642669364,39.09105818900925,7.880669570252164,0.2250703407253658,1.360961968401539,98.80952380952381,0.2318840579710103,2.175299471612576,-0.7262305272444962,-0.6600876553761187,-0.06614287186837753,0.0870536633841491,2018-05-25 08:00:00,145.97,146.84859885248088,144.18280229503827,2018-05-29 04:00:00,144.18280229503827,TP,11,0.8785988524808772,2.0341452756457197,2.0113817585485734,train_2015_2020,2018,2018-05
CHFJPY,H4,L120_STAG_ONLY,monthly_low_rebreak_short,2019-04-22 12:00:00,short,stagnation,8513,8526,120,110.368,110.206,110.172,110.457,13,1.9352642520625025,0.7430514995664269,110.225,1.3160929388555533,110.302,110.309,110.166,110.225,0.14726671031940916,0.5384615384616226,110.47355888027194,110.8230435157074,111.0528908952087,-2.11432580210044,31.861921268089816,43.44907153081055,6.464889745089878,0.2866212736698709,0.7810462596654358,0.3968253968253968,0.4125874125873931,1.4667265910369172,-0.22454178377418543,-0.2431160472095273,0.018574263435341853,0.01576377115228572,2019-04-22 16:00:00,110.224,110.41881667757985,109.83736664484027,2019-04-23 08:00:00,109.83736664484027,TP,4,0.19481667757985122,1.9846009076982536,1.8819402923522566,train_2015_2020,2019,2019-04
AUDJPY,H4,L120_STAG_ONLY,monthly_low_rebreak_short,2019-07-29 00:00:00,short,rebreak+stagnation,8953,8957,120,75.132,75.023,74.996,75.115,4,0.8118155837900843,0.31684899832100794,74.958,1.3415167513143527,75.021,75.033,74.902,74.958,0.14658501558251716,0.48091603053436854,75.32722866199013,75.5357552607893,75.61847696394783,-1.7814343828138122,27.578315733964402,33.10293634586705,5.127185956508174,0.0025071784279418734,0.8934806687397978,0.7936507936507936,0.42748091603051364,2.824299594026023,-0.18275056562335124,-0.1474422544541798,-0.035308311169171436,-0.005953328086262949,2019-07-29 04:00:00,74.958,75.15464625389562,74.56470749220875,2019-07-29 12:00:00,75.15464625389562,SL,2,0.19664625389562218,-1.0,-1.0635659197790948,train_2015_2020,2019,2019-07
CHFJPY,H4,L120_STAG_ONLY,monthly_low_rebreak_short,2019-10-03 04:00:00,short,rebreak+stagnation,9248,9253,120,107.853,107.472,107.331,107.521,5,0.7260839247026164,1.4103227376147205,107.142,1.7365612984701368,107.378,107.433,106.93,107.142,0.2616777393574942,0.4691848906560719,107.97684354974857,108.30995473058498,108.50448098895872,-2.024546819447755,22.91665631896825,31.81774476758693,7.832316991645968,0.02526002237759372,1.1286545628549236,64.28571428571429,0.4214711729622048,2.4610423553078116,-0.3318380280063735,-0.21858053297350566,-0.11325749503286786,-0.004361824951585769,2019-10-03 08:00:00,107.142,107.59641943483938,106.23316113032124,2019-10-04 12:00:00,107.59641943483938,SL,7,0.4544194348393802,-1.0,-1.044012202090519,train_2015_2020,2019,2019-10
XAUUSD,H4,L120_STAG_ONLY,monthly_low_rebreak_short,2019-11-08 08:00:00,short,rebreak+stagnation,9341,9346,120,1473.925,1467.945,1465.645,1472.868,5,1.0931908238384327,0.645069654680855,1462.175,1.8683704110901964,1471.645,1472.868,1462.125,1462.175,6.607263656530174,0.8815042353160274,1481.7897657678689,1490.6758046475993,1495.15090375123,-2.139486187850113,23.136092012909117,43.86549659428827,7.101201840866562,0.05364519510164691,1.187757692949539,40.07936507936508,0.004654193428274673,1.8721819868311471,-8.888134942243823,-6.894183817493122,-1.9939511247507014,0.33905386024568873,2019-11-08 12:00:00,1462.135,1474.5198159141326,1437.4853681717348,2019-11-14 16:00:00,1474.5198159141326,SL,26,12.38481591413256,-1.0,-1.028260411977601,train_2015_2020,2019,2019-11
XAUUSD,H4,L120_STAG_ONLY,monthly_low_rebreak_short,2021-03-03 08:00:00,short,stagnation,11412,11432,120,1760.44,1755.205,1724.545,1766.895,20,3.278115104045327,0.09403030792506128,1724.075,1.5172024171977747,1733.315,1733.615,1721.325,1724.075,12.91900944775804,0.7518307567127775,1738.8184851729425,1760.7632629169534,1807.3605472381525,-1.4002377667182888,36.8369249052877,40.315320094223374,3.64404046102052,0.298207815565437,1.0973491506604554,80.15873015873017,0.22375915378356454,1.480067034343575,-11.748134678021643,-13.751185306141117,2.0030506281194747,0.48407733024984445,2021-03-03 12:00:00,1724.155,1743.6757523619394,1684.8734952761213,2021-03-08 12:00:00,1684.8734952761213,TP,19,19.520752361939458,2.0122946080944977,1.9943649712899987,test_2021_2024,2021,2021-03
SILVER,H4,L120_STAG_ONLY,monthly_low_rebreak_short,2021-04-05 04:00:00,short,stagnation,11533,11570,120,24.814,24.645,24.645,25.249,37,2.6490780200882447,0.5736943192805054,24.74,1.5482236654737254,24.879,24.88,24.597,24.74,0.22800385470711015,0.49116607773853016,24.62300032307091,24.825669123747808,25.65745547197492,0.8066146613208685,53.130901571788556,37.849160239538115,6.150549487822953,0.731433118218043,0.9170242160318228,2.7777777777777777,0.5053003533568844,1.9254060444018892,0.032350870319977076,-0.0632936834473441,0.09564455376732117,-0.021346331159542903,2021-04-05 08:00:00,24.743,25.09300096367678,24.033998072646437,2021-04-06 04:00:00,25.09300096367678,SL,5,0.3500009636767807,-1.0,-1.0999997246645354,test_2021_2024,2021,2021-04
SILVER,H4,L120_STAG_ONLY,monthly_low_rebreak_short,2021-08-12 08:00:00,short,stagnation,12123,12147,120,24.481,24.186,22.062,24.358,24,10.506779926536105,0.7926357320807417,23.356,1.1881053505835721,23.475,23.484,23.351,23.356,0.21852556311769528,0.8947368421052435,23.64514253521962,24.213736003131025,25.278183092875334,-1.5712746340335177,32.702924498520446,64.63548974187076,3.1694139909878203,0.29309786523917264,0.9151645514073646,74.20634920634922,0.03759398496242449,1.052508442118166,-0.28718211667725413,-0.3496253573653103,0.06244324068805618,-0.004867894330124856,2021-08-12 12:00:00,23.351,23.615631390779424,22.836737218441158,2021-08-13 12:00:00,23.615631390779424,SL,6,0.26463139077942444,-1.0,-1.1322594416970484,test_2021_2024,2021,2021-08
EURJPY,H4,L120_STAG_ONLY,monthly_low_rebreak_short,2021-11-10 00:00:00,short,stagnation,12495,12501,120,130.74,130.67,130.67,131.23,6,2.1456924055310806,0.13590323000755197,130.68,1.284530266952424,130.89,130.92,130.65,130.68,0.2609880141983336,0.7777777777777544,131.09555889726965,131.47718561747732,131.21793955839524,-1.4822212674408375,35.00198592780556,40.098667141455024,3.7277082914930815,0.08782476901162786,0.8533596120844871,38.88888888888889,0.1111111111111228,1.1494780743915802,-0.2534705532848136,-0.24184126501615305,-0.011629288268660554,0.013825138342370868,2021-11-10 04:00:00,130.7,131.01524700354958,130.00950599290087,2021-11-10 08:00:00,131.01524700354958,SL,1,0.3152470035495867,-1.0,-1.0396514474657725,test_2021_2024,2021,2021-11
EURJPY,H4,L120_STAG_ONLY,monthly_low_rebreak_short,2022-03-03 08:00:00,short,stagnation,12968,12999,120,128.34,127.91,127.91,130.27,31,4.5719333523104595,0.2654327294558276,128.12,1.102394353820563,128.32,128.38,128.12,128.12,0.5161930015465712,0.7692307692307524,128.46996112478473,129.11588769377883,129.9296721399499,-0.899678888468944,42.24012086496313,32.628970075652674,4.283119783106971,0.3579774468498708,0.9685087277733427,87.3015873015873,0.0,1.1042381401766592,-0.3140368819936441,-0.3708461431009864,0.0568092611073423,0.016332080608911392,2022-03-03 12:00:00,128.13,128.68904825038663,126.98190349922675,2022-03-03 20:00:00,126.98190349922675,TP,2,0.5590482503866383,2.053662631050584,2.031303201446174,test_2021_2024,2022,2022-03
SILVER,H4,L120_STAG_ONLY,monthly_low_rebreak_short,2023-05-16 04:00:00,short,rebreak+stagnation,14933,14950,120,24.479,24.126,23.936,24.204,17,1.2647214476669377,1.193465117163943,23.879,1.7837107107901304,24.032,24.035,23.684,23.879,0.21190436874015758,0.4358974358974333,24.235588858859874,24.690934061063782,24.598838630278216,-1.8576825174907385,28.85172798616243,44.937320246592016,5.94975411753525,0.31848522232081566,0.9260493905963655,17.46031746031746,0.5555555555555578,2.4539371372641994,-0.29518266812909033,-0.3357483616070496,0.04056569347795924,0.010652768247248867,2023-05-16 08:00:00,23.879,24.25697609218504,23.12304781562992,2023-05-23 08:00:00,23.12304781562992,TP,31,0.37797609218504036,2.0,1.9074015507233042,test_2021_2024,2023,2023-05
GBPJPY,H4,L120_STAG_ONLY,monthly_low_rebreak_short,2023-12-13 08:00:00,short,stagnation,17357,17384,120,184.45,184.05,181.89,184.27,27,3.768595797646796,0.8083773749853637,182.35,1.4217482732179283,182.75,182.75,182.23,182.35,0.6315349609756914,0.769230769230765,182.81717040290772,183.69830968815452,184.70632851161713,-0.3708796500319141,41.33540589566488,30.06428859230172,4.292818630172977,0.3755101798506254,0.9995449472364917,90.47619047619048,0.23076923076923497,1.3617615067127158,-0.254562962063261,-0.32600351508580305,0.07144055302254204,-0.05035523409580556,2023-12-13 12:00:00,182.32,183.24788374024394,180.5542325195121,2023-12-13 16:00:00,180.5542325195121,TP,1,0.9278837402439422,1.9030050898657387,1.8814506653914789,test_2021_2024,2023,2023-12
AUDJPY,H4,L120_STAG_ONLY,monthly_low_rebreak_short,2024-07-22 00:00:00,short,stagnation,16948,16963,120,105.25,104.974,104.614,105.77,15,3.364717275058614,0.5320364403672158,105.052,1.332763690589786,105.404,105.404,104.992,105.052,0.3435652702736678,0.8543689320388266,105.5784411355,106.35007263650338,106.13495210985141,-1.367571653321813,33.9828293668582,53.240471765038734,4.33476421773448,0.2655905516038055,0.9808251884814817,72.61904761904762,0.14563106796117342,1.4960767122665448,-0.40312539674043535,-0.46419793768454176,0.06107254094410641,-0.004473647361406097,2024-07-22 04:00:00,105.054,105.50989131756842,104.13621736486319,2024-07-22 12:00:00,104.13621736486319,TP,2,0.4558913175684154,2.0131610315195037,1.985742215853832,test_2021_2024,2024,2024-07
USDJPY,H4,L120_STAG_ONLY,monthly_low_rebreak_short,2024-07-22 04:00:00,short,stagnation,16960,16979,120,157.163,157.009,156.149,157.862,19,3.0539811758386777,0.16044435004448554,156.81,1.6762609110747166,157.476,157.512,156.284,156.81,0.5609071901137614,0.5423452768729577,157.332907857454,158.10536146197234,158.58903154782945,-0.01979829147617865,39.86207818708003,31.303685651716766,3.883782603326597,0.4372028147031555,0.9986178831380177,86.11111111111111,0.42833876221498923,2.3640274601063442,-0.219960148549319,-0.3266090699282105,0.10664892137889148,-0.07431560915466379,2024-07-22 08:00:00,156.809,157.75022679752846,154.9295464049431,2024-07-24 04:00:00,154.9295464049431,TP,11,0.9412267975284578,1.9968126704340634,1.9861882385476681,test_2021_2024,2024,2024-07
CHFJPY,H4,L120_STAG_ONLY,monthly_low_rebreak_short,2024-11-28 20:00:00,short,stagnation,17539,17549,120,172.027,171.662,171.259,171.878,10,1.2297328623683723,0.42074147990718036,171.317,1.3645074891577176,171.558,171.631,171.097,171.317,0.5033613550896352,0.45131086142320065,172.15334818729562,173.17551689543544,174.00366424717276,-2.144459809971446,29.330977095697875,45.49001029149255,7.308164074480173,0.24194319159518124,0.8475635458752321,42.46031746031746,0.41198501872659593,1.5515692496117472,-0.6375516469358615,-0.6461461020113316,0.008594455075470075,0.0411294287833901,2024-11-29 00:00:00,171.316,172.0038403387724,169.94331932245524,2024-11-29 16:00:00,169.94331932245524,TP,4,0.6878403387723893,1.9956385227342606,1.9665620076294958,test_2021_2024,2024,2024-11
GBPJPY,H4,L120_STAG_ONLY,monthly_low_rebreak_short,2025-01-15 04:00:00,short,stagnation,18805,18818,120,192.197,191.107,190.067,192.986,13,3.3804280892581278,1.3017093987849668,191.916,1.4891428761583285,192.673,192.7,191.171,191.916,0.8635001020360678,0.49509483322433406,192.76789328774336,193.94083110305937,194.06758226985656,-0.6205775234373668,38.355712649940855,46.021962900282354,4.5215657425533955,0.37370569726156916,1.1504715025388546,63.888888888888886,0.48724656638326114,2.1019105796517747,-0.5934701855554749,-0.7730243759863193,0.17955419043084442,-0.014510067819794359,2025-01-15 08:00:00,191.922,193.201875025509,189.344249948982,2025-01-17 04:00:00,189.344249948982,TP,11,1.279875025509,2.014063873144835,1.9984373474283665,oos_2025_2026,2025,2025-01
