case,notes,all_trades,all_win_rate,all_total_r,all_avg_r,all_pf,all_max_dd_r,all_max_losing_streak,train_trades,train_win_rate,train_total_r,train_avg_r,train_pf,train_max_dd_r,train_max_losing_streak,test_trades,test_win_rate,test_total_r,test_avg_r,test_pf,test_max_dd_r,test_max_losing_streak,oos_trades,oos_win_rate,oos_total_r,oos_avg_r,oos_pf,oos_max_dd_r,oos_max_losing_streak,score
L240_REBREAK_PB075__GBP_ADX25_RISK_LE2_5_BBW3_8,GBPJPY + ADX>=25 + risk<=2.5ATR + BB幅3-8ATR,5,20.0,-2.157872706470923,-0.4315745412941846,0.47763981709377135,3.1206556489803754,3,5,20.0,-2.157872706470923,-0.4315745412941846,0.47763981709377135,3.1206556489803754,3,0,0.0,0.0,0.0,,0.0,0,0,0.0,0.0,0.0,,0.0,0,-6.118269508093168
L360_REBREAK_PB075__GBP_AUD_ADX25_RISK_LE3,GBPJPY/AUDJPY + ADX>=25 + risk<=3ATR,25,24.0,-7.037816783748474,-0.28151267134993896,0.6357540352125705,9.376224162877792,6,21,19.047619047619047,-9.35995244730243,-0.44571202130011567,0.45847908316998476,9.24603759526267,6,3,66.66666666666666,3.333760189632459,1.111253396544153,4.251123945005003,0.0,1,1,0.0,-1.0116245260785017,-1.0116245260785017,0.0,0.0,1,-6.153041861556359
L240_STAG_ONLY__GBP_ADX25_RISK_LE2_5_BBW3_8,GBPJPY + ADX>=25 + risk<=2.5ATR + BB幅3-8ATR,8,25.0,-2.1287042975743047,-0.2660880371967881,0.6524363252763247,2.0520462039340863,3,7,28.57142857142857,-1.122597530631303,-0.16037107580447185,0.7806800752302838,2.0261784103171405,3,1,0.0,-1.0061067669430015,-1.0061067669430015,0.0,0.0,1,0,0.0,0.0,0.0,,0.0,0,-6.328879859679945
L240_REBREAK_PB075__STAG_ADX25,stagnation系 + ADX>=25,12,16.666666666666664,-6.2698382221432585,-0.5224865185119382,0.3851592231642913,9.187669025530308,10,10,0.0,-10.197499024724932,-1.0197499024724932,0.0,9.187669025530308,10,2,100.0,3.927660802581673,1.9638304012908365,inf,0.0,0,0,0.0,0.0,0.0,,0.0,0,-6.402537644048726
L360_EITHER_PB100__GBP_ADX25_RISK_LE2_BARS_LE24,GBPJPY + ADX>=25 + risk<=2ATR + 24本以内,9,22.22222222222222,-3.1581313116296363,-0.3509034790699596,0.5586598864810767,3.11488914623541,3,9,22.22222222222222,-3.1581313116296363,-0.3509034790699596,0.5586598864810767,3.11488914623541,3,0,0.0,0.0,0.0,,0.0,0,0,0.0,0.0,0.0,,0.0,0,-6.63271110705721
L360_REBREAK_PB075__STAG_ADX25,stagnation系 + ADX>=25,13,23.076923076923077,-4.355252470312603,-0.3350194207932772,0.5790523644165646,5.318666518238826,5,11,18.181818181818183,-5.259321098787426,-0.478120099889766,0.4330874368646933,4.249491099592802,4,2,50.0,0.9040686284748223,0.45203431423741114,1.8455755834900422,0.0,1,0,0.0,0.0,0.0,,0.0,0,-6.924860896709898
L360_STAG_ONLY__GBP_AUD_ADX25,GBPJPY/AUDJPY + ADX>=25,17,29.411764705882355,-2.3866260765715577,-0.14038976921009164,0.7738607719867578,4.902254173441345,6,15,33.33333333333333,-1.0396270185067564,-0.06930846790045044,0.8870804226482042,3.555255115376542,4,2,0.0,-1.3469990580648028,-0.6734995290324014,0.0,0.3408922911218013,2,0,0.0,0.0,0.0,,0.0,0,-7.0607762810927985
L360_EITHER_PB075__ADX30_RISK_LE1_5_BBW3_8,ADX>=30 + risk<=1.5ATR + BB幅3-8ATR,8,25.0,-2.3711470738188973,-0.29639338422736217,0.6216422467764458,4.232951500307754,4,7,28.57142857142857,-1.238887632121849,-0.17698394744597842,0.7587217917225935,3.1006920586107056,3,1,0.0,-1.1322594416970484,-1.1322594416970484,0.0,0.0,1,0,0.0,0.0,0.0,,0.0,0,-7.488098785801775
L360_EITHER_PB100__ADX30_RISK_LE1_5_BBW3_8,ADX>=30 + risk<=1.5ATR + BB幅3-8ATR,8,25.0,-2.407918599462194,-0.30098982493277426,0.6180160152953794,4.269723025951051,4,7,28.57142857142857,-1.2756591577651455,-0.18223702253787794,0.7533269175911236,3.137463584254002,3,1,0.0,-1.1322594416970484,-1.1322594416970484,0.0,0.0,1,0,0.0,0.0,0.0,,0.0,0,-7.560671627864021
L360_REBREAK_PB075__GBP_ADX25_RISK_LE2_BARS_LE24,GBPJPY + ADX>=25 + risk<=2ATR + 24本以内,1,0.0,-1.0142754600044015,-1.0142754600044015,0.0,0.0,1,1,0.0,-1.0142754600044015,-1.0142754600044015,0.0,0.0,1,0,0.0,0.0,0.0,,0.0,0,0,0.0,0.0,0.0,,0.0,0,-7.585652760026409
L120_REBREAK_PB075__GBP_ADX25_RISK_LE2_5_BBW3_8,GBPJPY + ADX>=25 + risk<=2.5ATR + BB幅3-8ATR,9,22.22222222222222,-3.478109978133567,-0.386456664237063,0.5135705735954796,3.4099561096079847,3,5,20.0,-2.135146732234058,-0.4270293464468116,0.4799520292158679,2.066992863708476,2,2,50.0,0.6881427769916773,0.3440713884958386,1.6789710525516222,1.0135082702061997,1,2,0.0,-2.031106022891186,-1.015553011445593,0.0,1.0088834824569002,2,-7.717097587637882
L120_REBREAK_PB075__ADX30_RISK_LE1_5_BBW3_8,ADX>=30 + risk<=1.5ATR + BB幅3-8ATR,6,16.666666666666664,-3.2342469021520457,-0.5390411503586743,0.3782720818999548,3.133992715680116,3,6,16.666666666666664,-3.2342469021520457,-0.5390411503586743,0.3782720818999548,3.133992715680116,3,0,0.0,0.0,0.0,,0.0,0,0,0.0,0.0,0.0,,0.0,0,-7.834678750965491
L240_STAG_ONLY__GBP_AUD_ADX25_RISK_LE3,GBPJPY/AUDJPY + ADX>=25 + risk<=3ATR,12,25.0,-3.170139738954618,-0.2641783115795515,0.6540119843200961,5.063733437571276,5,11,27.27272727272727,-2.1640329720116167,-0.19673027018287426,0.7346849167226602,5.063733437571276,5,1,0.0,-1.0061067669430015,-1.0061067669430015,0.0,0.0,1,0,0.0,0.0,0.0,,0.0,0,-8.1121128223396
L120_REBREAK_PB075__GBP_AUD_ADX25_RISK_LE3,GBPJPY/AUDJPY + ADX>=25 + risk<=3ATR,48,27.083333333333332,-10.547385376214095,-0.21973719533779365,0.7040098287001505,10.696872025351883,6,34,23.52941176470588,-10.682659195934969,-0.31419585870396965,0.5968451625444307,9.672309502078386,6,10,50.0,4.1913157852903025,0.41913157852903027,1.8249742249056424,3.042470705583124,3,4,0.0,-4.056041965569426,-1.0140104913923564,0.0,3.044417439490924,4,-8.32930585260543
L360_EITHER_PB075__GBP_AUD_ADX25_RISK_LE3,GBPJPY/AUDJPY + ADX>=25 + risk<=3ATR,33,24.242424242424242,-9.129619762807033,-0.27665514432748584,0.6407225039157919,12.3210179236657,6,29,20.689655172413794,-11.451755426360995,-0.3948881181503791,0.5100646100339729,12.3210179236657,6,3,66.66666666666666,3.333760189632459,1.111253396544153,4.251123945005003,0.0,1,1,0.0,-1.0116245260785017,-1.0116245260785017,0.0,0.0,1,-8.951787176996408
L360_REBREAK_PB075__ADX30_RISK_LE1_5_BBW3_8,ADX>=30 + risk<=1.5ATR + BB幅3-8ATR,2,0.0,-2.0707834430844354,-1.0353917215422177,0.0,1.0483299356357858,2,2,0.0,-2.0707834430844354,-1.0353917215422177,0.0,1.0483299356357858,2,0,0.0,0.0,0.0,,0.0,0,0,0.0,0.0,0.0,,0.0,0,-9.009824534704471
L360_STAG_ONLY__ADX25_RISK_LE3,ADX>=25 + risk<=3ATR,35,28.57142857142857,-8.029790734633869,-0.22942259241811053,0.6940785113382402,14.076810411094877,8,27,25.925925925925924,-8.639270273849817,-0.3199729731055488,0.5864731915559446,10.7149759517385,8,8,37.5,0.6094795392159482,0.07618494240199353,1.1137895530417912,5.356199430646376,5,0,0.0,0.0,0.0,,0.0,0,-10.587808479335978
L360_REBREAK_PB075__ADX30_RISK_LE2_BBW3_8,ADX>=30 + risk<=2ATR + BB幅3-8ATR,16,18.75,-7.615992586000286,-0.47599953662501787,0.4336360365377149,10.408686757614012,11,12,8.333333333333332,-9.432579325994,-0.7860482771661667,0.17374540374595066,10.408686757614012,11,3,66.66666666666666,2.8239009567087265,0.9413003189029089,3.7582891816726134,0.0,1,1,0.0,-1.0073142167150142,-1.0073142167150142,0.0,0.0,1,-10.928674486928074
L240_EITHER_PB100__ADX30_RISK_LE1_5_BBW3_8,ADX>=30 + risk<=1.5ATR + BB幅3-8ATR,13,23.076923076923077,-4.574013867710624,-0.35184722059312495,0.5635979791129948,5.407567741848162,5,11,27.27272727272727,-2.399531945410627,-0.21813926776460246,0.7111333375564499,3.2330858195481653,3,1,0.0,-1.1322594416970484,-1.1322594416970484,0.0,0.0,1,1,0.0,-1.0422224806029483,-1.0422224806029483,0.0,0.0,1,-11.819933089570867
L360_EITHER_PB100__GBP_AUD_ADX25_RISK_LE3,GBPJPY/AUDJPY + ADX>=25 + risk<=3ATR,31,22.58064516129032,-11.749348991688402,-0.37901125779640005,0.5193939902088878,15.35804484964911,12,27,18.51851851851852,-14.07148465524236,-0.5211660983423096,0.3720863303273078,15.35804484964911,12,3,66.66666666666666,3.333760189632459,1.111253396544153,4.251123945005003,0.0,1,1,0.0,-1.0116245260785017,-1.0116245260785017,0.0,0.0,1,-12.963882218425104
L360_EITHER_PB100__ADX30_RISK_LE2_BBW3_8,ADX>=30 + risk<=2ATR + BB幅3-8ATR,25,20.0,-10.978640985245384,-0.4391456394098154,0.4697747244330939,12.779062380516212,12,20,15.0,-11.662968283542046,-0.5831484141771023,0.3351500080293372,12.606505296537183,12,4,50.0,1.6916415150116781,0.42291037875291954,1.78460342164261,1.1322594416970484,2,1,0.0,-1.0073142167150142,-1.0073142167150142,0.0,0.0,1,-14.361897780472901
L240_REBREAK_PB075__ADX30_RISK_LE1_5_BBW3_8,ADX>=30 + risk<=1.5ATR + BB幅3-8ATR,5,0.0,-5.165347787332111,-1.0330695574664222,0.0,4.142894279883461,5,4,0.0,-4.1492213596369165,-1.0373053399092291,0.0,3.1267678521882667,4,1,0.0,-1.0161264276951951,-1.0161264276951951,0.0,0.0,1,0,0.0,0.0,0.0,,0.0,0,-14.390608786177882
L240_EITHER_PB075__ADX30_RISK_LE1_5_BBW3_8,ADX>=30 + risk<=1.5ATR + BB幅3-8ATR,14,21.428571428571427,-5.559775423955939,-0.3971268159968528,0.5151480431280635,7.421579850444796,7,11,27.27272727272727,-2.369167073960747,-0.21537882490552243,0.7137423961282635,4.230971500449604,4,2,0.0,-2.1483858693922437,-1.0741929346961219,0.0,1.0161264276951953,2,1,0.0,-1.0422224806029483,-1.0422224806029483,0.0,0.0,1,-15.108235227511704
L120_STAG_ONLY__GBP_AUD_ADX25,GBPJPY/AUDJPY + ADX>=25,42,26.190476190476193,-9.820183961441014,-0.23381390384383366,0.6504881275601138,12.401174998564736,10,32,25.0,-9.341971769904577,-0.291936617809518,0.5705435155063258,8.335472381939502,6,8,25.0,-1.4674744263797028,-0.18343430329746285,0.7249173487759595,3.019010386308706,4,2,50.0,0.9892622348432649,0.49463111742163246,1.9802681640742925,1.0091751125851016,1,-15.140270742310806
L360_EITHER_PB075__ADX30_RISK_LE2_BBW3_8,ADX>=30 + risk<=2ATR + BB幅3-8ATR,26,19.230769230769234,-12.062296030880022,-0.4639344627261547,0.446411219164968,13.895287844775728,12,21,14.285714285714285,-12.746623329176684,-0.6069820632941278,0.3156509880699193,13.722730760796699,12,4,50.0,1.6916415150116781,0.42291037875291954,1.78460342164261,1.1322594416970484,2,1,0.0,-1.0073142167150142,-1.0073142167150142,0.0,0.0,1,-15.871916814022242
L120_EITHER_PB075__STAG_ADX25,stagnation系 + ADX>=25,64,29.6875,-12.812640202888563,-0.2001975031701338,0.7252261579541582,20.657605845425856,9,51,27.450980392156865,-14.448226762535786,-0.28329856397128994,0.6231259115985813,16.434964165177046,6,11,36.36363636363637,0.6463013029126135,0.05875466390114668,1.0887337481396047,3.0903822385517614,4,2,50.0,0.9892852567346093,0.49464262836730466,1.980313340137372,1.0091520906937572,1,-16.783351067772617
L360_EITHER_PB075__STAG_ADX25,stagnation系 + ADX>=25,31,22.58064516129032,-11.187435798232732,-0.360885025749443,0.5535903366479338,12.120727373641959,8,27,22.22222222222222,-9.937087442863415,-0.36804027566160796,0.5449494228946536,10.766109337302794,8,4,25.0,-1.250348355369318,-0.3125870888423295,0.6121257903438886,2.0913329607931166,3,0,0.0,0.0,0.0,,0.0,0,-16.84397496679648
L240_STAG_ONLY__GBP_AUD_ADX25,GBPJPY/AUDJPY + ADX>=25,26,15.384615384615385,-11.661363692784745,-0.44851398818402866,0.40678463019183125,11.006096008279588,8,23,17.391304347826086,-9.379885644448636,-0.4078211149760277,0.46019439614999114,8.72461795994348,6,3,0.0,-2.281478048336108,-0.7604926827787026,0.0,1.270880392097972,3,0,0.0,0.0,0.0,,0.0,0,-19.170890078087112
