strategy,symbol,direction,signal_time,entry_time,exit_time,entry,exit,r,exit_reason,trigger_type,overlap_bucket,overlap_count,overlap_tb_r_sum,overlap_same_dir_count,overlap_opp_dir_count,overlap_tb_entries,overlap_tb_exits,overlap_tb_directions,overlap_tb_after_t5_hours_median
H4 T5 MACD BB,USDJPY,long,2019-02-04 00:00:00,2019-02-04 04:00:00,2019-03-01 08:00:00,109.615,111.96373838022797,1.9914847902310684,TP,stagnation,overlap_same_direction,1,-1.050326379580227,1,0,2019-02-25 18:00:00,2019-02-26,long,518.0
H4 T5 MACD BB,EURJPY,long,2019-02-04 04:00:00,2019-02-04 08:00:00,2019-02-08 00:00:00,125.61,124.30161276854348,-1.0095537465510678,SL,stagnation,free,0,0.0,0,0,,,,
H4 T5 MACD BB,XAUUSD,long,2019-05-05 20:00:00,2019-05-06 00:00:00,2019-06-03 16:00:00,1284.158,1322.1482851411877,1.9800106706938685,TP,rebreak,overlap_same_direction,1,-1.0677175231100746,1,0,2019-05-13 14:00:00,2019-05-16 12:00:00,long,182.0
H4 T5 MACD BB,CHFJPY,long,2019-06-03 16:00:00,2019-06-03 20:00:00,2019-06-30 20:00:00,108.814,110.73743623388046,1.9792038855796523,TP,rebreak,free,0,0.0,0,0,,,,
H4 T5 MACD BB,GBPJPY,long,2020-02-05 08:00:00,2020-02-05 12:00:00,2020-02-28 00:00:00,143.1,140.78619649735558,-1.0086437763522806,SL,rebreak,overlap_opposite_or_mixed,1,2.9727068130624925,0,1,2020-02-27 22:00:00,2020-02-28 15:00:00,short,538.0
H4 T5 MACD BB,GBPJPY,long,2020-07-16 12:00:00,2020-07-16 16:00:00,2020-07-31 08:00:00,135.06,137.47743273593682,2.0083771993652144,TP,rebreak,free,0,0.0,0,0,,,,
H4 T5 MACD BB,XAUUSD,long,2021-01-20 00:00:00,2021-01-20 04:00:00,2021-02-04 12:00:00,1848.715,1800.46226297388,-1.0072534745502764,SL,rebreak,free,0,0.0,0,0,,,,
H4 T5 MACD BB,GBPJPY,long,2021-10-05 04:00:00,2021-10-05 08:00:00,2021-10-15 00:00:00,151.43,156.03024275442763,1.978402860216248,TP,stagnation,overlap_same_direction,1,2.9580093575330757,1,0,2021-10-08 13:00:00,2021-10-11 10:00:00,long,77.0
H4 T5 MACD BB,GBPJPY,long,2022-05-23 16:00:00,2022-05-23 20:00:00,2022-06-08 04:00:00,160.97,167.572322501128,1.984922325477553,TP,stagnation,free,0,0.0,0,0,,,,
H4 T5 MACD BB,GBPJPY,long,2022-07-10 20:00:00,2022-07-11 00:00:00,2022-08-01 20:00:00,164.27,160.1459602360265,-1.0048496137633531,SL,rebreak,free,0,0.0,0,0,,,,
H4 T5 MACD BB,EURJPY,long,2022-08-17 04:00:00,2022-08-17 08:00:00,2022-09-07 00:00:00,137.23,142.00744709529718,1.9823190982001504,TP,rebreak,free,0,0.0,0,0,,,,
H4 T5 MACD BB,USDJPY,long,2022-10-06 12:00:00,2022-10-06 16:00:00,2022-10-14 12:00:00,144.944,147.98730435440822,1.993428195911128,TP,rebreak,free,0,0.0,0,0,,,,
H4 T5 MACD BB,CHFJPY,long,2023-03-22 08:00:00,2023-03-22 12:00:00,2023-04-28 12:00:00,144.07,152.15698123590417,1.995794151543929,TP,stagnation+rebreak,overlap_same_direction,1,2.9595850016461793,1,0,2023-04-11 15:00:00,2023-04-13 08:00:00,long,483.0
H4 T5 MACD BB,USDJPY,long,2023-09-25 08:00:00,2023-09-25 12:00:00,2023-10-31 12:00:00,148.676,151.522629721898,1.9866929526231991,TP,stagnation,overlap_same_direction,1,2.9412849915552184,1,0,2023-10-25 21:00:00,2023-10-26 06:00:00,long,729.0
H4 T5 MACD BB,USDJPY,long,2024-04-08 00:00:00,2024-04-08 04:00:00,2024-04-15 04:00:00,151.769,153.79013703189838,1.9842141900145391,TP,stagnation+rebreak,overlap_same_direction,1,2.9552749529470335,1,0,2024-04-10 13:00:00,2024-04-10 20:00:00,long,57.0
H4 T5 MACD BB,GBPJPY,long,2024-05-17 12:00:00,2024-05-17 16:00:00,2024-06-27 20:00:00,197.77,203.43375763795095,1.9824369061068663,TP,stagnation,overlap_same_direction,1,-1.047930093473023,1,0,2024-06-12 09:00:00,2024-06-12 11:00:00,long,617.0
H4 T5 MACD BB,CHFJPY,long,2024-08-07 00:00:00,2024-08-07 04:00:00,2024-09-12 12:00:00,171.475,166.4974545345123,-1.0040180446645146,SL,rebreak,free,0,0.0,0,0,,,,
H4 T5 MACD BB,XAUUSD,long,2024-08-26 04:00:00,2024-08-26 08:00:00,2024-09-23 00:00:00,2521.305,2628.1733594549028,1.9934498854144456,TP,stagnation+rebreak,free,0,0.0,0,0,,,,
