timeframe,symbol,setup,method,method_family,direction,direction_ja,signal_time,entry_time,entry,stop,exit_time,exit,exit_reason,risk,r,max_favorable_r,max_adverse_r,hold_days,score,reason,year,month
D1,GBPJPY,WideStagnation,値幅広めの安値停滞,高安値停滞,short,売り,2016-01-15 00:00:00,2016-01-17 00:00:00,166.66,172.0857142857143,2016-01-29 00:00:00,172.0857142857143,initial_stop,5.425714285714292,-1.0,0.4939441811479733,-1.3786203264876216,12.0,0.76,WideStagnation with short-mid alignment and momentum,2016,2016-01
D1,XAUUSD,KeyLevelStagnation,抵抗線付近の高値停滞,高安値停滞,long,買い,2016-01-26 00:00:00,2016-01-27 00:00:00,1119.501,1094.0725714285716,2016-03-09 00:00:00,1253.459,one_swing_break,25.428428571428412,5.268040831690102,6.301097197175308,-0.4384462834060849,42.0,0.82,KeyLevelStagnation with short-mid alignment and momentum,2016,2016-01
D1,XAGUSD,WideStagnation,値幅広めの高値停滞,高安値停滞,long,買い,2016-02-05 00:00:00,2016-02-07 00:00:00,14.973,14.189625000000001,2016-03-15 00:00:00,15.271,post_bonus_counter_move,0.7833749999999995,0.38040529759055397,1.2267432583373215,-0.47231530237753466,37.0,0.76,WideStagnation with short-mid alignment and momentum,2016,2016-02
D1,CHFJPY,KeyLevelStagnation,支持線付近の安値停滞,高安値停滞,short,売り,2016-02-22 00:00:00,2016-02-23 00:00:00,112.933,114.40173214285714,2016-02-26 00:00:00,114.40173214285714,initial_stop,1.4687321428571352,-1.0,0.44936716555825357,-1.0423956522267745,3.0,0.82,KeyLevelStagnation with short-mid alignment and momentum,2016,2016-02
D1,EURJPY,KeyLevelStagnation,支持線付近の安値停滞,高安値停滞,short,売り,2016-02-22 00:00:00,2016-02-23 00:00:00,124.52,126.17392857142856,2016-03-10 00:00:00,126.17392857142856,initial_stop,1.6539285714285654,-1.0,1.4813215288274741,-1.3241200604621066,16.0,0.82,KeyLevelStagnation with short-mid alignment and momentum,2016,2016-02
D1,GBPJPY,KeyLevelStagnation,支持線付近の安値停滞,高安値停滞,short,売り,2016-02-23 00:00:00,2016-02-24 00:00:00,156.7,162.08589285714288,2016-03-04 00:00:00,162.08589285714288,initial_stop,5.385892857142892,-1.0,0.3713404727959924,-1.0583203474685816,9.0,0.82,KeyLevelStagnation with short-mid alignment and momentum,2016,2016-02
D1,AUDJPY,WideStagnation,値幅広めの高値停滞,高安値停滞,long,買い,2016-03-11 00:00:00,2016-03-13 00:00:00,85.95,83.02446428571429,2016-04-05 00:00:00,83.02446428571429,initial_stop,2.925535714285715,-1.0,0.25670512116217703,-1.0753586034303853,23.0,0.76,WideStagnation with short-mid alignment and momentum,2016,2016-03
D1,CHFJPY,WideStagnation,値幅広めの安値停滞,高安値停滞,short,売り,2016-04-17 00:00:00,2016-04-18 00:00:00,111.81,114.10169642857143,2016-04-22 00:00:00,114.10169642857143,initial_stop,2.291696428571427,-1.0,0.14007090817002296,-1.0695133829430765,4.0,0.76,WideStagnation with short-mid alignment and momentum,2016,2016-04
D1,EURJPY,KeyLevelStagnation,支持線付近の安値停滞,高安値停滞,short,売り,2016-04-17 00:00:00,2016-04-18 00:00:00,122.01,123.80767857142857,2016-04-19 00:00:00,123.80767857142857,initial_stop,1.7976785714285626,-1.0,0.17244462103904057,-1.3406178603357553,1.0,0.82,KeyLevelStagnation with short-mid alignment and momentum,2016,2016-04
D1,XAGUSD,SecondRangeBreakout,レンジ抜け2回目以降のブレイクアウト,レンジ抜け2回目以降,long,買い,2016-04-19 00:00:00,2016-04-20 00:00:00,16.92,16.080642857142855,2016-05-30 00:00:00,16.080642857142855,initial_stop,0.8393571428571462,-1.0,1.2890817802740107,-1.2330865458258844,40.0,0.85,"range first breakout failed, second breakout triggered",2016,2016-04
D1,XAUUSD,KeyLevelStagnation,支持線付近の安値停滞,高安値停滞,short,売り,2016-05-24 00:00:00,2016-05-25 00:00:00,1225.279,1259.4739821428573,2016-06-08 00:00:00,1259.4739821428573,initial_stop,34.19498214285727,-1.0,0.7470979190242492,-1.1984506916480495,14.0,0.82,KeyLevelStagnation with short-mid alignment and momentum,2016,2016-05
D1,GBPJPY,SecondRangeBreakout,レンジ抜け2回目以降のブレイクアウト,レンジ抜け2回目以降,short,売り,2016-06-10 00:00:00,2016-06-12 00:00:00,152.07,154.925,2016-06-22 00:00:00,154.925,initial_stop,2.855000000000018,-1.0,2.350262697022745,-1.264448336252186,10.0,0.85,"range first breakout failed, second breakout triggered",2016,2016-06
D1,XAGUSD,KeyLevelStagnation,抵抗線付近の高値停滞,高安値停滞,long,買い,2016-06-13 00:00:00,2016-06-14 00:00:00,17.418,17.07941071428571,2016-07-18 00:00:00,19.977,one_swing_break,0.3385892857142885,7.557829228416164,10.915879964136828,-0.959864986023934,34.0,0.82,KeyLevelStagnation with short-mid alignment and momentum,2016,2016-06
D1,EURJPY,SecondRangeBreakout,レンジ抜け2回目以降のブレイクアウト,レンジ抜け2回目以降,short,売り,2016-06-16 00:00:00,2016-06-17 00:00:00,117.85,119.635,2016-06-23 00:00:00,119.635,initial_stop,1.7850000000000108,-1.0,0.6442577030812238,-2.3137254901960698,6.0,0.85,"range first breakout failed, second breakout triggered",2016,2016-06
D1,EURJPY,SecondRangeBreakout,レンジ抜け2回目以降のブレイクアウト,レンジ抜け2回目以降,short,売り,2016-06-24 00:00:00,2016-06-26 00:00:00,112.47,117.22857142857143,2016-07-14 00:00:00,117.22857142857143,initial_stop,4.758571428571429,-1.0,0.3488441909336528,-1.1621134794356052,18.0,0.85,"range first breakout failed, second breakout triggered",2016,2016-06
D1,XAUUSD,SimpleStagnation,高値停滞,高安値停滞,long,買い,2016-06-24 00:00:00,2016-06-26 00:00:00,1321.238,1245.580767857143,2016-08-05 00:00:00,1335.128,post_bonus_counter_move,75.65723214285708,0.1835911730655514,0.7116702326399241,-0.20857226140924567,40.0,0.65,SimpleStagnation with short-mid alignment and momentum,2016,2016-06
D1,GBPJPY,KeyLevelStagnation,支持線付近の安値停滞,高安値停滞,short,売り,2016-07-05 00:00:00,2016-07-06 00:00:00,131.08,138.72464285714287,2016-07-12 00:00:00,138.72464285714287,initial_stop,7.6446428571428555,-1.0,0.30086428404578525,-1.0935762672272817,6.0,0.82,KeyLevelStagnation with short-mid alignment and momentum,2016,2016-07
D1,GBPJPY,SimpleStagnation,安値停滞,高安値停滞,short,売り,2016-08-10 00:00:00,2016-08-11 00:00:00,131.64,134.41196428571428,2016-08-30 00:00:00,134.41196428571428,initial_stop,2.77196428571429,-1.0,0.8730271210461836,-1.1544160278296764,19.0,0.65,SimpleStagnation with short-mid alignment and momentum,2016,2016-08
D1,XAGUSD,KeyLevelStagnation,支持線付近の安値停滞,高安値停滞,short,売り,2016-08-24 00:00:00,2016-08-25 00:00:00,18.555,19.208785714285714,2016-09-02 00:00:00,19.208785714285714,initial_stop,0.6537857142857142,-1.0,0.26767180159510656,-1.3398885611275013,8.0,0.82,KeyLevelStagnation with short-mid alignment and momentum,2016,2016-08
D1,GBPJPY,WideStagnation,値幅広めの安値停滞,高安値停滞,short,売り,2016-09-26 00:00:00,2016-09-27 00:00:00,130.13,132.55178571428573,2016-11-03 00:00:00,128.28,post_bonus_counter_move,2.4217857142857326,0.7638991299218323,2.19672614658603,-0.9249373248783332,37.0,0.76,WideStagnation with short-mid alignment and momentum,2016,2016-09
D1,XAUUSD,WideStagnation,値幅広めの高値停滞,高安値停滞,long,買い,2016-11-02 00:00:00,2016-11-03 00:00:00,1298.428,1268.6126785714287,2016-11-08 00:00:00,1268.6126785714287,initial_stop,29.81532142857145,-1.0,0.2932049557454266,-1.0222596483830826,5.0,0.68,WideStagnation with short-mid alignment and momentum,2016,2016-11
D1,CHFJPY,SecondRangeBreakout,レンジ抜け2回目以降のブレイクアウト,レンジ抜け2回目以降,long,買い,2016-11-10 00:00:00,2016-11-11 00:00:00,108.181,106.8985,2017-01-10 00:00:00,113.936,post_bonus_counter_move,1.2824999999999989,4.487329434697867,5.727095516569205,-0.5512670565302099,60.0,0.85,"range first breakout failed, second breakout triggered",2016,2016-11
D1,GBPJPY,SecondRangeBreakout,レンジ抜け2回目以降のブレイクアウト,レンジ抜け2回目以降,long,買い,2016-11-11 00:00:00,2016-11-13 00:00:00,134.31,132.715,2016-12-19 00:00:00,145.04,one_swing_break,1.5949999999999989,6.727272727272726,8.840125391849533,-0.08150470219435457,36.0,0.85,"range first breakout failed, second breakout triggered",2016,2016-11
D1,EURJPY,SecondRangeBreakout,レンジ抜け2回目以降のブレイクアウト,レンジ抜け2回目以降,long,買い,2016-11-15 00:00:00,2016-11-16 00:00:00,116.92,115.72785714285715,2016-12-19 00:00:00,121.77,one_swing_break,1.192142857142855,4.068304373876575,5.99760335530258,-0.5620131815458383,33.0,0.85,"range first breakout failed, second breakout triggered",2016,2016-11
D1,XAUUSD,SecondRangeBreakout,レンジ抜け2回目以降のブレイクアウト,レンジ抜け2回目以降,short,売り,2016-11-23 00:00:00,2016-11-24 00:00:00,1189.619,1224.7286428571429,2016-12-27 00:00:00,1139.202,one_swing_break,35.109642857142944,1.43598726438605,1.9020415636729782,-0.2261486974477921,33.0,0.85,"range first breakout failed, second breakout triggered",2016,2016-11
D1,AUDJPY,WideStagnation,値幅広めの高値停滞,高安値停滞,long,買い,2016-11-30 00:00:00,2016-12-01 00:00:00,84.723,82.94180357142858,2017-01-30 00:00:00,86.005,max_hold,1.7811964285714197,0.7197409445898139,1.5764684652170107,-0.5513148265110753,60.0,0.76,WideStagnation with short-mid alignment and momentum,2016,2016-12
D1,GBPJPY,KeyLevelStagnation,支持線付近の安値停滞,高安値停滞,short,売り,2017-01-12 00:00:00,2017-01-13 00:00:00,139.49,141.76660714285714,2017-01-19 00:00:00,141.76660714285714,initial_stop,2.276607142857131,-1.0,1.3265354145423285,-1.1113028472821462,6.0,0.82,KeyLevelStagnation with short-mid alignment and momentum,2017,2017-01
D1,XAGUSD,KeyLevelStagnation,抵抗線付近の高値停滞,高安値停滞,long,買い,2017-01-17 00:00:00,2017-01-18 00:00:00,17.138,16.693660714285716,2017-01-26 00:00:00,16.693660714285716,initial_stop,0.4443392857142854,-1.0,0.41634851103162546,-1.0577502712695477,8.0,0.82,KeyLevelStagnation with short-mid alignment and momentum,2017,2017-01
D1,XAUUSD,WideStagnation,値幅広めの高値停滞,高安値停滞,long,買い,2017-02-23 00:00:00,2017-02-24 00:00:00,1249.262,1223.2957857142856,2017-03-03 00:00:00,1223.2957857142856,initial_stop,25.966214285714386,-1.0,0.5610752433794427,-1.0187853997089567,7.0,0.76,WideStagnation with short-mid alignment and momentum,2017,2017-02
D1,CHFJPY,SecondRangeBreakout,レンジ抜け2回目以降のブレイクアウト,レンジ抜け2回目以降,short,売り,2017-02-24 00:00:00,2017-02-26 00:00:00,111.297,112.19692857142857,2017-02-28 00:00:00,112.19692857142857,initial_stop,0.8999285714285747,-1.0,0.24668624494006725,-1.1634256687038578,2.0,0.85,"range first breakout failed, second breakout triggered",2017,2017-02
D1,EURJPY,SecondRangeBreakout,レンジ抜け2回目以降のブレイクアウト,レンジ抜け2回目以降,short,売り,2017-02-24 00:00:00,2017-02-26 00:00:00,118.51,119.35,2017-02-27 00:00:00,119.35,initial_stop,0.8399999999999892,-1.0,0.3214285714285877,-1.1071428571428625,1.0,0.85,"range first breakout failed, second breakout triggered",2017,2017-02
D1,XAGUSD,SecondRangeBreakout,レンジ抜け2回目以降のブレイクアウト,レンジ抜け2回目以降,long,買い,2017-02-24 00:00:00,2017-02-26 00:00:00,18.354,17.995285714285714,2017-03-02 00:00:00,17.995285714285714,initial_stop,0.3587142857142851,-1.0,0.3512544802867424,-1.8956590999601777,4.0,0.85,"range first breakout failed, second breakout triggered",2017,2017-02
D1,CHFJPY,SecondRangeBreakout,レンジ抜け2回目以降のブレイクアウト,レンジ抜け2回目以降,short,売り,2017-04-03 00:00:00,2017-04-04 00:00:00,110.499,111.7415,2017-04-25 00:00:00,111.7415,initial_stop,1.2425000000000068,-1.0,2.2672032193158773,-1.1476861167001964,21.0,0.85,"range first breakout failed, second breakout triggered",2017,2017-04
D1,AUDJPY,SecondRangeBreakout,レンジ抜け2回目以降のブレイクアウト,レンジ抜け2回目以降,short,売り,2017-04-11 00:00:00,2017-04-12 00:00:00,82.168,83.54378571428572,2017-04-23 00:00:00,83.54378571428572,initial_stop,1.375785714285712,-1.0,0.4957167332952623,-1.2153055396916048,11.0,0.85,"range first breakout failed, second breakout triggered",2017,2017-04
D1,EURJPY,KeyLevelStagnation,支持線付近の安値停滞,高安値停滞,short,売り,2017-04-11 00:00:00,2017-04-12 00:00:00,116.23,118.35196428571429,2017-04-23 00:00:00,118.35196428571429,initial_stop,2.1219642857142844,-1.0,0.6550534376840872,-1.8803332491794988,11.0,0.82,KeyLevelStagnation with short-mid alignment and momentum,2017,2017-04
D1,XAUUSD,SecondRangeBreakout,レンジ抜け2回目以降のブレイクアウト,レンジ抜け2回目以降,long,買い,2017-04-11 00:00:00,2017-04-12 00:00:00,1276.122,1260.7224999999999,2017-04-26 00:00:00,1260.7224999999999,initial_stop,15.399500000000216,-1.0,1.2532874443975248,-1.0463976103120105,14.0,0.85,"range first breakout failed, second breakout triggered",2017,2017-04
