entry_time,exit_time,direction,entry,sl,tp,exit_price,pnl,pnl_r,bars_held,r_clean,r_after_cost,risk_price,period,year
2017-07-14 16:00:00,2017-07-19 17:00:00,long,2453.76,2449.2109084213707,2467.4072747358887,2467.4072747358887,13.647274735888459,3.0000000000000195,70,3.0000000000000195,2.340527674999296,4.549091578629486,Research_2015_2024,2017
2017-08-08 14:00:00,2017-08-08 17:00:00,long,2481.88,2477.969171850331,2493.6124844490078,2477.969171850331,-3.9108281496692143,-0.9999999999999859,2,-0.9999999999999859,-1.7671009528387718,3.9108281496692143,Research_2015_2024,2017
2017-08-10 19:00:00,2017-08-13 23:00:00,short,2436.13,2446.2825233693743,2405.672429891878,2446.2825233693743,-10.152523369374194,-1.0000000000000189,26,-1.0000000000000189,-1.295493040582394,10.152523369374194,Research_2015_2024,2017
2017-09-11 13:00:00,2017-09-12 22:00:00,long,2480.76,2475.455559655464,2496.6733210336088,2496.6733210336088,15.913321033608554,2.9999999999999964,31,2.9999999999999964,2.434436094075364,5.304440344536033,Research_2015_2024,2017
2017-11-21 15:00:00,2017-11-23 08:00:00,long,2595.13,2589.7591066714936,2611.24267998552,2589.7591066714936,-5.370893328506554,-0.999999999999959,37,-0.999999999999959,-1.558566297356341,5.370893328506554,Research_2015_2024,2017
2018-03-09 21:00:00,2018-03-13 16:00:00,long,2785.76,2771.881843454123,2827.3944696376316,2771.881843454123,-13.878156545877118,-1.0000000000000007,43,-1.0000000000000007,-1.216167038473942,13.878156545877118,Research_2015_2024,2018
2018-03-22 19:00:00,2018-03-27 04:00:00,short,2645.38,2672.6606389637905,2563.5380831086286,2672.6606389637905,-27.280638963790352,-0.9999999999999947,56,-0.9999999999999947,-1.109968098767106,27.280638963790352,Research_2015_2024,2018
2018-05-10 16:00:00,2018-05-15 13:00:00,long,2721.51,2711.3633326336585,2751.950002099026,2711.3633326336585,-10.146667366341717,-0.9999999999999845,68,-0.9999999999999845,-1.295663580137787,10.146667366341717,Research_2015_2024,2018
2018-06-04 07:00:00,2018-06-06 18:00:00,long,2741.88,2734.3310687224816,2764.5267938325555,2764.5267938325555,22.64679383255543,2.9999999999999925,58,2.9999999999999925,2.602592752574874,7.548931277518477,Research_2015_2024,2018
2018-06-28 12:00:00,2018-06-28 15:00:00,short,2695.13,2710.605723461307,2648.702829616079,2710.605723461307,-15.475723461307098,-1.0000000000000009,2,-1.0000000000000009,-1.193852003591348,15.475723461307098,Research_2015_2024,2018
2018-08-06 16:00:00,2018-08-10 05:00:00,long,2851.13,2843.8789126258375,2872.8832621224883,2843.8789126258375,-7.25108737416258,-0.9999999999999752,81,-0.9999999999999752,-1.4137310509716878,7.25108737416258,Research_2015_2024,2018
