timeframe,symbol,variant,signal_time,period,year,max_hold,signal_kind,shelf_high,shelf_low,shelf_range_atr,sharp_drop_atr,signal_range_atr,body_ratio,close_location,lower_wick_ratio,d1_ema50_prev,stop,entry_time,entry,target,exit_time,exit,exit_reason,bars_held,risk,r_clean,r_after_cost,mfe_r,mae_r,hold_mode
H1,XAUUSD,CAP_PINE,2018-09-04 13:00:00,DEV_2015_2021,2018,480,capitulation,,,,5.540988045489522,1.8640456322167196,0.409382606771389,0.5131666297853916,0.5131666297853916,1216.847201457537,1189.7529257813894,2018-09-04 14:00:00,1192.662,1198.4801484372213,2018-09-04 14:00:00,1189.7529257813894,stop,1,2.9090742186106127,-1.0,-1.1203131902792423,0.05156279583389394,1.0632248500958856,hold480_H1_equiv_30d
H1,XAUUSD,CAP_PINE,2018-09-21 13:00:00,DEV_2015_2021,2018,480,capitulation,,,,7.305026593830472,2.211686769811839,0.1065292096220146,0.8073883161512234,0.7008591065292088,1208.7609482876278,1191.1311310739568,2018-09-21 14:00:00,1196.499,1207.2347378520865,2018-09-26 18:00:00,1191.1311310739568,stop,74,5.367868926043229,-1.0,-1.0652027843493057,1.4230973418404176,1.1216741844771843,hold480_H1_equiv_30d
H1,XAUUSD,CAP_PINE,2019-03-07 08:00:00,DEV_2015_2021,2019,480,capitulation,,,,4.269099325263256,3.1152886968137987,0.3218657988532362,0.9158530915852932,0.593987292732057,1301.3969904747237,1279.9671507227724,2019-03-07 09:00:00,1286.425,1299.340698554455,2019-03-08 14:00:00,1299.340698554455,target,29,6.457849277227524,2.0,1.9458023894682166,2.211727060643337,0.5713976653205881,hold480_H1_equiv_30d
H1,XAUUSD,CAP_PINE,2019-04-23 14:00:00,DEV_2015_2021,2019,480,capitulation,,,,5.093147617244743,1.842096401153919,0.22891891891892477,0.7648648648648828,0.7648648648648828,1294.7161175749343,1265.6958547271356,2019-04-23 15:00:00,1268.985,1275.5632905457285,2019-04-24 15:00:00,1275.5632905457285,target,24,3.289145272864289,2.0,1.8935893762772766,2.883119842177748,0.19062703164033307,hold480_H1_equiv_30d
H1,XAUUSD,CAP_PINE,2019-04-26 12:00:00,DEV_2015_2021,2019,480,capitulation,,,,4.6484782713555814,4.6484782713555814,0.13009783977526518,0.8459750072653391,0.715877167490074,1292.4801748390398,1273.169818314866,2019-04-26 13:00:00,1282.458,1301.0343633702682,2019-05-01 18:00:00,1273.169818314866,stop,75,9.288181685134077,-1.0,-1.0376822947553146,0.6621317507002542,1.018283267987512,hold480_H1_equiv_30d
H1,XAUUSD,CAP_PINE,2019-09-27 13:00:00,DEV_2015_2021,2019,480,capitulation,,,,6.553167667658616,2.2978673291786293,0.395296752519591,0.5640537513997759,0.5640537513997759,1492.9442147786094,1485.7964469552915,2019-09-27 14:00:00,1491.715,1503.5521060894168,2019-09-30 09:00:00,1485.7964469552915,stop,19,5.91855304470846,-1.0,-1.0591360755502661,1.9097573198411506,1.0627597577457888,hold480_H1_equiv_30d
H1,XAUUSD,CAP_PINE,2019-09-30 11:00:00,DEV_2015_2021,2019,480,capitulation,,,,5.775434330028655,2.036587206561768,0.37566795078914056,0.5277743258357089,0.5277743258357089,1493.2044189478822,1479.2101955035769,2019-09-30 12:00:00,1484.445,1494.914608992846,2019-09-30 15:00:00,1479.2101955035769,stop,4,5.234804496423067,-1.0,-1.0668601855598028,0.5558946856541596,3.5296447102513886,hold480_H1_equiv_30d
H1,XAUUSD,CAP_PINE,2019-10-30 18:00:00,DEV_2015_2021,2019,480,capitulation,,,,4.375813279849095,3.759248617982545,0.2953821656050997,0.7022292993630553,0.7022292993630553,1493.6922533903642,1480.2127266996442,2019-10-30 19:00:00,1490.008,1509.5985466007116,2019-10-31 12:00:00,1509.5985466007116,target,17,9.795273300355802,2.0,1.9642684803917188,2.006069600864133,0.19703380812559448,hold480_H1_equiv_30d
H1,XAUUSD,CAP_PINE,2019-11-12 15:00:00,DEV_2015_2021,2019,480,capitulation,,,,4.1744846880254975,2.4382446967960485,0.030184528901389607,0.7702554075522289,0.7702554075522289,1490.4948943704683,1444.7059742850306,2019-11-12 16:00:00,1451.858,1466.1620514299386,2019-11-13 09:00:00,1466.1620514299386,target,17,7.152025714969341,2.0,1.9510628157743366,2.025579965362608,0.2279074579651269,hold480_H1_equiv_30d
H1,XAUUSD,CAP_PINE,2019-11-20 15:00:00,DEV_2015_2021,2019,480,capitulation,,,,4.232239737663969,2.2622289986427417,0.46487663280115066,0.5075471698113236,0.5075471698113236,1485.0234196149418,1465.076582830901,2019-11-20 16:00:00,1469.315,1477.791834338198,2019-11-21 15:00:00,1465.076582830901,stop,23,4.238417169098966,-1.0,-1.0825779969352431,1.4769664594697713,1.493482058856852,hold480_H1_equiv_30d
