structure,filter,target_model,trades,win_rate,total_r,avg_r,pf,max_dd_r,max_losing_streak,avg_planned_rr,median_planned_rr,avg_hold_bars,tp_rate
role_ab_5pivot,basic_role,half_wave,1,100.0,0.964087749839605,0.964087749839605,inf,0.0,0,0.9785542326882273,0.9785542326882273,23.0,100.0
ihs_5pivot,strict_synapse,fixed_1_5R,6,66.66666666666666,0.21717296687465626,0.03619549447910938,1.1070368798640509,1.0085678981411814,1,1.499999999999999,1.5,47.666666666666664,0.0
ihs_5pivot,strict_synapse,fixed_2R,6,66.66666666666666,0.21717296687465626,0.03619549447910938,1.1070368798640509,1.0085678981411814,1,2.0,2.0,47.666666666666664,0.0
role_ab_5pivot,strict_synapse,fixed_2R,4,25.0,-0.4368439083095943,-0.10921097707739857,0.7865274026374669,1.0381600285189172,3,2.0,2.0,39.75,0.0
role_ab_5pivot,strict_synapse,fixed_1_5R,4,25.0,-0.5535313558085015,-0.1383828389521254,0.7295057250465267,1.0381600285189172,3,1.4999999999999982,1.5,35.0,25.0
classic_6pivot,strict_synapse,fixed_1_5R,3,33.33333333333333,-0.6140186627976906,-0.2046728875992302,0.582834740155205,1.4718835001412491,2,1.4999999999999993,1.5,54.0,0.0
classic_6pivot,strict_synapse,fixed_2R,3,33.33333333333333,-0.6140186627976906,-0.2046728875992302,0.582834740155205,1.4718835001412491,2,2.0,2.0,54.0,0.0
classic_6pivot,context,fixed_1_5R,5,40.0,-1.5644961603089926,-0.31289923206179854,0.3710853798090399,2.487612960617703,3,1.4999999999999964,1.5,44.2,0.0
classic_6pivot,context,fixed_2R,5,40.0,-1.5644961603089926,-0.31289923206179854,0.3710853798090399,2.487612960617703,3,2.0,2.0,44.2,0.0
classic_6pivot,basic_role,fixed_1_5R,13,30.76923076923077,-1.9725983662460684,-0.15173833586508217,0.7503825656513383,4.0532208052413194,3,1.4999999999999967,1.5,29.23076923076923,30.76923076923077
classic_6pivot,diag_break,fixed_2R,7,28.57142857142857,-2.4646571699047684,-0.3520938814149669,0.4528418268400824,4.439217294381434,4,2.0,2.0,30.285714285714285,14.285714285714285
classic_6pivot,basic_role,fixed_2R,14,28.57142857142857,-3.304868482306718,-0.23606203445047985,0.654900999609703,4.605894597202855,4,2.0,2.0,28.642857142857142,21.428571428571427
