symbol,back_inside_bars,signal_time,entry_time,exit_time,direction,level_kind,break_level,entry,sl,tp,exit_price,pnl_r_clean,pnl_r_after_cost,bars_held,exit_reason
XAUUSD,3,2021-10-22 12:00:00,2021-10-22 13:00:00,2021-10-22 15:00:00,long,3m,1800.458,1805.728,1797.2599975013318,1831.1320074960054,1797.2599975013318,-0.9999999999999866,-1.0413320614932577,2,SL
XAUUSD,3,2021-11-05 16:00:00,2021-11-05 17:00:00,2021-11-05 18:00:00,long,3m,1813.748,1813.898,1802.9458892656642,1846.7543322030072,1813.644,-0.023191876539706214,-0.05514918673223914,1,early_back_inside
XAUUSD,3,2022-01-19 15:00:00,2022-01-19 16:00:00,2022-01-21 08:00:00,long,3m,1831.624,1838.168,1829.5146765787274,1864.1279702638171,1829.5146765787274,-1.0000000000000069,-1.0404468876246775,38,SL
XAUUSD,3,2022-02-11 18:00:00,2022-02-11 19:00:00,2022-02-15 12:00:00,long,3m,1853.748,1857.108,1846.356660410045,1889.3620187698648,1846.356660410045,-1.0000000000000058,-1.0325540828723525,39,SL
XAUUSD,3,2022-03-06 23:00:00,2022-03-07 00:00:00,2022-03-07 13:00:00,long,3m,1974.398,1988.608,1972.6337282991042,2036.5308151026875,1972.6337282991042,-0.9999999999999939,-1.0219102320627493,13,SL
XAUUSD,3,2022-05-10 14:00:00,2022-05-10 15:00:00,2022-05-12 22:00:00,short,3m,1850.308,1849.802,1862.1724017498486,1812.6907947504537,1812.6907947504537,2.999999999999993,2.971706658597042,52,TP
XAUUSD,3,2022-06-14 18:00:00,2022-06-14 19:00:00,2022-06-14 20:00:00,short,3m,1807.228,1807.156,1818.1379770571402,1774.2100688285789,1808.358,-0.10945205892762903,-0.1413224587817764,1,early_back_inside
XAUUSD,3,2022-09-15 04:00:00,2022-09-15 05:00:00,2022-09-15 06:00:00,short,3m,1688.668,1687.314,1694.5077940005879,1665.7326179982365,1688.824,-0.2099031470565589,-0.2585561943875686,1,early_back_inside
XAUUSD,3,2022-11-08 15:00:00,2022-11-08 16:00:00,2022-11-10 15:00:00,long,3m,1683.84,1712.907,1700.4765267847015,1750.1984196458952,1750.1984196458952,3.000000000000009,2.971843388909018,45,TP
XAUUSD,3,2022-12-01 13:00:00,2022-12-01 14:00:00,2022-12-02 13:00:00,long,3m,1786.367,1789.187,1779.2128877008577,1819.1093368974266,1779.2128877008577,-0.9999999999999998,-1.0350908421223846,22,SL
XAUUSD,3,2022-12-13 13:00:00,2022-12-13 14:00:00,2022-12-13 16:00:00,long,3m,1809.758,1810.858,1800.9049387190346,1840.717183842896,1809.765,-0.10981545970084039,-0.14498051998932573,2,early_back_inside
XAUUSD,3,2022-12-27 15:00:00,2022-12-27 16:00:00,2022-12-27 17:00:00,long,3m,1824.358,1824.525,1814.4711874723812,1854.686437582857,1820.675,-0.3829393067976696,-0.4177519710520155,1,early_back_inside
XAUUSD,3,2023-04-04 14:00:00,2023-04-04 15:00:00,2023-04-06 13:00:00,long,3m,2009.695,2016.035,2002.6359012133996,2056.2322963598017,2002.6359012133996,-0.9999999999999989,-1.0261211597566646,44,SL
XAUUSD,3,2023-05-03 22:00:00,2023-05-03 23:00:00,2023-05-04 02:00:00,long,3m,2048.538,2056.454,2037.7058406104497,2112.698478168652,2044.354,-0.6453966892741586,-0.664065188550691,3,early_back_inside
XAUUSD,3,2023-05-18 12:00:00,2023-05-18 13:00:00,2023-05-19 15:00:00,short,3m,1971.515,1966.878,1974.7364007249291,1943.3027978252123,1974.7364007249291,-1.0000000000000042,-1.0445383243043163,25,SL
XAUUSD,3,2023-11-27 01:00:00,2023-11-27 02:00:00,2023-11-28 16:00:00,long,3m,2009.395,2011.965,2004.1942433441454,2035.2772699675634,2035.2772699675634,2.9999999999999956,2.95495934109113,37,TP
XAUUSD,3,2024-02-13 14:00:00,2024-02-13 15:00:00,2024-02-15 14:00:00,short,3m,2001.755,1995.645,2005.8616777701372,1964.9949666895882,2005.8616777701372,-0.999999999999999,-1.0342577115452496,45,SL
XAUUSD,3,2024-06-07 13:00:00,2024-06-07 14:00:00,2024-06-07 15:00:00,short,3m,2311.968,2309.415,2330.530863270963,2246.0674101871105,2313.265,-0.18232737873871857,-0.19890259498768906,1,early_back_inside
XAUUSD,3,2024-11-11 13:00:00,2024-11-11 14:00:00,2024-11-13 16:00:00,short,3m,2637.955,2635.375,2651.9409643083973,2585.6771070748086,2585.6771070748086,3.0000000000000027,2.9788723437112288,48,TP
XAUUSD,3,2024-12-12 00:00:00,2024-12-12 01:00:00,2024-12-12 01:00:00,long,3m,2721.185,2724.915,2711.19320518583,2766.080384442511,2711.19320518583,-0.9999999999999911,-1.0255068673405863,0,SL
XAUUSD,3,2024-12-18 19:00:00,2024-12-18 20:00:00,2024-12-19 07:00:00,short,3m,2605.085,2604.465,2618.3869043607624,2562.699286917714,2618.3869043607624,-1.0000000000000073,-1.0251402387870485,10,SL
USDJPY,3,2015-03-06 13:00:00,2015-03-06 14:00:00,2015-03-10 03:00:00,long,3m,120.476,120.765,120.4191456123355,121.80256316299351,121.80256316299351,3.0000000000000124,2.971086097627632,38,TP
