sample,rule,base_trades,trades,win_rate,total_r,avg_r,pf,max_dd_r,max_losing_streak,coverage_pct,symbols,periods,base_win_rate,base_total_r,base_avg_r,base_pf,base_max_dd_r,delta_win_rate,delta_total_r,delta_avg_r,delta_pf
practical_core4,prevD1_RSI_35_55,26,16,50.0,7.395125033186636,0.46219531457416474,1.890173918436729,3.079249256874098,3,61.53846153846154,"CHFJPY,EURJPY,GBPJPY,XAUUSD","oos_2025_2026,test_2021_2024,train_2015_2020",42.30769230769231,6.161779633456764,0.23699152436372167,1.398053838437854,3.079249256874098,7.692307692307693,1.2333453997298722,0.22520379021044307,0.49212007999887497
practical_core4,prevD1_stack_down,26,14,50.0,6.559696145725486,0.46854972469467754,1.9155711894841585,2.102320200287079,2,53.84615384615385,"CHFJPY,EURJPY,GBPJPY,XAUUSD","test_2021_2024,train_2015_2020",42.30769230769231,6.161779633456764,0.23699152436372167,1.398053838437854,3.079249256874098,7.692307692307693,0.39791651226872204,0.23155820033095587,0.5175173510463045
practical_core4,prevD1_close_below_EMA50,26,23,43.47826086956522,6.284633121430071,0.27324491832304654,1.4699353326207274,3.1419716477528516,3,88.46153846153845,"CHFJPY,EURJPY,GBPJPY,XAUUSD","oos_2025_2026,test_2021_2024,train_2015_2020",42.30769230769231,6.161779633456764,0.23699152436372167,1.398053838437854,3.079249256874098,1.170568561872912,0.1228534879733072,0.036253393959324864,0.07188149418287337
practical_core4,baseline,26,26,42.30769230769231,6.161779633456764,0.23699152436372167,1.398053838437854,3.079249256874098,3,100.0,"CHFJPY,EURJPY,GBPJPY,XAUUSD","oos_2025_2026,test_2021_2024,train_2015_2020",42.30769230769231,6.161779633456764,0.23699152436372167,1.398053838437854,3.079249256874098,0.0,0.0,0.0,0.0
practical_core4,prevD1_close_location_lt_0_50,26,13,46.15384615384615,4.570728457309988,0.35159449671615295,1.6299574413060125,2.0668323319143167,2,50.0,"CHFJPY,EURJPY,GBPJPY,XAUUSD","test_2021_2024,train_2015_2020",42.30769230769231,6.161779633456764,0.23699152436372167,1.398053838437854,3.079249256874098,3.8461538461538467,-1.5910511761467756,0.11460297235243128,0.23190360286815848
practical_core4,prevD1_RSI_40_55,26,9,44.44444444444444,2.7296055485503024,0.303289505394478,1.5260307345379729,3.1295327331110543,4,34.61538461538461,"CHFJPY,EURJPY,GBPJPY","oos_2025_2026,test_2021_2024,train_2015_2020",42.30769230769231,6.161779633456764,0.23699152436372167,1.398053838437854,3.079249256874098,2.1367521367521363,-3.4321740849064613,0.06629798103075635,0.12797689610011886
practical_core4,H1_LH_rebreak24__prevD1_RSI_35_55,26,7,42.857142857142854,1.736674510019488,0.24809635857421258,1.417660960701625,1.0756784981731753,2,26.923076923076923,"EURJPY,GBPJPY,XAUUSD","oos_2025_2026,test_2021_2024,train_2015_2020",42.30769230769231,6.161779633456764,0.23699152436372167,1.398053838437854,3.079249256874098,0.5494505494505475,-4.425105123437276,0.01110483421049091,0.019607122263771037
practical_core4,prevD1_MACD_falling,26,22,36.36363636363637,1.249125340347324,0.056778424561242,1.0864246547182497,3.1997221106960754,3,84.61538461538461,"CHFJPY,EURJPY,GBPJPY,XAUUSD","oos_2025_2026,test_2021_2024,train_2015_2020",42.30769230769231,6.161779633456764,0.23699152436372167,1.398053838437854,3.079249256874098,-5.94405594405594,-4.91265429310944,-0.18021309980247968,-0.31162918371960435
practical_no_AUD_USD,prevD1_RSI_35_55__quality,37,16,75.0,18.902596076914648,1.1814122548071655,5.56066347934992,1.0677291762383996,1,43.24324324324324,"CHFJPY,EURJPY,GBPJPY,SILVER,XAUUSD","oos_2025_2026,test_2021_2024,train_2015_2020",43.24324324324324,8.364486897808169,0.22606721345427483,1.371805576356133,4.758918598939829,31.756756756756758,10.53810917910648,0.9553450413528907,4.188857902993787
practical_no_AUD_USD,prevD1_RSI_35_55__strict,37,14,78.57142857142857,18.136078331604114,1.295434166543151,6.838919066731445,1.0677291762383996,1,37.83783783783784,"CHFJPY,EURJPY,GBPJPY,SILVER,XAUUSD","oos_2025_2026,test_2021_2024,train_2015_2020",43.24324324324324,8.364486897808169,0.22606721345427483,1.371805576356133,4.758918598939829,35.32818532818533,9.771591433795946,1.0693669530888763,5.467113490375312
