symbol,denial_name,denial_family,d1_signal_time,context_start,fail_bars,denial_level,atr,body_ratio,close_location,rsi14
EURJPY,DONCHIAN20_FALSE_BREAK_6_Q,Donchian20下抜け否定,2025-02-03,2025-02-04,1,159.616,1.513993836278976,0.46990833001196036,0.9529693104822656,44.16356843205576
EURJPY,DONCHIAN20_FALSE_BREAK_6_Q,Donchian20下抜け否定,2025-02-11,2025-02-12,3,156.979,1.5572966909784791,0.9419107057129104,0.9879980796927482,42.79802371634901
EURJPY,DONCHIAN55_FALSE_BREAK_6_Q,Donchian55下抜け否定,2025-02-11,2025-02-12,3,156.979,1.5572966909784791,0.9419107057129104,0.9879980796927482,42.79802371634901
EURJPY,DONCHIAN20_FALSE_BREAK_6_Q,Donchian20下抜け否定,2026-05-05,2026-05-06,4,184.259,1.0976602219243266,0.7865961199294593,0.9215167548500884,43.20139339327375
GBPJPY,DONCHIAN20_FALSE_BREAK_6_Q,Donchian20下抜け否定,2015-01-16,2015-01-17,1,176.84,1.7262870069899394,0.8155737704918078,0.9795081967213068,34.32595133235368
GBPJPY,DONCHIAN55_FALSE_BREAK_6_Q,Donchian55下抜け否定,2015-01-16,2015-01-17,1,176.84,1.7262870069899394,0.8155737704918078,0.9795081967213068,34.32595133235368
GBPJPY,RSI_70_30_REJECT_6_Q,RSI30割れ否定,2015-01-16,2015-01-17,5,30.0,1.7262870069899394,0.8155737704918078,0.9795081967213068,34.32595133235368
GBPJPY,DONCHIAN20_FALSE_BREAK_6_Q,Donchian20下抜け否定,2015-07-06,2015-07-07,1,190.36,1.3901775074747091,0.5769230769230798,0.7564102564102597,45.57474935540808
GBPJPY,RSI_70_30_REJECT_6_Q,RSI30割れ否定,2015-07-09,2015-07-10,1,30.0,1.7628279824788402,0.6208530805687175,0.8578199052132657,34.429467895641224
GBPJPY,DONCHIAN20_FALSE_BREAK_6_Q,Donchian20下抜け否定,2015-07-10,2015-07-11,2,188.21,1.9104831265874955,0.8981723237597876,0.973890339425589,48.08166762602471
GBPJPY,DONCHIAN20_FALSE_BREAK_6_Q,Donchian20下抜け否定,2015-09-02,2015-09-03,1,183.56,1.9583756290291483,0.7445652173913054,0.9347826086956498,30.611148292125137
GBPJPY,DONCHIAN55_FALSE_BREAK_6_Q,Donchian55下抜け否定,2015-09-02,2015-09-03,1,183.56,1.9583756290291483,0.7445652173913054,0.9347826086956498,30.611148292125137
GBPJPY,RSI_70_30_REJECT_6_Q,RSI30割れ否定,2015-09-02,2015-09-03,2,30.0,1.9583756290291483,0.7445652173913054,0.9347826086956498,30.611148292125137
GBPJPY,RSI_70_30_REJECT_6_Q,RSI30割れ否定,2015-09-07,2015-09-08,3,30.0,1.9293309126588283,0.6490384615384549,0.9423076923076905,31.649351199237927
GBPJPY,DONCHIAN20_FALSE_BREAK_6_Q,Donchian20下抜け否定,2015-09-08,2015-09-09,3,182.48,2.0136644188974824,0.7877813504823243,0.9807073954984006,41.83398738122128
GBPJPY,DONCHIAN55_FALSE_BREAK_6_Q,Donchian55下抜け否定,2015-09-08,2015-09-09,3,182.48,2.0136644188974824,0.7877813504823243,0.9807073954984006,41.83398738122128
GBPJPY,DONCHIAN20_FALSE_BREAK_6_Q,Donchian20下抜け否定,2015-12-03,2015-12-04,1,184.22,1.1515892188989636,0.8202247191011276,0.9157303370786486,49.753719356529174
GBPJPY,DONCHIAN20_FALSE_BREAK_6_Q,Donchian20下抜け否定,2016-01-14,2016-01-15,1,169.18,1.6576109477438095,0.766081871345027,0.9649122807017532,24.143802141502363
GBPJPY,DONCHIAN55_FALSE_BREAK_6_Q,Donchian55下抜け否定,2016-01-14,2016-01-15,1,169.18,1.6576109477438095,0.766081871345027,0.9649122807017532,24.143802141502363
GBPJPY,DONCHIAN20_FALSE_BREAK_6_Q,Donchian20下抜け否定,2016-01-22,2016-01-23,6,168.82,2.045420966026217,0.5871559633027604,0.7859327217125405,38.48474896708232
GBPJPY,DONCHIAN55_FALSE_BREAK_6_Q,Donchian55下抜け否定,2016-01-22,2016-01-23,6,168.82,2.045420966026217,0.5871559633027604,0.7859327217125405,38.48474896708232
GBPJPY,DONCHIAN20_FALSE_BREAK_6_Q,Donchian20下抜け否定,2016-02-12,2016-02-13,1,163.98,2.4720372453548602,0.5016393442622936,0.88196721311475,33.81562442354689
GBPJPY,DONCHIAN55_FALSE_BREAK_6_Q,Donchian55下抜け否定,2016-02-12,2016-02-13,1,163.98,2.4720372453548602,0.5016393442622936,0.88196721311475,33.81562442354689
GBPJPY,RSI_70_30_REJECT_6_Q,RSI30割れ否定,2016-02-12,2016-02-13,1,30.0,2.4720372453548602,0.5016393442622936,0.88196721311475,33.81562442354689
GBPJPY,DONCHIAN20_FALSE_BREAK_6_Q,Donchian20下抜け否定,2016-02-25,2016-02-26,1,156.69,2.2804429845902585,0.8709677419354827,1.0,28.95178462354356
GBPJPY,DONCHIAN55_FALSE_BREAK_6_Q,Donchian55下抜け否定,2016-02-25,2016-02-26,1,156.69,2.2804429845902585,0.8709677419354827,1.0,28.95178462354356
GBPJPY,DONCHIAN20_FALSE_BREAK_6_Q,Donchian20下抜け否定,2016-04-12,2016-04-13,4,154.51,1.791616769303508,0.7295918367346905,0.7602040816326512,37.9305057547374
GBPJPY,DONCHIAN55_FALSE_BREAK_6_Q,Donchian55下抜け否定,2016-04-12,2016-04-13,4,154.51,1.791616769303508,0.7295918367346905,0.7602040816326512,37.9305057547374
GBPJPY,DONCHIAN20_FALSE_BREAK_6_Q,Donchian20下抜け否定,2016-06-06,2016-06-07,1,154.59,1.95304950394729,0.6909871244635093,0.7939914163090062,40.83675552315183
GBPJPY,DONCHIAN20_FALSE_BREAK_6_Q,Donchian20下抜け否定,2016-06-19,2016-06-20,6,151.5,2.302411668939017,0.738095238095236,0.8273809523809549,43.63950264897252
GBPJPY,DONCHIAN55_FALSE_BREAK_6_Q,Donchian55下抜け否定,2016-06-19,2016-06-20,6,151.5,2.302411668939017,0.738095238095236,0.8273809523809549,43.63950264897252
GBPJPY,RSI_70_30_REJECT_6_Q,RSI30割れ否定,2016-06-19,2016-06-20,4,30.0,2.302411668939017,0.738095238095236,0.8273809523809549,43.63950264897252
GBPJPY,DONCHIAN20_FALSE_BREAK_6_Q,Donchian20下抜け否定,2016-07-11,2016-07-12,4,130.94,3.0796377093487317,0.9637883008356479,1.0,34.49412016401041
GBPJPY,DONCHIAN55_FALSE_BREAK_6_Q,Donchian55下抜け否定,2016-07-11,2016-07-12,4,130.94,3.0796377093487317,0.9637883008356479,1.0,34.49412016401041
GBPJPY,DONCHIAN20_FALSE_BREAK_6_Q,Donchian20下抜け否定,2016-08-18,2016-08-19,5,130.98,1.8573910375987615,0.7339901477832413,0.8226600985221608,40.20182387843038
GBPJPY,DONCHIAN20_FALSE_BREAK_6_Q,Donchian20下抜け否定,2016-09-22,2016-09-23,1,131.63,1.4668220685826556,0.6390532544378613,0.8047337278106432,38.67900806689982
GBPJPY,DONCHIAN20_FALSE_BREAK_6_Q,Donchian20下抜け否定,2017-01-17,2017-01-18,1,137.16,1.6457352964472365,0.8999999999999962,0.9033333333333265,41.77467276415146
GBPJPY,RSI_70_30_REJECT_6_Q,RSI30割れ否定,2017-01-17,2017-01-18,2,30.0,1.6457352964472365,0.8999999999999962,0.9033333333333265,41.77467276415146
GBPJPY,DONCHIAN20_FALSE_BREAK_6_Q,Donchian20下抜け否定,2017-04-17,2017-04-18,1,135.94,0.9920623231209703,0.8378378378378306,0.9459459459459372,42.42678798694923
GBPJPY,DONCHIAN55_FALSE_BREAK_6_Q,Donchian55下抜け否定,2017-04-17,2017-04-18,1,135.94,0.9920623231209703,0.8378378378378306,0.9459459459459372,42.42678798694923
GBPJPY,RSI_70_30_REJECT_6_Q,RSI30割れ否定,2017-04-17,2017-04-18,1,30.0,0.9920623231209703,0.8378378378378306,0.9459459459459372,42.42678798694923
GBPJPY,DONCHIAN20_FALSE_BREAK_6_Q,Donchian20下抜け否定,2017-05-31,2017-06-01,1,142.11,1.1397122585973667,0.507462686567168,0.813432835820896,43.38683419449928
GBPJPY,DONCHIAN20_FALSE_BREAK_6_Q,Donchian20下抜け否定,2017-06-07,2017-06-08,1,141.52,1.209077718362471,0.6706586826347383,1.0,45.72287892419147
GBPJPY,DONCHIAN20_FALSE_BREAK_6_Q,Donchian20下抜け否定,2017-06-13,2017-06-14,1,139.51,1.3417533492070939,0.7819548872180698,0.9172932330827169,40.996405434125094
GBPJPY,DONCHIAN20_FALSE_BREAK_6_Q,Donchian20下抜け否定,2017-08-14,2017-08-15,3,142.25,0.9847959956061026,0.5625000000000333,0.73750000000002,38.43912463594597
GBPJPY,DONCHIAN20_FALSE_BREAK_6_Q,Donchian20下抜け否定,2017-08-24,2017-08-25,1,139.76,1.0159638391145434,0.789999999999992,0.789999999999992,33.90451927197712
GBPJPY,DONCHIAN55_FALSE_BREAK_6_Q,Donchian55下抜け否定,2017-08-24,2017-08-25,1,139.76,1.0159638391145434,0.789999999999992,0.789999999999992,33.90451927197712
