context_name,v_strategy,strategy,trades,win_rate,total_r_after_cost,avg_r_after_cost,pf_after_cost,max_dd_r,max_losing_streak,avg_hold_bars
D20_D55_OR_RSI_15D,RS120_UPREG_BODY45_CLOSE60_RR15,D20_D55_OR_RSI_15D__RS120_UPREG_BODY45_CLOSE60_RR15,2,100.0,2.963166023769057,1.4815830118845286,inf,0.0,0,72.0
D20_OR_RSI_15D,RS120_UPREG_BODY45_CLOSE60_RR15,D20_OR_RSI_15D__RS120_UPREG_BODY45_CLOSE60_RR15,2,100.0,2.963166023769057,1.4815830118845286,inf,0.0,0,72.0
D20_D55_OR_RSI_15D,RS100_BODY45_CLOSE60_RR15,D20_D55_OR_RSI_15D__RS100_BODY45_CLOSE60_RR15,45,46.666666666666664,2.0040379583404917,0.04453417685201093,1.0901446448499417,7.531460312204533,6,98.6
D20_OR_RSI_15D,RS100_BODY45_CLOSE60_RR15,D20_OR_RSI_15D__RS100_BODY45_CLOSE60_RR15,45,46.666666666666664,2.0040379583404917,0.04453417685201093,1.0901446448499417,7.531460312204533,6,98.6
RSIQ_15D,RS100_BODY45_CLOSE60_RR15,RSIQ_15D__RS100_BODY45_CLOSE60_RR15,18,50.0,1.9093599952458598,0.10607555529143665,1.233435654388391,4.136604812737278,5,115.5
D20Q_5D,RS120_BODY45_CLOSE60_RR15,D20Q_5D__RS120_BODY45_CLOSE60_RR15,11,54.54545454545454,1.614890603369565,0.14680823666996046,1.3580864918497648,2.046867234625335,2,118.0909090909091
RSIQ_5D,RS120_BODY45_CLOSE60_RR15,RSIQ_5D__RS120_BODY45_CLOSE60_RR15,4,75.0,1.5909687747007888,0.3977421936751972,2.5795313836965814,1.0072410026937484,1,135.0
RSIQ_15D,RS120_UPREG_BODY45_CLOSE60_RR15,RSIQ_15D__RS120_UPREG_BODY45_CLOSE60_RR15,1,100.0,1.4811836416273967,1.4811836416273967,inf,0.0,0,69.0
D20Q_20D,RS100_BODY45_CLOSE60_RR15,D20Q_20D__RS100_BODY45_CLOSE60_RR15,51,45.09803921568628,0.8307570040081049,0.016289353019766764,1.0316131481671356,5.979379232689066,4,89.27450980392157
D20_OR_RSI_5D,RS120_BODY45_CLOSE60_RR15,D20_OR_RSI_5D__RS120_BODY45_CLOSE60_RR15,13,53.84615384615385,0.6087472575806656,0.04682671212158966,1.1103398866343437,3.038218284037567,3,126.3076923076923
RSIQ_5D,RS120_RECLAIM_RR15,RSIQ_5D__RS120_RECLAIM_RR15,7,57.14285714285714,-0.0021450377386696973,-0.0003064339626670996,0.9992912011635059,2.019058743055729,2,113.14285714285714
D20Q_15D,RS120_BODY45_CLOSE60_RR15,D20Q_15D__RS120_BODY45_CLOSE60_RR15,26,46.15384615384615,-0.03287140170193159,-0.0012642846808435227,0.9975798940048146,4.053317380789273,4,96.5
RSIQ_10D,RS100_BODY45_CLOSE60_RR15,RSIQ_10D__RS100_BODY45_CLOSE60_RR15,13,46.15384615384615,-0.5333126014396994,-0.04102404626459226,0.913564708292082,4.678396322923374,4,122.61538461538461
