context_name,v_strategy,trades,win_rate,total_r_after_cost,avg_r_after_cost,pf_after_cost,max_dd_r,max_losing_streak,avg_hold_bars
AVOID_D20_OR_RSI_20D,RS120_BODY45_CLOSE60_RR15,83,55.42168674698795,30.303730900001604,0.3651051915662844,1.8852049280609988,5.637122348267162,5,75.03614457831326
AVOID_D20_OR_RSI_10D,RS120_RECLAIM_RR15,106,51.886792452830186,29.633609826612552,0.2795623568548354,1.614289547013659,7.652499532476522,5,77.17924528301887
AVOID_D20_OR_RSI_15D,RS120_BODY45_CLOSE60_RR15,89,53.93258426966292,29.169001890956405,0.32774159428040905,1.7620359485860089,6.075165571608948,6,75.8314606741573
AVOID_D20_OR_RSI_10D,RS120_BODY45_CLOSE60_RR15,95,52.63157894736842,28.105526303571846,0.2958476453007563,1.664398340015168,7.079537854551367,7,77.2
BASELINE_NO_D1_CONTEXT,RS100_BODY45_CLOSE60_RR15,155,48.38709677419355,26.887564328136968,0.17346815695572237,1.3576732499398396,11.71013110547821,10,80.51612903225806
BASELINE_NO_D1_CONTEXT,RS120_BODY45_CLOSE60_RR15,103,51.45631067961165,26.752750293010944,0.2597354397379703,1.5718213665501166,9.091198892118452,9,80.45631067961165
AVOID_D20_OR_RSI_5D,RS100_BODY45_CLOSE60_RR15,149,48.322147651006716,26.14484922625092,0.17546878675336186,1.3522848069726217,13.39922485696019,10,76.1744966442953
AVOID_D20_OR_RSI_5D,RS120_BODY45_CLOSE60_RR15,101,50.495049504950494,24.534664939343568,0.242917474646966,1.5179940000382046,9.091198892118452,9,76.91089108910892
BASELINE_NO_D1_CONTEXT,RS120_RECLAIM_RR15,123,48.78048780487805,23.059409663927898,0.187474875316487,1.3852179155565836,8.607327500474662,7,78.78048780487805
AVOID_D20_OR_RSI_5D,RS120_RECLAIM_RR15,115,48.69565217391305,22.9625948526631,0.19967473784924433,1.4071154174228175,8.607327500474662,7,76.31304347826087
AVOID_D20_OR_RSI_10D,RS120_UPREG_BODY45_CLOSE60_RR15,45,51.11111111111111,9.940800392870406,0.22090667539712014,1.470538837487615,4.064194791710705,4,70.42222222222222
