context_name,v_strategy,period,trades,win_rate,total_r_after_cost,avg_r_after_cost,pf_after_cost,max_dd_r,max_losing_streak,avg_hold_bars
AVOID_D20_OR_RSI_15D,RS100_BODY45_CLOSE60_RR15,Research_2015_2024,129,45.73643410852713,16.391505414367124,0.1270659334447064,1.242051027020546,11.192915851124544,8,71.79069767441861
AVOID_D20_OR_RSI_5D,RS100_BODY45_CLOSE60_RR15,Research_2015_2024,151,45.033112582781456,15.25602373149387,0.10103326974499252,1.1885341434160723,13.208962800000284,10,72.49006622516556
AVOID_D20_D55_OR_RSI_20D,RS100_BODY45_CLOSE60_RR15,OOS_2025_2026,20,75.0,14.819859165321954,0.7409929582660977,4.33298844695227,1.010000336480621,1,92.2
AVOID_D20_OR_RSI_20D,RS100_BODY45_CLOSE60_RR15,OOS_2025_2026,20,75.0,14.819859165321954,0.7409929582660977,4.33298844695227,1.010000336480621,1,92.2
AVOID_D20_OR_RSI_30D,RS100_BODY45_CLOSE60_RR15,OOS_2025_2026,20,75.0,14.819859165321954,0.7409929582660977,4.33298844695227,1.010000336480621,1,92.2
AVOID_D20_OR_RSI_5D,RS120_BODY45_CLOSE60_RR15,Research_2015_2024,104,46.15384615384615,14.27325591533656,0.1372428453397746,1.264026397277153,9.627428103580161,9,73.33653846153847
AVOID_D20_OR_RSI_10D,RS100_BODY45_CLOSE60_RR15,OOS_2025_2026,22,68.18181818181817,12.815869593742274,0.5825395269882852,2.986831040420608,2.007588111145445,2,91.63636363636364
AVOID_D20_OR_RSI_15D,RS100_BODY45_CLOSE60_RR15,OOS_2025_2026,22,68.18181818181817,12.815869593742274,0.5825395269882852,2.986831040420608,2.007588111145445,2,91.63636363636364
BASELINE_NO_D1_CONTEXT,RS120_RECLAIM_RR15,Research_2015_2024,132,45.45454545454545,12.32167406997965,0.09334601568166402,1.1770334625059795,9.624968140145691,7,76.0530303030303
AVOID_D20_OR_RSI_5D,RS120_RECLAIM_RR15,Research_2015_2024,117,44.44444444444444,11.206025494796172,0.09577799568201857,1.1775893552372807,9.67090507650425,7,71.96581196581197
AVOID_D20_D55_OR_RSI_20D,RS120_RECLAIM_RR15,OOS_2025_2026,16,68.75,11.046035441569009,0.690377215098063,3.483180726919006,1.4274266307093386,2,88.0625
AVOID_D20_OR_RSI_20D,RS120_RECLAIM_RR15,OOS_2025_2026,16,68.75,11.046035441569009,0.690377215098063,3.483180726919006,1.4274266307093386,2,88.0625
AVOID_D20_OR_RSI_30D,RS120_RECLAIM_RR15,OOS_2025_2026,16,68.75,11.046035441569009,0.690377215098063,3.483180726919006,1.4274266307093386,2,88.0625
AVOID_D20_OR_RSI_5D,RS100_BODY45_CLOSE60_RR15,OOS_2025_2026,24,62.5,10.809267761748034,0.4503861567395014,2.2781430761912804,2.6550319021865008,2,88.41666666666667
BASELINE_NO_D1_CONTEXT,RS100_BODY45_CLOSE60_RR15,OOS_2025_2026,24,62.5,10.809267761748034,0.4503861567395014,2.2781430761912804,2.6550319021865008,2,88.41666666666667
AVOID_D20_D55_OR_RSI_20D,RS120_BODY45_CLOSE60_RR15,OOS_2025_2026,14,71.42857142857143,10.561101180474875,0.7543643700339197,4.0696062631808685,1.010000336480621,1,83.42857142857143
AVOID_D20_OR_RSI_20D,RS120_BODY45_CLOSE60_RR15,OOS_2025_2026,14,71.42857142857143,10.561101180474875,0.7543643700339197,4.0696062631808685,1.010000336480621,1,83.42857142857143
AVOID_D20_OR_RSI_30D,RS120_BODY45_CLOSE60_RR15,OOS_2025_2026,14,71.42857142857143,10.561101180474875,0.7543643700339197,4.0696062631808685,1.010000336480621,1,83.42857142857143
