base_strategy,filter,family,description,trades,win_rate,total_r_after_cost,avg_r_after_cost,pf_after_cost,max_dd_r,max_losing_streak,avg_hold_bars
T5_STAG_OR_REBREAK,EMA_RSI_ATR,Combo,EMA20>50、RSI50〜75、ATR過大除外,160,46.875,35.417693112293435,0.22136058195183397,1.4384962427825594,8.167941901014242,9,95.2625
T5_STAG_OR_REBREAK,Trend_Momentum_Close,Combo,EMA20>50、RSI>50、終値位置65%以上,185,47.02702702702703,35.009284980821405,0.1892393782747103,1.3796544388673126,9.566279925755907,9,101.11351351351351
T5_STAG_OR_REBREAK,ATR_pctile_lt_85,ATR,ATR上位15%の荒れ相場を除外,240,43.75,31.533686862928114,0.13139036192886713,1.2475987675056741,15.395106884027395,12,95.65416666666667
T5_STAG_OR_REBREAK,EMA20_slope_pos,EMA,EMA20の10本傾きがプラス,265,44.15094339622642,30.370374497421324,0.11460518678272198,1.2216772090696777,18.12699664016969,13,101.12830188679246
T5_STAG_OR_REBREAK,BB_width_ge_4ATR,Bollinger,BB幅が4ATR以上,173,47.398843930635834,29.307868628523863,0.16940964525158303,1.3602893404938188,14.921155441640982,12,111.89595375722543
T5_STAG_OR_REBREAK,EMA_stack_20_50_200,EMA,EMA20 > EMA50 > EMA200,133,45.11278195488722,21.293080384761687,0.16009834875760667,1.305531093960288,10.680753394725663,7,93.86466165413533
T5_STAG_OR_REBREAK,Donchian20_break,Donchian,20本高値を終値で更新,210,42.857142857142854,18.987820475950365,0.09041819274262078,1.1717381194341965,17.796176653397517,10,103.44761904761904
T5_STAG_OR_REBREAK,ADX_ge_18,ADX,ADX14 >= 18,205,42.926829268292686,18.70268970195178,0.0912326326924477,1.178053000831896,20.20459118446249,16,102.18048780487806
T5_STAG_OR_REBREAK,ADX_ge_22,ADX,ADX14 >= 22,138,43.47826086956522,11.036384023580636,0.07997379727232345,1.1554711664508948,16.160882188789795,10,104.83333333333333
T5_STAG_OR_REBREAK,ATR_pctile_20_90,ATR,ATRが過小/過大すぎない 20〜90%,186,43.01075268817204,9.111031844137486,0.04898404217278218,1.0914068353319644,13.243743478250416,11,103.81720430107526
T5_STAG_OR_REBREAK,Donchian55_break,Donchian,55本高値を終値で更新,82,43.90243902439025,6.721936598289441,0.08197483656450537,1.1585917396516972,8.192055578787965,7,111.65853658536585
T5_STAG_OR_REBREAK,ADX_Donchian_Body,Combo,ADX>=18、20本高値更新、実体60%以上,145,40.689655172413794,2.3370398133825177,0.016117515954362192,1.030738339941644,19.312425964234063,12,106.34482758620689
T5_STAG_OR_REBREAK,ADX_ge_25,ADX,ADX14 >= 25,101,39.603960396039604,-1.4658278100850504,-0.01451314663450545,0.9729651833597136,18.094946793900732,9,107.02970297029702
