scope,filter_id,filter_desc,rr,max_hold_bars,trades,win_rate,total_r_after_cost,avg_r_after_cost,median_r_after_cost,pf_after_cost,max_dd_r,max_losing_streak,avg_mfe_r,avg_mae_r,avg_bars_held,target_hit_pct,stop_hit_pct,oos_trades,oos_total_r
ALL_H4,BREAK_EXT_LE_0_8ATR,Bから0.8ATR以上伸びた飛び乗りを除外,1.0,120,404,53.46534653465347,22.67050467319706,0.05611511057722044,0.46873040050238013,1.129387333937798,23.09596301473248,11,0.7710753674244806,0.7270291176614364,44.04950495049505,47.277227722772274,40.5940594059406,34,12.63286296642273
XAUUSD_H4,A_ROOM_GE_0_5R,Aが上に残る場合、Aまで0.5R以上,1.5,120,58,62.06896551724138,22.446499041505263,0.38700860416388383,0.49490709054497145,2.19582040117679,4.055229800933794,4,1.093922473806987,0.628544200297926,65.27586206896552,41.37931034482759,27.586206896551722,6,1.9772994754738706
XAUUSD_H4,A_ROOM_GE_0_5R,Aが上に残る場合、Aまで0.5R以上,1.5,48,58,68.96551724137932,22.006770515093812,0.379427077846445,0.3784827463961923,2.679131042246764,2.5029995757349135,4,0.9404806151916402,0.5183524239773418,36.8448275862069,25.862068965517242,17.24137931034483,6,2.6625067972188474
ALL_H4,BODY_LE_1ATR,エントリー足の実体が1.0ATR以内,2.0,120,337,42.433234421364986,21.895501618238917,0.06497181489091666,-0.5473259047685883,1.1254278225196572,21.20995023735636,13,1.0280569998773028,0.8166830240682049,65.2433234421365,22.255192878338278,48.07121661721068,30,1.9811079103068474
XAUUSD_H4,A_ROOM_GE_1R,Aが上に残る場合、Aまで1R以上,2.0,120,46,58.69565217391305,21.652072059905226,0.4706972186935919,0.38821076674027366,2.3160681085035235,4.055229800933794,4,1.255602969378488,0.6475848525590711,72.73913043478261,32.608695652173914,30.434782608695656,6,2.9772994754738744
ALL_H4,BREAK_EXT_LE_0_8ATR,Bから0.8ATR以上伸びた飛び乗りを除外,1.5,48,404,49.00990099009901,21.512520459536724,0.05324881301865526,-0.014371760316208656,1.1324925438202316,22.015109253672012,10,0.8180117336398015,0.6913456731777602,34.31435643564357,22.524752475247524,32.92079207920792,34,10.627375359290353
ALL_H4,BREAK_EXT_LE_1_2ATR,Bから1.2ATR以上伸びた飛び乗りを除外,1.5,48,470,48.723404255319146,21.3465996137202,0.045418297050468515,-0.023007136961862327,1.1160623653338346,23.235084829446944,8,0.7967696636118908,0.6820745967304315,35.06170212765957,20.851063829787233,31.27659574468085,41,12.535509520142458
XAUUSD_H4,A_ROOM_GE_1R,Aが上に残る場合、Aまで1R以上,2.0,48,46,67.3913043478261,21.310281927890944,0.4632669984324118,0.30426688090522486,3.020022842711297,3.1339723970507434,4,1.0601673898114756,0.508977489527919,39.630434782608695,23.91304347826087,17.391304347826086,6,3.662506797218851
XAUUSD_H4,NO_D1_RESIST_1ATR,D1過去60日高値が1ATR未満にある場所を除外,2.0,120,68,54.41176470588235,20.90380701409651,0.3074089266778899,0.2602610190855794,1.7603548586738114,7.1034374721468865,7,1.194278107533444,0.7161427231479783,74.05882352941177,26.47058823529412,35.294117647058826,6,-0.01797362900601452
ALL_H4,RANGE_LE_2ATR,エントリー足の高安が2.0ATR以内,1.0,120,445,52.58426966292134,20.560184754894372,0.04620266237054915,0.2766950827962672,1.1077236561263029,27.160094012673774,9,0.747900266187178,0.716406214953406,47.87865168539326,45.61797752808989,39.550561797752806,37,13.12344581062241
ALL_H4,BODY_LE_1ATR,エントリー足の実体が1.0ATR以内,2.0,48,337,46.29080118694362,20.407629964844922,0.06055676547431728,-0.09033656063253875,1.1511457114124521,19.149412847069886,8,0.8470461365562542,0.684895593416345,37.10682492581602,13.056379821958458,31.454005934718097,30,5.0135856044809515
ALL_H4,BREAK_EXT_LE_1_2ATR,Bから1.2ATR以上伸びた飛び乗りを除外,1.0,120,470,52.97872340425533,20.305907957390545,0.04320405948380967,0.28542216494081174,1.099227651129909,31.1216918339131,8,0.7635848627394907,0.7279526753459074,46.229787234042554,45.95744680851064,40.42553191489361,41,14.371265641236727
ALL_H4,A_ROOM_GE_0_5R,Aが上に残る場合、Aまで0.5R以上,1.0,48,409,53.30073349633252,20.016538920754744,0.04894019296028055,0.09993870665364847,1.142785779507041,15.485571767219042,7,0.6658734461513856,0.6144483397149344,32.02200488997555,32.76283618581907,25.91687041564792,38,13.838241409528012
XAUUSD_H4,NO_D1_RESIST_1ATR,D1過去60日高値が1ATR未満にある場所を除外,1.5,48,68,63.23529411764706,19.928694026499965,0.2930690298014701,0.24126189600930292,2.103301370550771,5.551207246948006,7,0.88764986421049,0.5721962849183102,37.470588235294116,22.058823529411764,20.588235294117645,6,2.6672336927389586
