period,candidate,max_recovery_to_drop,symbol,trades,win_rate,total_r,avg_r,pf,max_dd_r,max_losing_streak
Research_2015_2024,Strict_075_100_width7,0.95,EURJPY,10,30.0,-1.2546049019764607,-0.12546049019764607,0.8219118783572656,3.0177000600920554,4
Research_2015_2024,Strict_075_100_width7,0.95,GBPJPY,22,68.18181818181817,17.964486715541945,0.8165675779791793,3.545681627634577,2.014147141155764,2
Research_2015_2024,Strict_075_100_width7,0.95,SILVER,11,36.36363636363637,0.8325903642072097,0.07569003310974633,1.1413122719373632,3.156403218697627,4
Research_2015_2024,Strict_075_100_width7,0.95,USDJPY,10,60.0,8.800119064292959,0.8800119064292959,3.7834028570854783,2.011877163368765,2
Research_2015_2024,Strict_075_100_width7,0.95,XAUUSD,8,62.5,8.302774057960185,1.0378467572450232,6.114144138773259,1.007253474550276,1
Research_2015_2024,Current_060_110,1.0,AUDJPY,21,57.14285714285714,8.700908119079811,0.41432895805141956,1.957353492637759,6.069439523076552,6
Research_2015_2024,Current_060_110,1.0,CHFJPY,12,66.66666666666666,9.58594986526018,0.7988291554383483,3.376471795608482,2.0141214665597147,2
Research_2015_2024,Current_060_110,1.0,EURJPY,22,31.818181818181817,-3.031505706232002,-0.13779571391963644,0.7991549925411705,7.043033345833235,8
Research_2015_2024,Current_060_110,1.0,GBPJPY,29,51.724137931034484,10.901910304546249,0.37592794153607756,1.7721214738345874,3.0192329644351554,3
Research_2015_2024,Current_060_110,1.0,SILVER,21,33.33333333333333,-2.128449227297344,-0.10135472510939733,0.8387071812532405,5.252521191642872,5
Research_2015_2024,Current_060_110,1.0,USDJPY,24,54.166666666666664,15.599334438997012,0.6499722682915422,2.6315981697159243,2.4716617406275807,3
Research_2015_2024,Current_060_110,1.0,XAUUSD,13,61.53846153846154,10.835977849938084,0.833536757687545,3.9772586165599417,1.0075409827278374,1
Research_2015_2024,Robust_075_105_width7,1.0,AUDJPY,20,55.00000000000001,7.5687959400641365,0.37843979700320685,1.8327881560309147,6.069439523076552,6
Research_2015_2024,Robust_075_105_width7,1.0,CHFJPY,9,77.77777777777779,10.929237646712496,1.2143597385236107,6.419055077825575,1.0127980772889666,1
Research_2015_2024,Robust_075_105_width7,1.0,EURJPY,15,26.666666666666668,-3.217495281523555,-0.21449968543490366,0.7093349932540616,5.029671298567468,6
Research_2015_2024,Robust_075_105_width7,1.0,GBPJPY,25,60.0,14.940256350923605,0.5976102540369442,2.482009834116245,3.0192329644351554,3
Research_2015_2024,Robust_075_105_width7,1.0,SILVER,16,37.5,1.542773006662576,0.096423312916411,1.1715471264115498,3.7259748717801786,5
