symbol,timeframe,rr,max_hold_bars,trades,win_rate,total_r_after_cost,avg_r_after_cost,median_r_after_cost,pf_after_cost,max_dd_r,max_losing_streak,avg_mfe_r,avg_mae_r,avg_bars_held,target_hit_pct,stop_hit_pct,oos_trades,oos_total_r
GBPJPY,H1,1.0,48,197,51.776649746192895,4.210346597562642,0.021372317754125087,0.09239961624888737,1.0514740433548022,10.755303023683332,4,0.7830458800263076,0.7244405162273001,20.81218274111675,42.13197969543147,36.54822335025381,35,-5.355713863799089
AUDJPY,H4,2.0,48,111,42.34234234234234,4.053942302209846,0.036522002722611226,-0.24858107885622438,1.0743526421355467,10.895164105212805,7,0.9840470389322363,0.8618912728480129,27.864864864864863,20.72072072072072,45.04504504504504,11,6.110145929318903
XAUUSD,H1,1.0,120,214,54.20560747663551,3.8374709611693123,0.017932107295183703,0.2037854372966885,1.040781309239561,10.074848903498536,7,0.7737067518677451,0.7321020877636364,36.953271028037385,43.925233644859816,40.654205607476634,17,-2.5760833852812763
CHFJPY,H4,1.0,48,141,51.06382978723404,3.484878294847416,0.024715448899627065,0.03354545685455948,1.0577429847097812,15.274381398255601,10,0.7674298838848481,0.7210668391102341,19.46099290780142,43.262411347517734,37.5886524822695,12,3.458815562900204
CHFJPY,H4,1.0,120,141,52.4822695035461,2.7926792815685033,0.01980623603949293,0.4702887586413928,1.0423092973720731,19.424786958777425,10,0.7930920296464135,0.7544459695726652,27.78723404255319,48.93617021276596,44.680851063829785,12,3.777924969895543
USDJPY,H1,1.5,120,226,45.13274336283185,2.365804033120023,0.010468159438584172,-0.4390185157651203,1.02026950945735,19.530738981464392,12,0.9394315670569959,0.8679411976889452,44.26106194690266,32.30088495575221,48.23008849557522,33,-8.658380573931133
XAUUSD,H1,2.0,120,214,41.58878504672897,1.9166518808330517,0.008956317200154447,-1.0071414824745502,1.0162148661844284,10.930711637918805,9,1.0707604400795225,0.85054627302677,51.294392523364486,24.299065420560748,50.93457943925234,17,-0.5760833852812763
EURJPY,H1,2.0,120,226,39.38053097345133,0.9745620209580554,0.004312221331672811,-1.0104658452408923,1.007212085190678,28.616634141484642,12,1.0456753094492008,1.0038339457071308,47.15929203539823,26.991150442477874,56.19469026548673,33,9.42075883749951
XAUUSD,H1,1.5,120,214,45.794392523364486,0.4362407335428511,0.0020385081006675286,-0.2786508073844215,1.0039631332921823,12.391141652086226,7,0.9493513439532795,0.8156712229171399,45.981308411214954,31.308411214953267,47.66355140186916,17,-2.5760833852812737
USDJPY,H4,1.5,48,124,45.16129032258064,0.24782985828827142,0.0019986278894215436,-0.15096038865147282,1.0044156435556848,11.18083719295634,6,0.8716195788086751,0.8420027536535964,25.846774193548388,25.806451612903224,39.516129032258064,17,-1.3674391948024163
USDJPY,H1,2.0,48,226,41.5929203539823,-0.06458100817795476,-0.0002857566733537821,-0.36851609968166543,0.9994398775634067,16.1658952675442,12,0.9518878141693609,0.8279026695544882,29.20353982300885,19.469026548672566,45.13274336283185,33,-3.118575984566459
AUDJPY,H1,1.5,120,217,42.857142857142854,-0.3941262099829643,-0.0018162498155896974,-1.0081288140726212,0.9967230769674649,25.29039418571233,10,0.9348924197582191,0.9377437864314009,40.654377880184335,34.56221198156682,51.61290322580645,17,-5.3526974689233375
USDJPY,H1,1.5,48,226,45.13274336283185,-0.8728098421025754,-0.003861990451781307,-0.21908304354432323,0.9919066028229365,17.165895267544244,12,0.8519002819481765,0.7920109143267279,26.393805309734514,25.663716814159294,42.0353982300885,33,-3.746557194910347
USDJPY,H1,1.0,48,226,51.32743362831859,-1.1619252926517203,-0.005141262356866019,0.08830733839066185,0.98785802757609,13.009548268587608,10,0.7186149878486674,0.7108625327690908,22.91592920353982,38.05309734513274,37.16814159292036,33,-4.4073934836546815
USDJPY,H1,1.0,120,226,52.21238938053098,-2.0169640292757878,-0.008924619598565433,0.11653601720548913,0.9802102852975031,12.676416683503096,10,0.7646094865508498,0.7646708194141022,36.82743362831859,43.36283185840708,42.0353982300885,33,-9.658380573931213
USDJPY,H4,2.0,48,124,41.12903225806452,-2.487386557040889,-0.020059569008394264,-0.31154893735074013,0.958734047758356,12.081177909541609,12,0.9678725065582967,0.8738639564839851,27.830645161290324,17.741935483870968,42.74193548387097,17,0.6325608051975637
XAUUSD,H1,1.5,48,214,47.19626168224299,-5.421933516383806,-0.02533613792702713,-0.13323755992728575,0.9464608317775886,16.311386862526433,7,0.8587419632931964,0.7486612769082257,27.10747663551402,23.83177570093458,42.05607476635514,17,-4.204078399068715
EURJPY,H1,1.5,120,226,42.92035398230089,-5.474778693837868,-0.024224684486008265,-1.007012952529678,0.9568483529548257,29.71907053511313,9,0.9250331639889252,0.9543756024312927,41.8716814159292,33.6283185840708,52.654867256637175,33,6.937940926622147
XAUUSD,H1,1.0,48,214,51.86915887850467,-5.982216955513898,-0.027954284838849992,0.050082698771411194,0.9342068696115722,14.085542807627295,7,0.7194483192977834,0.6977912287129733,23.41588785046729,37.38317757009346,37.38317757009346,17,-5.312143324563342
XAUUSD,H1,2.0,48,214,44.39252336448598,-6.129258278535115,-0.028641393824930445,-0.26231398273103923,0.9431225883996636,13.307695251143253,7,0.9338795172433189,0.7780068812827899,29.07943925233645,16.355140186915886,44.85981308411215,17,-3.8615384744623062
EURJPY,H1,2.0,48,226,39.823008849557525,-6.255329560914136,-0.027678449384575823,-0.46795588387010995,0.9467494002308128,26.82009537631176,9,0.9100716540306979,0.9271042450126831,28.699115044247787,18.58407079646018,43.80530973451327,33,8.616206004254376
AUDJPY,H4,1.0,48,111,46.846846846846844,-6.315257706856774,-0.05689421357528625,-0.1490382549694099,0.8721206775517196,14.898418999714492,5,0.7018377265157197,0.7857448591796307,21.873873873873872,35.13513513513514,40.54054054054054,11,2.153178636132168
EURJPY,H1,1.0,48,226,48.67256637168141,-6.699092555586087,-0.029642002458345515,-0.0566504186267333,0.9312749227359793,20.894111835102596,5,0.6869639294795111,0.7956182426720324,23.601769911504423,37.610619469026545,35.39823008849557,33,0.7510380590159763
AUDJPY,H4,1.0,120,111,47.74774774774775,-8.225543155624177,-0.0741039923930106,-0.16375117679787027,0.854048694355075,15.957049959723513,5,0.7475293016217319,0.8546130000984096,31.594594594594593,42.34234234234234,49.549549549549546,11,-1.1568126863475954
AUDJPY,H1,2.0,120,217,36.405529953917046,-9.382143872642793,-0.04323568604904513,-1.0163475634658794,0.9300030193471522,20.918373715501836,10,1.1274655668164397,0.9963516779539563,44.54377880184332,24.42396313364055,57.6036866359447,17,-4.0416352014410375
EURJPY,H1,1.5,48,226,42.47787610619469,-9.412060129005926,-0.04164628375666339,-0.2193670074600642,0.9154111153933336,27.207682868528963,6,0.8260690441342875,0.8865547190972155,26.561946902654867,24.778761061946902,41.150442477876105,33,5.664959924504398
EURJPY,H1,1.0,120,226,50.0,-9.473704250547742,-0.04191904535640594,0.01208455769831337,0.9145863194410321,26.245708310716854,8,0.7391380648869459,0.8598800357501142,35.02212389380531,44.690265486725664,46.017699115044245,33,1.6171808020675398
GBPJPY,H4,1.0,48,112,45.535714285714285,-11.902301638184486,-0.10627055034093291,-0.37942998785314275,0.788773818788869,15.590506048134353,7,0.7253132266589112,0.8192001796160977,19.875,36.607142857142854,46.42857142857143,12,-1.70556013738723
GBPJPY,H4,2.0,48,112,36.607142857142854,-12.036854374998534,-0.1074719140624869,-1.007516333646203,0.8166655291700807,16.907510363851774,7,0.922496505312556,0.9461562742184254,24.482142857142858,16.964285714285715,54.46428571428571,12,0.5029722789017708
AUDJPY,H1,1.0,120,217,48.38709677419355,-13.282549190596955,-0.061209904104133434,-0.25439701565160366,0.8766818271120969,23.027776492684282,6,0.7242993590782105,0.841169601463685,32.34101382488479,41.935483870967744,46.08294930875576,17,-6.428109734850627
EURJPY,H4,2.0,48,122,33.60655737704918,-15.019520672297343,-0.1231108251827651,-0.929689904565298,0.7808400104386075,17.338853085963045,11,0.9347498005196238,0.8797414508148061,25.66393442622951,17.21311475409836,50.0,9,-6.866053239527438
GBPJPY,H4,1.0,120,112,44.642857142857146,-16.002208853336473,-0.1428768647619328,-1.0035430520498956,0.7402066249694585,20.462833719168366,7,0.7499615158579557,0.8675841687498459,26.857142857142858,40.17857142857143,52.67857142857143,12,-0.6026992997634466
GBPJPY,H4,1.5,48,112,38.392857142857146,-16.387764391840253,-0.1463193249271451,-1.0062890620169531,0.7424148941226946,17.933569900049914,7,0.8561688243731346,0.9241518818461544,23.214285714285715,23.214285714285715,52.67857142857143,12,-0.9970277210982197
AUDJPY,H1,1.0,48,217,47.004608294930875,-16.697560566222986,-0.0769472837153133,-0.11792169862431566,0.8312290248370372,22.477166830464725,6,0.6660561436610704,0.7939212940870686,21.502304147465438,36.86635944700461,40.55299539170507,17,-7.8482480804114765
EURJPY,H4,2.0,120,122,30.327868852459016,-16.86456320100272,-0.13823412459838297,-1.0075746847179063,0.7893434755998487,22.642110193944216,11,1.0300987241179203,0.9516801912580678,42.59836065573771,22.950819672131146,62.295081967213115,9,-6.104831543780518
EURJPY,H4,1.0,48,122,41.80327868852459,-16.95242248289916,-0.13895428264671442,-0.38248746654845656,0.7228952135787345,19.804839062526682,11,0.7090002820466983,0.8189175579679138,20.25409836065574,34.42622950819672,45.08196721311475,9,-6.750592809848719
EURJPY,H4,1.5,48,122,36.0655737704918,-17.072126358709074,-0.13993546195663176,-0.929689904565298,0.7471552001337222,19.356809561222644,11,0.8164163642424143,0.8730244897227327,23.4672131147541,23.770491803278688,50.0,9,-6.2505928098487065
GBPJPY,H4,2.0,120,112,33.035714285714285,-17.32206196577043,-0.1546612675515217,-1.0106535970544135,0.7639125436283709,19.97857437597234,7,0.9926439512261869,1.0152807255420075,37.75892857142857,22.321428571428573,62.5,12,1.602989817652145
EURJPY,H4,1.5,120,122,34.42622950819672,-17.72865041494826,-0.14531680667990376,-1.0072061506261256,0.7652773350504735,21.603917698006022,11,0.8836823775217624,0.9256720000795197,35.58196721311475,30.327868852459016,59.01639344262295,9,-6.604831543780506
AUDJPY,H1,1.5,48,217,41.474654377880185,-17.957392708900482,-0.08275296179216812,-0.2976350402156858,0.8350338020150537,28.123550689027617,11,0.8308741822286776,0.8751219362425917,25.65437788018433,23.502304147465438,44.70046082949309,17,-6.8482480804114765
EURJPY,H4,1.0,120,122,41.80327868852459,-18.2786674537676,-0.14982514306366884,-1.0031599114266747,0.7245236309836302,20.443763268761824,11,0.7454056392875724,0.8555849880064577,29.975409836065573,38.52459016393443,51.63934426229508,9,-7.104831543780518
AUDJPY,H1,2.0,48,217,38.24884792626728,-21.72172344838357,-0.10010010805706715,-0.5350895936112859,0.8132567386982958,28.2499325994902,11,0.8955449887392946,0.9114494934923035,27.170506912442395,15.668202764976957,47.926267281105986,17,-5.8482480804114765
GBPJPY,H4,1.5,120,112,35.714285714285715,-22.183635243177218,-0.1980681718140823,-1.009584728500433,0.688435546300166,23.29878011242715,7,0.9069330141264802,0.991413385904976,34.848214285714285,26.785714285714285,60.71428571428571,12,0.10298981765215487
CHFJPY,H1,2.0,48,240,37.083333333333336,-27.059725770892534,-0.1127488573787189,-0.4746554018560314,0.7905404533500902,33.070088736687005,7,0.872866962842482,0.8183745460089364,27.5125,17.083333333333332,45.0,28,-13.142771344789896
CHFJPY,H1,1.5,48,240,39.58333333333333,-29.54687738479615,-0.12311198910331729,-0.35855673207137195,0.7604913380126673,33.09997114024188,7,0.7602416003314687,0.7968439645817312,25.266666666666666,22.5,42.916666666666664,28,-12.941884438678638
CHFJPY,H1,1.0,48,240,44.583333333333336,-33.01039288161578,-0.1375433036733991,-0.19991684048838207,0.7119336337434788,37.22743013699652,7,0.6678102105264413,0.7531685332759093,21.604166666666668,33.33333333333333,40.0,28,-13.313628055392652
CHFJPY,H1,1.5,120,240,36.666666666666664,-33.37173109336139,-0.13904887955567247,-1.0152590259101784,0.763871142292656,36.413665269838695,16,0.840593883976031,0.8689342113912749,42.92916666666667,28.749999999999996,52.5,28,-12.82437260908008
