month,label,trades,win_rate,total_r_after_cost,avg_r_after_cost,median_r_after_cost,pf_after_cost,max_dd_r,max_losing_streak,avg_mfe_r,avg_mae_r,avg_bars_held,oos_trades,oos_total_r
2025-06,CURRENT_PRECALM_SHELF6_RR15,1,100.0,1.486693566212464,1.486693566212464,1.486693566212464,inf,0.0,0,1.5821349773416988,0.915482644584627,14.0,1,1.486693566212464
2016-03,CURRENT_PRECALM_SHELF6_RR15,1,100.0,1.4832123524850125,1.4832123524850125,1.4832123524850125,inf,0.0,0,1.9216260522154953,0.6211429580545217,26.0,0,0.0
2015-11,CURRENT_PRECALM_SHELF6_RR15,1,100.0,1.4788988803590435,1.4788988803590435,1.4788988803590435,inf,0.0,0,1.882219871973957,0.06583549327980937,9.0,0,0.0
2025-03,CURRENT_PRECALM_SHELF6_RR15,1,100.0,1.4782306688757012,1.4782306688757012,1.4782306688757012,inf,0.0,0,1.6805923627981019,0.21271746412913367,5.0,1,1.4782306688757012
2017-03,CURRENT_PRECALM_SHELF6_RR15,1,100.0,1.401180790569046,1.401180790569046,1.401180790569046,inf,0.0,0,1.9921952621286978,0.8696090429926874,25.0,0,0.0
2022-06,CURRENT_PRECALM_SHELF6_RR15,2,50.0,0.5043650369312371,0.25218251846561857,0.25218251846561857,1.4999109670075144,1.0089097263666467,1,1.425189104847271,0.627101014209034,18.0,0,0.0
2023-08,CURRENT_PRECALM_SHELF6_RR15,2,50.0,0.479813929453776,0.239906964726888,0.239906964726888,1.475634589600771,0.0,1,1.2136223521408174,0.8262511352204711,16.5,0,0.0
2024-09,CURRENT_PRECALM_SHELF6_RR15,1,0.0,-1.0068063437556993,-1.0068063437556993,-1.0068063437556993,0.0,0.0,1,0.12387545635383067,1.0658734321434724,3.0,0,0.0
2024-02,CURRENT_PRECALM_SHELF6_RR15,1,0.0,-1.0124454062071173,-1.0124454062071173,-1.0124454062071173,0.0,0.0,1,0.022401731172832562,1.091462124365166,5.0,0,0.0
2020-11,CURRENT_PRECALM_SHELF6_RR15,1,0.0,-1.014261934100237,-1.014261934100237,-1.014261934100237,0.0,0.0,1,0.028523868200494403,1.0910379586691288,8.0,0,0.0
2026-03,CURRENT_PRECALM_SHELF6_RR15,1,0.0,-1.0183315628511038,-1.0183315628511038,-1.0183315628511038,0.0,0.0,1,0.6760680379493417,1.4826568033986174,22.0,1,-1.0183315628511038
2016-11,CURRENT_PRECALM_SHELF6_RR15,1,0.0,-1.0193882681259,-1.0193882681259,-1.0193882681259,0.0,0.0,1,0.15510614500733796,2.743439939817347,1.0,0,0.0
2021-11,CURRENT_PRECALM_SHELF6_RR15,1,0.0,-1.0196144197923238,-1.0196144197923238,-1.0196144197923238,0.0,0.0,1,1.400469573173196,1.3141661260868984,33.0,0,0.0
2019-01,CURRENT_PRECALM_SHELF6_RR15,1,0.0,-1.0197134060620525,-1.0197134060620525,-1.0197134060620525,0.0,0.0,1,0.4573510206400202,1.009326390378004,13.0,0,0.0
2020-10,CURRENT_PRECALM_SHELF6_RR15,1,0.0,-1.021080275928241,-1.021080275928241,-1.021080275928241,0.0,0.0,1,0.2529633111391313,1.2858968316238675,12.0,0,0.0
2024-03,CURRENT_PRECALM_SHELF6_RR15,1,0.0,-1.021582788926613,-1.021582788926613,-1.021582788926613,0.0,0.0,1,0.45410187901635557,1.3692121295055484,16.0,0,0.0
2018-11,CURRENT_PRECALM_SHELF6_RR15,1,0.0,-1.0242567422800846,-1.0242567422800846,-1.0242567422800846,0.0,0.0,1,0.4972632167421819,1.0163575015364605,5.0,0,0.0
2019-04,CURRENT_PRECALM_SHELF6_RR15,1,0.0,-1.0273793425174653,-1.0273793425174653,-1.0273793425174653,0.0,0.0,1,0.1927505713231181,1.3120180934381422,6.0,0,0.0
2021-08,CURRENT_PRECALM_SHELF6_RR15,1,0.0,-1.0286061292693602,-1.0286061292693602,-1.0286061292693602,0.0,0.0,1,1.350209301515057,1.7077859173823449,22.0,0,0.0
