label,trades,win_rate,total_r_after_cost,avg_r_after_cost,median_r_after_cost,pf_after_cost,max_dd_r,max_losing_streak,avg_mfe_r,avg_mae_r,avg_bars_held,oos_trades,oos_total_r,family,shelf_bars,shelf_range,shelf_hold,breakout_buffer,body,close_location,adx_max,range60_max,ema_slope_mode,rr,stop_buffer,max_hold,entry_mode,target_basis,robust_min_trades
EXITGRID_RR1.8_SL0.1_H18,40,57.49999999999999,18.76830131299245,0.4692075328248112,0.4608614813350562,2.331056115462994,7.176785450796262,7,1.283206406295443,0.6755549989622353,11.1,5,7.478863901304168,exit,6,1.8,0.5,0.05,0.4,0.6,26.0,16.0,standard,1.8,0.1,18,next_open,signal,True
EXITGRID_RR1.8_SL0.1_H24,40,57.49999999999999,19.972633898293342,0.49931584745733354,0.9921008902841639,2.2224341280097586,5.302323111300806,5,1.3675585093506366,0.750786618841259,12.475,5,6.127249659045898,exit,6,1.8,0.5,0.05,0.4,0.6,26.0,16.0,standard,1.8,0.1,24,next_open,signal,True
EXITGRID_RR1.8_SL0.1_H36,40,57.49999999999999,20.478415540725813,0.5119603885181453,1.6916446241852459,2.181825984859603,5.417264842286295,5,1.396912400216413,0.7730360538298857,13.275,5,6.127249659045898,exit,6,1.8,0.5,0.05,0.4,0.6,26.0,16.0,standard,1.8,0.1,36,next_open,signal,True
EXITGRID_RR1.8_SL0.1_H48,40,57.49999999999999,21.361478633358438,0.534036965833961,1.6916446241852459,2.2327882727899477,5.417264842286295,5,1.4028102745216768,0.7730360538298857,13.875,5,6.127249659045898,exit,6,1.8,0.5,0.05,0.4,0.6,26.0,16.0,standard,1.8,0.1,48,next_open,signal,True
EXITGRID_RR1.8_SL0.25_H12,34,58.82352941176471,15.480878789204018,0.4553199643883535,0.268259539126378,2.6928870166256136,5.96632498967532,7,1.1490083334662597,0.5921951336229767,9.029411764705882,5,4.463441636824682,exit,6,1.8,0.5,0.05,0.4,0.6,26.0,16.0,standard,1.8,0.25,12,next_open,signal,True
EXITGRID_RR1.8_SL0.25_H18,34,58.82352941176471,17.754464066753464,0.522190119610396,0.6907789129272093,2.508540635709384,6.335576693007662,7,1.3017259648916937,0.6826358737534105,11.529411764705882,5,4.129531910775348,exit,6,1.8,0.5,0.05,0.4,0.6,26.0,16.0,standard,1.8,0.25,18,next_open,signal,True
EXITGRID_RR1.8_SL0.25_H24,34,55.88235294117647,15.333506998164493,0.4509854999460145,0.5029757023729977,2.108355685876947,5.323667988434346,5,1.3424547402917755,0.7660163466387138,12.882352941176471,5,3.340265424291504,exit,6,1.8,0.5,0.05,0.4,0.6,26.0,16.0,standard,1.8,0.25,24,next_open,signal,True
EXITGRID_RR1.8_SL0.25_H36,34,55.88235294117647,15.55755622222327,0.4575751830065668,1.0132459961467957,2.019050825650612,5.10669170088808,5,1.3744244815346853,0.7917902176786675,14.0,5,3.340265424291504,exit,6,1.8,0.5,0.05,0.4,0.6,26.0,16.0,standard,1.8,0.25,36,next_open,signal,True
EXITGRID_RR1.8_SL0.25_H48,34,55.88235294117647,16.371848456812458,0.48152495461213113,1.1787421387639858,2.07238858398014,5.10669170088808,5,1.380852262123912,0.7917902176786675,14.705882352941176,5,3.340265424291504,exit,6,1.8,0.5,0.05,0.4,0.6,26.0,16.0,standard,1.8,0.25,48,next_open,signal,True
EXITGRID_RR1.8_SL0.4_H12,21,76.19047619047619,14.053851054805273,0.6692310026097749,0.6747761780381679,4.8992088153726545,1.0254542187712143,1,1.2870172556468478,0.39928937824685484,9.047619047619047,5,4.400318213932588,exit,6,1.8,0.5,0.05,0.4,0.6,26.0,16.0,standard,1.8,0.4,12,next_open,signal,True
EXITGRID_RR1.8_SL0.4_H18,21,66.66666666666666,13.600675104788305,0.6476511954661097,0.8586498039307597,3.510750117823777,2.0311995769211872,2,1.4148211753428859,0.484713735188826,12.142857142857142,5,4.009527529579058,exit,6,1.8,0.5,0.05,0.4,0.6,26.0,16.0,standard,1.8,0.4,18,next_open,signal,True
EXITGRID_RR1.8_SL0.4_H24,21,61.904761904761905,13.467644538140858,0.641316406578136,1.7697131743652041,2.826563518138379,2.0311995769211872,2,1.4669532881954808,0.6092373208604415,13.80952380952381,5,3.344878212247732,exit,6,1.8,0.5,0.05,0.4,0.6,26.0,16.0,standard,1.8,0.4,24,next_open,signal,True
EXITGRID_RR1.8_SL0.4_H36,21,61.904761904761905,13.394903653398487,0.6378525549237375,1.77531195718886,2.6480658337512666,2.0311995769211872,2,1.5063476506143896,0.6336036193143673,14.857142857142858,5,3.344878212247732,exit,6,1.8,0.5,0.05,0.4,0.6,26.0,16.0,standard,1.8,0.4,36,next_open,signal,True
EXITGRID_RR1.8_SL0.4_H48,21,61.904761904761905,13.973784213087914,0.6654182958613293,1.77531195718886,2.7192894346768997,2.0311995769211872,2,1.5070713335506984,0.6336036193143673,15.428571428571429,5,3.344878212247732,exit,6,1.8,0.5,0.05,0.4,0.6,26.0,16.0,standard,1.8,0.4,48,next_open,signal,True
EXITGRID_RR1.8_SL0.5_H12,16,75.0,9.555915011668189,0.5972446882292618,0.5709382688251982,4.735208511731236,2.4692627636805673,3,1.2969629410259114,0.38487839536025414,9.6875,4,2.572731662294838,exit,6,1.8,0.5,0.05,0.4,0.6,26.0,16.0,standard,1.8,0.5,12,next_open,signal,False
EXITGRID_RR1.8_SL0.5_H18,16,68.75,10.210875248463598,0.6381797030289749,0.9621812815082003,3.351678310506251,3.0432492946181595,3,1.4565395675968498,0.4916298504799679,13.0,4,2.149088404806266,exit,6,1.8,0.5,0.05,0.4,0.6,26.0,16.0,standard,1.8,0.5,18,next_open,signal,False
EXITGRID_RR1.8_SL0.5_H24,16,62.5,9.325095097678942,0.5828184436049338,1.338592235124326,2.5291830002253795,3.0432492946181595,3,1.5321791071190236,0.6196727924007985,14.5,4,1.557173435468057,exit,6,1.8,0.5,0.05,0.4,0.6,26.0,16.0,standard,1.8,0.5,24,next_open,signal,False
EXITGRID_RR1.8_SL0.5_H36,16,62.5,10.060497521461855,0.6287810950913659,1.7739267530174683,2.64977854085995,3.0432492946181595,3,1.5813903382597454,0.6327611339694861,15.75,4,1.557173435468057,exit,6,1.8,0.5,0.05,0.4,0.6,26.0,16.0,standard,1.8,0.5,36,next_open,signal,False
