symbol,entry_time,signal_time,v_start_time,v_low_time,context_time,drop_bars,recovery_bars_signal,drop_atr,drop_speed,recovery_speed_signal,speed_ratio_signal,shelf_bars,shelf_range_atr,shelf_hold_actual,breakout_atr,body_ratio,close_location,pre_adx14,pre_ema50_slope_20_atr,pre_close_ema50_stretch_atr,pre_range60_atr,signal_adx14,signal_ema50_slope_20_atr,signal_range60_atr,entry,stop,target,risk,risk_atr_entry,r_after_cost,mfe_r,mae_r,mfe_atr_trade,mae_atr_trade,bars_held,exit_time,exit_reason
USDJPY,2018-11-12 04:00:00,2018-11-12 00:00:00,2018-10-31 12:00:00,2018-11-01 20:00:00,2018-11-02 16:00:00,8,39,3.061313741291182,0.38266421766139774,0.18367309225194317,0.47998502022069695,6,1.7261444148927148,1.3098420413122864,0.07461719372735486,0.8041237113402259,0.8453608247422643,23.828230800941473,0.3867128648323214,1.141446688633344,6.759610464501077,41.48701004501827,2.15490239361795,9.436587766719148,114.0,113.58774348655214,114.61838477017179,0.41225651344785774,2.0507616086201006,-1.0242567422800846,0.4972632167421819,1.0163575015364605,1.0197683142738025,2.0843069447840183,5,2018-11-13 00:00:00,SL
EURJPY,2019-01-29 12:00:00,2019-01-29 08:00:00,2019-01-23 16:00:00,2019-01-24 16:00:00,2019-01-25 12:00:00,6,17,3.371760623366022,0.561960103894337,0.2699555751440781,0.48038210056783087,6,1.4172667695064163,0.7297297297297322,0.43867780960911174,0.5882352941176495,0.7647058823529486,12.999925978659673,0.3990007352545838,0.9493611818171547,5.533526015209563,12.699541473861817,0.4618080558961102,5.939022653169737,125.15,124.51591373603111,126.07612939595333,0.6340862639688964,2.1396890260085404,-1.0197134060620525,0.4573510206400202,1.009326390378004,0.9785889598972566,2.1596446011526274,13,2019-01-31 16:00:00,SL
AUDJPY,2019-04-05 04:00:00,2019-04-05 00:00:00,2019-04-02 00:00:00,2019-04-03 00:00:00,2019-04-03 16:00:00,6,12,3.4164844574794833,0.5694140762465806,0.38228570139645185,0.6713667914856847,6,1.3684090447713835,0.7222832052689355,0.360564922908011,0.632727272727232,0.6836363636363582,19.02358923743242,0.4212466893224404,1.0860248074918137,7.267463049566711,22.427290598696935,1.3456181635458146,9.092317875258829,79.548,79.09145141808958,80.23032287286563,0.45654858191042536,1.9833181233770776,-1.0273793425174653,0.1927505713231181,1.3120180934381422,0.3822857013964261,2.6021492629145073,6,2019-04-08 00:00:00,SL
GBPJPY,2020-10-09 16:00:00,2020-10-09 12:00:00,2020-10-01 08:00:00,2020-10-02 04:00:00,2020-10-04 20:00:00,5,32,3.2729103668145854,0.6545820733629171,0.1817458801060468,0.2776517834842725,6,1.4482201355486328,0.871794871794871,0.4597524239836494,0.6166666666666801,0.8666666666666919,21.497232071565865,0.9044635200809583,2.1407059441899507,6.262769866894461,8.778896813702103,1.1651812331147628,7.60890261692977,137.57,136.62124581537435,138.9681312769385,0.948754184625642,2.1809601807314727,-1.021080275928241,0.2529633111391313,1.2858968316238675,0.5517029087804316,2.8044897863004183,12,2020-10-13 16:00:00,SL
USDJPY,2020-11-11 16:00:00,2020-11-11 12:00:00,2020-11-04 00:00:00,2020-11-06 08:00:00,2020-11-09 16:00:00,14,20,5.649935234829247,0.40356680248780336,0.3676330368467248,0.9109595600540892,6,1.6112126553544168,0.8431734317343218,0.2464914883191261,0.5747508305647864,0.8205980066445127,14.125010628953445,-0.13957326118403895,1.17907853565063,4.771374763995608,31.645024385698573,0.7102062442483762,7.51498439997394,105.622,104.92083282802263,106.67375075796606,0.7011671719773744,2.1077041436735255,-1.014261934100237,0.028523868200494403,1.0910379586691288,0.06011987519977956,2.2995852263920273,8,2020-11-13 00:00:00,SL
USDJPY,2021-02-01 12:00:00,2021-02-01 08:00:00,2021-01-19 04:00:00,2021-01-21 12:00:00,2021-01-22 16:00:00,14,43,4.734003779502546,0.3381431271073247,0.20224199354928887,0.5980958278803,6,1.3525258257543822,1.6899736147757434,0.184435339875612,0.5054545454545197,0.7563636363636149,14.037138989351133,0.2222678657474999,1.198908205508832,9.748961561953603,48.345671910818055,2.4170894321323906,9.070865352063873,104.882,104.56326887631425,105.36259668552862,0.31873112368575107,1.7813722159368182,1.4764691947454684,1.9169762680672433,0.16942179783246605,3.4148482625452368,0.30180328343281965,18,2021-02-04 12:00:00,TP
AUDJPY,2021-02-05 12:00:00,2021-02-05 08:00:00,2021-01-27 00:00:00,2021-01-28 08:00:00,2021-01-28 20:00:00,8,37,4.255683358244201,0.5319604197805251,0.13732555967446927,0.2581499573429292,6,1.2947323126225758,0.6758064516129048,0.05784027513436577,0.5736842105263693,0.6789473684210865,18.269336696518405,-0.18036792088016287,0.5439411690800815,5.826267271094714,14.426579216103379,0.10907454973579399,6.433618295712305,80.342,79.98281077903846,80.88328383144233,0.3591892209615395,1.5981233358235067,1.4721595208976488,1.5952594525696027,0.11693001223023555,2.5494213578445146,0.1868685812032675,2,2021-02-05 20:00:00,TP
USDJPY,2021-08-09 20:00:00,2021-08-09 16:00:00,2021-07-30 16:00:00,2021-08-04 12:00:00,2021-08-05 00:00:00,18,20,5.149917393780307,0.28610652187668373,0.4312896111770916,1.5074441796995595,6,1.5619822881460155,1.1809954751131264,0.05904400401931892,0.686274509803968,0.9705882352941176,24.905676716893435,-1.2867645774697916,-1.1175766147714945,7.568076053266134,31.076919370351426,1.1456436554679639,8.776086051954463,110.329,109.97942456790189,110.85086314814717,0.3495754320981064,1.8763939288942892,-1.0286061292693602,1.350209301515057,1.7077859173823449,2.533524536099452,3.2044791272273963,22,2021-08-13 12:00:00,SL
USDJPY,2021-11-12 04:00:00,2021-11-12 00:00:00,2021-11-04 04:00:00,2021-11-09 04:00:00,2021-11-10 12:00:00,19,17,5.586951201731052,0.2940500632490028,0.37656341085765427,1.280609861793428,6,1.4625014977826447,0.6962676962677004,0.4178575707950244,0.8129770992366164,0.8282442748091541,14.407474297433296,0.48914604716656107,1.2607539959240612,4.956518995885079,30.00097263220814,-0.3074947458763393,7.182971641966852,114.255,113.74517100144331,115.01974349783502,0.5098289985566851,2.130359068577685,-1.0196144197923238,1.400469573173196,1.3141661260868984,2.9835030554766377,2.7996457243268296,33,2021-11-19 12:00:00,SL
EURJPY,2022-06-02 12:00:00,2022-06-02 08:00:00,2022-05-23 16:00:00,2022-05-25 08:00:00,2022-05-26 08:00:00,10,36,2.918564755621313,0.2918564755621313,0.2506898932922953,0.8589492243043539,6,1.7019542135178949,1.7821229050279397,0.17915307510717696,0.6603773584906075,1.0,13.282156350517669,-0.3244945233841701,1.6920472052755735,7.854634354770892,34.83590808962155,2.7825871612346575,10.659607968875406,139.01,138.06836362430263,140.44745456354607,0.9416363756973567,2.108713154236651,1.5132747632978838,1.688549891482773,0.042479242553017195,3.5606673677545935,0.08957653755355666,10,2022-06-06 04:00:00,TP
