label,trades,win_rate,total_r_after_cost,avg_r_after_cost,median_r_after_cost,pf_after_cost,max_dd_r,max_losing_streak,avg_mfe_r,avg_mae_r,avg_bars_held,oos_trades,oos_total_r,family,shelf_bars,shelf_range,shelf_hold,breakout_buffer,body,close_location,adx_max,range60_max,ema_slope_mode,rr,stop_buffer,max_hold,entry_mode,target_basis,robust_min_trades
SHELFGRID_B4_R2.1_H0.5,87,49.42528735632184,19.306200155028932,0.22191034660952796,-1.0072452344035778,1.429976355667167,9.941103405863142,6,1.1506446828617645,0.8673992893778222,12.517241379310345,8,1.8954879620307068,entry_shelf,4,2.1,0.5,0.05,0.4,0.6,26.0,16.0,standard,1.5,0.25,120,next_open,signal,True
SHELFGRID_B4_R2.1_H0.6,81,50.617283950617285,20.209523659989355,0.249500292098634,1.385861567933256,1.4950688433505384,7.817738367724797,5,1.175675396870325,0.8491149152945361,12.567901234567902,8,1.8954879620307068,entry_shelf,4,2.1,0.6,0.05,0.4,0.6,26.0,16.0,standard,1.5,0.25,120,next_open,signal,True
SHELFGRID_B4_R2.4_H0.4,94,48.93617021276596,19.642402305226682,0.20896172665134768,-1.009196347243368,1.4008325057857205,11.994923989538593,7,1.140961260009355,0.8723294569159027,12.308510638297872,8,1.8954879620307068,entry_shelf,4,2.4,0.4,0.05,0.4,0.6,26.0,16.0,standard,1.5,0.25,120,next_open,signal,True
SHELFGRID_B4_R2.4_H0.5,87,49.42528735632184,19.306200155028932,0.22191034660952796,-1.0072452344035778,1.429976355667167,9.941103405863142,6,1.1506446828617645,0.8673992893778222,12.517241379310345,8,1.8954879620307068,entry_shelf,4,2.4,0.5,0.05,0.4,0.6,26.0,16.0,standard,1.5,0.25,120,next_open,signal,True
SHELFGRID_B4_R2.4_H0.6,81,50.617283950617285,20.209523659989355,0.249500292098634,1.385861567933256,1.4950688433505384,7.817738367724797,5,1.175675396870325,0.8491149152945361,12.567901234567902,8,1.8954879620307068,entry_shelf,4,2.4,0.6,0.05,0.4,0.6,26.0,16.0,standard,1.5,0.25,120,next_open,signal,True
SHELFGRID_B5_R1.2_H0.4,26,34.61538461538461,-3.8585543945564393,-0.14840593825217074,-1.0132079276075299,0.7771216150613077,6.627468251761255,5,0.9407106712746767,0.9063054406752646,11.192307692307692,2,0.47784593803026754,entry_shelf,5,1.2,0.4,0.05,0.4,0.6,26.0,16.0,standard,1.5,0.25,120,next_open,signal,True
SHELFGRID_B5_R1.2_H0.5,25,36.0,-2.832297469364418,-0.11329189877457672,-1.0131269834302181,0.826091319704754,6.627468251761255,5,0.9558631701612724,0.884057228974396,11.44,2,0.47784593803026754,entry_shelf,5,1.2,0.5,0.05,0.4,0.6,26.0,16.0,standard,1.5,0.25,120,next_open,signal,True
SHELFGRID_B5_R1.2_H0.6,22,36.36363636363637,-2.2574322864887715,-0.10261055847676234,-1.0121372217566882,0.8414450888326165,6.627468251761254,5,0.9941491504404947,0.8645493436450848,11.636363636363637,2,0.47784593803026754,entry_shelf,5,1.2,0.6,0.05,0.4,0.6,26.0,16.0,standard,1.5,0.25,120,next_open,signal,True
SHELFGRID_B5_R1.5_H0.4,49,42.857142857142854,2.637464606035812,0.05382580828644514,-1.0111474600831583,1.0924159002388545,10.91609312798171,8,1.0349114207315164,0.8899253022570307,11.89795918367347,7,0.4000521028445456,entry_shelf,5,1.5,0.4,0.05,0.4,0.6,26.0,16.0,standard,1.5,0.25,120,next_open,signal,True
SHELFGRID_B5_R1.5_H0.5,46,43.47826086956522,3.1872286000286203,0.06928757826149175,-1.0111283790589338,1.1203491532332528,8.860197497550162,7,1.0430247232658012,0.8799334786959959,12.347826086956522,7,0.4000521028445456,entry_shelf,5,1.5,0.5,0.05,0.4,0.6,26.0,16.0,standard,1.5,0.25,120,next_open,signal,True
SHELFGRID_B5_R1.5_H0.6,43,41.86046511627907,1.2464383715003913,0.028986938872102123,-1.0111474600831583,1.0489653938132688,6.794703363094433,6,1.031096382073006,0.8944701709719006,11.162790697674419,7,0.4000521028445456,entry_shelf,5,1.5,0.6,0.05,0.4,0.6,26.0,16.0,standard,1.5,0.25,120,next_open,signal,True
SHELFGRID_B5_R1.8_H0.4,61,47.540983606557376,10.494745564195112,0.17204500924910018,-1.007522895030368,1.321733237015838,8.490024106195257,8,1.0850649446586382,0.8770149017164767,13.754098360655737,7,0.4000521028445456,entry_shelf,5,1.8,0.4,0.05,0.4,0.6,26.0,16.0,standard,1.5,0.25,120,next_open,signal,True
SHELFGRID_B5_R1.8_H0.5,58,48.275862068965516,11.04450955818792,0.19042257858944692,-1.0071646193930337,1.3613626553135778,7.164736594288563,7,1.094093780664819,0.8684225726573516,14.206896551724139,7,0.4000521028445456,entry_shelf,5,1.8,0.5,0.05,0.4,0.6,26.0,16.0,standard,1.5,0.25,120,next_open,signal,True
SHELFGRID_B5_R1.8_H0.6,54,46.2962962962963,7.623277704614841,0.1411718093447193,-1.0081548830898686,1.2581028062127715,6.145112625225773,6,1.0768346831720896,0.8954404915907835,13.574074074074074,7,0.4000521028445456,entry_shelf,5,1.8,0.6,0.05,0.4,0.6,26.0,16.0,standard,1.5,0.25,120,next_open,signal,True
SHELFGRID_B5_R2.1_H0.4,62,48.38709677419355,11.92426584148593,0.1923268684110634,-1.0071646193930337,1.3655316616272273,7.171871889309655,7,1.0988561201501548,0.8955946147273479,13.870967741935484,7,0.4000521028445456,entry_shelf,5,2.1,0.4,0.05,0.4,0.6,26.0,16.0,standard,1.5,0.25,120,next_open,signal,True
SHELFGRID_B5_R2.1_H0.5,59,49.152542372881356,12.474029835478742,0.2114242344996397,-1.0068063437556993,1.4081040321663865,6.142233184070127,6,1.10843317124902,0.8880926495341844,14.322033898305085,7,0.4000521028445456,entry_shelf,5,2.1,0.5,0.05,0.4,0.6,26.0,16.0,standard,1.5,0.25,120,next_open,signal,True
SHELFGRID_B5_R2.1_H0.6,55,47.27272727272727,9.057165140724411,0.16467572983135292,-1.007522895030368,1.306671644215606,5.122609215007337,5,1.0915262037222635,0.8953659129758295,13.745454545454546,7,0.4000521028445456,entry_shelf,5,2.1,0.6,0.05,0.4,0.6,26.0,16.0,standard,1.5,0.25,120,next_open,signal,True
SHELFGRID_B5_R2.4_H0.4,62,48.38709677419355,11.92426584148593,0.1923268684110634,-1.0071646193930337,1.3655316616272273,7.171871889309655,7,1.0988561201501548,0.8955946147273479,13.870967741935484,7,0.4000521028445456,entry_shelf,5,2.4,0.4,0.05,0.4,0.6,26.0,16.0,standard,1.5,0.25,120,next_open,signal,True
SHELFGRID_B5_R2.4_H0.5,59,49.152542372881356,12.474029835478742,0.2114242344996397,-1.0068063437556993,1.4081040321663865,6.142233184070127,6,1.10843317124902,0.8880926495341844,14.322033898305085,7,0.4000521028445456,entry_shelf,5,2.4,0.5,0.05,0.4,0.6,26.0,16.0,standard,1.5,0.25,120,next_open,signal,True
SHELFGRID_B5_R2.4_H0.6,55,47.27272727272727,9.057165140724411,0.16467572983135292,-1.007522895030368,1.306671644215606,5.122609215007337,5,1.0915262037222635,0.8953659129758295,13.745454545454546,7,0.4000521028445456,entry_shelf,5,2.4,0.6,0.05,0.4,0.6,26.0,16.0,standard,1.5,0.25,120,next_open,signal,True
SHELFGRID_B6_R1.2_H0.4,5,80.0,4.981676331313459,0.9963352662626918,1.492989611453095,5.891998355983255,1.0183315628511043,1,1.6506462733000915,0.4299566783877255,6.8,2,0.4783307532003942,entry_shelf,6,1.2,0.4,0.05,0.4,0.6,26.0,16.0,standard,1.5,0.25,120,next_open,signal,False
SHELFGRID_B6_R1.2_H0.5,5,80.0,4.981676331313459,0.9963352662626918,1.492989611453095,5.891998355983255,1.0183315628511043,1,1.6506462733000915,0.4299566783877255,6.8,2,0.4783307532003942,entry_shelf,6,1.2,0.5,0.05,0.4,0.6,26.0,16.0,standard,1.5,0.25,120,next_open,signal,False
SHELFGRID_B6_R1.2_H0.6,5,80.0,4.981676331313459,0.9963352662626918,1.492989611453095,5.891998355983255,1.0183315628511043,1,1.6506462733000915,0.4299566783877255,6.8,2,0.4783307532003942,entry_shelf,6,1.2,0.6,0.05,0.4,0.6,26.0,16.0,standard,1.5,0.25,120,next_open,signal,False
SHELFGRID_B6_R1.5_H0.4,23,60.86956521739131,11.71270737770044,0.5092481468565409,1.4782306688757012,2.276397620995105,5.117199997873188,5,1.2927650065018355,0.7175612124283152,11.521739130434783,5,4.931994433991882,entry_shelf,6,1.5,0.4,0.05,0.4,0.6,26.0,16.0,standard,1.5,0.25,120,next_open,signal,True
SHELFGRID_B6_R1.5_H0.5,21,61.904761904761905,11.236214446501227,0.5350578307857727,1.4782306688757012,2.379228386265144,4.0875612926336595,4,1.3125700477635505,0.7065247061175971,12.142857142857142,5,4.931994433991882,entry_shelf,6,1.5,0.5,0.05,0.4,0.6,26.0,16.0,standard,1.5,0.25,120,next_open,signal,True
SHELFGRID_B6_R1.5_H0.6,21,57.14285714285714,8.715024562765212,0.4150011696554863,1.4764691947454684,1.9509266074380938,4.0875612926336595,4,1.2370152933231846,0.7417330372627335,9.904761904761905,5,4.931994433991882,entry_shelf,6,1.5,0.6,0.05,0.4,0.6,26.0,16.0,standard,1.5,0.25,120,next_open,signal,True
SHELFGRID_B6_R1.8_H0.4,36,58.333333333333336,16.019582871668284,0.4449884131018968,1.477349931810585,2.0483470012136773,6.136330406127607,6,1.3147843926353218,0.7613986442651743,12.833333333333334,5,4.931994433991882,entry_shelf,6,1.8,0.4,0.05,0.4,0.6,26.0,16.0,standard,1.5,0.25,120,next_open,signal,True
SHELFGRID_B6_R1.8_H0.5,34,58.82352941176471,15.545414765716837,0.45721808134461284,1.477349931810585,2.090817256714214,5.10669170088808,5,1.329273843399927,0.7524373925992269,13.0,5,4.931994433991882,entry_shelf,6,1.8,0.5,0.05,0.4,0.6,26.0,16.0,standard,1.5,0.25,120,next_open,signal,True
SHELFGRID_B6_R1.8_H0.6,33,54.54545454545454,11.545326001621778,0.34985836368550843,1.4721595208976488,1.7561188576583329,5.10669170088808,5,1.264437604859875,0.7956488123982355,11.696969696969697,5,4.931994433991882,entry_shelf,6,1.8,0.6,0.05,0.4,0.6,26.0,16.0,standard,1.5,0.25,120,next_open,signal,True
SHELFGRID_B6_R2.1_H0.4,38,57.89473684210527,16.429515291355717,0.43235566556199256,1.4731519451976753,2.007779225193228,5.72639798644018,5,1.2956920470028686,0.8006242119115167,12.5,5,4.931994433991882,entry_shelf,6,2.1,0.4,0.05,0.4,0.6,26.0,16.0,standard,1.5,0.25,120,next_open,signal,True
