feature,bucket,label,trades,win_rate,total_r_after_cost,avg_r_after_cost,median_r_after_cost,pf_after_cost,max_dd_r,max_losing_streak,avg_mfe_r,avg_mae_r,avg_bars_held,oos_trades,oos_total_r
pre_ema50_slope_20_atr,"(-0.0997, 0.408]",CURRENT_PRECALM_SHELF6_RR15,8,50.0,1.8901554572910182,0.23626943216137727,0.2337797341894109,1.4642734690350296,2.043970148342137,2,1.3242133258113076,0.7368014418160747,13.25,1,-1.0183315628511038
pre_ema50_slope_20_atr,"(0.408, 0.904]",CURRENT_PRECALM_SHELF6_RR15,9,33.33333333333333,-1.6274108947200434,-0.18082343274667148,-1.0124454062071173,0.7335910524881911,4.076860909387398,5,0.8740630227055126,1.1945525811354734,16.77777777777778,0,0.0
pre_range60_atr,"(4.77, 6.277]",CURRENT_PRECALM_SHELF6_RR15,9,33.33333333333333,-1.6653184297901398,-0.1850353810877933,-1.014261934100237,0.7273857102099798,2.1238356926037882,3,0.8795848234483044,0.836044322445864,10.666666666666666,1,1.4782306688757012
pre_range60_atr,"(6.277, 7.084]",CURRENT_PRECALM_SHELF6_RR15,8,62.5,4.417553554193994,0.5521941942742492,1.4858911265433743,2.442713047766708,2.043645010405985,2,1.3509206992611262,0.9306762538151551,10.75,3,1.957101449064682
pre_range60_atr,"(7.084, 8.004]",CURRENT_PRECALM_SHELF6_RR15,8,75.0,6.816459181886291,0.8520573977357864,1.4826531057044794,4.315421862374451,2.0559854717868253,2,1.507360865616631,0.670860762966003,17.125,0,0.0
pre_range60_atr,"(8.004, 10.122]",CURRENT_PRECALM_SHELF6_RR15,9,66.66666666666666,5.976720459426694,0.6640800510474105,1.4832123524850125,2.9761000651940703,2.0176965975160157,2,1.6014216383934132,0.582908479123519,13.666666666666666,1,1.496662316051498
drop_atr,"(2.811, 3.392]",CURRENT_PRECALM_SHELF6_RR15,9,55.55555555555556,3.432725958701044,0.3814139954112271,1.4782306688757012,1.839988758378344,3.065050424270378,3,1.236693486677725,0.6217476741640077,10.11111111111111,1,1.4782306688757012
drop_atr,"(3.392, 3.92]",CURRENT_PRECALM_SHELF6_RR15,8,62.5,4.428890384263067,0.5536112980328833,1.4819937836166641,2.4527565123058164,3.0486116198739515,3,1.2439873763992593,0.6543012700992062,14.125,0,0.0
drop_atr,"(3.92, 4.722]",CURRENT_PRECALM_SHELF6_RR15,8,75.0,6.804600163176217,0.8505750203970271,1.4776859366913306,4.35483256486611,1.0193882681259,1,1.539233636643113,0.8220075975474334,12.375,2,2.983355882263962
drop_atr,"(4.722, 7.283]",CURRENT_PRECALM_SHELF6_RR15,9,44.44444444444444,0.8791982595765098,0.09768869550850108,-1.0068063437556993,1.1728112933395327,2.048220549061684,2,1.3110334656843345,0.9085190377471695,15.444444444444445,2,0.470407882852218
