filter,research_events,research_wr,research_pf,research_avg_r,research_total_r,oos_events,oos_wr,oos_pf,oos_avg_r,oos_total_r,score
tf=H4 + w3<=1.2 + w3<=1.3,38,26.31578947368421,1.1963480651281677,0.11170615611584091,4.244833932401955,6,33.33333333333333,1.541992244381681,0.2709961221908404,1.6259767331450425,3.12104258781653
tf=H4 + w3<=1.2 + preATR>=3 + preATR<=5,25,20.0,1.0208276893339696,0.012179136446621563,0.3044784111655391,6,33.33333333333333,1.541992244381681,0.2709961221908404,1.6259767331450425,2.845995192353113
tf=H4 + w3<=1.2 + preATR>=3,28,21.428571428571427,1.0183211866131514,0.010874228970197825,0.3044784111655391,6,33.33333333333333,1.541992244381681,0.2709961221908404,1.6259767331450425,2.8421837821558706
tf=H4 + w3<=1.2 + w3<=1.3 + preATR>=3,28,21.428571428571427,1.0183211866131514,0.010874228970197825,0.3044784111655391,6,33.33333333333333,1.541992244381681,0.2709961221908404,1.6259767331450425,2.8421837821558706
long + sym=XAU/EUR/USD + w4<=0.5 + preATR<=5,115,34.78260869565217,1.4324667459085156,0.236552595770306,27.20354851358519,20,30.0,1.5383416856178438,0.26917084280892184,5.383416856178437,3.476531870105587
long + w2<=0.618 + w4<=0.5 + early<=0.05,54,31.48148148148148,1.6352804399156824,0.301905270854761,16.302884626157095,8,25.0,1.5345264657212672,0.2672632328606336,2.1381058628850687,3.7389754093523444
w2<=0.618 + w4<=0.5 + early<=0.05 + preATR>=3,79,27.848101265822784,1.2699869402890345,0.14341607594921926,11.329869999988322,8,25.0,1.5345264657212672,0.2672632328606336,2.1381058628850687,3.2151927148201547
long + w4<=0.5 + early<=0.05 + preATR>=3,84,30.952380952380953,1.3569839178409462,0.1902210897968135,15.978571542932333,13,23.076923076923077,1.5075075284127504,0.23423424388280786,3.0450451704765022,3.2889467799333176
w3<=1.2 + w4<=0.5 + preATR>=3,69,28.985507246376812,1.1989916427739533,0.11425847546398049,7.883834807014654,7,42.857142857142854,1.5,0.2857142857142857,2.0,3.0989644039522197
w3<=1.2 + w3<=1.3 + w4<=0.5 + preATR>=3,69,28.985507246376812,1.1989916427739533,0.11425847546398049,7.883834807014654,7,42.857142857142854,1.5,0.2857142857142857,2.0,3.0989644039522197
w3<=1.2 + w4<=0.5 + preATR>=3 + preATR<=5,62,29.03225806451613,1.1852365673018717,0.10641818138101881,6.597927245623167,7,42.857142857142854,1.5,0.2857142857142857,2.0,3.0773690343971762
sym=XAU/EUR/USD + w3<=1.3 + early<=0.05,42,33.33333333333333,1.1716853161843055,0.10103646565829577,4.2435315576484225,7,42.857142857142854,1.5,0.2857142857142857,2.0,3.0584360675568867
tf=H1 + w3<=1.3 + early<=0.05,54,29.629629629629626,1.0717529649916036,0.043624103181159626,2.3557015717826197,7,42.857142857142854,1.5,0.2857142857142857,2.0,2.9010913538870486
sym=XAU/EUR/USD + w3<=1.3 + early<=0.05 + preATR>=3,33,30.303030303030305,1.0630692726304944,0.03768277447419462,1.2435315576484225,7,42.857142857142854,1.5,0.2857142857142857,2.0,2.886466332818975
tf=H1 + w3<=1.3 + early<=0.05 + preATR>=3,47,27.659574468085108,1.012337588514021,0.007568118548566378,0.35570157178261974,7,42.857142857142854,1.5,0.2857142857142857,2.0,2.8056199927768732
sym=XAU/EUR/USD + w2<=0.618 + early<=0.05 + preATR<=5,51,31.372549019607842,1.2235827642828214,0.12669360531294152,6.461373870960017,7,28.57142857142857,1.487917651833872,0.27881008676221253,1.9516706073354877,3.117004108191847
sym=XAU + preATR>=3,88,19.318181818181817,1.021974119746119,0.011573569582900133,1.0184741232952117,10,30.0,1.4775797354713702,0.20686011018334322,2.068601101833432,2.717987534983733
sym=XAU/EUR/USD + sym=XAU + preATR>=3,88,19.318181818181817,1.021974119746119,0.011573569582900133,1.0184741232952117,10,30.0,1.4775797354713702,0.20686011018334322,2.068601101833432,2.717987534983733
long + w4<=0.5 + early<=0.05 + preATR<=5,87,33.33333333333333,1.326389359272388,0.1825623260763421,15.882922368641761,12,25.0,1.4764349858211536,0.23821749291057678,2.8586099149269213,3.2236041640804607
long + sym=XAU + preATR>=3,44,25.0,1.1184321941902948,0.0639455916932378,2.813606034502463,7,28.57142857142857,1.4666755739583788,0.20000381741073367,1.4000267218751357,2.8490571772526447
long + sym=XAU/EUR/USD + sym=XAU + preATR>=3,44,25.0,1.1184321941902948,0.0639455916932378,2.813606034502463,7,28.57142857142857,1.4666755739583788,0.20000381741073367,1.4000267218751357,2.8490571772526447
sym=XAU/EUR/USD + w2<=0.618 + preATR>=3 + preATR<=5,96,26.041666666666668,1.0915284781573138,0.05230072402379105,5.020869506283941,13,30.76923076923077,1.4521802962372916,0.24348169797392638,3.165262073661043,2.8394911963923226
long + w2<=0.618 + preATR<=5,115,28.695652173913043,1.2130043102892338,0.11856997961964257,13.635547656258895,18,33.33333333333333,1.4165262073661045,0.23140344853672457,4.165262073661042,2.979503945811705
tf=H4 + sym=XAU/EUR/USD + w3<=1.3 + preATR>=3,20,30.0,1.5516156991811103,0.2758078495905552,5.516156991811104,6,33.33333333333333,1.404530488775185,0.20226524438759252,1.2135914663255551,3.434219281934443
tf=H4 + sym=XAU/EUR/USD + w3<=1.3 + preATR<=5,23,26.08695652173913,1.1935505378316233,0.10939813007874363,2.5161569918111035,6,33.33333333333333,1.404530488775185,0.20226524438759252,1.2135914663255551,2.9097444010731444
tf=H4 + sym=XAU/EUR/USD + w3<=1.3,26,26.923076923076923,1.1677437994540734,0.09677526891581169,2.516156991811104,6,33.33333333333333,1.404530488775185,0.20226524438759252,1.2135914663255551,2.871314801532663
tf=H4 + w3<=1.3 + w2<=0.618 + preATR<=5,24,16.666666666666664,1.0179774796607426,0.010201413850081406,0.24483393240195372,6,33.33333333333333,1.404530488775185,0.20226524438759252,1.2135914663255551,2.634974626673601
tf=H4 + w3<=1.3 + w2<=0.618,27,18.51851851851852,1.015675467120512,0.009067923422294602,0.24483393240195428,6,33.33333333333333,1.404530488775185,0.20226524438759252,1.2135914663255551,2.631539123705584
sym=XAU/EUR/USD + w4<=0.5 + early<=0.05 + preATR>=3,92,27.173913043478258,1.187517287644452,0.10373970386029371,9.544052755147021,10,20.0,1.4003421640437081,0.20017108202185402,2.0017108202185403,2.8917702375703076
sym=XAU/EUR/USD + w2<=0.618 + preATR>=3,124,27.419354838709676,1.3894016091402788,0.18939712366890504,23.485243334944226,17,29.411764705882355,1.372410814356736,0.19715866642415428,3.351697329210623,3.148368213590074
tf=H4 + long + w4<=0.5 + preATR>=3,42,28.57142857142857,1.1641625115695475,0.09622629583610413,4.041504425116374,13,30.76923076923077,1.3640717322184854,0.1960386250407229,2.5485021255293976,2.82049916466486
sym=XAU/EUR/USD + w2<=0.618 + early<=0.05,59,30.508474576271187,1.3752453026875777,0.19652199772299359,11.594797865656622,11,27.27272727272727,1.3563509771475115,0.19437326026227897,2.1381058628850687,3.1224915378203617
tf=H4 + long + preATR>=3,54,25.925925925925924,1.033839753480841,0.020650125162105782,1.1151067587537122,16,25.0,1.352731752039087,0.1763658760195434,2.8218540163126944,2.583587506701577
tf=H4 + long + preATR>=3 + preATR<=5,48,25.0,1.0151507873570234,0.009348958790768608,0.4487500219568932,16,25.0,1.352731752039087,0.1763658760195434,2.8218540163126944,2.553597374206422
sym=XAU/EUR/USD + w3<=1.2 + w4<=0.5 + preATR>=3,36,33.33333333333333,1.8885532139443282,0.39491253953081246,14.216851423109249,5,40.0,1.3333333333333333,0.2,1.0,3.8167990868084742
sym=XAU/EUR/USD + w3<=1.2 + w2<=0.618 + preATR>=3,38,28.947368421052634,1.6343290195557394,0.295746158588272,11.238354026354337,5,40.0,1.3333333333333333,0.2,1.0,3.4634085114773447
tf=H4 + w4<=0.5 + early<=0.05 + preATR>=3,26,34.61538461538461,1.4426740161096292,0.23836293175133885,6.19743622553481,5,40.0,1.3333333333333333,0.2,1.0,3.2143702811943013
tf=H4 + sym=XAU/EUR/USD + w3<=1.2,21,28.57142857142857,1.410559726528282,0.2150550948481478,4.516156991811104,5,40.0,1.3333333333333333,0.2,1.0,3.1589481547097633
tf=H4 + sym=XAU/EUR/USD + w3<=1.2 + w3<=1.3,21,28.57142857142857,1.410559726528282,0.2150550948481478,4.516156991811104,5,40.0,1.3333333333333333,0.2,1.0,3.1589481547097633
tf=H4 + long + w3<=1.2,21,28.57142857142857,1.3440578002378663,0.19036102350649636,3.9975814936364236,5,40.0,1.3333333333333333,0.2,1.0,3.067752157077696
tf=H4 + long + w3<=1.2 + w3<=1.3,21,28.57142857142857,1.3440578002378663,0.19036102350649636,3.9975814936364236,5,40.0,1.3333333333333333,0.2,1.0,3.067752157077696
tf=H4 + sym=XAU/EUR/USD + w4<=0.5 + early<=0.05,23,30.434782608695656,1.2459566327334468,0.13901896632760047,3.197436225534811,5,40.0,1.3333333333333333,0.2,1.0,2.918308932394381
w3<=1.2 + w2<=0.618 + w4<=0.5 + preATR>=3,49,26.53061224489796,1.1664774201947816,0.09383524991067685,4.597927245623166,5,40.0,1.3333333333333333,0.2,1.0,2.7936460034387918
w3<=1.3 + early<=0.05,71,30.985915492957744,1.1512714039680225,0.08912382941978676,6.32779188880486,10,40.0,1.3333333333333333,0.2,2.0,2.773728566721143
w3<=1.3 + early<=0.05 + preATR>=3,57,28.07017543859649,1.0111234093603558,0.006797129255586764,0.38743636756844557,10,40.0,1.3333333333333333,0.2,2.0,2.551253871949276
long + sym=XAU/EUR/USD + w4<=0.5,136,33.088235294117645,1.469971527811616,0.2439435339409914,33.17632061597483,23,26.08695652173913,1.2974876759773348,0.15521096137947904,3.569852111728018,3.166613699109421
long + w2<=0.618 + w4<=0.5 + preATR>=3,103,26.21359223300971,1.2920916347012386,0.1470881493168176,15.150079379632214,15,26.666666666666668,1.2939621661513279,0.15677982194737491,2.351697329210624,2.8899217721167587
w4<=0.5 + early<=0.05 + preATR>=3,152,26.973684210526315,1.148500668869727,0.08284420384753553,12.5923189848254,14,21.428571428571427,1.2921493100680717,0.14607465503403588,2.0450451704765022,2.6695688378193703
w4<=0.5 + early<=0.05 + preATR<=5,152,28.289473684210524,1.0730727297999005,0.043423890873306246,6.600431412742549,13,23.076923076923077,1.2655157021324173,0.14296999345591702,1.8586099149269213,2.5249823162615415
tf=H1 + w4<=0.5 + early<=0.05,134,27.611940298507463,1.1808675536408948,0.09960724268463472,13.347370519741053,9,11.11111111111111,1.2612612926191256,0.11611613005294467,1.045045170476502,2.6578522189976
tf=H1 + w4<=0.5 + early<=0.05 + preATR>=3,124,25.806451612903224,1.098320448848477,0.055342026626941584,6.862411301740757,9,11.11111111111111,1.2612612926191256,0.11611613005294467,1.045045170476502,2.5310398981474886
sym=XAU/EUR/USD + early<=0.05 + preATR>=3 + preATR<=5,87,28.735632183908045,1.117663621392952,0.06923270227387308,6.023245097826958,12,25.0,1.259325080666994,0.15127296372241328,1.8152755646689593,2.597494368056233
sym=XAU/EUR/USD + w3<=1.3 + w4<=0.5 + preATR<=5,66,30.303030303030305,1.259970656841121,0.14473919954736938,9.55278717012638,9,33.33333333333333,1.242718293265111,0.134843496258395,1.2135914663255551,2.782271645911996
w2<=0.618 + w4<=0.5 + early<=0.05,93,27.956989247311824,1.2937934313365744,0.15468227721869,14.385451781338169,9,22.22222222222222,1.2276211725770136,0.12645620698722984,1.1381058628850687,2.8025530881195078
sym=XAU/EUR/USD + early<=0.05 + preATR>=3,109,26.605504587155966,1.1851705018764553,0.10297151207392295,11.223894816057602,16,25.0,1.2224123133576157,0.12510692626365877,2.0017108202185403,2.635661253571653
tf=H1 + long + early<=0.05 + preATR<=5,72,33.33333333333333,1.3386905685999155,0.18577752281643728,13.375981642783485,8,12.5,1.2146524787317303,0.10732623936586516,0.8586099149269213,2.8464468095139486
long + sym=XAU/EUR/USD + preATR<=5,133,35.338345864661655,1.4813851986845379,0.25922459277617793,34.476870839231665,25,24.0,1.2081071961677423,0.11312990848413623,2.8282477121034058,3.0618468961125944
tf=H1 + sym=XAU/EUR/USD + early<=0.05 + preATR<=5,76,31.57894736842105,1.1997224178688268,0.11612906410910717,8.825808872292145,7,14.285714285714285,1.2038188911672398,0.11646793780985132,0.8152755646689592,2.636138310955025
