variant,period,events,win_rate_2r,sl_rate,pf_2r,avg_r_2r,total_r_2r,max_dd_r,max_losing_streak,avg_mfe_120,avg_mae_120,median_wave3_vs_wave1,median_wave2_retrace,median_entry_over_wave3
EARLY_BREAK_005,OOS_2025_2026,26,19.230769230769234,61.53846153846154,0.7894834632529705,-0.13378746303125186,-3.478474038812548,10.770230394192456,5,1.9921993481315698,1.363727174231792,1.4473605281978439,0.6118858388970481,0.02425001975291525
LONG_W3_CAP_1_2,Research_2015_2024,76,38.15789473684211,46.05263157894737,1.767301790219602,0.3753542256260869,28.526921147582605,5.6189241774860825,5,2.1560106173740974,1.5092978636237782,1.0940636200716847,0.5853925353925329,0.08355712466721295
LONG_W3_CAP_1_2,OOS_2025_2026,11,36.36363636363637,63.63636363636363,1.1428571428571428,0.09090909090909091,1.0,6.0,6,2.5401211948228224,2.0941328092604574,1.08752023546725,0.5188668138337,0.0356547817394202
LONG_W3_CAP_W2_MOD,Research_2015_2024,46,39.130434782608695,43.47826086956522,1.966916720767064,0.4484778418853076,20.62998072672415,5.771783217488348,5,2.2941591886271966,1.4436653367998356,1.0920311597854844,0.5175380461462915,0.05384546901256345
LONG_W3_CAP_W2_MOD,OOS_2025_2026,8,37.5,62.5,1.2,0.125,1.0,5.0,5,3.0866896430871114,1.740622516457389,1.0912618770580513,0.476999433759854,0.049313710746649
LONG_W3_CAP_W2_MOD_EARLY,Research_2015_2024,21,47.61904761904761,38.095238095238095,2.499450058180232,0.6224085890503291,13.070580370056911,4.0,4,2.759891327123749,1.4964820088525228,1.0891697984284254,0.4715651736285896,0.0272727272727284
LONG_W3_CAP_W2_MOD_EARLY,OOS_2025_2026,4,25.0,75.0,0.6666666666666666,-0.25,-1.0,2.0,3,1.3599395096482376,1.3593644754115008,1.1352416731512927,0.429622337204258,0.03461843564583005
H4_XAU_EUR_USD_W2_MOD_PREATR3,Research_2015_2024,25,28.000000000000004,48.0,1.5636956790025993,0.278096856553086,6.9524214138271505,4.0,4,1.8722532126035614,1.7466892872348874,1.283018867924532,0.5142980235876986,0.0789096126255408
H4_XAU_EUR_USD_W2_MOD_PREATR3,OOS_2025_2026,6,66.66666666666666,16.666666666666664,8.213591466325555,1.2022652443875925,7.213591466325555,0.0,1,2.7821375426291195,1.691729389678336,1.2261793740495361,0.4851465993831554,0.09318080574524
XAU_W3_CAP_1_3,Research_2015_2024,25,28.000000000000004,56.00000000000001,1.2552617098862433,0.14294655753629623,3.573663938407406,5.152859040002268,5,2.21723602429944,1.5929955228454855,1.1188455008488956,0.6165482382243059,0.0589370998882227
XAU_W3_CAP_1_3,OOS_2025_2026,5,60.0,20.0,6.213591466325555,1.0427182932651111,5.213591466325555,1.0,1,4.678406393706884,1.3838848925500007,1.08752023546725,0.5213758303821465,0.1222377092439464
H1_STRONG_SYMBOLS,Research_2015_2024,205,33.65853658536586,40.487804878048784,1.8749588953249259,0.37451460832240263,76.77549470609254,6.75412704704442,7,1.832225255839137,1.206748665345287,1.4773869346733703,0.6155778894472391,0.0538461538461481
H1_STRONG_SYMBOLS,OOS_2025_2026,26,3.8461538461538463,73.07692307692307,0.2591824615517986,-0.5731038552595928,-14.900700236749415,16.900700236749415,8,1.0185937452126725,1.7077130059476329,1.4418700856260842,0.6802672924168203,0.06437437695549131
