symbol,strategy,family,signal_time,period,rr,max_hold,signal_kind,shelf_high,shelf_low,shelf_range_atr,sharp_drop_atr,signal_range_atr,body_ratio,close_location,lower_wick_ratio,d1_ema50_prev,stop,entry_time,entry,target,exit_time,exit,exit_reason,bars_held,risk,r_clean,r_after_cost,mfe_r,mae_r
EURJPY,CAP_DEFAULT_RR2,capitulation,2015-11-16 00:00:00,DEV_2015_2021,2.0,120,capitulation,,,,5.181236676020858,1.893144170084581,0.15789473684210723,0.776315789473669,0.776315789473669,133.84766254359266,130.56963786012582,2015-11-16 04:00:00,131.25,132.61072427974835,2015-11-23 00:00:00,130.56963786012582,stop,31,0.6803621398741768,-1.0,-1.0183725684711091,1.4404093681362498,1.0288638343830296
XAUUSD,CAP_DEFAULT_RR2,capitulation,2015-11-17 16:00:00,DEV_2015_2021,2.0,120,capitulation,,,,5.856705414568812,1.9394036578095775,0.3140694239291065,0.6011816838995583,0.6011816838995583,1126.646198471742,1064.0316944969682,2015-11-17 20:00:00,1071.919,1087.693611006064,2015-11-20 08:00:00,1087.693611006064,target,16,7.887305503031939,2.0,1.955624896250615,2.0449315667815577,0.9260450222439558
SILVER,CAP_DEFAULT_RR2,capitulation,2015-12-03 00:00:00,DEV_2015_2021,2.0,120,capitulation,,,,4.079989120305117,1.8068523247065518,0.4193548387096743,0.5645161290322606,0.5645161290322606,14.700972321853632,13.795264637256643,2015-12-03 04:00:00,13.925,14.184470725486715,2015-12-04 12:00:00,14.184470725486715,target,9,0.12973536274335729,2.0,1.7302200474882303,5.102695101794016,0.19269996607983744
GBPJPY,CAP_DEFAULT_RR2,capitulation,2015-12-10 12:00:00,DEV_2015_2021,2.0,120,capitulation,,,,4.900506207430607,2.0978194381124062,0.2799999999999955,0.7120000000000118,0.7120000000000118,185.63804814376599,183.23103579730332,2015-12-10 16:00:00,184.33,186.5279284053934,2015-12-14 12:00:00,183.23103579730332,stop,13,1.098964202696692,-1.0,-1.018198954934933,0.6278639452557618,1.7198012413527581
SILVER,CAP_DEFAULT_RR2,capitulation,2015-12-11 12:00:00,DEV_2015_2021,2.0,120,capitulation,,,,5.633327326331069,2.1361852858258588,0.020161290322583708,0.6411290322580645,0.6209677419354808,14.589589304331616,13.734976300412054,2015-12-11 16:00:00,13.923,14.299047399175892,2015-12-14 08:00:00,13.734976300412054,stop,6,0.18802369958794607,-1.0,-1.1861467468021458,0.26060544552300047,1.2711163567346524
USDJPY,CAP_DEFAULT_RR2,capitulation,2016-01-07 00:00:00,DEV_2015_2021,2.0,120,capitulation,,,,7.092660389377789,2.5901362531205896,0.3787740164684356,0.5022872827081472,0.5022872827081472,121.18207856131433,117.55450361938651,2016-01-07 04:00:00,118.209,119.51799276122699,2016-01-07 08:00:00,117.55450361938651,stop,2,0.6544963806134945,-1.0,-1.0152789233007178,0.032085738931537516,1.346073142794452
USDJPY,CAP_DEFAULT_RR2,capitulation,2016-01-20 08:00:00,DEV_2015_2021,2.0,120,capitulation,,,,4.81202630597979,2.058419929586135,0.2819472616632803,0.5344827586206962,0.5344827586206962,119.85119781592851,115.85424795307459,2016-01-20 12:00:00,116.504,117.80350409385083,2016-01-21 20:00:00,117.80350409385083,target,9,0.6497520469254141,2.0,1.984609513664004,2.2054566919501966,0.464792687347507
EURJPY,CAP_DEFAULT_RR2,capitulation,2016-01-21 12:00:00,DEV_2015_2021,2.0,120,capitulation,,,,4.753907553790181,3.047376637044983,0.28666666666667123,0.5133333333333306,0.5133333333333306,130.38046529132703,126.0669433369537,2016-01-21 16:00:00,126.94,128.6861133260926,2016-01-26 20:00:00,128.6861133260926,target,21,0.8730566630462988,2.0,1.9856824871407852,2.027359820866685,0.045816041149520224
AUDJPY,CAP_DEFAULT_RR2,capitulation,2016-02-09 12:00:00,DEV_2015_2021,2.0,120,capitulation,,,,6.312465967304999,2.059554565798606,0.16939890710382235,0.7049180327868837,0.5355191256830614,84.43581911315749,79.80307813007842,2016-02-09 16:00:00,81.164,83.88584373984317,2016-02-11 04:00:00,79.80307813007842,stop,10,1.360921869921583,-1.0,-1.0091849504929398,0.5665277464050351,1.1110116116269941
CHFJPY,CAP_DEFAULT_RR2,capitulation,2016-03-09 08:00:00,DEV_2015_2021,2.0,120,capitulation,,,,6.253784849442848,1.982395197405637,0.44809322033899046,0.5063559322033901,0.5063559322033901,115.95302879259953,111.777952092545,2016-03-09 12:00:00,112.375,113.56909581491001,2016-03-09 16:00:00,113.56909581491001,target,2,0.597047907455007,2.0,1.9665018506048153,2.3482202726012478,0.06699629879034559
