symbol,side,signal_dt,r_clean,r_after_cost,exit_reason,year,period,group
EURJPY,long,2016-06-16 12:00:00,2.0,1.96,TP,2016,IS_2015_2024,fx
EURJPY,long,2017-01-11 16:00:00,-1.0,-1.04,SL,2017,IS_2015_2024,fx
EURJPY,long,2017-02-06 12:00:00,-1.0,-1.04,SL,2017,IS_2015_2024,fx
EURJPY,long,2017-05-18 08:00:00,2.0,1.96,TP,2017,IS_2015_2024,fx
EURJPY,long,2018-02-14 12:00:00,-1.0,-1.04,SL,2018,IS_2015_2024,fx
EURJPY,long,2019-01-15 12:00:00,-1.0,-1.04,SL,2019,IS_2015_2024,fx
EURJPY,long,2019-04-23 00:00:00,-1.0,-1.04,SL,2019,IS_2015_2024,fx
EURJPY,long,2019-08-20 12:00:00,-1.0,-1.04,SL,2019,IS_2015_2024,fx
EURJPY,long,2020-02-11 12:00:00,-1.0,-1.04,SL,2020,IS_2015_2024,fx
EURJPY,long,2020-02-18 12:00:00,2.0,1.96,TP,2020,IS_2015_2024,fx
EURJPY,long,2020-03-09 12:00:00,2.0,1.96,TP,2020,IS_2015_2024,fx
EURJPY,long,2020-04-02 12:00:00,-1.0,-1.04,SL,2020,IS_2015_2024,fx
EURJPY,long,2020-09-04 12:00:00,-1.0,-1.04,SL,2020,IS_2015_2024,fx
EURJPY,long,2021-01-15 04:00:00,-1.0,-1.04,SL,2021,IS_2015_2024,fx
EURJPY,long,2021-07-08 04:00:00,2.0,1.96,TP,2021,IS_2015_2024,fx
EURJPY,long,2021-07-20 08:00:00,2.0,1.96,TP,2021,IS_2015_2024,fx
EURJPY,long,2021-08-17 04:00:00,-1.0,-1.04,SL,2021,IS_2015_2024,fx
EURJPY,long,2021-08-19 04:00:00,2.0,1.96,TP,2021,IS_2015_2024,fx
EURJPY,long,2021-11-19 12:00:00,-1.0,-1.04,SL,2021,IS_2015_2024,fx
EURJPY,long,2021-11-29 04:00:00,-1.0,-1.04,SL,2021,IS_2015_2024,fx
EURJPY,long,2022-09-21 04:00:00,-1.0,-1.04,SL,2022,IS_2015_2024,fx
EURJPY,long,2022-10-23 20:00:00,-1.0,-1.04,SL,2022,IS_2015_2024,fx
EURJPY,long,2023-03-24 08:00:00,2.0,1.96,TP,2023,IS_2015_2024,fx
EURJPY,long,2023-07-27 16:00:00,-1.0,-1.04,SL,2023,IS_2015_2024,fx
EURJPY,long,2023-09-01 08:00:00,-1.0,-1.04,SL,2023,IS_2015_2024,fx
EURJPY,long,2023-10-27 08:00:00,-1.0,-1.04,SL,2023,IS_2015_2024,fx
EURJPY,long,2023-12-05 04:00:00,-1.0,-1.04,SL,2023,IS_2015_2024,fx
EURJPY,long,2023-12-07 16:00:00,2.0,1.96,TP,2023,IS_2015_2024,fx
