trades,win_rate,total_r,avg_r,pf,max_dd_r,worst_year_r,worst_2y_r,is_r,is_trades,oos_r,oos_trades,oos_wr,direction,h4,retrace,recovery,body,hours,months,score
71,61.97183098591549,36.873002870984564,0.5193380686054164,2.3290424692344582,4.169721122300569,-1.3084772506975253,1.479742613271487,26.50484128124446,64,10.368161589740094,7,100.0,both,any,r50_886,any,ge45,ex_1_6_8_11_14,ex_aug_dec,88.0122952264567
78,61.53846153846154,39.66316466241008,0.5085021110565395,2.2853725329132133,4.169721122300569,-1.3084772506975253,1.479742613271487,29.295003072669967,71,10.368161589740094,7,100.0,both,any,r50_886,any,not_35_45,ex_1_6_11_14,ex_aug,87.55589660799798
47,63.829787234042556,26.404728151555638,0.5618027266288433,2.4941615565730815,3.128434542842495,-2.122314222163909,-0.20318971428424182,20.490876435405696,43,5.913851716149942,4,100.0,long,any,r50_886,any,any,ex_1_6_11_14,none,87.52379433678217
44,63.63636363636363,24.55025787846187,0.5579604063286788,2.4788949926699604,3.122494313206847,-2.122314222163909,-0.20318971428424182,17.150012967697865,39,7.400244910763998,5,100.0,long,any,r50_886,rec25_85,any,ex_1_6,ex_aug,87.26228019709886
44,63.63636363636363,24.55025787846187,0.5579604063286788,2.4788949926699604,3.122494313206847,-2.122314222163909,-0.20318971428424182,17.150012967697865,39,7.400244910763998,5,100.0,long,any,r50_886,rec25_85,any,ex_1_6,ex_aug_dec,87.26228019709886
73,61.64383561643836,37.30090703112382,0.510971329193477,2.2952435764431027,4.169721122300569,-1.3084772506975253,1.479742613271487,26.932745441383723,66,10.368161589740094,7,100.0,both,any,r50_886,any,ge45,ex_1_6_8_11_14,ex_aug,87.05499659898065
61,62.295081967213115,32.152619737701706,0.5270921268475689,2.363622637072185,4.16310719844336,-0.6777290821714685,0.2155479783087917,23.270263738405678,55,8.88235599929602,6,100.0,both,any,r50_764,any,any,ex_1_6_8_11_14,ex_aug,86.74393676965241
44,63.63636363636363,24.77109349904502,0.5629793977055686,2.518667711378078,3.152960943424569,-0.6777290821714685,-0.2679221869757811,20.3284840600521,41,4.4426094389929185,3,100.0,both,not_oppose,r50_886,any,not_35_45,ex_1_6_11_14,ex_aug,86.27731023898072
44,63.63636363636363,24.501376691929394,0.5568494702711226,2.472870331775148,3.128434542842495,-2.122314222163909,-0.20318971428424182,18.587524975779452,40,5.913851716149942,4,100.0,long,any,r50_886,any,any,ex_1_6_8_11_14,none,86.19196589175746
87,60.91954022988506,42.7946410361274,0.4918924257026138,2.222562069057221,6.244989110202148,-2.363029567334376,0.3785479191517993,30.9530827736661,79,11.841558262461291,8,100.0,both,any,r50_886,any,any,ex_1_6_11_14,ex_aug_dec,85.762117296793
65,61.53846153846154,33.11302123788362,0.5094310959674403,2.294799352865172,4.163107198443356,-0.6777290821714685,1.018090559089748,22.74427204397354,58,10.368749193910075,7,100.0,both,any,r50_764,any,any,ex_1_6,ex_aug_dec,85.43397433346951
70,61.42857142857143,35.416788770051326,0.5059541252864476,2.2793024348992503,4.163107198443356,-0.6777290821714685,0.6520206410192717,26.534432770755306,64,8.88235599929602,6,100.0,both,any,r50_764,any,any,ex_1_6_14,none,85.09803415747916
89,60.67415730337079,43.22254519626667,0.4856465752389514,2.1986817252423814,6.244989110202148,-2.363029567334376,0.3785479191517993,31.38098693380537,81,11.841558262461291,8,100.0,both,any,r50_886,any,any,ex_1_6_11_14,ex_aug,85.09625595595676
36,63.888888888888886,20.26387379955898,0.5628853833210827,2.498412351789995,2.0692889529560037,-2.122314222163909,-0.20318971428424182,15.823418756130232,33,4.440455043428746,3,100.0,long,any,r50_886,rec25_85,ge45,ex_1_6_8_11_14,none,85.00343029737014
39,64.1025641025641,22.366748143466403,0.5735063626529847,2.57155146301272,4.182526010812811,-1.2974872543640232,-1.2974872543640232,17.93225677372976,36,4.4344913697366435,3,100.0,both,not_oppose,r50_764,any,any,ex_1_6_11_14,ex_aug,85.00198965612495
