timeframe,family,strategy,period,trades,win_rate,total_r_after_cost,avg_r_after_cost,pf_after_cost,max_dd_r,max_losing_streak,avg_hold_bars,avg_fwd_4_atr,avg_fwd_8_atr,avg_fwd_16_atr,avg_fwd_24_atr,avg_mfe_16_atr,avg_mae_16_atr,hit_1atr_first_16
D1,Bollinger外側否定,BB_OUTER_REJECT_6,OOS_2025_2026,145,48.275862068965516,29.786298060664706,0.2054227452459635,1.3945597979135744,12.432029491936504,7,3.462068965517241,0.02476360869030084,0.15855118580986663,-0.08984159418404222,-0.8194517018226285,2.284829780410576,-2.176454637153867,55.86206896551724
D1,Bollinger外側否定,BB_OUTER_REJECT_3,OOS_2025_2026,143,48.25174825174825,29.328992308220506,0.2050978483092343,1.3938012698268214,12.432029491936504,7,3.4405594405594404,0.02599938878343207,0.15172626761216484,-0.05206276158186478,-0.8043575482650621,2.2896769687433074,-2.162288554390915,55.94405594405595
H4,Donchian高安値更新否定,DONCHIAN20_FALSE_BREAK_6,OOS_2025_2026,631,43.264659270998415,25.82377625295552,0.04092516046427182,1.0701260151287664,32.83720713091694,13,3.6101426307448494,0.08765301240335764,0.056793320116372316,0.06805385018645586,0.06857970929798247,2.31809329139746,-2.202889742590727,51.82250396196514
D1,Donchian高安値更新否定,DONCHIAN20_FALSE_BREAK_6_Q,OOS_2025_2026,97,51.546391752577314,24.215007478835926,0.24963925235913326,1.5170454231433717,5.086309812197573,5,3.670103092783505,-0.13577730961146978,-0.02134063860282594,-0.7621476455201927,-1.4697813143626783,2.3594863800212456,-2.75729679134921,53.608247422680414
H4,Bollinger外側否定,BB_OUTER_REJECT_6_Q,OOS_2025_2026,355,44.50704225352113,23.687659573997685,0.06672580161689488,1.1163741037313824,20.62837068998627,11,3.7746478873239435,0.16630611358522254,0.04206353614990728,-0.3734279745413492,-0.32173284931782853,2.2252327380468397,-2.488293868278543,55.21126760563381
D1,Donchian高安値更新否定,DONCHIAN55_FALSE_BREAK_6_Q,Research_2015_2024,414,43.23671497584541,18.339654239670253,0.04429868173833394,1.0767280155354042,13.89639161132763,10,3.632850241545894,0.06830267247178022,0.1313928046155899,0.11967355019023573,0.12634706455335443,2.374565562193481,-2.2553329268895186,53.14009661835749
D1,Donchian高安値更新否定,DONCHIAN20_FALSE_BREAK_6,OOS_2025_2026,127,47.24409448818898,17.55453216713094,0.1382246627333145,1.2605841581866912,6.119694624085923,7,3.7716535433070866,-0.03079264412520107,-0.039865960972599465,-0.6598522166527003,-1.6811909557446205,2.278269390690513,-2.6594883100567763,53.54330708661418
D1,Donchian高安値更新否定,DONCHIAN55_FALSE_BREAK_6_Q,OOS_2025_2026,56,53.57142857142857,15.975077428663734,0.2852692397975667,1.606282807899617,5.853640742014223,5,3.3392857142857144,-0.0031638664766654367,-0.08012008786578062,-1.5465461953075776,-2.012907360145149,2.251318597848576,-3.2706204667760113,55.35714285714286
D1,EMA50クロス否定,EMA50_CROSS_FAIL_6,OOS_2025_2026,84,48.80952380952381,14.594887221997036,0.17374865740472661,1.34632697938463,7.775928311725603,6,3.880952380952381,0.40829681379709837,0.7475098259846324,1.3092251862399877,1.745227312224807,2.6197788735052647,-1.247727995465794,53.57142857142857
D1,Donchian高安値更新否定,DONCHIAN55_FALSE_BREAK_6,Research_2015_2024,571,42.20665499124343,12.118111974924513,0.021222612915804753,1.0360363055516213,25.304864659496968,12,3.330998248686515,0.03899391114368782,0.07407580537143676,0.10480752825218008,0.22673778101128578,2.3604293989977574,-2.2925770246315893,50.26269702276708
D1,EMA50クロス否定,EMA50_CROSS_FAIL_6_Q,OOS_2025_2026,57,47.368421052631575,10.501961497931221,0.18424493856019686,1.3687973423793887,7.615557398301052,5,4.421052631578948,0.35799684956684225,0.9408182580296303,1.550742388127437,2.2426012358990612,2.7217117480525532,-1.1595563315187725,50.877192982456144
D1,MACDクロス否定,MACD_SIGNAL_CROSS_FAIL_6_Q,Research_2015_2024,293,41.979522184300336,10.283513372836593,0.0350973152656539,1.0587934598108446,19.37783580998073,9,3.532423208191126,0.09326304906130765,0.19882897231142088,0.009912374513731996,0.22330850453538584,2.310401622244911,-2.1507886370045926,50.170648464163826
D1,Bollinger外側否定,BB_OUTER_REJECT_6_Q,OOS_2025_2026,78,47.43589743589743,9.942527226499633,0.1274682977756363,1.242632700100406,8.097581587139887,8,3.230769230769231,-0.1478366807767405,0.04234198017710496,-0.29718261370344873,-0.6699357159113144,1.9612312202638258,-2.055484978845866,51.28205128205128
D1,Donchian高安値更新否定,DONCHIAN55_FALSE_BREAK_6,OOS_2025_2026,79,46.835443037974684,9.168449392171084,0.11605632141988714,1.2140408491817902,7.814914526528953,6,3.2278481012658227,0.08938395149321167,-0.14431421999131308,-1.147252596381323,-2.3381054258190637,2.19465850687669,-3.0025776599523115,53.16455696202531
D1,EMA200クロス否定,EMA200_CROSS_FAIL_6,OOS_2025_2026,34,50.0,8.060234651735573,0.23706572505104628,1.4847628440820557,7.604278745223467,7,3.264705882352941,-0.22895815846016623,-0.079857549653415,-0.29637856384024397,0.04113271393722975,2.13811377080768,-2.210401788798321,55.88235294117647
