timeframe,family,strategy,direction,trades,win_rate,total_r_after_cost,avg_r_after_cost,pf_after_cost,max_dd_r,max_losing_streak,avg_hold_bars,avg_fwd_4_atr,avg_fwd_8_atr,avg_fwd_16_atr,avg_fwd_24_atr,avg_mfe_16_atr,avg_mae_16_atr,hit_1atr_first_16
D1,MACDクロス否定,MACD_SIGNAL_CROSS_FAIL_6_Q,short,158,44.936708860759495,20.76639960048808,0.1314329088638486,1.2358181449770462,18.14050122938114,7,3.6962025316455698,0.003605057924404591,0.07530079053148725,-0.3462695145182667,-0.2637568961616584,2.139123208495591,-2.1024664826714696,50.63291139240506
D1,EMA200クロス否定,EMA200_CROSS_FAIL_6,long,192,44.27083333333333,13.49346983981295,0.07027848874902577,1.12484564704686,10.09544382673378,6,4.109375,0.029287628896022305,0.20361387266084796,0.30764948431498046,0.5017112265327922,2.231948319763083,-2.020733709532993,53.125
D1,RSI 70/30否定,RSI_70_30_REJECT_6_Q,short,199,43.21608040201005,11.297993967767376,0.056773839034006915,1.0983650441652348,10.329387722587898,11,3.5376884422110555,0.013848481975124794,2.477714295378014e-05,-0.5425145662939588,-0.5712227253215006,2.2449250215996814,-2.5868719920127723,49.74874371859296
D1,EMA200クロス否定,EMA200_CROSS_FAIL_6_Q,long,136,44.11764705882353,10.910795119562342,0.08022643470266429,1.1425438423943906,12.522289849116294,6,4.242647058823529,-0.058691195103195884,0.030894166166432355,0.3325865110436152,0.5716321868004599,2.162636491391789,-2.0477060631281074,51.470588235294116
D1,Donchian高安値更新否定,DONCHIAN55_FALSE_BREAK_6_Q,short,296,43.24324324324324,9.730507356590424,0.03287333566415684,1.0572415719380939,21.167640230039204,9,3.4932432432432434,-0.038907611204949635,-0.030457924015378623,-0.28300740049350787,-0.336094136315474,2.3697447472545212,-2.5206372675763578,51.689189189189186
D1,RSI 70/30否定,RSI_70_30_REJECT_6,short,290,42.06896551724138,7.29403289701769,0.02515183757592307,1.0426012749191154,22.58525452205762,14,3.4034482758620688,0.003596512463050537,-0.10794068960644007,-0.5032610985207565,-0.5998337090140007,2.206820112601464,-2.5816293810564397,49.310344827586206
D1,EMA50クロス否定,EMA50_CROSS_FAIL_6_Q,long,312,41.34615384615385,2.831934819742493,0.009076714165841323,1.015213813023559,32.14620349669049,9,3.9423076923076925,0.03295415833785835,0.23716852946653555,0.5765686464580712,0.9289301784846009,2.307826634888127,-1.9256691629268403,46.15384615384615
D1,Donchian高安値更新否定,DONCHIAN20_FALSE_BREAK_6,short,660,41.66666666666667,2.2029892187517497,0.0033378624526541664,1.0056264670806423,43.25792886133446,23,3.5484848484848484,-0.01792167214663663,-0.02118947308059687,-0.17926624553029563,-0.3210314843878478,2.3015746435455378,-2.3680209141280963,50.75757575757576
D1,MACDクロス否定,MACD_SIGNAL_CROSS_FAIL_6,short,230,39.565217391304344,1.255057808219238,0.005456773079214079,1.008902055281028,33.42756530895224,9,3.7130434782608694,-0.05414006901903621,-0.06290667279241201,-0.5229180700291973,-0.5797288667906448,1.9964049591152397,-2.3269749092289227,47.82608695652174
D1,EMA50クロス否定,EMA50_CROSS_FAIL_6,long,414,41.06280193236715,-1.8831227861136917,-0.0045486057635596416,0.992450641294733,41.06748443943629,12,3.739130434782609,0.0013879719224934254,0.15849501526195459,0.4589199409473669,0.7030504501359707,2.280083408709331,-1.988807305012974,48.792270531400966
H4,MACDクロス否定,MACD_SIGNAL_CROSS_FAIL_6_Q,short,806,42.18362282878412,-2.67042028007274,-0.0033131765261448388,0.9945905975089238,48.85437101587091,12,3.4826302729528535,0.0824812962197881,-0.015144450160758273,-0.16499194507709078,-0.1985285627201307,2.2712022634986133,-2.177769607664816,50.992555831265506
D1,Bollinger外側否定,BB_OUTER_REJECT_6_Q,long,312,40.38461538461539,-5.329671612680171,-0.01708228080987234,0.9719497257446094,22.966014575904516,12,3.657051282051282,-0.007071993164250665,0.03736826063625015,0.1698365288914638,0.2792631252237518,2.169735742826771,-2.31472429430912,50.32051282051282
D1,Donchian高安値更新否定,DONCHIAN55_FALSE_BREAK_6,short,408,41.17647058823529,-6.27477461493819,-0.015379349546417133,0.9742450763874797,32.167865185023004,19,3.218137254901961,-0.03743481158161908,-0.09946815513225275,-0.27838470701312035,-0.42819847654283516,2.3200171407476677,-2.5144982863720213,49.01960784313725
H4,MACDクロス否定,MACD_SIGNAL_CROSS_FAIL_6,short,1101,42.05267938237965,-6.433847892130814,-0.005843640229001647,0.9905204514617117,64.9603525640269,13,3.463215258855586,0.05669870254557814,-0.039498915667207646,-0.1309385209148946,-0.2680420174350641,2.2511626454309424,-2.1787269322330842,50.40871934604905
D1,EMA200クロス否定,EMA200_CROSS_FAIL_6_Q,short,133,38.34586466165413,-8.315942824672707,-0.06252588589979478,0.9008787612664246,26.501166653103553,10,3.5714285714285716,-0.173461680128884,-0.08520069883960245,-0.4477711351797708,-0.39761153100325186,2.0749909485016156,-2.3982875775391674,48.1203007518797
D1,MACDクロス否定,MACD_SIGNAL_CROSS_FAIL_6,long,227,38.76651982378855,-14.734395297965337,-0.06490923038751249,0.897390210917383,27.444222817767475,7,3.3348017621145374,0.13590958266819805,0.23655957947609407,0.32987613944233907,0.5749641127380829,2.4175916327580618,-2.2485746878825488,49.77973568281938
D1,MACDクロス否定,MACD_SIGNAL_CROSS_FAIL_6_Q,long,187,37.967914438502675,-15.810746392978144,-0.08454944595175479,0.8677459524748085,23.96446141822968,11,3.3529411764705883,0.17209609498401057,0.22809816552212894,0.29119297535793404,0.7642610761466208,2.422734362021219,-2.2362637477543847,48.1283422459893
D1,EMA200クロス否定,EMA200_CROSS_FAIL_6,short,198,37.878787878787875,-16.146045007389553,-0.08154568185550279,0.8723699397734862,28.7327325558153,10,3.5,-0.16987437398187516,-0.02409307770504487,-0.5464626146663611,-0.6437801807722295,2.0725273014843335,-2.3778926414795603,45.95959595959596
D1,Bollinger外側否定,BB_OUTER_REJECT_6_Q,short,327,39.44954128440367,-16.360273550677725,-0.05003141758617041,0.9190718745475694,55.16408369181429,16,3.229357798165138,-0.10436978468949702,-0.06319669719425247,-0.0664727261260028,-0.19340461628465325,2.2841924787139214,-2.259714656128467,48.62385321100918
D1,EMA50クロス否定,EMA50_CROSS_FAIL_6_Q,short,291,36.42611683848797,-21.432612496773764,-0.07365158933599232,0.8872154680204785,32.73549542451006,13,3.718213058419244,-0.08609320295077755,0.04405894553821645,-0.13480841527128365,-0.22354134022311323,2.1265862847873316,-2.1186713044173953,45.36082474226804
H4,MACDクロス否定,MACD_SIGNAL_CROSS_FAIL_6_Q,long,851,41.8331374853114,-22.107368825174287,-0.025978106727584355,0.9580172313575732,45.60310129267941,8,3.582843713278496,0.058524728449321745,0.046164961957908986,0.23737114720220553,0.3692047897421161,2.382342025374593,-2.266344916069519,49.70622796709753
H4,RSI 70/30否定,RSI_70_30_REJECT_6_Q,long,982,40.224032586558046,-32.44356401733812,-0.03303825256348077,0.9481730358212926,100.64325293192528,14,3.6374745417515273,0.022087399620647902,0.07901722444337286,0.11816635936841027,0.22584355655949487,2.177436975892127,-2.208877528225112,48.37067209775967
D1,Bollinger外側否定,BB_OUTER_REJECT_3,short,726,39.11845730027548,-39.46620100388759,-0.05436115840755867,0.9124326463747747,90.80957801006446,14,3.1859504132231407,-0.09949159082900517,-0.08244475414837611,-0.11193555356760687,-0.20151900125130065,2.272378643077442,-2.4109423398099556,47.5206611570248
H4,Donchian高安値更新否定,DONCHIAN55_FALSE_BREAK_6_Q,long,1044,40.900383141762454,-42.446128401761726,-0.04065721111279859,0.935363672365913,112.80498163557644,17,3.6944444444444446,-0.03869260062851193,0.10320506602831343,0.11618316349830568,0.1760180788712265,2.1570863711348105,-2.1610066619255783,49.042145593869726
D1,Bollinger外側否定,BB_OUTER_REJECT_6,short,731,38.850889192886456,-44.54592066873708,-0.060938331968176586,0.9022633717852978,93.86266630630676,14,3.2093023255813953,-0.1021160953255535,-0.08424342835037962,-0.12417225398963362,-0.2161114486160027,2.2638017781509636,-2.4150669382015857,47.46922024623803
D1,Bollinger外側否定,BB_OUTER_REJECT_12,short,732,38.79781420765027,-45.71164585742203,-0.06244760363035796,0.8999615613519253,93.86266630630675,14,3.2076502732240435,-0.10291453752004695,-0.08785918714226017,-0.13341410156710423,-0.22367681174651513,2.260922616128767,-2.4225896118094252,47.404371584699454
H4,EMA200クロス否定,EMA200_CROSS_FAIL_6_Q,long,765,40.0,-48.29304571245834,-0.0631281643300109,0.9011241423512186,85.76183670482126,15,3.887581699346405,0.02513333437984236,0.04571893128225035,0.016506956659495278,0.10197942645480056,2.0459719883237306,-2.1349779024098177,47.45098039215686
D1,EMA50クロス否定,EMA50_CROSS_FAIL_6,short,417,35.25179856115108,-55.00983548527438,-0.13191807070809203,0.8015660633151096,57.18657745434252,9,3.6402877697841727,-0.11422182398007034,-0.049516157053675944,-0.24801052235598892,-0.4011809988940722,2.026819051998267,-2.166378293491074,45.563549160671464
H4,Bollinger外側否定,BB_OUTER_REJECT_6_Q,long,1693,40.22445363260484,-58.1662871992998,-0.03435693278163013,0.9458863228959887,124.79929930620656,15,3.746603662138216,-0.037069570713083165,0.02931291206821715,0.0036683514964139102,0.02433844293457269,2.100320121443252,-2.2179512174221636,48.90726520968695
H4,RSI 70/30否定,RSI_70_30_REJECT_6,long,1380,40.14492753623188,-60.408223933889154,-0.04377407531441243,0.9314502520410439,105.81393282163613,11,3.7065217391304346,0.030609078719397873,0.05146991483422919,0.15112298330639876,0.2680988732966903,2.243522234916387,-2.25256357129423,48.188405797101446
H4,MACDクロス否定,MACD_SIGNAL_CROSS_FAIL_6,long,1068,40.44943820224719,-65.30664032714324,-0.06114853963215659,0.9033785753727724,80.22225010521296,18,3.654494382022472,0.032979934433664135,-0.01670643790473067,0.06184461817767694,0.13897667788366136,2.202448513597414,-2.2610071314540177,48.40823970037454
