family,direction,lookback,pre_bars,trigger_atr,move_atr,wick_ratio,wick_max,close_location,range_atr,body_min,body_max,h4,rr,max_hold,trades,win_rate,total_r,avg_r,pf,max_dd_r,max_losing_streak,worst_year_r,worst_2y_r,is_trades,is_r,oos_trades,oos_r,score
wick_sweep,short,24,6,0.05,0.8,0.65,1.0,0.65,1.0,0.0,0.65,align,1.2,24,84,42.857142857142854,-12.838658769281977,-0.15284117582478546,0.7570879952313264,22.110908531469597,11,-5.69648908141531,-10.262067560222127,79,-11.934878202721697,5,-0.9037805665602836,-66.70337317539855
wick_sweep,long,24,6,0.05,0.8,0.65,1.0,0.75,1.0,0.0,0.65,not_oppose,1.0,12,122,47.540983606557376,-8.030613352576024,-0.06582469961127889,0.8604941272491293,13.151246430904347,7,-4.344188117400052,-6.778899765069013,112,-4.315229260991785,10,-3.7153840915842364,-66.74997994978449
wick_sweep,short,24,6,0.05,0.8,0.65,1.0,0.65,1.0,0.0,0.65,not_oppose,1.2,24,116,44.827586206896555,-13.028331119379974,-0.11231319930499978,0.8157040577261013,23.451733659421738,8,-6.779439917363196,-8.691384242704663,108,-11.073649583959492,8,-1.9546815354204827,-67.53538094181182
wick_sweep,long,48,12,0.05,1.2,0.65,1.0,0.75,1.0,0.0,0.65,align,1.2,24,44,38.63636363636363,-9.222993705256012,-0.20961349330127302,0.66856468434532,9.296934542888414,5,-3.1009806047663684,-4.072862667413412,38,-5.797234855522293,6,-3.42575884973372,-67.66160678441348
wick_sweep,long,48,12,0.05,0.8,0.65,1.0,0.75,1.0,0.0,0.65,align,1.2,24,44,38.63636363636363,-9.222993705256012,-0.20961349330127302,0.66856468434532,9.296934542888414,5,-3.1009806047663684,-4.072862667413412,38,-5.797234855522293,6,-3.42575884973372,-67.66160678441348
wick_sweep,long,48,6,0.05,0.8,0.65,1.0,0.75,1.0,0.0,0.65,align,1.2,24,44,38.63636363636363,-9.222993705256012,-0.20961349330127302,0.66856468434532,9.296934542888414,5,-3.1009806047663684,-4.072862667413412,38,-5.797234855522293,6,-3.42575884973372,-67.66160678441348
wick_sweep,long,48,12,0.05,1.2,0.65,1.0,0.75,1.0,0.0,0.65,align,1.2,12,45,37.77777777777778,-9.793009760251278,-0.21762243911669507,0.623092891763485,8.899396412459637,5,-3.1009806047663684,-4.072862667413412,39,-6.448870574174276,6,-3.3441391860770016,-67.71480316209167
wick_sweep,long,48,12,0.05,0.8,0.65,1.0,0.75,1.0,0.0,0.65,align,1.2,12,45,37.77777777777778,-9.793009760251278,-0.21762243911669507,0.623092891763485,8.899396412459637,5,-3.1009806047663684,-4.072862667413412,39,-6.448870574174276,6,-3.3441391860770016,-67.71480316209167
wick_sweep,long,48,6,0.05,0.8,0.65,1.0,0.75,1.0,0.0,0.65,align,1.2,12,45,37.77777777777778,-9.793009760251278,-0.21762243911669507,0.623092891763485,8.899396412459637,5,-3.1009806047663684,-4.072862667413412,39,-6.448870574174276,6,-3.3441391860770016,-67.71480316209167
wick_sweep,short,24,6,0.05,0.8,0.55,1.0,0.65,1.0,0.0,0.65,not_oppose,1.2,12,148,45.27027027027027,-15.402361987406362,-0.10407001342842137,0.8128958488886079,25.7186361138563,7,-6.048358427966276,-9.397463863105827,136,-13.584767538309485,12,-1.8175944490968792,-68.06656615658696
