signal_i,signal_time,entry_hour,atr,rsi14,bb_z,range_atr,body_ratio,ema20_dist_atr,ema100_slope_atr,h4_slope_atr,family,direction,lookback,move_6_atr,move_12_atr,trigger_atr,wick_ratio,close_location,h4_align,h4_oppose,h4_neutral,h4_context,stop_anchor,range_width_atr,entry_i,entry_time,entry,stop,target,risk,risk_atr,exit_i,exit_time,exit,exit_reason,bars_held,r_after_cost,sample,year
22768,2017-08-29 10:00:00,11,0.19714550125554992,74.33382383358277,2.4781031948871792,0.9688275856339156,0.2251308900523864,2.549600214305096,1.3934167080993076,0.3077590172273544,stretch_reversal,short,20,4.205016065395356,4.666604077398913,2.549600214305096,0.6649214659685533,0.6649214659685533,False,True,True,H4逆,115.063,999.0,22769,2017-08-29 11:00:00,114.936,115.09257182518833,114.81074253984934,0.15657182518832258,0.7941942585104507,22770,2017-08-29 12:00:00,114.81074253984934,TP,1,0.6722630972976855,IS_2014_2024,2017
27175,2018-05-15 16:00:00,17,0.14316058732738815,74.81358713622382,2.140764528939151,1.4179880356020786,0.1921182266009897,2.392299283104301,1.3115171470175269,-0.007979756236022754,stretch_reversal,short,20,4.086320201119188,5.071228147030014,2.392299283104301,0.7980295566501949,0.9901477832511846,False,False,True,H4中立,110.422,999.0,27176,2018-05-15 17:00:00,110.224,110.44347408809911,110.04842072952071,0.21947408809910485,1.5330622219172547,27178,2018-05-15 19:00:00,110.04842072952071,TP,2,0.7088730693758553,IS_2014_2024,2018
27839,2018-06-22 08:00:00,9,0.15451042123272926,69.41192691658557,2.51949877246178,0.9319759719191197,0.05555555555552266,1.9030452396803539,0.34085872744971624,0.00011994118827081334,stretch_reversal,short,20,2.5176295352537026,3.650239223349794,1.9030452396803539,0.6944444444444774,0.6944444444444774,False,True,True,H4逆,111.4,999.0,27840,2018-06-22 09:00:00,111.3,111.42317656318491,111.20145874945207,0.12317656318491288,0.7972055360549424,27841,2018-06-22 10:00:00,111.20145874945207,TP,1,0.6376314496614759,IS_2014_2024,2018
30749,2018-12-10 15:00:00,16,0.14701304845670432,71.69525293292656,2.2375854263794626,1.9113949608544227,0.16014234875440864,2.2686502235265174,1.006578118268133,0.30643498787097695,stretch_reversal,short,20,3.4758819394897884,4.571022824534535,2.2686502235265174,0.6903914590747627,0.6903914590747627,False,True,True,H4逆,114.41,999.0,30750,2018-12-10 16:00:00,114.216,114.4320519572685,114.04315843418519,0.21605195726850468,1.4696107558924096,30750,2018-12-10 16:00:00,114.04315843418519,TP,0,0.7074296745428146,IS_2014_2024,2018
32824,2019-04-12 11:00:00,12,0.10798601320031043,80.96679032009514,1.8619817023690788,0.9353063142783824,0.09900990099015056,3.540750823628288,0.947852521148103,0.21155775984022268,stretch_reversal,short,20,4.574666527262623,5.935953935172807,3.540750823628288,0.8217821782178134,0.920792079207964,False,True,True,H4逆,111.967,999.0,32825,2019-04-12 12:00:00,111.875,111.98319790198005,111.78844167841596,0.10819790198004853,1.001962187263503,32828,2019-04-12 15:00:00,111.78844167841596,TP,3,0.6151535322403845,IS_2014_2024,2019
34370,2019-07-12 09:00:00,10,0.11013359312696003,65.94142048005747,2.249295821669184,0.8989082911866711,0.2626262626262148,1.860003871957704,0.22215300450826295,0.08005118787844315,stretch_reversal,short,20,3.3958757667050303,3.2324378955801807,1.860003871957704,0.7272727272727273,0.7272727272727273,False,True,True,H4逆,109.905,999.0,34371,2019-07-12 10:00:00,109.833,109.92152003896905,109.76218396882476,0.08852003896905103,0.8037514844994362,34374,2019-07-12 13:00:00,109.76218396882476,TP,3,0.5740624582530656,IS_2014_2024,2019
34773,2019-08-06 04:00:00,5,0.22890296207337069,69.93059065975194,2.5167703267565096,1.8697879491083633,0.21962616822428666,2.3189759065917457,-0.10173586031787632,-0.2254760125817712,stretch_reversal,short,20,4.643889228743475,3.765787878811705,2.3189759065917457,0.7640186915887857,0.7640186915887857,False,False,True,H4中立,109.806,999.0,34774,2019-08-06 05:00:00,109.479,109.84033544431101,109.1899316445512,0.3613354443110097,1.5785529424262768,34775,2019-08-06 06:00:00,109.1899316445512,TP,1,0.7446497698609422,IS_2014_2024,2019
38663,2020-03-23 16:00:00,17,0.38798655523632336,70.39883076851585,2.2677038267201506,0.8943608878112692,0.002881844380376313,2.290208061806744,0.21329823210171428,0.03637945784638541,stretch_reversal,short,20,3.997561201715535,3.8970422546704593,2.290208061806744,0.7031700288184549,0.7060518731988312,False,True,True,H4逆,113.564,999.0,38664,2020-03-23 17:00:00,113.318,113.62219798328545,113.07464161337164,0.304197983285448,0.7840425890535315,38666,2020-03-23 19:00:00,113.07464161337164,TP,2,0.734253344535677,IS_2014_2024,2020
38921,2020-04-07 10:00:00,11,0.1940298302629353,73.0444078272564,2.1767110553768614,1.0410770329812806,0.11881188118812439,2.214266284163495,0.3799949738524863,-0.28471278911037506,stretch_reversal,short,20,4.123077358341801,3.659231155528338,2.214266284163495,0.797029702970311,0.797029702970311,True,False,True,H4順,112.242,999.0,38922,2020-04-07 11:00:00,112.081,112.27110447453944,111.92891642036845,0.19010447453943868,0.9797693183662675,38923,2020-04-07 12:00:00,112.27110447453944,SL,1,-1.105205309072623,IS_2014_2024,2020
41988,2020-10-04 23:00:00,0,0.20441405633251136,64.32001209544259,2.2329476688263528,1.6583986741526338,0.04424778761062132,1.7660770421474001,-0.0982714769436517,-0.24982681349912703,stretch_reversal,short,20,3.854920811894617,4.740378511073447,1.7660770421474001,0.8466076696164988,0.8908554572271201,False,False,True,H4中立,115.231,999.0,41989,2020-10-05 00:00:00,114.928,115.26166210844987,114.6610703132401,0.33366210844987165,1.6322855406142822,41997,2020-10-05 08:00:00,115.26166210844987,SL,8,-1.0599408787918,IS_2014_2024,2020
44654,2021-03-11 12:00:00,13,0.14590754494073058,75.69877035808688,1.7614019458174444,1.1651213792203672,0.24705882352941866,2.443488985104961,0.42666960916958374,-0.07187015873099688,stretch_reversal,short,20,3.2075106204419437,5.736509378867302,2.443488985104961,0.6705882352941364,0.6705882352941364,False,False,True,H4中立,117.406,999.0,44655,2021-03-11 13:00:00,117.293,117.42788613174112,117.18509109460712,0.13488613174111208,0.9244630344229592,44655,2021-03-11 13:00:00,117.18509109460712,TP,0,0.6517267880555996,IS_2014_2024,2021
45322,2021-04-20 07:00:00,8,0.13485448855610724,67.76237886299944,2.1623651681154676,1.1048946282422651,0.16778523489936598,1.906444407661788,0.3463325202071918,0.33819712711938954,stretch_reversal,short,20,2.8400982725959447,3.411084087190924,1.906444407661788,0.617449664429518,0.785234899328884,False,True,True,H4逆,118.644,999.0,45323,2021-04-20 08:00:00,118.527,118.66422817328342,118.41721746137327,0.1372281732834182,1.0176018221768226,45324,2021-04-20 09:00:00,118.41721746137327,TP,1,0.654257332721999,IS_2014_2024,2021
47513,2021-08-25 14:00:00,15,0.12301282616694348,66.2887635397002,2.206649080742415,1.1218342371284302,0.16666666666663235,1.53841938825335,0.5886358240136816,0.10357043598297266,stretch_reversal,short,20,2.064825335004463,3.6093797194565727,1.53841938825335,0.702898550724672,0.702898550724672,False,True,True,H4逆,120.45,999.0,47514,2021-08-25 15:00:00,120.359,120.46845192392504,120.27143846085995,0.10945192392505021,0.889760257816616,47515,2021-08-25 16:00:00,120.46845192392504,SL,1,-1.1827286289979306,IS_2014_2024,2021
51787,2022-05-03 12:00:00,13,0.21268169725533997,57.918854525403646,2.78411348183162,1.3635399930621477,0.29310344827589757,1.1692829026253495,-1.085022121995689,-0.2020909659221252,stretch_reversal,short,20,2.6659557795387245,2.89164515770075,1.1692829026253495,0.6827586206896018,0.6827586206896018,True,False,True,H4順,133.628,999.0,51788,2022-05-03 13:00:00,133.431,133.65990225458827,133.2478781963294,0.22890225458826308,1.0762668228730992,51788,2022-05-03 13:00:00,133.2478781963294,TP,0,0.7126264612991644,IS_2014_2024,2022
54328,2022-09-28 12:00:00,13,0.3144397906073601,66.52306923938207,2.1296957922943958,1.157614306054864,0.18406593406596625,2.1964752319689396,-0.7052362235540367,-0.27487524359876997,stretch_reversal,short,20,4.970744946054556,3.841752971742765,2.1964752319689396,0.7637362637362912,0.7637362637362912,True,False,True,H4順,146.878,999.0,54329,2022-09-28 13:00:00,146.602,146.9251659685911,146.3434672251271,0.32316596859109836,1.027751506788893,54329,2022-09-28 13:00:00,146.3434672251271,TP,0,0.7381122954029964,IS_2014_2024,2022
64547,2024-05-20 14:00:00,15,0.1998514594249207,63.666883487032834,2.2943443400557997,1.4911074497904937,0.14093959731544073,1.584572755466839,-0.5683800232462181,0.12017885701187855,stretch_reversal,short,20,3.3675010527147613,3.1823635505595362,1.584572755466839,0.6644295302013634,0.8053691275168041,False,True,True,H4逆,171.954,999.0,64548,2024-05-20 15:00:00,171.713,171.98397771891374,171.496217824869,0.27097771891374123,1.3558956221460117,64554,2024-05-20 21:00:00,171.496217824869,TP,6,0.7261931937424199,IS_2014_2024,2024
69549,2025-03-11 13:00:00,14,0.32530742893933984,63.730904673078726,2.458766670502663,1.4140470185381344,0.01956521739133685,1.3846347025234231,-0.3491346918102424,-0.14328637989039564,stretch_reversal,short,20,3.3476026156262937,3.037127074599431,1.3846347025234231,0.9739130434782587,0.9739130434782587,True,False,True,H4順,168.271,999.0,69550,2025-03-11 14:00:00,167.824,168.31979611434087,167.42736310852732,0.49579611434086246,1.5240848201880863,69552,2025-03-11 16:00:00,167.42736310852732,TP,2,0.7596608375469719,OOS_2025_2026,2025
73980,2025-11-26 07:00:00,8,0.26736365634261505,67.2500173415923,2.2084665098530722,0.8826928956177744,0.09745762711862008,1.8810019357858256,-1.3158395851051952,0.057839791381071586,stretch_reversal,short,20,3.7065621167676204,3.7215230133034787,1.8810019357858256,0.6949152542373004,0.6949152542373004,False,True,True,H4逆,194.217,999.0,73981,2025-11-26 08:00:00,194.054,194.2571045484514,193.8915163612389,0.20310454845139247,0.7596565338376533,73985,2025-11-26 12:00:00,193.8915163612389,TP,4,0.7015285469848568,OOS_2025_2026,2025
76226,2026-04-09 08:00:00,9,0.1973457896216851,68.7623462173515,2.2431154439725463,0.9121045873087517,0.13333333333333333,1.8757627492858087,1.2077379460238367,0.08311632814488405,stretch_reversal,short,20,2.5589600921716555,4.079134404352908,1.8757627492858087,0.7111111111111638,0.7111111111111638,False,True,True,H4逆,201.12,999.0,76227,2026-04-09 09:00:00,200.992,201.14960186844326,200.8659185052454,0.1576018684432654,0.7986077065307072,76230,2026-04-09 12:00:00,201.14960186844326,SL,3,-1.1269020487988792,OOS_2025_2026,2026
76569,2026-04-29 15:00:00,16,0.19679137266891453,66.276118824474,2.390411634151563,1.183994993479758,0.10729613733895632,1.70162680313389,-1.1569425925842027,-0.12577051971960745,stretch_reversal,short,20,3.3283979430439024,3.1251369999572924,1.70162680313389,0.6738197424893044,0.6738197424893044,False,False,True,H4中立,202.869,999.0,76570,2026-04-29 16:00:00,202.714,202.89851870590033,202.56638503527972,0.18451870590033081,0.9376361544607371,76572,2026-04-29 18:00:00,202.56638503527972,TP,2,0.691609905335161,OOS_2025_2026,2026
