signal_i,signal_time,entry_hour,atr,rsi14,bb_z,range_atr,body_ratio,ema20_dist_atr,ema100_slope_atr,h4_slope_atr,family,direction,lookback,move_6_atr,move_12_atr,trigger_atr,wick_ratio,close_location,h4_align,h4_oppose,h4_neutral,h4_context,stop_anchor,range_width_atr,entry_i,entry_time,entry,stop,target,risk,risk_atr,exit_i,exit_time,exit,exit_reason,bars_held,r_after_cost,sample,year
17515,2016-10-26 13:00:00,14,0.13733536630260854,59.67905943348433,1.2703744356999425,1.2888158728903087,0.03389830508474576,0.8380372273957565,0.34398798267845376,0.030392362511442166,failed_sweep,short,48,1.4999777955672173,2.5921946369996824,0.09465879292418146,0.7740112994350015,0.7740112994350015,False,True,True,H4逆,105.212,999.0,17516,2016-10-26 14:00:00,105.074,105.2326003049454,104.94711975604368,0.158600304945395,1.1548394941178568,17516,2016-10-26 14:00:00,105.2326003049454,SL,0,-1.126103162329329,IS_2014_2024,2016
19720,2017-03-03 11:00:00,12,0.15018781932141032,59.72966181697617,1.64989815446804,1.3250075864949271,0.30150753768845656,1.3087116645307555,1.5049796418480745,0.25548554972344945,failed_sweep,short,48,2.9429816745264983,2.543481899703888,0.35289146775994074,0.5628140703518094,0.8643216080402659,False,True,True,H4逆,113.239,999.0,19721,2017-03-03 12:00:00,113.067,113.26152817289821,112.91137746168143,0.19452817289821667,1.2952326878248064,19723,2017-03-03 14:00:00,113.26152817289821,SL,2,-1.1028128712773901,IS_2014_2024,2017
19795,2017-03-08 14:00:00,15,0.15188496595721734,68.45268613599038,2.0165216607452896,1.514303924358056,0.16521739130433064,2.49930582690834,-0.32090154760223544,-0.1718067471476652,failed_sweep,short,48,4.668006445086296,5.438326267477149,0.9217502148266307,0.7391304347826033,0.904347826086934,True,False,True,H4順,113.12,999.0,19796,2017-03-08 15:00:00,112.914,113.14278274489358,112.73097380408514,0.22878274489357864,1.5062896018162963,19800,2017-03-08 19:00:00,112.73097380408514,TP,4,0.712580819810893,IS_2014_2024,2017
21545,2017-06-19 11:00:00,12,0.16069671688859394,66.09613499786376,1.8617404325414961,1.1387911560561685,0.22404371584698604,1.712454368978021,1.0829153862770533,0.23288107139892097,failed_sweep,short,48,3.3043612233106017,2.9683244887366245,0.52894671182935,0.7595628415300618,0.7595628415300618,False,True,True,H4逆,114.496,999.0,21546,2017-06-19 12:00:00,114.353,114.52010450753329,114.21931639397336,0.16710450753329553,1.0398750563718355,21548,2017-06-19 14:00:00,114.21931639397336,TP,2,0.6803144194298575,IS_2014_2024,2017
27175,2018-05-15 16:00:00,17,0.14316058732738815,74.81358713622382,2.140764528939151,1.4179880356020786,0.1921182266009897,2.392299283104301,1.3115171470175269,-0.007979756236022754,failed_sweep,short,48,4.086320201119188,5.071228147030014,1.0338040850694536,0.7980295566501949,0.9901477832511846,False,False,True,H4中立,110.422,999.0,27176,2018-05-15 17:00:00,110.224,110.44347408809911,110.04842072952071,0.21947408809910485,1.5330622219172547,27178,2018-05-15 19:00:00,110.04842072952071,TP,2,0.7088730693758553,IS_2014_2024,2018
31765,2019-02-11 09:00:00,10,0.13555096594478858,58.80178573068053,0.7118980284600778,1.5639873793769443,0.3207547169811169,0.4978035402588321,0.3061946256590076,-0.14063639823303642,failed_sweep,short,48,1.3205365137192069,3.371425624411626,0.8852758751190448,0.6556603773585276,0.9764150943396445,True,False,True,H4順,110.129,999.0,31766,2019-02-11 10:00:00,109.922,110.14933264489173,109.74013388408662,0.22733264489173166,1.6771008845803932,31778,2019-02-11 22:00:00,109.914,TIME,12,-0.05278608360770063,IS_2014_2024,2019
32312,2019-03-14 03:00:00,4,0.132139364025996,70.38139328004692,1.9633761093772137,1.5059857557725833,0.06532663316585606,1.967779929522233,0.7778960606532246,0.041193264822112205,failed_sweep,short,48,2.6260153630808176,3.640096223751816,0.9535387197353423,0.7788944723617509,0.7788944723617509,False,True,True,H4逆,111.201,999.0,32313,2019-03-14 04:00:00,111.048,111.2208209046039,110.90974327631689,0.17282090460389554,1.3078684453929732,32317,2019-03-14 08:00:00,111.2208209046039,SL,4,-1.1157267406153792,IS_2014_2024,2019
33438,2019-05-20 01:00:00,2,0.11932956703347557,62.323512669697365,1.203613836206152,1.181601538539366,0.24113475177300675,1.2465412543219396,0.38356786906775225,-0.2219859902378856,failed_sweep,short,48,2.027996966854844,4.181696225043795,0.276545040934654,0.6312056737588952,0.872340425531902,False,False,True,H4中立,109.082,999.0,33439,2019-05-20 02:00:00,108.957,109.09989943505502,108.84268045195597,0.14289943505502833,1.197519094449917,33442,2019-05-20 05:00:00,108.84268045195597,TP,3,0.6600414340874857,IS_2014_2024,2019
33696,2019-06-04 07:00:00,8,0.1311484854014946,56.1924003759596,0.34076343324825764,1.585988579000608,0.1442307692307758,0.5151984696558287,0.3224432020497313,-0.144075713328756,failed_sweep,short,48,1.8452367121064164,0.9988678069667385,0.2058735174663261,0.730769230769173,0.8749999999999487,True,False,True,H4順,108.945,999.0,33697,2019-06-04 08:00:00,108.763,108.96467227281022,108.60166218175183,0.20167227281021383,1.5377400066254636,33704,2019-06-04 15:00:00,108.96467227281022,SL,7,-1.0991707968642346,IS_2014_2024,2019
34373,2019-07-12 12:00:00,13,0.1090209563046395,64.08969722308107,1.3780751722273918,1.2199489392511926,0.007518796992517355,1.2558256486841344,0.2883870891029641,0.1059671070925023,failed_sweep,short,48,2.577486104733863,3.091148815997516,0.10089803256961125,0.7669172932331373,0.7744360902256547,False,True,True,H4逆,109.917,999.0,34374,2019-07-12 13:00:00,109.815,109.9333531434457,109.72031748524344,0.11835314344570236,1.0855999383731851,34374,2019-07-12 13:00:00,109.72031748524344,TP,0,0.6310142053033729,IS_2014_2024,2019
