extra_groups,bb_lo,bb_hi,slope_min,macd_hist_pos,body_min,close_min,adx_mode,rsi_mode,width_mode,trigger_mode,positive_symbols,positive_years,positive_windows,worst_window_total_r,all_trades,all_win_rate,all_total_r,all_avg_r,all_median_r,all_pf,all_max_dd_r,all_max_losing_streak,train_trades,train_win_rate,train_total_r,train_avg_r,train_median_r,train_pf,train_max_dd_r,train_max_losing_streak,test_trades,test_win_rate,test_total_r,test_avg_r,test_median_r,test_pf,test_max_dd_r,test_max_losing_streak,score
rsi,0.7,1.05,0.0,False,,,none,rsi_le_72,none,all,7,9,5,3.205464931759151,130,52.307692307692314,61.108167153125216,0.47006282425480933,0.2794096295403485,2.0788848842139904,9.053251854902467,9,76,46.05263157894737,22.801966011606776,0.3000258685737734,-0.3081194545277184,1.6035370878498196,8.467493030876838,9,54,61.111111111111114,38.30620114151844,0.7093740952133045,1.26594279959865,3.0311287540015295,7.963671856967084,6,118.00440906680399
width,0.65,1.05,0.0,False,,,none,none,bb_width_le_7,all,7,9,5,0.8096328720222157,137,51.82481751824818,62.24768206262749,0.4543626427929014,0.1853333594102788,2.0344556331319943,9.879125325231065,11,80,45.0,22.40069464710203,0.28000868308877536,-0.31230469546038286,1.5575587156281867,9.879125325231065,11,57,61.40350877192983,39.846987415525454,0.6990699546583413,0.9460872903004952,2.992553574312381,5.22516112353777,3,117.78607405520654
width,0.75,1.05,0.0,False,,,none,none,bb_width_2_5_7,all,7,8,5,1.566097682206376,122,52.459016393442624,59.45538157037593,0.4873391931998027,0.2794096295403485,2.1445981439547235,8.780876705491892,10,69,43.47826086956522,17.50545921248195,0.2537023074272746,-0.3362688400562753,1.5002217204582815,8.780876705491892,10,53,64.15094339622641,41.94992235789398,0.7915079690168676,1.733086098247245,3.475078194257507,4.217620140809933,3,117.70219135333672
width,0.7,1.0,0.0,True,,,none,none,bb_width_2_5_7,all,7,10,5,2.6953797101491066,96,54.166666666666664,53.42502288572815,0.5565106550596682,0.7231041758706447,2.4160536084654898,4.681046795309928,6,57,45.614035087719294,19.61404634886062,0.3441060762958003,-0.2799700689991615,1.730745575935089,4.681046795309928,6,39,66.66666666666666,33.81097653686753,0.8669481163299366,1.9771017464348235,4.105638456945345,3.0315280322296516,3,117.5703864016002
close,0.75,1.15,-0.02,True,,0.75,none,none,none,all,7,9,5,2.7605909008176033,165,51.515151515151516,60.34983423413876,0.36575657111599247,0.1139725999162388,1.8151902089714156,7.092348507129918,7,100,46.0,20.427701415676854,0.20427701415676855,-0.31230469546038286,1.4126525824356362,7.092348507129918,7,65,60.0,39.92213281846191,0.6141866587455679,0.8449906401700296,2.6276007944930124,4.922940418947871,5,117.56550069701869
width,0.75,1.05,0.0,True,,,none,none,bb_width_ge_2_5,all,7,8,5,1.566097682206376,122,52.459016393442624,58.49786755077814,0.479490717629329,0.2794096295403485,2.129575789295811,7.72500826594133,9,68,44.11764705882353,17.705460668034426,0.2603744215887416,-0.31230469546038286,1.521676635973647,7.72500826594133,9,54,62.96296296296296,40.79240688274371,0.7554149422730317,1.6909715727644605,3.285553410376902,4.2133773442402545,3,117.37649832660485
width,0.75,1.05,-0.02,False,,,none,none,bb_width_le_7,all,6,8,5,4.178629763667492,162,50.0,64.63994436315338,0.3990120022416875,0.045933965903121404,1.8684282126142466,8.667754481523547,6,97,45.36082474226804,25.815557687282865,0.2661397699719883,-0.2883405508644905,1.5338043077335346,8.667754481523547,6,65,56.92307692307692,38.824386675870514,0.5972982565518541,0.8449906401700296,2.489133464010693,5.2679538315405186,4,117.35752429865272
,0.75,1.05,0.0,True,,,none,none,none,all,7,8,5,1.972907324782681,125,52.0,58.75269603537909,0.4700215682830327,0.1853333594102788,2.0909309822955926,7.725008265941329,9,71,43.66197183098591,17.960289152635372,0.2529618190512024,-0.3362688400562753,1.498791300384115,7.725008265941329,9,54,62.96296296296296,40.79240688274371,0.7554149422730317,1.6909715727644605,3.285553410376902,4.2133773442402545,3,117.32176948235681
close,0.7,1.05,0.0,True,,0.75,none,none,none,all,7,9,5,2.0219511945996893,111,54.054054054054056,55.67170040671691,0.5015468505109631,0.5316690385870159,2.2067356251102415,4.617236844874942,6,63,47.61904761904761,21.447962110515356,0.3404438430240533,-0.2799700689991615,1.72257264515979,4.617236844874942,6,48,62.5,34.22373829620156,0.7129945478375325,1.26594279959865,3.080298977473819,3.2060868435331464,3,117.20729186908746
width,0.7,1.05,-0.02,True,,,none,none,bb_width_le_7,all,6,9,5,5.247114441862683,154,50.0,61.29263193051405,0.3980041034448964,0.045933965903121404,1.8715121342760006,6.6084271967990835,5,90,45.55555555555556,23.262894830807625,0.2584766092311958,-0.28415530993182603,1.5256819437879752,6.6084271967990835,5,64,56.25,38.02973709970642,0.5942146421829129,0.8640095960428269,2.4584040780610303,5.26582738251661,4,117.17077591354357
width,0.7,1.0,0.0,False,,,none,none,bb_width_2_5_7,all,7,10,5,2.6953797101491066,101,54.45544554455446,54.93634617079565,0.5439242195128282,0.7901784127205201,2.3805960634315992,5.735031024066212,7,60,46.666666666666664,21.344858652959356,0.35574764421598926,-0.2119446889996599,1.7651823430123041,5.735031024066212,7,41,65.85365853658537,33.5914875178363,0.8193045736057634,1.9745949551370592,3.8236131777946154,4.041195463981398,4,117.09465397635948
rsi,0.75,1.0,0.0,False,,,none,rsi_le_72,none,all,7,9,5,4.911466714878653,102,53.92156862745098,55.64423176495135,0.5455316839701113,0.6956980621458899,2.342430819806916,5.446690473201722,6,60,46.666666666666664,22.953876797155722,0.3825646132859287,-0.2119446889996599,1.8011100558727573,5.446690473201722,6,42,64.28571428571429,32.69035496779563,0.7783417849475149,1.4288117535263418,3.55438004574165,4.039079116435628,4,116.9889151655758
width,0.7,1.05,-0.02,True,,,none,none,bb_width_ge_3,all,7,9,5,5.0064922815058885,149,50.33557046979866,59.41788349746207,0.39877774159370516,0.1139725999162388,1.8938028314916142,6.600941557311684,5,87,45.97701149425287,23.71837323146239,0.2726249796719815,-0.2799700689991615,1.5712458730658199,6.600941557311684,5,62,56.451612903225815,35.699510265999685,0.5757985526774143,0.7231041758706447,2.430429868522551,5.2642294204756555,5,116.84833512694635
rsi,0.75,1.05,0.0,True,,,none,rsi_le_72,none,all,7,8,5,3.8890176793643088,117,52.13675213675214,56.692719280969946,0.48455315624760636,0.1853333594102788,2.1215413060675634,7.03604344042288,7,66,43.93939393939394,17.159488137692442,0.2599922445104915,-0.3940715501449218,1.5090842120432333,6.408165746152374,7,51,62.745098039215684,39.533231143277504,0.7751613949662256,1.9745949551370592,3.3472508210815755,5.9464634424875,4,116.6942185155593
width,0.7,1.05,0.0,False,,,none,none,bb_width_2_5_7,all,7,8,5,1.672930674634763,126,52.38095238095239,59.37632052405102,0.47124063907977,0.2794096295403485,2.100340444231268,8.780876705491892,10,72,44.44444444444444,18.433939148884875,0.25602693262340104,-0.31230469546038286,1.5119784446384903,8.780876705491892,10,54,62.96296296296296,40.94238137516614,0.7581922476882619,1.6909715727644605,3.2800908789537213,5.22516112353777,3,116.64430929667937
,0.75,1.05,-0.02,True,,,none,none,none,all,6,8,5,3.8360250726652616,158,50.0,62.512309413146376,0.3956475279313062,0.045933965903121404,1.8727983205097305,7.611886041972983,5,93,45.16129032258064,23.838878058945483,0.25633202213919876,-0.2883405508644905,1.5221113023314203,7.611886041972983,5,65,56.92307692307692,38.6734313542009,0.5949758669877062,0.8449906401700296,2.489488067715267,5.26371103497084,5,116.6165225490957
close,0.7,1.25,-0.02,True,,0.75,none,none,none,all,7,9,5,2.735425907185008,192,50.520833333333336,62.531751996934176,0.3256862083173655,0.0439553738614751,1.7080042174024979,8.470621381557114,8,119,46.21848739495798,22.89909415998168,0.19242936268892166,-0.2883405508644905,1.389866621987471,8.470621381557114,8,73,57.534246575342465,39.632657836952504,0.5429131210541439,0.7443295263116875,2.3395998943020158,7.2735973034953965,5,116.54193272183656
close,0.75,1.1,0.0,True,,0.75,none,none,none,all,7,8,5,0.8686909078132508,119,52.94117647058824,55.122047575424084,0.4632104838270931,0.3734858996704182,2.0758068776745366,5.123711897387944,6,66,43.93939393939394,16.253186270417963,0.2462603980366358,-0.3940715501449218,1.481421608631398,5.123711897387944,6,53,64.15094339622641,38.86886130500613,0.7333747416038892,0.9433253232009068,3.2239945042421483,3.225383391209035,3,116.42924727754838
