entry_mode,filter,target_model,trades,win_rate,total_r,avg_r,pf,max_dd_r,max_losing_streak,avg_planned_rr,median_planned_rr,avg_hold_bars,tp_rate
B_plus_diag,diag_break,half_wave,12,41.66666666666667,-0.915733329116809,-0.07631111075973408,0.883796826855067,4.725179657644938,4,1.635926114538646,1.421056422800942,54.916666666666664,33.33333333333333
B_confirmed,strict_synapse,half_wave,1,0.0,-1.064126977102418,-1.064126977102418,0.0,0.0,1,1.2119998672367565,1.2119998672367565,22.0,0.0
B_plus_diag,observe_loose,fixed_2R,1317,40.546697038724375,-1.3761422046622442,-0.0010449067613228886,0.9981333150033856,59.20189965138198,12,2.0,2.0,67.68261199696279,23.158694001518604
A_plus_diag,observe_loose,half_wave,13,53.84615384615385,-1.4584903335495694,-0.11219156411919765,0.7968202104718484,6.760203021609382,4,1.0686939931632962,0.8325692870771432,8.461538461538462,53.84615384615385
A_plus_diag,context,fixed_1_5R,527,44.022770398481974,-2.6607552524197953,-0.005048871446716879,0.9889462297388799,33.8497789362446,8,1.5000000000000004,1.5,76.36053130929791,24.09867172675522
B_plus_diag,context,fixed_1_5R,408,43.13725490196079,-4.955007275171246,-0.012144625674439328,0.977960543863651,28.91614397076711,9,1.4999999999999993,1.5,50.13235294117647,35.049019607843135
B_plus_diag,strict_synapse,fixed_2R,45,37.77777777777778,-5.341411607295449,-0.11869803571767665,0.796791916003453,8.036229572157966,6,2.0,2.0,58.2,17.77777777777778
B_plus_diag,strict_synapse,fixed_1_5R,45,37.77777777777778,-8.600365304885624,-0.1911192289974583,0.6728086349141904,8.967572248292356,6,1.5000000000000002,1.5,54.93333333333333,22.22222222222222
B_confirmed,strict_synapse,fixed_2R,156,38.46153846153847,-8.607999868508129,-0.05517948633659057,0.8994718870424443,15.623641159154408,10,2.0,2.0,67.41025641025641,17.94871794871795
A_plus_diag,basic_role,fixed_2R,1483,40.1888064733648,-8.831388555896197,-0.00595508331483223,0.9892271958692168,74.74637161979012,13,2.0,2.0,66.20566419420095,22.049898853674982
B_confirmed,basic_role,half_wave,192,47.39583333333333,-10.779699662626193,-0.05614426907617809,0.8993120957063809,16.9961555137058,7,1.2131168241393568,1.0229897680770628,27.104166666666668,47.39583333333333
B_confirmed,strict_synapse,fixed_1_5R,156,41.02564102564102,-12.986723328019547,-0.08324822646166376,0.8459846558765145,17.177806237743496,8,1.5,1.5,61.16025641025641,28.205128205128204
B_plus_diag,observe_loose,half_wave,145,54.48275862068965,-13.622647477623225,-0.09394929294912568,0.806204216101028,14.67229795911621,5,0.8504987980015554,0.7155021134892376,25.337931034482757,54.48275862068965
B_plus_diag,basic_role,fixed_1_5R,1067,43.673851921274604,-19.883463612688324,-0.018634923723231795,0.9647993075066897,42.84124411630974,11,1.4999999999999993,1.5,59.89315838800375,31.77132146204311
B_plus_diag,diag_break,fixed_1_5R,842,42.99287410926366,-20.799612179221903,-0.024702627291237414,0.9548286635616352,39.4487703932333,8,1.4999999999999973,1.5,54.45605700712589,33.4916864608076
A_plus_diag,diag_break,fixed_2R,1025,41.46341463414634,-25.128941947856173,-0.02451604092473773,0.9505199212341578,47.1386759369848,14,2.0,2.0,81.18731707317073,16.29268292682927
B_plus_diag,observe_loose,fixed_1_5R,1354,43.42688330871492,-33.75993225353878,-0.024933480246335876,0.9529276802063309,63.477593198219445,12,1.4999999999999993,1.5,61.22673559822747,30.945347119645493
B_confirmed,diag_break,fixed_2R,2478,38.94269572235674,-35.52160854043515,-0.014334789564340256,0.975807441448704,111.5928760654011,14,2.0,2.0,59.16585956416465,24.93946731234867
A_plus_diag,observe_loose,fixed_2R,1708,40.33957845433255,-40.55405732935026,-0.023743593284162916,0.9556229609463235,90.7514513890163,12,2.0,2.0,71.1311475409836,19.437939110070257
A_plus_diag,diag_break,fixed_1_5R,1060,43.0188679245283,-52.04536782640203,-0.049099403609813234,0.8979408281765371,60.57503126174012,11,1.5000000000000002,1.5,76.29716981132076,23.20754716981132
A_plus_diag,observe_loose,fixed_1_5R,1851,43.59805510534846,-53.21204650706101,-0.028747729069184772,0.9428342879015934,85.41438512390404,12,1.5,1.5,65.9935170178282,27.606699081577524
B_confirmed,diag_break,fixed_1_5R,2528,43.037974683544306,-54.29699065045128,-0.021478239972488638,0.9611489967522386,123.4726227154671,12,1.4999999999999987,1.5,52.425632911392405,33.267405063291136
A_plus_diag,basic_role,fixed_1_5R,1569,42.829827915869984,-61.786107258907606,-0.03937929079598955,0.9251468711062194,96.91271097175856,13,1.5,1.5,60.46653919694073,28.935627788400254
B_confirmed,observe_loose,half_wave,1046,54.588910133843214,-70.39013454347327,-0.06729458369356908,0.8595971866752344,83.12536147122321,8,0.9046402679777125,0.7306808973569032,22.920650095602294,54.39770554493308
B_confirmed,basic_role,fixed_2R,5586,39.33046902971715,-96.82759214473859,-0.017333976395406122,0.96967763451542,219.65536008002002,23,2.0,2.0,64.67669172932331,22.896527031865375
B_confirmed,observe_loose,fixed_2R,7341,39.80384143849612,-108.03662990408881,-0.014716881883134289,0.9737572251804001,234.0654579223189,34,2.0,2.0,67.40239749352949,22.054216046860102
B_confirmed,observe_loose,fixed_1_5R,7670,43.559322033898304,-108.1259017776763,-0.01409724925393433,0.9732991240807641,251.1272407266361,22,1.5,1.5,60.05853976531942,31.147327249022165
B_confirmed,basic_role,fixed_1_5R,5757,43.199583116206355,-134.9659259189125,-0.0234437946706466,0.9563130630373723,266.7922626985432,17,1.5,1.5,57.937467430953625,31.49209657807886
